extraction_result_id,canonical_payload_id,candidate_id,linkage_basis
EXTEXTRACT-e85638ac507f9c341ce8a5f2,EXTPAYLOAD-cf25e13db052843a9c630e68,EXTCAND-9f0b049578ca79040c22b3f3,readiness_preserved_lineage
EXTEXTRACT-35ba59902fd2c74f8778e42c,EXTPAYLOAD-cf260474de8124b588bb0719,EXTCAND-283ccd1dfd015d5c81d74ad7,readiness_preserved_lineage
EXTEXTRACT-a2cf6d9e0ec04c218dc5c12a,EXTPAYLOAD-cf29912ed621388993cde742,RESCAND-5150338abd6b8123e595bd4e,readiness_preserved_lineage
EXTEXTRACT-a2cf6d9e0ec04c218dc5c12a,EXTPAYLOAD-cf29912ed621388993cde742,RESCAND-568e68c695e600b15edc6d75,readiness_preserved_lineage
EXTEXTRACT-9863dd73af2e1887dc3b21d3,EXTPAYLOAD-cf2b04622deefd4f8d2f356a,EXTCAND-5441ad8c02aab7a4427417f1,readiness_preserved_lineage
EXTEXTRACT-69b903c1a1ff6da47698dd91,EXTPAYLOAD-cf2e83885483f0799b69e3a6,RESCAND-9a4f9f6a653e32282bc2f957,readiness_preserved_lineage
EXTEXTRACT-654174ab739fa8bc0591c2d9,EXTPAYLOAD-cf2f4ba85dccc251c3ca986e,RESCAND-57e1d631201051c0be9f6a78,readiness_preserved_lineage
EXTEXTRACT-94f8f9dbe0d3f22c95662153,EXTPAYLOAD-cf2fb14e7a85bab9352eb75a,RESCAND-ef957f48ad09a51f8e81e17d,readiness_preserved_lineage
EXTEXTRACT-303493c43e9a044167632131,EXTPAYLOAD-cf3486ee57c7ae2f5a25daf6,RESCAND-507358ff9cba63a01278b492,readiness_preserved_lineage
EXTEXTRACT-303493c43e9a044167632131,EXTPAYLOAD-cf3486ee57c7ae2f5a25daf6,RESCAND-e59d022ed98ad6ea8788a371,readiness_preserved_lineage
EXTEXTRACT-5adeef288d8ea753594cc4fb,EXTPAYLOAD-cf3c549f7d7ed1f9bebe2436,EXTCAND-0f0413ec6a764d65f85615fc,readiness_preserved_lineage
EXTEXTRACT-aac81f3f580e507a3ead9638,EXTPAYLOAD-cf424c8eb9825e7e4acb673e,RESCAND-7b5c0747defb3b6ec0524ebe,readiness_preserved_lineage
EXTEXTRACT-5fcf4336a159b1491e3e0ebf,EXTPAYLOAD-cf46617d7649014fab1a07d0,RESCAND-29d0b53c09e23c1b9b21d02a,readiness_preserved_lineage
EXTEXTRACT-8d4e7df33d3082f3e166751e,EXTPAYLOAD-cf47c0bd43cc4f86ffb88d18,RESCAND-d4b51b46dc0c6820d82f3f6f,readiness_preserved_lineage
EXTEXTRACT-661985ed3058b86326d9e2b1,EXTPAYLOAD-cf4b9c103c00d0a4e2740fdb,EXTCAND-666e8e72700d8dd5e8a8d657,readiness_preserved_lineage
EXTEXTRACT-3cfcb3f7604e8d09a6adfc2a,EXTPAYLOAD-cf5282f097a1b52d7d79ee53,EXTCAND-b515ccd593131d54179f4a5b,readiness_preserved_lineage
EXTEXTRACT-056fc88cbc59731c42f091e7,EXTPAYLOAD-cf5b7f9303b862125ae422e6,RESCAND-a574c542fbf7eb917f15b5cb,readiness_preserved_lineage
EXTEXTRACT-f712b7370830a5e552267fe4,EXTPAYLOAD-cf5f597fd046a5a788968a19,RESCAND-6ff10e4179c93c3606a6cc45,readiness_preserved_lineage
EXTEXTRACT-2b2bc539ded60f73eb319656,EXTPAYLOAD-cf6761e6daa448d9d0a7316f,EXTCAND-a76f6384629c25acf52ab6ab,readiness_preserved_lineage
EXTEXTRACT-0ee1ef88b5b172d5b1446581,EXTPAYLOAD-cf696564ea46a6bc80cfab44,RESCAND-0301e3ec5e8000273e721aef,readiness_preserved_lineage
EXTEXTRACT-0dcd3a5ed76b8fa5c934726f,EXTPAYLOAD-cf6cb41662ab6194c9e8adbc,RESCAND-8823cbe10d274e322d9585fa,readiness_preserved_lineage
EXTEXTRACT-5977b7dcaabc4b243a23cefc,EXTPAYLOAD-cf6d82e6458732fb0d5823b2,RESCAND-725088cc41e78e951add4c4a,readiness_preserved_lineage
EXTEXTRACT-ee83f61f8b915c83653e2600,EXTPAYLOAD-cf73192f9cb7963ffaa3946c,RESCAND-1bda7b6b75ae95a5b098d5c8,readiness_preserved_lineage
EXTEXTRACT-9fc3c7df8b6b472664354c0f,EXTPAYLOAD-cf758eee22b16afa7ae47fbe,RESCAND-4c779b157d91bc1ac2a8ef79,readiness_preserved_lineage
EXTEXTRACT-25afb8df10e042d903b7b20f,EXTPAYLOAD-cf7708f4859be53c8c984175,RESCAND-450030d6f8999443f46acc34,readiness_preserved_lineage
EXTEXTRACT-e51d2c5599778ccf55894269,EXTPAYLOAD-cf7a6ee6ed0a82f3d0d567b4,EXTCAND-1893824f36ba642ac28fb259,readiness_preserved_lineage
EXTEXTRACT-10f3053802c0f89bd8e98832,EXTPAYLOAD-cf7c45d11d8cb4c62bd6cd1f,EXTCAND-f770fc81766aa0521d8aa3c0,readiness_preserved_lineage
EXTEXTRACT-7859e68488c9c055264c4d86,EXTPAYLOAD-cf87a39573a293af94f629f5,EXTCAND-7fef910f289dd683da232f20,readiness_preserved_lineage
EXTEXTRACT-6ec1fe58fc86be5709de03e9,EXTPAYLOAD-cf8caafd9b96316aa1aafb9b,RESCAND-c66ef10b84f451a7365099fc,readiness_preserved_lineage
EXTEXTRACT-ec7d3fc8ee3b9a790dd4a1b1,EXTPAYLOAD-cf92a8e6c7836a41b72a1e19,EXTCAND-1d05a3e864ae47006a27d13c,readiness_preserved_lineage
EXTEXTRACT-a34e46605c14dcba2afce58d,EXTPAYLOAD-cf96a4add8479732796980e1,RESCAND-a723630744399b27c77803ad,readiness_preserved_lineage
EXTEXTRACT-1e1ef5639a54dcd1c11db0ae,EXTPAYLOAD-cf9b0d4c29a1ddb12d827f0f,EXTCAND-49e69808b52a92580bc13912,readiness_preserved_lineage
EXTEXTRACT-24e9c62fb23fb5d0ef9e4dc4,EXTPAYLOAD-cf9f542ff7b7452749f35d6d,EXTCAND-f3f5f839e93dabbc7ffe851d,readiness_preserved_lineage
EXTEXTRACT-c3c9edd47ea37fbf2663f81f,EXTPAYLOAD-cfa05e2dea34c8d0f53e0f1e,EXTCAND-6dab7a96c724ddd691f7a9a9,readiness_preserved_lineage
