field_span_queue_id,canonical_payload_id,extraction_result_id,retained_source_ids,extraction_artifact_pointers,extraction_modality,pages_available,sections_available,tables_available,structured_record_count,municipality,state,expected_period,side_scope,department_scope,source_family,administrative_source_type,source_quality,extraction_priority,root_event_ids,mechanism_event_ids,claim_ids,expected_claim_upgrades,extraction_warnings,deterministic_processing_eligibility,narrative_ambiguity_flag,proposed_extraction_families,proposed_next_processing_lane,primary_terminal_status
EXTFIELDQ-f76e3c10daac5bc47bfa750c,EXTPAYLOAD-ee3ceba8e1fbbab3e3af9676,EXTEXTRACT-258736242528c5038596adc2,EXTSOURCE-ee3ceba8e1fbbab3e3af9676,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/00/EXTPAYLOAD-ee3ceba8e1fbbab3e3af9676.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/00/EXTPAYLOAD-ee3ceba8e1fbbab3e3af9676.sections.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/00/EXTPAYLOAD-ee3ceba8e1fbbab3e3af9676.visible_text.txt.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/00/EXTPAYLOAD-ee3ceba8e1fbbab3e3af9676.embedded_structured.jsonl.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/00/EXTPAYLOAD-ee3ceba8e1fbbab3e3af9676.tables.jsonl.gz,html,0,25,0,0,Raynham,MA,2021,all_units,all_units,multi_family_administrative_source,payroll_roster,official_administrative_summary,extraction_priority_high,ROOTCOMP-c70c94e0952f0a8e39a2d098,MECHEXP-24e5e0e52ca2d6314a1f881f|MECHEXP-2a29c41d3949e06124e90826|MECHEXP-6dd440eacfd3dece0f0f5de2|MECHEXP-71978642ca7c7a07d69c5233|MECHEXP-803a073ecce8e10fe97f9218|MECHEXP-a33dd6c6993719d83593a3fa|MECHEXP-c23741651f77df861d7c5d93,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,,deterministic_text_pattern_processing_ready,False,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,deterministic_text_pattern_processing_ready,extracted_text_ok
EXTFIELDQ-74ff31493d7f8405795cfcb8,EXTPAYLOAD-ee3e40af83c1631f8be61cc9,EXTEXTRACT-7850b362ecb09693996e2c21,EXTSOURCE-ee3e40af83c1631f8be61cc9,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/c2/EXTPAYLOAD-ee3e40af83c1631f8be61cc9.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/c2/EXTPAYLOAD-ee3e40af83c1631f8be61cc9.pages.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/c2/EXTPAYLOAD-ee3e40af83c1631f8be61cc9.txt.gz,pdf,260,0,0,0,Marysvale,UT,2026,all_units,all_units,multi_family_administrative_source,payroll_roster,direct_official_administrative_record,extraction_priority_high,ROOTCOMP-7aadf5acc36fa65d4a6e9988|ROOTCOMP-985304fd973a7aabff098cb1,MECHEXP-4963fd626cc9c0babd69275d|MECHEXP-80de92e5c918291bac2cf181|MECHEXP-864129ed9819ec97786f087d|MECHEXP-a2b9d24511974a81590efd52|MECHEXP-b2b0b933370dbf44f0eb1c03|MECHEXP-e2f28aec76b0c494cfd6ac65|MECHEXP-e3e37faa70a3be9b86f476fe,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,,deterministic_text_pattern_processing_ready,False,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|staffing_and_headcount|tenure_and_progression,deterministic_text_pattern_processing_ready,extracted_text_ok
EXTFIELDQ-37b78a2ecd7e3257c1b59b01,EXTPAYLOAD-ee41b448bb30cee65543daa0,EXTEXTRACT-6317c9e974a500079677478d,EXTSOURCE-ee41b448bb30cee65543daa0,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/aa/EXTPAYLOAD-ee41b448bb30cee65543daa0.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/aa/EXTPAYLOAD-ee41b448bb30cee65543daa0.sections.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/aa/EXTPAYLOAD-ee41b448bb30cee65543daa0.visible_text.txt.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/aa/EXTPAYLOAD-ee41b448bb30cee65543daa0.embedded_structured.jsonl.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/aa/EXTPAYLOAD-ee41b448bb30cee65543daa0.tables.jsonl.gz,html,0,122,0,2,Muskingum,OH,2020,non_safety,non_safety,multi_family_administrative_source,payroll_roster,official_administrative_summary,extraction_priority_high,ROOTCOMP-3f51141fe3f50c8f17797774,MECHEXP-439c30392a2d95a664e0726e|MECHEXP-738db189d3e02b906b7b6573|MECHEXP-89055af7ce9163726c73fe5c|MECHEXP-913f97e2082bc437c627bbfe|MECHEXP-aee30223f26f1a0def31e116,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,,mixed_structured_and_text_processing_ready,False,implementation_confirmation|payroll_and_earnings|staffing_and_headcount,mixed_structured_and_text_processing_ready,extracted_text_and_structured_ok
EXTFIELDQ-465ba07bebeac11ce94b76ea,EXTPAYLOAD-ee457016a479eabe6345be8a,EXTEXTRACT-f18e24f980ee808b818da259,EXTSOURCE-ee457016a479eabe6345be8a,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/1e/EXTPAYLOAD-ee457016a479eabe6345be8a.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/1e/EXTPAYLOAD-ee457016a479eabe6345be8a.sections.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/1e/EXTPAYLOAD-ee457016a479eabe6345be8a.visible_text.txt.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/1e/EXTPAYLOAD-ee457016a479eabe6345be8a.embedded_structured.jsonl.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/1e/EXTPAYLOAD-ee457016a479eabe6345be8a.tables.jsonl.gz,html,0,121,3,0,Chardon,OH,2023,police,police,multi_family_administrative_source,payroll_roster,official_administrative_summary,extraction_priority_high,ROOTCOMP-25b7ca7e81ba641d1dd0f877,MECHEXP-329e7b42e96774a418ceb887|MECHEXP-aae78e98ef9feeb131e9aa76|MECHEXP-b1652ea3f0c9eea92733e129|MECHEXP-eb58bb046a65aad24d8142f3|MECHEXP-ec4d105ce2d067e409f4ed76|MECHEXP-f1a05e018c73515cbd07339e,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,,mixed_structured_and_text_processing_ready,False,implementation_confirmation|payroll_and_earnings|staffing_and_headcount,mixed_structured_and_text_processing_ready,extracted_text_and_structured_ok
EXTFIELDQ-5cec988b56962f9d41a8920b,EXTPAYLOAD-ee46dc2ebdc836acc65c6fbf,EXTEXTRACT-953b61bc45db9ca7d5258ec1,EXTSOURCE-ee46dc2ebdc836acc65c6fbf,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/91/EXTPAYLOAD-ee46dc2ebdc836acc65c6fbf.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/91/EXTPAYLOAD-ee46dc2ebdc836acc65c6fbf.sections.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/91/EXTPAYLOAD-ee46dc2ebdc836acc65c6fbf.visible_text.txt.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/91/EXTPAYLOAD-ee46dc2ebdc836acc65c6fbf.embedded_structured.jsonl.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/91/EXTPAYLOAD-ee46dc2ebdc836acc65c6fbf.tables.jsonl.gz,html,0,41,0,0,Catawissa,PA,2016,unclear,unclear,multi_family_administrative_source,payroll_roster,official_administrative_summary,extraction_priority_high,ROOTCOMP-7e85b340751045ebc9b91c10,MECHEXP-0a8ed5f7cf3d15e95a409ea1|MECHEXP-0f3fd523a18b627f179d674d|MECHEXP-9b679291498aa1554a81e090|MECHEXP-9f96a87a3942e2a9d46f8812,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,,deterministic_text_pattern_processing_ready,False,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,deterministic_text_pattern_processing_ready,extracted_text_ok
EXTFIELDQ-1f00d451991d72140758a6c3,EXTPAYLOAD-ee548e7e24bfca19412f396a,EXTEXTRACT-eb98cb4f3e1331146e4db178,EXTSOURCE-ee548e7e24bfca19412f396a,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/9d/EXTPAYLOAD-ee548e7e24bfca19412f396a.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/9d/EXTPAYLOAD-ee548e7e24bfca19412f396a.sections.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/9d/EXTPAYLOAD-ee548e7e24bfca19412f396a.visible_text.txt.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/9d/EXTPAYLOAD-ee548e7e24bfca19412f396a.embedded_structured.jsonl.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/9d/EXTPAYLOAD-ee548e7e24bfca19412f396a.tables.jsonl.gz,html,0,599,0,1,Lake Benton,MN,2023,all_units,all_units,implementation_confirmation,ordinance_or_resolution,official_administrative_summary,extraction_priority_high,ROOTCOMP-0337d5a9d9662d6f00f281c0,MECHEXP-002b5f0ed827eb4d4b1e8988|MECHEXP-06c54441d4ea8b465a380f01|MECHEXP-1034f6e6cc7fdea8e1e836e1|MECHEXP-84ca6fda36e89521f71055b5|MECHEXP-8e52e5f9105b0d4b429a837b|MECHEXP-aa032533016559b58ed0ffab|MECHEXP-e43ae9772a113bfa2dc59528,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,,mixed_structured_and_text_processing_ready,False,implementation_confirmation,mixed_structured_and_text_processing_ready,extracted_text_and_structured_ok
EXTFIELDQ-36e5dd3bca973151cd7459b0,EXTPAYLOAD-ee5a8ade2ab89c54adc1a7de,EXTEXTRACT-43457741173624d4ea45b36f,EXTSOURCE-ee5a8ade2ab89c54adc1a7de,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/b3/EXTPAYLOAD-ee5a8ade2ab89c54adc1a7de.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/b3/EXTPAYLOAD-ee5a8ade2ab89c54adc1a7de.pages.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/b3/EXTPAYLOAD-ee5a8ade2ab89c54adc1a7de.txt.gz,pdf,10,0,0,0,Ravenna,OH,2021,all_units,all_units,multi_family_administrative_source,payroll_roster,direct_official_administrative_record,extraction_priority_high,ROOTCOMP-529790adf3399f37f357e2a6,MECHEXP-043e010cdd1e146e33940418|MECHEXP-51a0d8636a029266437a24ea|MECHEXP-aa49d8799f36b04a66aacc52|MECHEXP-e76a30425c21758a16b1da5e,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,,deterministic_text_pattern_processing_ready,False,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,deterministic_text_pattern_processing_ready,extracted_text_ok
EXTFIELDQ-615b4eaa284fce73afc769c1,EXTPAYLOAD-ee6529e98db964354db6e0be,EXTEXTRACT-6ef3ff7abe7aeb3a62545112,EXTSOURCE-ee6529e98db964354db6e0be,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/bb/EXTPAYLOAD-ee6529e98db964354db6e0be.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/bb/EXTPAYLOAD-ee6529e98db964354db6e0be.pages.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/bb/EXTPAYLOAD-ee6529e98db964354db6e0be.txt.gz,pdf,38,0,0,0,Bonduel,WI,undated-source-B4X2500LIVE-20260729-005879,unclear,unclear,multi_family_administrative_source,payroll_roster,direct_official_administrative_record,extraction_priority_high,ROOTCOMP-873dc744994848c7a245c105,MECHEXP-07b89e20bfa663a796e011f4|MECHEXP-13e680d0fe096693699a934e|MECHEXP-1c81a2ac39652d4d5135b5bb|MECHEXP-8b893df5c39eeaea61544430|MECHEXP-ee08d5445b9e2cef1d92f266,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_total_compensation_comparison,,deterministic_text_pattern_processing_ready,False,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,deterministic_text_pattern_processing_ready,extracted_text_ok
EXTFIELDQ-c8af8442fb1f17d4dad9a860,EXTPAYLOAD-ee6b7c02839a27ab7b860a1e,EXTEXTRACT-959ea42e5b7c234062f665ea,EXTSOURCE-ee6b7c02839a27ab7b860a1e,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/56/EXTPAYLOAD-ee6b7c02839a27ab7b860a1e.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/56/EXTPAYLOAD-ee6b7c02839a27ab7b860a1e.sections.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/56/EXTPAYLOAD-ee6b7c02839a27ab7b860a1e.visible_text.txt.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/56/EXTPAYLOAD-ee6b7c02839a27ab7b860a1e.embedded_structured.jsonl.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/56/EXTPAYLOAD-ee6b7c02839a27ab7b860a1e.tables.jsonl.gz,html,0,107,0,0,Washington,KS,2025,all_units,all_units,implementation_confirmation,contract_or_mou,official_administrative_summary,extraction_priority_high,ROOTCOMP-16f2d039f29d22f8001ef89a,MECHEXP-2fe79f5e26d74bface6ed9cd|MECHEXP-5fc9e4ed8090509b6bf7f07a|MECHEXP-64f24beef2f0a68b4e970b4d|MECHEXP-de60cdbdf38bf999522c58bc|MECHEXP-ffebb116fb23487fe64a0aaa,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,,deterministic_text_pattern_processing_ready,False,implementation_confirmation,deterministic_text_pattern_processing_ready,extracted_text_ok
EXTFIELDQ-38245228f1ffade81134e8c8,EXTPAYLOAD-ee714121596b2510871009bf,EXTEXTRACT-64bbc35744542a776a02a092,EXTSOURCE-ee714121596b2510871009bf,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ff/EXTPAYLOAD-ee714121596b2510871009bf.index.json|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ff/EXTPAYLOAD-ee714121596b2510871009bf.sections.jsonl.gz|artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ff/EXTPAYLOAD-ee714121596b2510871009bf.visible_text.txt.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ff/EXTPAYLOAD-ee714121596b2510871009bf.embedded_structured.jsonl.gz|artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ff/EXTPAYLOAD-ee714121596b2510871009bf.tables.jsonl.gz,html,0,77,0,0,Brookfield,WI,undated,fire,fire,implementation_confirmation,ordinance_or_resolution,official_administrative_summary,extraction_priority_high,ROOTCOMP-278c45ab31fa750d8e78e046,MECHEXP-915c1e7e284af46ef3cb6a51|MECHEXP-a175e2efd870005e77861c13|MECHEXP-b4e31f23804a3a15d438d433|MECHEXP-b7b023591b682470722b913d|MECHEXP-ecbe1dfb77181e3d895fd096,,upgrades_growth_analysis|upgrades_local_wage_comparison|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,,deterministic_text_pattern_processing_ready,False,implementation_confirmation,deterministic_text_pattern_processing_ready,extracted_text_ok
