external_evidence_span_id,canonical_payload_id,extraction_result_id,retained_source_ids,field_record_ids,field_family,evidence_type,exact_excerpt,normalized_search_text,source_page,source_section,source_heading_path,source_table_id,source_row_start,source_row_end,source_column_start,source_column_end,source_character_start,source_character_end,preceding_context,following_context,municipality,state,period,side_hint,department_hint,implementation_status_hint,source_quality,rule_id,rule_version,dictionary_version,parser_version,extraction_timestamp,extraction_confidence,extraction_confidence_basis,ambiguity_flags,root_event_ids,mechanism_event_ids,claim_ids,claim_linkage_status,expected_claim_upgrade_tags,search_wave_provenance,extraction_modality,administrative_source_type,source_family,extraction_artifact_pointer,lineage_basis
EXTSPAN-b4f6de5166f647bb28715cf3,EXTPAYLOAD-0027da9767f30538f6a95de6,EXTEXTRACT-67b36dbb0a3b256e205366b8,EXTSOURCE-0027da9767f30538f6a95de6,EXTFIELD-3c68d0221e0c6a8643a1b79d,implementation_confirmation,explicit_expired,"of employment for a collective bargaining agreement (“CBA”) that expired on May 31, ","of employment for a collective bargaining agreement (“cba”) that expired on may 31,",2,,,,,,,,1231,1315,"lage”) and the United Federation of Police Officers (Municipal Employees 
Unit (“MEU” or “Union”), which are seeking to negotiate renewal terms and conditions 
","
2009 and continued in effect.  The report provides findings of fact and recommendations 
for resolution of the parties’ impasse. 
  
MEU in Sleepy Hollow prese",Avon,NY,undated-source-B4X2500LIVE-20260729-001409,unclear,unclear,expired,direct_official_administrative_record,FIELD-IMPLEMENTATION_CONFIRMATION-EXPIRED,deterministic-field-rules-2026-08-05-v1,administrative-field-dictionary-2026-08-05-v1,literal-parser-2026-08-05-v1,2026-08-05T21:54:22.020536+00:00,exact_labeled_text,exact_labeled_text,,ROOTCOMP-7f3da6a99285651f9427bbfa,MECHEXP-341fc34e0fecda9105bf19ad|MECHEXP-4dbc27da1c757cb0e176cfdb|MECHEXP-70ff4f6e9a8a4256527bc5cb|MECHEXP-9591f0f1b082679b0e3ef1ff|MECHEXP-faad3625e6fa48170ce329df,,claim_linkage_pending_reconstruction,upgrades_growth_analysis|upgrades_local_wage_comparison,external_search_wave_002_exhaustive_residual,pdf,payroll_roster,payroll_and_earnings,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/40/EXTPAYLOAD-0027da9767f30538f6a95de6.txt.gz,one_physical_extraction_result_deterministic_local_pass
EXTSPAN-096cd0639559fc8da2de25ce,EXTPAYLOAD-0027da9767f30538f6a95de6,EXTEXTRACT-67b36dbb0a3b256e205366b8,EXTSOURCE-0027da9767f30538f6a95de6,,qualitative_administrative,bargaining_leverage,"of employment for a collective bargaining agreement (“CBA”) that expired on May 31, ","of employment for a collective bargaining agreement (“cba”) that expired on may 31,",2,,,,,,,,1231,1315,"lage”) and the United Federation of Police Officers (Municipal Employees 
Unit (“MEU” or “Union”), which are seeking to negotiate renewal terms and conditions 
","
2009 and continued in effect.  The report provides findings of fact and recommendations 
for resolution of the parties’ impasse. 
  
MEU in Sleepy Hollow prese",Avon,NY,undated-source-B4X2500LIVE-20260729-001409,unclear,unclear,,direct_official_administrative_record,SPAN-QUAL-BARGAINING_LEVERAGE,deterministic-field-rules-2026-08-05-v1,administrative-field-dictionary-2026-08-05-v1,literal-parser-2026-08-05-v1,2026-08-05T21:54:22.020536+00:00,ambiguous_narrative_manual_review,ambiguous_narrative_manual_review,qualitative_narrative_requires_manual_or_future_model_review,ROOTCOMP-7f3da6a99285651f9427bbfa,MECHEXP-341fc34e0fecda9105bf19ad|MECHEXP-4dbc27da1c757cb0e176cfdb|MECHEXP-70ff4f6e9a8a4256527bc5cb|MECHEXP-9591f0f1b082679b0e3ef1ff|MECHEXP-faad3625e6fa48170ce329df,,claim_linkage_pending_reconstruction,upgrades_growth_analysis|upgrades_local_wage_comparison,external_search_wave_002_exhaustive_residual,pdf,payroll_roster,payroll_and_earnings,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/40/EXTPAYLOAD-0027da9767f30538f6a95de6.txt.gz,one_physical_extraction_result_deterministic_local_pass
EXTSPAN-c17f765657dc3dd982dd01f6,EXTPAYLOAD-0027da9767f30538f6a95de6,EXTEXTRACT-67b36dbb0a3b256e205366b8,EXTSOURCE-0027da9767f30538f6a95de6,EXTFIELD-d682337d83ef61ff3f769af4,implementation_confirmation,explicit_implementation_status,"of employment for a collective bargaining agreement (“CBA”) that expired on May 31, ","of employment for a collective bargaining agreement (“cba”) that expired on may 31,",2,,,,,,,,1231,1315,,,Avon,NY,undated-source-B4X2500LIVE-20260729-001409,unclear,unclear,expired,direct_official_administrative_record,FIELD-IMPLEMENTATION_CONFIRMATION-IMPLEMENTATION_STATUS,deterministic-field-rules-2026-08-05-v1,administrative-field-dictionary-2026-08-05-v1,literal-parser-2026-08-05-v1,2026-08-05T21:54:22.020536+00:00,weak_pattern_requires_review,weak_pattern_requires_review,implementation_lifecycle_context_requires_review,ROOTCOMP-7f3da6a99285651f9427bbfa,MECHEXP-341fc34e0fecda9105bf19ad|MECHEXP-4dbc27da1c757cb0e176cfdb|MECHEXP-70ff4f6e9a8a4256527bc5cb|MECHEXP-9591f0f1b082679b0e3ef1ff|MECHEXP-faad3625e6fa48170ce329df,,claim_linkage_pending_reconstruction,upgrades_growth_analysis|upgrades_local_wage_comparison,external_search_wave_002_exhaustive_residual,pdf,payroll_roster,payroll_and_earnings,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/40/EXTPAYLOAD-0027da9767f30538f6a95de6.txt.gz,one_physical_extraction_result_deterministic_local_pass
EXTSPAN-f247b8d153890a059c4a89f4,EXTPAYLOAD-0027da9767f30538f6a95de6,EXTEXTRACT-67b36dbb0a3b256e205366b8,EXTSOURCE-0027da9767f30538f6a95de6,EXTFIELD-527bbb3e558c1ef8f6e2eb58,payroll_and_earnings,explicit_unit,MEU in Sleepy Hollow presently consists of a unit with 3 employees: Recreation ,meu in sleepy hollow presently consists of a unit with 3 employees: recreation,2,,,,,,,,1449,1528,") that expired on May 31, 
2009 and continued in effect.  The report provides findings of fact and recommendations 
for resolution of the parties’ impasse. 
  
","
Supervisor, Court Clerk and Assistant Court Clerk. Certain other positions previously in 
the unit have either been abolished or their titles/work schedules ch",Avon,NY,undated-source-B4X2500LIVE-20260729-001409,unclear,unclear,,direct_official_administrative_record,FIELD-PAYROLL_AND_EARNINGS-UNIT,deterministic-field-rules-2026-08-05-v1,administrative-field-dictionary-2026-08-05-v1,literal-parser-2026-08-05-v1,2026-08-05T21:54:22.020536+00:00,exact_labeled_text,exact_labeled_text,,ROOTCOMP-7f3da6a99285651f9427bbfa,MECHEXP-341fc34e0fecda9105bf19ad|MECHEXP-4dbc27da1c757cb0e176cfdb|MECHEXP-70ff4f6e9a8a4256527bc5cb|MECHEXP-9591f0f1b082679b0e3ef1ff|MECHEXP-faad3625e6fa48170ce329df,,claim_linkage_pending_reconstruction,upgrades_growth_analysis|upgrades_local_wage_comparison,external_search_wave_002_exhaustive_residual,pdf,payroll_roster,payroll_and_earnings,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/40/EXTPAYLOAD-0027da9767f30538f6a95de6.txt.gz,one_physical_extraction_result_deterministic_local_pass
EXTSPAN-e9d259c64590e246317d57d0,EXTPAYLOAD-0027da9767f30538f6a95de6,EXTEXTRACT-67b36dbb0a3b256e205366b8,EXTSOURCE-0027da9767f30538f6a95de6,,qualitative_administrative,arbitration_pressure,"mediation, the UFPO (MEU) requested fact-finding on April 7, 2010 and the New York ","mediation, the ufpo (meu) requested fact-finding on april 7, 2010 and the new york",2,,,,,,,,2257,2340,"iator was appointed; after three mediation sessions in February/March 2010 
the parties were unable to resolve their differences.  Following the conclusion of 
","
State Public Employment Relations Board (“PERB”) appointed the undersigned as Fact 
Finder on May 3, 2010.  Because of a serious, debilitating injury to the Un",Avon,NY,undated-source-B4X2500LIVE-20260729-001409,unclear,unclear,,direct_official_administrative_record,SPAN-QUAL-ARBITRATION_PRESSURE,deterministic-field-rules-2026-08-05-v1,administrative-field-dictionary-2026-08-05-v1,literal-parser-2026-08-05-v1,2026-08-05T21:54:22.020536+00:00,ambiguous_narrative_manual_review,ambiguous_narrative_manual_review,qualitative_narrative_requires_manual_or_future_model_review,ROOTCOMP-7f3da6a99285651f9427bbfa,MECHEXP-341fc34e0fecda9105bf19ad|MECHEXP-4dbc27da1c757cb0e176cfdb|MECHEXP-70ff4f6e9a8a4256527bc5cb|MECHEXP-9591f0f1b082679b0e3ef1ff|MECHEXP-faad3625e6fa48170ce329df,,claim_linkage_pending_reconstruction,upgrades_growth_analysis|upgrades_local_wage_comparison,external_search_wave_002_exhaustive_residual,pdf,payroll_roster,payroll_and_earnings,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/40/EXTPAYLOAD-0027da9767f30538f6a95de6.txt.gz,one_physical_extraction_result_deterministic_local_pass
EXTSPAN-0125c70c9212fec1aad1e9d0,EXTPAYLOAD-0027da9767f30538f6a95de6,EXTEXTRACT-67b36dbb0a3b256e205366b8,EXTSOURCE-0027da9767f30538f6a95de6,,qualitative_administrative,arbitration_pressure,"A fact-finding hearing was held on November 16, 2010 in Sleepy Hollow Village Hall.  ","a fact-finding hearing was held on november 16, 2010 in sleepy hollow village hall.",2,,,,,,,,2628,2713,"s, debilitating injury to the Union attorney 
and his withdrawal from this matter, the hearing was delayed pending selection of a new 
attorney by the UFPO. 
 
","
The parties explained their positions, questioned each other and the Fact Finder sought 
clarification of certain issues.  Following the hearing, the record wa",Avon,NY,undated-source-B4X2500LIVE-20260729-001409,unclear,unclear,,direct_official_administrative_record,SPAN-QUAL-ARBITRATION_PRESSURE,deterministic-field-rules-2026-08-05-v1,administrative-field-dictionary-2026-08-05-v1,literal-parser-2026-08-05-v1,2026-08-05T21:54:22.020536+00:00,ambiguous_narrative_manual_review,ambiguous_narrative_manual_review,qualitative_narrative_requires_manual_or_future_model_review,ROOTCOMP-7f3da6a99285651f9427bbfa,MECHEXP-341fc34e0fecda9105bf19ad|MECHEXP-4dbc27da1c757cb0e176cfdb|MECHEXP-70ff4f6e9a8a4256527bc5cb|MECHEXP-9591f0f1b082679b0e3ef1ff|MECHEXP-faad3625e6fa48170ce329df,,claim_linkage_pending_reconstruction,upgrades_growth_analysis|upgrades_local_wage_comparison,external_search_wave_002_exhaustive_residual,pdf,payroll_roster,payroll_and_earnings,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/40/EXTPAYLOAD-0027da9767f30538f6a95de6.txt.gz,one_physical_extraction_result_deterministic_local_pass
EXTSPAN-8129f5d268f80a47c4af5f73,EXTPAYLOAD-0027da9767f30538f6a95de6,EXTEXTRACT-67b36dbb0a3b256e205366b8,EXTSOURCE-0027da9767f30538f6a95de6,EXTFIELD-9d72ae45bbc7131704be01ac,implementation_confirmation,explicit_expired,expired 1½  years ago.   Despite at least seven negotiating sessions and a mediation ,expired 1½ years ago. despite at least seven negotiating sessions and a mediation,3,,,,,,,,3325,3410,"ents about the negotiating relationship and history of the parties are 
helpful to understanding their positions.  We are discussing the renewal of a CBA that 
","
effort, the parties were not able to come to agreement.  During the hearings, it became 
apparent that the issues related to the structure and viability of the",Avon,NY,undated-source-B4X2500LIVE-20260729-001409,unclear,unclear,expired,direct_official_administrative_record,FIELD-IMPLEMENTATION_CONFIRMATION-EXPIRED,deterministic-field-rules-2026-08-05-v1,administrative-field-dictionary-2026-08-05-v1,literal-parser-2026-08-05-v1,2026-08-05T21:54:22.020536+00:00,exact_labeled_text,exact_labeled_text,,ROOTCOMP-7f3da6a99285651f9427bbfa,MECHEXP-341fc34e0fecda9105bf19ad|MECHEXP-4dbc27da1c757cb0e176cfdb|MECHEXP-70ff4f6e9a8a4256527bc5cb|MECHEXP-9591f0f1b082679b0e3ef1ff|MECHEXP-faad3625e6fa48170ce329df,,claim_linkage_pending_reconstruction,upgrades_growth_analysis|upgrades_local_wage_comparison,external_search_wave_002_exhaustive_residual,pdf,payroll_roster,payroll_and_earnings,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/40/EXTPAYLOAD-0027da9767f30538f6a95de6.txt.gz,one_physical_extraction_result_deterministic_local_pass
EXTSPAN-7e017efa5a474395d5d3298a,EXTPAYLOAD-0027da9767f30538f6a95de6,EXTEXTRACT-67b36dbb0a3b256e205366b8,EXTSOURCE-0027da9767f30538f6a95de6,EXTFIELD-5557e6f3fae1094a6a5af1e7,implementation_confirmation,explicit_implementation_status,expired 1½  years ago.   Despite at least seven negotiating sessions and a mediation ,expired 1½ years ago. despite at least seven negotiating sessions and a mediation,3,,,,,,,,3325,3410,,,Avon,NY,undated-source-B4X2500LIVE-20260729-001409,unclear,unclear,expired,direct_official_administrative_record,FIELD-IMPLEMENTATION_CONFIRMATION-IMPLEMENTATION_STATUS,deterministic-field-rules-2026-08-05-v1,administrative-field-dictionary-2026-08-05-v1,literal-parser-2026-08-05-v1,2026-08-05T21:54:22.020536+00:00,weak_pattern_requires_review,weak_pattern_requires_review,implementation_lifecycle_context_requires_review,ROOTCOMP-7f3da6a99285651f9427bbfa,MECHEXP-341fc34e0fecda9105bf19ad|MECHEXP-4dbc27da1c757cb0e176cfdb|MECHEXP-70ff4f6e9a8a4256527bc5cb|MECHEXP-9591f0f1b082679b0e3ef1ff|MECHEXP-faad3625e6fa48170ce329df,,claim_linkage_pending_reconstruction,upgrades_growth_analysis|upgrades_local_wage_comparison,external_search_wave_002_exhaustive_residual,pdf,payroll_roster,payroll_and_earnings,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/40/EXTPAYLOAD-0027da9767f30538f6a95de6.txt.gz,one_physical_extraction_result_deterministic_local_pass
EXTSPAN-2875bd0f04d25f85122ba5b6,EXTPAYLOAD-0027da9767f30538f6a95de6,EXTEXTRACT-67b36dbb0a3b256e205366b8,EXTSOURCE-0027da9767f30538f6a95de6,EXTFIELD-db3c9891d5896828fede68c5,implementation_confirmation,explicit_expired,"terms and conditions of employment.   The present CBA expired in May 2009, after a ","terms and conditions of employment. the present cba expired in may 2009, after a",3,,,,,,,,3687,3770,"lated to the structure and viability of the bargaining unit, the 
ability of the village to finance a settlement at the demand levels of the union, as well as 
","
four-year life.  The attachment to the fact-finding petition notes, “The only item agreed 
upon is a three year contract.”  The Fact Finder will make recommend",Avon,NY,undated-source-B4X2500LIVE-20260729-001409,unclear,unclear,expired,direct_official_administrative_record,FIELD-IMPLEMENTATION_CONFIRMATION-EXPIRED,deterministic-field-rules-2026-08-05-v1,administrative-field-dictionary-2026-08-05-v1,literal-parser-2026-08-05-v1,2026-08-05T21:54:22.020536+00:00,exact_labeled_text,exact_labeled_text,,ROOTCOMP-7f3da6a99285651f9427bbfa,MECHEXP-341fc34e0fecda9105bf19ad|MECHEXP-4dbc27da1c757cb0e176cfdb|MECHEXP-70ff4f6e9a8a4256527bc5cb|MECHEXP-9591f0f1b082679b0e3ef1ff|MECHEXP-faad3625e6fa48170ce329df,,claim_linkage_pending_reconstruction,upgrades_growth_analysis|upgrades_local_wage_comparison,external_search_wave_002_exhaustive_residual,pdf,payroll_roster,payroll_and_earnings,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/40/EXTPAYLOAD-0027da9767f30538f6a95de6.txt.gz,one_physical_extraction_result_deterministic_local_pass
EXTSPAN-97e46bc4ee33de90741e9fb0,EXTPAYLOAD-0027da9767f30538f6a95de6,EXTEXTRACT-67b36dbb0a3b256e205366b8,EXTSOURCE-0027da9767f30538f6a95de6,EXTFIELD-f5ab1b19ba41aa70301576e2,implementation_confirmation,explicit_implementation_status,"terms and conditions of employment.   The present CBA expired in May 2009, after a ","terms and conditions of employment. the present cba expired in may 2009, after a",3,,,,,,,,3687,3770,,,Avon,NY,undated-source-B4X2500LIVE-20260729-001409,unclear,unclear,expired,direct_official_administrative_record,FIELD-IMPLEMENTATION_CONFIRMATION-IMPLEMENTATION_STATUS,deterministic-field-rules-2026-08-05-v1,administrative-field-dictionary-2026-08-05-v1,literal-parser-2026-08-05-v1,2026-08-05T21:54:22.020536+00:00,weak_pattern_requires_review,weak_pattern_requires_review,implementation_lifecycle_context_requires_review,ROOTCOMP-7f3da6a99285651f9427bbfa,MECHEXP-341fc34e0fecda9105bf19ad|MECHEXP-4dbc27da1c757cb0e176cfdb|MECHEXP-70ff4f6e9a8a4256527bc5cb|MECHEXP-9591f0f1b082679b0e3ef1ff|MECHEXP-faad3625e6fa48170ce329df,,claim_linkage_pending_reconstruction,upgrades_growth_analysis|upgrades_local_wage_comparison,external_search_wave_002_exhaustive_residual,pdf,payroll_roster,payroll_and_earnings,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/40/EXTPAYLOAD-0027da9767f30538f6a95de6.txt.gz,one_physical_extraction_result_deterministic_local_pass
