canonical_payload_id,terminal_outcome,local_outcome_pointer
EXTPAYLOAD-0001d1c2c0d00a9d04d43cb9,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_005/outcomes.jsonl
EXTPAYLOAD-00036840dd1547c95ddf49b3,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_005/outcomes.jsonl
EXTPAYLOAD-001f6312d3c142563e4044fd,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_005/outcomes.jsonl
EXTPAYLOAD-00437bb92546727dc37ba255,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_005/outcomes.jsonl
EXTPAYLOAD-0079b97aaafbf6d8287ecb36,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_005/outcomes.jsonl
EXTPAYLOAD-0099935e48efcdcf57b9f5a8,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_005/outcomes.jsonl
EXTPAYLOAD-009b8316cff17deee889190d,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_005/outcomes.jsonl
EXTPAYLOAD-00b6f2731a31e347468531e1,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_005/outcomes.jsonl
EXTPAYLOAD-01125b58a67e2676d85db34d,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_005/outcomes.jsonl
EXTPAYLOAD-011289c779f8d4cebcccfd61,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_005/outcomes.jsonl
EXTPAYLOAD-0117ec5ec50ec09491a00da7,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_005/outcomes.jsonl
EXTPAYLOAD-0140eeb01ae042f934e1ed81,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_005/outcomes.jsonl
EXTPAYLOAD-0154b7025483656267e7e986,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_005/outcomes.jsonl
EXTPAYLOAD-0162f7b1bfa7141ceb5f7c69,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_005/outcomes.jsonl
EXTPAYLOAD-0167cc71e74ff7d0798abe16,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_005/outcomes.jsonl
EXTPAYLOAD-01a4c03f34a703f054153c0b,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_005/outcomes.jsonl
EXTPAYLOAD-01ab257f61f6de7d06e29ce6,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_005/outcomes.jsonl
EXTPAYLOAD-01add3797ba2ff33350e2fcc,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_005/outcomes.jsonl
