shard_id,pointer,row_count,bytes,sha256,ledger,lane_id,logical_filter,logical_row_count
observation_shard_0000,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_001/reconciliation_needs/observation_shard_0000.jsonl.gz,143749,2208725,54c0d2b7fac80acf2dc65429e5b8ec39faa67bd78377e9beff68021a155c9987,reconciliation_needs,ingestion_lane_001,unresolved_field=employee_or_position_identity,1876183
observation_shard_0001,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_001/reconciliation_needs/observation_shard_0001.jsonl.gz,149333,2232804,e126ff06b7e1a2207cd8dfe7f5ac4149a20e579aa7b415c78f3ef5f2e397a1e7,reconciliation_needs,ingestion_lane_001,unresolved_field=employee_or_position_identity,1876183
observation_shard_0002,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_001/reconciliation_needs/observation_shard_0002.jsonl.gz,142806,2210614,694d5ef2c3d2772dab36c896f0b5ca5fdfa869a2b8f577713411cbc177581806,reconciliation_needs,ingestion_lane_001,unresolved_field=employee_or_position_identity,1876183
observation_shard_0003,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_001/reconciliation_needs/observation_shard_0003.jsonl.gz,136939,2162951,277bb030cbf065df3a31d6601e3b8bbd6cab5d31ab6726305383c52595c47a92,reconciliation_needs,ingestion_lane_001,unresolved_field=employee_or_position_identity,1876183
observation_shard_0004,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_001/reconciliation_needs/observation_shard_0004.jsonl.gz,141020,2132044,6e7e991b1b74f763589e5e90dfb3de83f42d3fb7ac834552735c41388c5b1ba4,reconciliation_needs,ingestion_lane_001,unresolved_field=employee_or_position_identity,1876183
observation_shard_0005,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_001/reconciliation_needs/observation_shard_0005.jsonl.gz,157863,2113788,b1eb841e37a37878b5bb55e8094506fbc7f3e5aa45989817bc6ccd8f332937f6,reconciliation_needs,ingestion_lane_001,unresolved_field=employee_or_position_identity,1876183
observation_shard_0006,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_001/reconciliation_needs/observation_shard_0006.jsonl.gz,142384,2114259,d99d5c365868453616fce1f1d8b918c944ea7ec4691843724ed0e1a56a60aca6,reconciliation_needs,ingestion_lane_001,unresolved_field=employee_or_position_identity,1876183
observation_shard_0007,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_001/reconciliation_needs/observation_shard_0007.jsonl.gz,143077,2215012,63e4d4da583ce916e8a9d8e92d372129785e7aa496148c3e90c2fb1159dc3fcc,reconciliation_needs,ingestion_lane_001,unresolved_field=employee_or_position_identity,1876183
observation_shard_0008,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_001/reconciliation_needs/observation_shard_0008.jsonl.gz,135168,2069142,7bbfccc3f29b82167d35754427727b38ac307c231b556ff82157a7333f3bb271,reconciliation_needs,ingestion_lane_001,unresolved_field=employee_or_position_identity,1876183
observation_shard_0009,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_001/reconciliation_needs/observation_shard_0009.jsonl.gz,152083,2100323,78f2bc17109826cba6aa7ae79804c8524fe2e767ca4f01a8d1c72f461e0d20c3,reconciliation_needs,ingestion_lane_001,unresolved_field=employee_or_position_identity,1876183
observation_shard_0010,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_001/reconciliation_needs/observation_shard_0010.jsonl.gz,153234,2034769,2c2d3eee3e006a3b0e614fb4d3566221c3bb3c27ccc53b34a3ee65222bbbb15a,reconciliation_needs,ingestion_lane_001,unresolved_field=employee_or_position_identity,1876183
observation_shard_0011,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_001/reconciliation_needs/observation_shard_0011.jsonl.gz,142577,2077881,e49a1a131f9bcd53dc98b61dd2fc32460ee7f665df1cdc40f393ae7b90bc0159,reconciliation_needs,ingestion_lane_001,unresolved_field=employee_or_position_identity,1876183
observation_shard_0012,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_001/reconciliation_needs/observation_shard_0012.jsonl.gz,137072,2115190,2ccfa15324f54513f85f86eb90a8396e24922637cdfc20d159c8e7c91d34f643,reconciliation_needs,ingestion_lane_001,unresolved_field=employee_or_position_identity,1876183
observation_shard_0013,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_001/reconciliation_needs/observation_shard_0013.jsonl.gz,151579,2063819,bd1fd91ba9c2843db486404eee6a23873ba0db0fb78ea16473ed489d4619d144,reconciliation_needs,ingestion_lane_001,unresolved_field=employee_or_position_identity,1876183
observation_shard_0014,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_001/reconciliation_needs/observation_shard_0014.jsonl.gz,149041,2140530,578c595fc242940ef422db227b2378bd454c4942ec5ff0cfcb9ba1d16ddfe94e,reconciliation_needs,ingestion_lane_001,unresolved_field=employee_or_position_identity,1876183
observation_shard_0015,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_001/reconciliation_needs/observation_shard_0015.jsonl.gz,1433,23372,c67947fd455f681c7fcdd2bd0f8b1ada953059467acbcdeb96a7d7707252f3e7,reconciliation_needs,ingestion_lane_001,unresolved_field=employee_or_position_identity,1876183
observation_shard_0000,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/reconciliation_needs/observation_shard_0000.jsonl.gz,143998,2210734,c68efb100c3419bfae91bc2b5aa9b65b0310044f49f511f147367ebb7a03d4e1,reconciliation_needs,ingestion_lane_002,unresolved_field=employee_or_position_identity,1876183
observation_shard_0001,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/reconciliation_needs/observation_shard_0001.jsonl.gz,149043,2231157,b968fc9cc0ef70199455459fad308ef7cf07f0eeeb3cf44527b1fa2032faa7a3,reconciliation_needs,ingestion_lane_002,unresolved_field=employee_or_position_identity,1876183
observation_shard_0002,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/reconciliation_needs/observation_shard_0002.jsonl.gz,142919,2211815,2d2986104addc72c181527314afadf5e56bc0fda36f35057c05a83909f76053c,reconciliation_needs,ingestion_lane_002,unresolved_field=employee_or_position_identity,1876183
observation_shard_0003,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/reconciliation_needs/observation_shard_0003.jsonl.gz,137090,2166975,338f8d4a9d1f6bb3ec64393d3c5687c7b0200d78427e04c3bc191b2be58360a5,reconciliation_needs,ingestion_lane_002,unresolved_field=employee_or_position_identity,1876183
observation_shard_0004,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/reconciliation_needs/observation_shard_0004.jsonl.gz,141088,2133296,0dfa2a838815007f29c922c5ce2ca42ca3489f280c74e50c1170aac9a2f5c04c,reconciliation_needs,ingestion_lane_002,unresolved_field=employee_or_position_identity,1876183
observation_shard_0005,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/reconciliation_needs/observation_shard_0005.jsonl.gz,157826,2113782,e30114f3bc133032c60bc4cc95ff161bdb0a2ecde72508c002eaa6528fe25946,reconciliation_needs,ingestion_lane_002,unresolved_field=employee_or_position_identity,1876183
observation_shard_0006,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/reconciliation_needs/observation_shard_0006.jsonl.gz,142422,2114749,cca23a5f188fa2fe7d2fc37b84a9a34a844221fc42a4a43e06fd5b84f5026a18,reconciliation_needs,ingestion_lane_002,unresolved_field=employee_or_position_identity,1876183
observation_shard_0007,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/reconciliation_needs/observation_shard_0007.jsonl.gz,143049,2214328,84dc20d41560511070fb5e87d1cf6d9eac2052f16bfaa136c36128e9a9394dd1,reconciliation_needs,ingestion_lane_002,unresolved_field=employee_or_position_identity,1876183
observation_shard_0008,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/reconciliation_needs/observation_shard_0008.jsonl.gz,135042,2066624,4609ff885528f6b88f8ab0133d6d90bc94533eb176b1f139b079dc2f5a3656c2,reconciliation_needs,ingestion_lane_002,unresolved_field=employee_or_position_identity,1876183
observation_shard_0009,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/reconciliation_needs/observation_shard_0009.jsonl.gz,151983,2101303,d29dcba5b39ab3c8f19513dfa9bf3502fa4b944a5190c05da4903bcdb40f9ba4,reconciliation_needs,ingestion_lane_002,unresolved_field=employee_or_position_identity,1876183
observation_shard_0010,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/reconciliation_needs/observation_shard_0010.jsonl.gz,153262,2034911,bf2dab4062a744cbef77f781b41d1d0e29aa7803f0cf9f4e6ccc7be214303024,reconciliation_needs,ingestion_lane_002,unresolved_field=employee_or_position_identity,1876183
observation_shard_0011,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/reconciliation_needs/observation_shard_0011.jsonl.gz,142563,2077528,6ab54414842f3e596a7323ba002d06599ffba040d7c4328d316a67fc013d8f76,reconciliation_needs,ingestion_lane_002,unresolved_field=employee_or_position_identity,1876183
observation_shard_0012,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/reconciliation_needs/observation_shard_0012.jsonl.gz,137041,2114805,957bc0c702ad14e14d8a07916f189e8a905321be11110ef9f7f13799c9d051f9,reconciliation_needs,ingestion_lane_002,unresolved_field=employee_or_position_identity,1876183
observation_shard_0013,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/reconciliation_needs/observation_shard_0013.jsonl.gz,151864,2064821,caacd89a00d0533a099b01acbbb60a3f6a5d42d2f967b976b4029da4249b0922,reconciliation_needs,ingestion_lane_002,unresolved_field=employee_or_position_identity,1876183
observation_shard_0014,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/reconciliation_needs/observation_shard_0014.jsonl.gz,149175,2142384,8e84a2b04014d90f92f9a973b393009952e2cfe5eb8a9a518896c6e293523689,reconciliation_needs,ingestion_lane_002,unresolved_field=employee_or_position_identity,1876183
observation_shard_0015,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/reconciliation_needs/observation_shard_0015.jsonl.gz,1404,23231,54a031d0edf17589f496302b8574df24211ee3a9f8f4a5110e5625e9df5e6361,reconciliation_needs,ingestion_lane_002,unresolved_field=employee_or_position_identity,1876183
observation_shard_0000,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/reconciliation_needs/observation_shard_0000.jsonl.gz,143974,2209712,ddc41da0c716ac4d51b82798f29d277b8c30bfd79b11834bbec5a4375c65c897,reconciliation_needs,ingestion_lane_003,unresolved_field=employee_or_position_identity,1876183
observation_shard_0001,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/reconciliation_needs/observation_shard_0001.jsonl.gz,148841,2230317,9e6fe7e54601766174eef5106881be5fd05ea82092490050cc7e11fdfc31437f,reconciliation_needs,ingestion_lane_003,unresolved_field=employee_or_position_identity,1876183
observation_shard_0002,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/reconciliation_needs/observation_shard_0002.jsonl.gz,142940,2212449,ba788683f1fa9a13d53dafc2bec509d0d81b92d2b222a563a626a2e7ce903191,reconciliation_needs,ingestion_lane_003,unresolved_field=employee_or_position_identity,1876183
observation_shard_0003,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/reconciliation_needs/observation_shard_0003.jsonl.gz,136997,2168255,517e5b30641a3e468cc373c1583fc6d5d287cb107d6dc48d4bb45d987ee67d52,reconciliation_needs,ingestion_lane_003,unresolved_field=employee_or_position_identity,1876183
observation_shard_0004,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/reconciliation_needs/observation_shard_0004.jsonl.gz,141179,2132578,ce2092ffb4033cf1bba846c074a72e4049c62299659556e158d1a28b3cf738e1,reconciliation_needs,ingestion_lane_003,unresolved_field=employee_or_position_identity,1876183
observation_shard_0005,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/reconciliation_needs/observation_shard_0005.jsonl.gz,157884,2114484,ba1da89783b75ac82ad735353007865fa1d8dcf87834c3507d99e70f062f02c5,reconciliation_needs,ingestion_lane_003,unresolved_field=employee_or_position_identity,1876183
observation_shard_0006,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/reconciliation_needs/observation_shard_0006.jsonl.gz,142440,2115548,ad5e39edd22a5452f4fec2066615a22015986e745c2d8932e3c76e16edeb76b8,reconciliation_needs,ingestion_lane_003,unresolved_field=employee_or_position_identity,1876183
observation_shard_0007,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/reconciliation_needs/observation_shard_0007.jsonl.gz,143208,2214938,08b624fbb57e7294ef5127d4f7e0451e2721e991b1fd320ec44b75328ae97e2b,reconciliation_needs,ingestion_lane_003,unresolved_field=employee_or_position_identity,1876183
observation_shard_0008,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/reconciliation_needs/observation_shard_0008.jsonl.gz,134997,2065582,f1beb242f016dc989da27702e027816172a7ec73aba0290ce2de03a37d9bfb6c,reconciliation_needs,ingestion_lane_003,unresolved_field=employee_or_position_identity,1876183
observation_shard_0009,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/reconciliation_needs/observation_shard_0009.jsonl.gz,151897,2098729,14f0b3f24fd7cf23183f7eec0bacc7a57279084be6e646c6787925ec457a5ca5,reconciliation_needs,ingestion_lane_003,unresolved_field=employee_or_position_identity,1876183
observation_shard_0010,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/reconciliation_needs/observation_shard_0010.jsonl.gz,153185,2034546,32fb8c42a16b680925f3fe0464426d94af862daff41d927bf1a5f608fcf709a5,reconciliation_needs,ingestion_lane_003,unresolved_field=employee_or_position_identity,1876183
observation_shard_0011,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/reconciliation_needs/observation_shard_0011.jsonl.gz,142701,2078952,150ec6423d72d32c0a5eed03beee29387c4d5b6b58edc14766d31445bc26eaff,reconciliation_needs,ingestion_lane_003,unresolved_field=employee_or_position_identity,1876183
observation_shard_0012,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/reconciliation_needs/observation_shard_0012.jsonl.gz,137338,2117159,b116f555b225ad1fb815cb4c86030dd9bd08f59aeea44d1c94ebcee0bef00b15,reconciliation_needs,ingestion_lane_003,unresolved_field=employee_or_position_identity,1876183
observation_shard_0013,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/reconciliation_needs/observation_shard_0013.jsonl.gz,151797,2064674,7cac0dcafab7f3687d8ea4d97c2b67e338ab5a63a5c295f78f715a9ab01d4b35,reconciliation_needs,ingestion_lane_003,unresolved_field=employee_or_position_identity,1876183
observation_shard_0014,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/reconciliation_needs/observation_shard_0014.jsonl.gz,149182,2142779,ed98e322c5f1c21676c05aca822276f201a254ec6129804a1fc3838c4d4c52d4,reconciliation_needs,ingestion_lane_003,unresolved_field=employee_or_position_identity,1876183
observation_shard_0015,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/reconciliation_needs/observation_shard_0015.jsonl.gz,1438,23495,cb692e5edd6542f5c84f5c2b1c2ddd4aa498c2b708f12bf6cd6d617859578fbf,reconciliation_needs,ingestion_lane_003,unresolved_field=employee_or_position_identity,1876183
observation_shard_0000,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_004/reconciliation_needs/observation_shard_0000.jsonl.gz,143884,2210241,cfc56d9f412ca1a61ee2a2a65aa0da31cba8583bdeed0343dabb614a9b580676,reconciliation_needs,ingestion_lane_004,unresolved_field=employee_or_position_identity,1876183
observation_shard_0001,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_004/reconciliation_needs/observation_shard_0001.jsonl.gz,149005,2231279,adec0d66f2c7b82bd718a44decd9e8aca675a97a7d77d912620522c61773e09b,reconciliation_needs,ingestion_lane_004,unresolved_field=employee_or_position_identity,1876183
