qa_id,stratum,raw_value_preserved,unit_compatible,basis_compatible,period_compatible,side_integrity,formula_reproduces,conflict_excluded,source_independence,growth_identity_compatible,component_nonoverlap,counterexample_valid,no_premature_claiming,mechanical_not_human_gold
NORMQA-fc460cd9ce8623a312bdf840,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-893ec2610f18e2f3c4455830,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-0a56292a7bebd370e0c91d0c,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-3fab8f0a5f8113bc57b1fecf,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-c0018f6e8720c06a9afb7fcd,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-a3ae21f431930ac51d2709b2,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-2d3aa1b4cc40ff0fc3b5820f,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-d7b5865a6da7c26a80d49807,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-3debb40f5cd2abe8224f5c77,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-f0c3403a0df96cecd73ceef0,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-beb90f7dfa821a99ae48eade,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-a92fdd0769a2e5fddcd20a71,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-25e5e16f353c6933b5f182d5,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-a72f92ddef6e304bf64231d1,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-bc87706661d121d38bc5514a,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-cf113e5f873b8b9b60a0a5cc,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-89b41b221b21d8404eebb63f,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-39886c15c807efdbac751f2a,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-84963fe70d7a1d4831fa2b94,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-651c4212d28651e607562b1f,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-c2b7564ca551e5db0ed056a8,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-746bd960559a2c28d4af9b57,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-f15a2d47cfda815de88e9fd0,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-9663e9e602556bdf45fc3e41,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-940c7bc410a4abf9d6d3b450,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-62bd092d5f021db9905aa089,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-5b5d76274937d189148a4d21,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-992faea1319b79546520e014,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-b865e47912943c84b44ad3f2,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-7ee6c801a18e81f86072776e,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-895b70cc2c6d3e6c1684379a,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-1bcaf802b1611439516d3504,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-c803f83e9cb5c627f6828875,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-0660e89bd288f0a60f972f58,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
