call_type,candidate_source_count,failure_class,finished_at,input_tokens,lane_id,output_tokens,query,reasoning_tokens,response_id_present,retry_linkage,search_call_id,search_target_id,started_at,terminal_status,total_tokens
production_primary,18,,2026-08-04T23:04:02.306054+00:00,8701,external_search_lane_001,682,"""Newhalen"" ""AK"" ""2020"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study",124,True,,SEARCHCALL-9d7783c47b970105d539c422,EXTSEARCH-537e75ff807ab9f71b83765e,2026-08-04T23:03:55.370322+00:00,success,9383
production_primary,25,,2026-08-04T23:04:10.895441+00:00,8792,external_search_lane_001,1111,"""Hot Springs"" ""AR"" ""2024"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study",120,True,,SEARCHCALL-eef0b781b7eb0fcf4a385e2d,EXTSEARCH-86754b1e8dd9873196a07fb2,2026-08-04T23:04:02.307097+00:00,success,9903
production_primary,21,,2026-08-04T23:04:17.540472+00:00,7334,external_search_lane_001,764,"""Carmel-by-the-Sea"" ""CA"" ""2024"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study",132,True,,SEARCHCALL-74f55a414f33eb21bdba56b8,EXTSEARCH-42c6291331c8b2c267217669,2026-08-04T23:04:10.897912+00:00,success,8098
production_primary,23,,2026-08-04T23:04:25.412838+00:00,8717,external_search_lane_001,872,"""Sand City"" ""CA"" ""2020"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study",116,True,,SEARCHCALL-98c65363ff5a391c88f74387,EXTSEARCH-b43a574a80a079de45e4f09c,2026-08-04T23:04:17.543289+00:00,success,9589
production_primary,19,,2026-08-04T23:04:33.077487+00:00,8621,external_search_lane_001,911,"""Sand City"" ""CA"" ""2025"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study",99,True,,SEARCHCALL-5b5431bd425b459897ed3bd0,EXTSEARCH-4a611d888f573c1ba5fef06c,2026-08-04T23:04:25.416932+00:00,success,9532
production_primary,25,,2026-08-04T23:04:41.496316+00:00,8842,external_search_lane_001,1054,"""Waterford"" ""CA"" ""2025"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study",137,True,,SEARCHCALL-312f4eececcee9a1de9bbd0d,EXTSEARCH-8817d680fe1063b0fcfe77b2,2026-08-04T23:04:33.082669+00:00,success,9896
production_primary,5,,2026-08-04T23:04:48.758136+00:00,5340,external_search_lane_001,888,"""Wheatland"" ""CA"" ""2025"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study",121,True,,SEARCHCALL-122f3375b33dda1be4c1fef5,EXTSEARCH-be4a6e29f174152a8d0858bb,2026-08-04T23:04:41.501032+00:00,success,6228
production_primary,21,,2026-08-04T23:04:55.094391+00:00,8616,external_search_lane_001,700,"""Mountain Village"" ""CO"" ""2015"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study",134,True,,SEARCHCALL-6bd6baeb950467dd3f838587,EXTSEARCH-5cba036243bef3b3dc715c87,2026-08-04T23:04:48.763594+00:00,success,9316
production_primary,27,,2026-08-04T23:05:01.979337+00:00,8579,external_search_lane_001,707,"""Yampa"" ""CO"" ""2026"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study",105,True,,SEARCHCALL-2155a003d3f4a54810c4ba4d,EXTSEARCH-a3764d2fea626653d2303be1,2026-08-04T23:04:55.099836+00:00,success,9286
production_primary,11,,2026-08-04T23:05:11.725439+00:00,8666,external_search_lane_001,1077,"""Andover"" ""CT"" ""2024"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study",130,True,,SEARCHCALL-f56622d470174b3f1e7fdcff,EXTSEARCH-b8c0c3be116a136a8d749ae0,2026-08-04T23:05:01.990012+00:00,success,9743
production_primary,23,,2026-08-04T23:05:18.583090+00:00,8746,external_search_lane_001,768,"""New Hartford"" ""CT"" ""2014"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study",130,True,,SEARCHCALL-5f52bc25cc5e95859e45c1b6,EXTSEARCH-1f40737709e9291a0388268c,2026-08-04T23:05:11.732803+00:00,success,9514
production_primary,24,,2026-08-04T23:05:25.549501+00:00,8774,external_search_lane_001,809,"""Salisbury"" ""CT"" ""municipal"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study",114,True,,SEARCHCALL-8b5a4c601b0fee478f0ee9f5,EXTSEARCH-d9256612618cf5c54707edd2,2026-08-04T23:05:18.591544+00:00,success,9583
production_primary,26,,2026-08-04T23:05:35.367792+00:00,12811,external_search_lane_001,941,"""Vernon"" ""CT"" ""municipal"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study",245,True,,SEARCHCALL-d118a62081a91f1f53311baf,EXTSEARCH-fe1ff96aa6430099a9531e23,2026-08-04T23:05:25.559003+00:00,success,13752
production_primary,28,,2026-08-04T23:05:41.427871+00:00,8800,external_search_lane_001,691,"""Holly Hill"" ""FL"" ""municipal"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study",107,True,,SEARCHCALL-fe7ad4bda5852c723249c44d,EXTSEARCH-4b545dd9f5f7b601d7427439,2026-08-04T23:05:35.377113+00:00,success,9491
production_primary,11,,2026-08-04T23:05:51.231492+00:00,8509,external_search_lane_001,1232,"""Key Colony Beach"" ""FL"" ""2025"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study",122,True,,SEARCHCALL-9a500178f8e1bb03f7d4f4f2,EXTSEARCH-5ab0e2349a98514769e5d140,2026-08-04T23:05:41.438246+00:00,success,9741
production_primary,24,,2026-08-04T23:06:00.728383+00:00,8787,external_search_lane_001,1316,"""Chattahoochee Hills"" ""GA"" ""2022"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study",138,True,,SEARCHCALL-a53db27feab0957b46e14eb6,EXTSEARCH-abed06d3d9a407d5466cd239,2026-08-04T23:05:51.243094+00:00,success,10103
production_primary,13,,2026-08-04T23:06:09.390496+00:00,8745,external_search_lane_001,1069,"""Pinehurst"" ""GA"" ""2024"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study",124,True,,SEARCHCALL-3493cf7181cb6f97146936b8,EXTSEARCH-395eaf1eaa1e941612a39eab,2026-08-04T23:06:00.739418+00:00,success,9814
production_primary,18,,2026-08-04T23:06:18.374559+00:00,8699,external_search_lane_001,814,"""Colo"" ""IA"" ""2015"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study",122,True,,SEARCHCALL-944a01bbe4d4f501c064069c,EXTSEARCH-462774d48e53776226dd45a2,2026-08-04T23:06:09.401417+00:00,success,9513
production_primary,22,,2026-08-04T23:06:25.840869+00:00,8724,external_search_lane_001,872,"""Elk Horn"" ""IA"" ""2026"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study",127,True,,SEARCHCALL-0cc85cfb547597a75a34e5c2,EXTSEARCH-2dd3edd842757d26d97b6955,2026-08-04T23:06:18.386747+00:00,success,9596
