mechanism_exposure_event_id,root_compensation_event_id,municipality,state,region,compensation_cycle_id,mechanism_family,mechanism_tag,side,implementation_status,implementation_confidence,recurring_or_one_time,corroborating_source_count,technical_lineage,linked_root_compensation_event_ids,linked_root_count
MECHEXP-25756ef0f05671142aebd86f,ROOTCOMP-d6fefb719f3dacf660eaa5e1,Chignik,AK,West,undated-source-B4X2500LIVE-20260729-009821,institutional_channel,ordinance_council_adoption,remains_unclear,formally_adopted,high,not_applicable,0,"[""WCM-62ab03d4a876b33b63946265""]",ROOTCOMP-d6fefb719f3dacf660eaa5e1,1
MECHEXP-eeee5738e339a2aa841c1af6,ROOTCOMP-d6fefb719f3dacf660eaa5e1,Chignik,AK,West,undated-source-B4X2500LIVE-20260729-009821,compensation_outcome,retroactive_pay,remains_unclear,formally_adopted,high,not_applicable,0,"[""WCM-62ab03d4a876b33b63946265""]",ROOTCOMP-d6fefb719f3dacf660eaa5e1,1
MECHEXP-f304eabd5126e8b1b1a00973,ROOTCOMP-d6fefb719f3dacf660eaa5e1,Chignik,AK,West,undated-source-B4X2500LIVE-20260729-009821,timing_implementation,ordinance_adoption,remains_unclear,formally_adopted,high,not_applicable,0,"[""WCM-62ab03d4a876b33b63946265""]",ROOTCOMP-d6fefb719f3dacf660eaa5e1,1
MECHEXP-5466a98c1730d03971e66d09,ROOTCOMP-d6fefb719f3dacf660eaa5e1,Chignik,AK,West,undated-source-B4X2500LIVE-20260729-009821,timing_implementation,payroll_effective_date,remains_unclear,formally_adopted,high,not_applicable,0,"[""WCM-62ab03d4a876b33b63946265""]",ROOTCOMP-d6fefb719f3dacf660eaa5e1,1
MECHEXP-4823d48bddec2a74409f14d8,ROOTCOMP-d6fefb719f3dacf660eaa5e1,Chignik,AK,West,undated-source-B4X2500LIVE-20260729-009821,timing_implementation,retroactive,remains_unclear,formally_adopted,high,not_applicable,0,"[""WCM-62ab03d4a876b33b63946265""]",ROOTCOMP-d6fefb719f3dacf660eaa5e1,1
MECHEXP-2f2eafa1879a43f69757bb3a,ROOTCOMP-d6fefb719f3dacf660eaa5e1,Chignik,AK,West,undated-source-B4X2500LIVE-20260729-009821,pressure_channel,none_identified,remains_unclear,formally_adopted,high,not_applicable,0,"[""WCM-62ab03d4a876b33b63946265""]",ROOTCOMP-d6fefb719f3dacf660eaa5e1,1
MECHEXP-5b07257bb2b86260ad522462,ROOTCOMP-1270a740fa570d096bb60983,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,institutional_channel,ordinance_council_adoption,remains_unclear,implemented,high,percentage_adjustment,0,"[""WCM-0b4900ef93b47c44574564c3"",""WCM-0c3c3c8a3061e5f667318b49"",""WCM-61f989b569fd91ff50693dfc""]",ROOTCOMP-1270a740fa570d096bb60983,1
MECHEXP-da7f2f68c8a3d62614ae74b5,ROOTCOMP-1270a740fa570d096bb60983,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,compensation_outcome,across_the_board_raise,remains_unclear,implemented,high,percentage_adjustment,0,"[""WCM-0b4900ef93b47c44574564c3"",""WCM-0c3c3c8a3061e5f667318b49"",""WCM-61f989b569fd91ff50693dfc""]",ROOTCOMP-1270a740fa570d096bb60983,1
MECHEXP-52f7f1b7743c4c1a4e21560d,ROOTCOMP-1270a740fa570d096bb60983,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,timing_implementation,recurring,remains_unclear,implemented,high,percentage_adjustment,0,"[""WCM-0b4900ef93b47c44574564c3"",""WCM-0c3c3c8a3061e5f667318b49"",""WCM-61f989b569fd91ff50693dfc""]",ROOTCOMP-1270a740fa570d096bb60983,1
MECHEXP-67856a733785676ffeda03b3,ROOTCOMP-1270a740fa570d096bb60983,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,pressure_channel,none_identified,remains_unclear,implemented,high,percentage_adjustment,0,"[""WCM-0b4900ef93b47c44574564c3"",""WCM-0c3c3c8a3061e5f667318b49"",""WCM-61f989b569fd91ff50693dfc""]",ROOTCOMP-1270a740fa570d096bb60983|ROOTCOMP-66773447e6a05796c9613a66,2
MECHEXP-889364e73dc1ca117e3e50eb,ROOTCOMP-31925e7a7b94d67d6bba46c3,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,institutional_channel,budget_pay_plan_process,side_independent,formally_adopted,high,scheduled_step,0,"[""WCM-49e4d62cc2ddfff18fc7c878""]",ROOTCOMP-31925e7a7b94d67d6bba46c3,1
MECHEXP-8933896c04c74c3f3dc51745,ROOTCOMP-31925e7a7b94d67d6bba46c3,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,institutional_channel,ordinance_council_adoption,side_independent,formally_adopted,high,scheduled_step,0,"[""WCM-49e4d62cc2ddfff18fc7c878""]",ROOTCOMP-31925e7a7b94d67d6bba46c3,1
MECHEXP-dbdb2dec35acc76c517beab3,ROOTCOMP-31925e7a7b94d67d6bba46c3,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,compensation_outcome,step_progression,side_independent,formally_adopted,high,scheduled_step,0,"[""WCM-49e4d62cc2ddfff18fc7c878""]",ROOTCOMP-31925e7a7b94d67d6bba46c3,1
