claim_id,evidence_id,evidence_link_id,evidence_role,material,source_pointer,tier
CLAIM-B,WCCPEX-fa637add09963a080b3734e2,EVLINK-9cef0978ef66fb426297044b,supplementary_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-B,WCCPEX-c85689d111d6649da0624c40,EVLINK-84e35461c3fbbc8a288d983e,supplementary_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-G,WCCPEX-f2fd6f6f10b7f68fc611502d,EVLINK-d3f0c2bfda60dcd726e07120,supplementary_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-G,WCCPEX-04b78c315901ed753adfaafc,EVLINK-cab1a9d670b4768cf52f7a6b,supplementary_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-G,WCCPEX-b7717536d2561f66db0ced52,EVLINK-d5805e96c6f4e12955e348db,supplementary_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-G,WCCPEX-620023a75d044a4d722b9ff0,EVLINK-9cc2143ad3e0f043a3bea08d,supplementary_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-G,WCCPEX-80dbbcb3f4d246dc7abfaaef,EVLINK-88ceffc3933ff41b61e63edf,supplementary_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-G,WCCPEX-50ce521ead120927aeb6428f,EVLINK-b2a5f59fbf644a501dc9bcd5,supplementary_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-D,WCCPEX-cfdab14887d017045b0994c6,EVLINK-9ca118e0ed384deee268291f,supplementary_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-D,WCCPEX-84fda55ff83131f374bb944f,EVLINK-bab6dfbf912d7b535f97ee08,supplementary_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-A,WCCPEX-c50f28536893cd93aa5a787c,EVLINK-8fc968ff5b7660a176130a5d,supplementary_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-A,WCCPEX-9002228502ce09035b47f850,EVLINK-026da8a427a91e9eb82e82b2,supplementary_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-A,WCCPEX-f9fc40ff1c1507df5ef0c2fc,EVLINK-adaf1bcd2dffc19e76cfd49f,supplementary_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-A,WCCPEX-4c27a8c5b48512597d9835de,EVLINK-b9b242e64acf1871d3d78cca,supplementary_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-F,WCCPEX-6e0a5f498b3ab5fea3275c6c,EVLINK-a8f70882557de5b55e48da63,supplementary_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-F,WCCPEX-9484c5ee48320bc2c57fca84,EVLINK-25ddfe9706439a038447902c,supplementary_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-F,WCCPEX-c24569c6bd53381699bae3b1,EVLINK-5c69c563f175587f1f93677c,supplementary_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-F,WCCPEX-caedb9df9638617877d52c61,EVLINK-ab300fb9fd108dba1c6934a2,supplementary_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-H,WCCPEX-605e55a2877ed56999fd1d6a,EVLINK-35f9921e54ebf9a7cb6b265e,supplementary_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-H,WCCPEX-a443067e1aa2cb1c4e72dce3,EVLINK-e17e06c918755252ba84d2b9,supplementary_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-H,WCCPEX-80dbbcb3f4d246dc7abfaaef,EVLINK-b40fd9b44b2375500211fe4e,supplementary_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-H,WCCPEX-fe047165d32196d00caf2864,EVLINK-2a66453955b8f5d301fd58a6,supplementary_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-H,WCCPEX-d2fabc32027cdf0d9f2d46df,EVLINK-30e84d7657a1eb54c77fb6da,supplementary_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-H,WCCPEX-74306cd723a39a8fdecaf5dd,EVLINK-65692a37db7baca5ddd24c54,supplementary_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
CLAIM-H,WCCPEX-8e43bbcb8fd2a422e8c1776c,EVLINK-ea2f87e44ba167a2ab7307a2,supplementary_support,True,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/internal_causal_mechanism_claim_package.json,Tier 1
