mechanism,raw_linked_rows_not_prevalence,unique_claims,unique_mechanism_events,unique_municipalities,unique_root_events,unique_sources
across_the_board_raise,1876183,6,3129,307,785,2526
bargaining_leverage,1876183,6,173,15,43,123
base_wage_change,1876183,6,1268,97,252,723
benefit_cost_change,1876183,6,842,63,189,485
budget_appropriation,1876183,6,592,61,110,515
budget_pay_plan_process,1876183,6,3714,390,839,3738
classification_band_change,1876183,6,407,40,93,311
classification_civil_service,1876183,4,17,2,4,6
cola_cpi_adjustment,1876183,6,805,59,176,450
collective_bargaining,1876183,6,173,15,43,123
comparability_parity,1876183,4,44,6,10,35
contract_ratification,1876183,6,99,10,21,66
fiscal_constraint,1876183,6,3709,390,840,3657
holiday_pay,1876183,6,237,19,53,199
inflation_indexing,1876183,5,459,19,108,77
interest_arbitration,1876183,1,20,2,5,4
longevity,1876183,5,611,30,144,181
lump_sum,1876183,6,153,16,41,150
market_recruitment_retention,1876183,6,573,37,132,266
no_direct_compensation_outcome,1876183,6,3411,370,805,3464
non_base_compensation_other,1876183,6,2109,198,524,1701
none_identified,1876183,6,9882,1077,2211,10609
one_time,1876183,6,2479,229,561,1701
ordinance_adoption,1876183,6,1825,189,381,1523
ordinance_council_adoption,1876183,6,2037,218,421,1751
overtime,1876183,6,554,38,133,327
payroll_effective_date,1876183,6,9615,1051,2127,10320
recurring,1876183,6,5069,491,1190,4252
reimbursement,1876183,4,52,6,11,35
retroactive,1876183,6,8249,871,1795,8084
retroactive_pay,1876183,6,8249,871,1795,8084
salary_range_change,1876183,6,84,12,17,57
settlement_or_mou,1876183,6,506,49,113,352
step_progression,1876183,6,787,70,182,745
stipend_or_premium,1876183,6,707,45,172,336
unclear,1876183,6,1471,130,352,1108
uniform_or_equipment_allowance,1876183,6,796,56,197,326
vacancy_pressure,1876183,6,349,10,79,92
