mechanism,unique_root_events,unique_mechanism_events,corroborating_sources_not_events
across_the_board_raise,785,3129,True
bargaining_leverage,43,173,True
base_wage_change,252,1268,True
benefit_cost_change,189,842,True
budget_appropriation,110,592,True
budget_pay_plan_process,839,3714,True
classification_band_change,93,407,True
classification_civil_service,4,17,True
cola_cpi_adjustment,176,805,True
collective_bargaining,43,173,True
comparability_parity,10,44,True
contract_ratification,21,99,True
fiscal_constraint,840,3709,True
holiday_pay,53,237,True
inflation_indexing,108,459,True
interest_arbitration,5,20,True
longevity,144,611,True
lump_sum,41,153,True
market_recruitment_retention,132,573,True
no_direct_compensation_outcome,805,3411,True
non_base_compensation_other,524,2109,True
none_identified,2211,9882,True
one_time,561,2479,True
ordinance_adoption,381,1825,True
ordinance_council_adoption,421,2037,True
overtime,133,554,True
payroll_effective_date,2127,9615,True
recurring,1190,5069,True
reimbursement,11,52,True
retroactive,1795,8249,True
retroactive_pay,1795,8249,True
salary_range_change,17,84,True
settlement_or_mou,113,506,True
step_progression,182,787,True
stipend_or_premium,172,707,True
unclear,352,1471,True
uniform_or_equipment_allowance,197,796,True
vacancy_pressure,79,349,True
