mechanism,unique_municipalities,analytical_unit
across_the_board_raise,307,canonical municipality
bargaining_leverage,15,canonical municipality
base_wage_change,97,canonical municipality
benefit_cost_change,63,canonical municipality
budget_appropriation,61,canonical municipality
budget_pay_plan_process,390,canonical municipality
classification_band_change,40,canonical municipality
classification_civil_service,2,canonical municipality
cola_cpi_adjustment,59,canonical municipality
collective_bargaining,15,canonical municipality
comparability_parity,6,canonical municipality
contract_ratification,10,canonical municipality
fiscal_constraint,390,canonical municipality
holiday_pay,19,canonical municipality
inflation_indexing,19,canonical municipality
interest_arbitration,2,canonical municipality
longevity,30,canonical municipality
lump_sum,16,canonical municipality
market_recruitment_retention,37,canonical municipality
no_direct_compensation_outcome,370,canonical municipality
non_base_compensation_other,198,canonical municipality
none_identified,1077,canonical municipality
one_time,229,canonical municipality
ordinance_adoption,189,canonical municipality
ordinance_council_adoption,218,canonical municipality
overtime,38,canonical municipality
payroll_effective_date,1051,canonical municipality
recurring,491,canonical municipality
reimbursement,6,canonical municipality
retroactive,871,canonical municipality
retroactive_pay,871,canonical municipality
salary_range_change,12,canonical municipality
settlement_or_mou,49,canonical municipality
step_progression,70,canonical municipality
stipend_or_premium,45,canonical municipality
unclear,130,canonical municipality
uniform_or_equipment_allowance,56,canonical municipality
vacancy_pressure,10,canonical municipality
