analytical_unit,channel_classification_basis,claim_ids,department,external_staffing_unit_id,field_name,hypothesis_class,municipality,normalized_value,observation_id,observation_type,period,raw_value,side,source_SHA_256,source_coordinate_input_sha256,staffing_hypothesis_type,terminal_match_status,unit
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,police,EXTSTAFF-6001f57c2aea5793676d14ff,vacant_positions,supports_safety_pressure_channel,cog_2025_131439,-24,EXTRECON-0c4c50b0e29f00736546ed70,vacant_position_observation,2024,-24,police,a56bddfb8482e2b9a2fd219f050767dc289ab5a2c7c1e835925e7aac394fab60,180202e4b005a601ec5b417c959db5854f001f587080513038f08c149aeca224,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,police,EXTSTAFF-00c3153dfd535c865585de59,vacant_positions,supports_safety_pressure_channel,cog_2025_209122,16,EXTRECON-c9d8efc5557050e441381190,vacant_position_observation,2024,16%,police,3850d2c2de89ea5384a5411759c22417670ee2f094294f40bd8a2c665d5de167,91cf274761b592ee0e35c5aa5b7ef2aa9d41899674486009cf5f3b51dfa01d5a,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,police,EXTSTAFF-4c00657167bbcc8dc1c7dfdd,vacant_positions,supports_safety_pressure_channel,cog_2025_225354,2021,EXTRECON-900a2bb89de325ba879bc077,vacant_position_observation,2022,2021,police,eb7e3c3624ba6feb74e1721e85e1ffcf9268e14875c38b6629d5811d3ee20e53,9671224c1f8addc4a8140271473bba8f3f324594cb0c58a3d983ac086ade4075,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,,police,EXTSTAFF-56ce436ea6f9c64847cebd77,vacancy_rate_explicit,supports_safety_pressure_channel,cog_2025_204767,37,EXTRECON-8c7149d3e7f22bb74962c085,vacant_position_observation,undated,37%,police,8dc4c1e71bdbb0bb66780c53d3b5c8538086128a64f5513eae9d9250adf754da,1a9ae359dfd301f63860fc1b284635d0cd538d3377df8b0a6b5bd1b729f0adef,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,fire,EXTSTAFF-cfad6639e962104b7a31b683,vacant_positions,supports_safety_pressure_channel,cog_2025_184103,8.1,EXTRECON-adcb2e92ebe941524c8defc1,vacant_position_observation,undated-source-B4X2500LIVE-20260729-008912,8.1%,fire,78be025517b14695592d4588e862498b297ca4405422bd6cd49985f6d40cd8ea,1c57cf61290f41f6aeb188c9478f47113ed1a50de42ed444a8afd3f715cc04a5,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,fire,EXTSTAFF-da302b26125279e8e38b479a,vacant_positions,supports_safety_pressure_channel,cog_2025_184103,12,EXTRECON-5fc22009fd198785de343926,vacant_position_observation,undated-source-B4X2500LIVE-20260729-008912,12,fire,78be025517b14695592d4588e862498b297ca4405422bd6cd49985f6d40cd8ea,1856c76fe646849431be73eb1226c4e67e8789f32366e7538c104eda8991b40b,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,,police,EXTSTAFF-23e9ab8eefa3b56b6e8d2de1,vacancy_rate_explicit,supports_safety_pressure_channel,cog_2025_161291,18,EXTRECON-53e50adbc3f42afe4d18c914,vacant_position_observation,2025,18,police,37dc12a6a55b70db8d52049fa0b02c70914489d74b6dc6a360bfbaa63345da15,281cb0b875e6d2e8373db42d3fbf46fd8b50ee5e9b5a74ef1b6de3e42a193aa6,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,police,EXTSTAFF-08c7f725556524c85609460b,vacant_positions,supports_safety_pressure_channel,cog_2025_171041,30.6,EXTRECON-4b57905b9e39ea802c997727,vacant_position_observation,2025,30.6,police,dba0d12b89c019c020244ca3717c09f3430264e634acaab4148b750d838eb653,044552e841057696b56fd3d9b468ea39afb65b8acf09370fefb81f7273393bca,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,police,EXTSTAFF-6f35aac8f0bd4d87769445be,vacant_positions,supports_safety_pressure_channel,cog_2025_170489,200000,EXTRECON-dbcacd1d53964a59d083441a,vacant_position_observation,2024,"$200,000",police,0fce1bf191f3545a1f782d6307afe2e69a581340c44773f87bfe402195302abb,a25077f8b80d9196c4981caf02fe7e5c0cf8e912a1269067c7b39d4b9add9902,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,,police,EXTSTAFF-037c23440f6866f2e44147fc,vacancy_rate_explicit,supports_safety_pressure_channel,cog_2025_207913,2024,EXTRECON-71d3ed5e869d2ef70bda5eff,vacant_position_observation,2021,2024,police,cb37fefa7ca38f6e0189e33fab2045dab79bb753730d60442999e87d121b7e5e,f1e91a73e3c551bb737d3b9c563713dafb68f95c7acb3e1e1878f46c952bb6a1,vacancy_without_elimination,matched_staffing_ready,
