state,deduplicated_implementation_events,analytical_unit
AK,11,implementation event
AL,6,implementation event
AR,7,implementation event
CA,59,implementation event
CO,12,implementation event
CT,14,implementation event
FL,28,implementation event
GA,18,implementation event
IA,46,implementation event
ID,6,implementation event
IL,200,implementation event
IN,59,implementation event
KS,33,implementation event
KY,17,implementation event
LA,13,implementation event
MA,37,implementation event
MD,1,implementation event
ME,31,implementation event
MI,246,implementation event
MN,203,implementation event
MO,15,implementation event
MS,1,implementation event
NC,82,implementation event
ND,12,implementation event
NE,19,implementation event
NH,9,implementation event
NJ,181,implementation event
NY,420,implementation event
OH,645,implementation event
OK,15,implementation event
OR,4,implementation event
PA,173,implementation event
SC,4,implementation event
SD,24,implementation event
TN,26,implementation event
TX,67,implementation event
UT,8,implementation event
VA,1,implementation event
VT,19,implementation event
WA,21,implementation event
WI,204,implementation event
WV,1,implementation event
