figure_id,data_reproduction,analytical_unit,evidence_tier,claim_wording,counterexample_handling,conflict_exclusion,caption,export,status
mechanism-across-the-board-raise,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-bargaining-leverage,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-base-wage-change,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-benefit-cost-change,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-budget-appropriation,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-budget-pay-plan-process,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-classification-band-change,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-classification-civil-service,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-cola-cpi-adjustment,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-collective-bargaining,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-comparability-parity,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-contract-ratification,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-fiscal-constraint,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-holiday-pay,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-inflation-indexing,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-interest-arbitration,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-longevity,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-lump-sum,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-market-recruitment-retention,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-no-direct-compensation-outcome,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-non-base-compensation-other,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-none-identified,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-one-time,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-ordinance-adoption,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-ordinance-council-adoption,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-overtime,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-payroll-effective-date,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-recurring,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-reimbursement,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-retroactive-pay,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-retroactive,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-salary-range-change,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-settlement-or-mou,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-step-progression,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-stipend-or-premium,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-unclear,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-uniform-or-equipment-allowance,pass,pass,pass,pass,pass,pass,pass,pass,pass
mechanism-vacancy-pressure,pass,pass,pass,pass,pass,pass,pass,pass,pass
claim-card-claim-a,pass,pass,pass,pass,pass,pass,pass,pass,pass
claim-card-claim-b,pass,pass,pass,pass,pass,pass,pass,pass,pass
claim-card-claim-c,pass,pass,pass,pass,pass,pass,pass,pass,pass
claim-card-claim-d,pass,pass,pass,pass,pass,pass,pass,pass,pass
claim-card-claim-e,pass,pass,pass,pass,pass,pass,pass,pass,pass
claim-card-claim-f,pass,pass,pass,pass,pass,pass,pass,pass,pass
claim-card-claim-g,pass,pass,pass,pass,pass,pass,pass,pass,pass
claim-card-claim-h,pass,pass,pass,pass,pass,pass,pass,pass,pass
claim-card-unsup-01,pass,pass,pass,pass,pass,pass,pass,pass,pass
claim-card-unsup-02,pass,pass,pass,pass,pass,pass,pass,pass,pass
claim-card-unsup-03,pass,pass,pass,pass,pass,pass,pass,pass,pass
claim-card-unsup-04,pass,pass,pass,pass,pass,pass,pass,pass,pass
claim-card-unsup-05,pass,pass,pass,pass,pass,pass,pass,pass,pass
claim-card-unsup-06,pass,pass,pass,pass,pass,pass,pass,pass,pass
analytical-design-limits,pass,pass,pass,pass,pass,pass,pass,pass,pass
comparability-limits,pass,pass,pass,pass,pass,pass,pass,pass,pass
coverage-representativeness-limits,pass,pass,pass,pass,pass,pass,pass,pass,pass
evidence-discovery-limits,pass,pass,pass,pass,pass,pass,pass,pass,pass
extraction-limits,pass,pass,pass,pass,pass,pass,pass,pass,pass
failed-attempts-repair-timeline,pass,pass,pass,pass,pass,pass,pass,pass,pass
final-evidence-boundary,pass,pass,pass,pass,pass,pass,pass,pass,pass
raw-to-compacted-limits,pass,pass,pass,pass,pass,pass,pass,pass,pass
review-limits,pass,pass,pass,pass,pass,pass,pass,pass,pass
storage-retention-limits,pass,pass,pass,pass,pass,pass,pass,pass,pass
error-recovery-timeline,pass,pass,pass,pass,pass,pass,pass,pass,pass
full-workflow-overview,pass,pass,pass,pass,pass,pass,pass,pass,pass
human-ai-division-of-work,pass,pass,pass,pass,pass,pass,pass,pass,pass
strict-bounded-evidence-lanes,pass,pass,pass,pass,pass,pass,pass,pass,pass
