mechanism_record_id,source_layer,original_record_id,municipality,state,side_label,mechanism_class,mechanism_strength,claim_boundary,source_lineage,no_causal_claim
WCM-01fdcd9fe2ac485543bd2533,initial_4726_source_pipeline,WCRS-5de6b1e59b18a2e8ffb42534,,,remains_unclear,non_base_compensation,moderate,mechanism_only,lobs_002c1605061ebac04849affa,true
WCM-8f2bf1a1b98d40c5bffaf1ab,initial_4726_source_pipeline,WCRS-5c38c6fae4818232f9d9019c,,,remains_unclear,retroactivity_implementation,moderate,mechanism_only,lobs_0061e768a4924ce0613c5725,true
WCM-ee790a5c94bcd6654f25be52,initial_4726_source_pipeline,WCRS-2e3620688d8e92cd1b2d8ed8,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_00dcd4d701faa49826d0585f,true
WCM-3e0f93422cc9338c697b0876,initial_4726_source_pipeline,WCRS-d3cbd24e767ad4813c973226,,,remains_unclear,retroactivity_implementation,moderate,mechanism_only,lobs_01c6e8860b466aa692232fb9,true
WCM-6bd164503c1ee15633a2c6dd,initial_4726_source_pipeline,WCRS-bf10fe13bec34ea881efdf04,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_01cf4dde9a822739e8c3a74b,true
WCM-a5395ca868fde9bdf50e54a5,initial_4726_source_pipeline,WCRS-d079ea8dfee64ec30af7432e,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_01d00a56e42bc6a4aef8fda3,true
WCM-e8282d61be790bed965a74e7,initial_4726_source_pipeline,WCRS-8fc10ef3bd85209f0df1240b,,,remains_unclear,cola_cpi_indexing,weak,mechanism_only,lobs_01fde53ca68eab05b472dac3,true
WCM-cd76f2e420975d2c9e923f97,initial_4726_source_pipeline,WCRS-0cebba8169a538953f3cf234,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_0225ab3abe275717ae62b033,true
WCM-573342041c2b7ce8607501bc,initial_4726_source_pipeline,WCRS-424b4c62c1ab12264f855502,,,remains_unclear,cola_cpi_indexing,moderate,mechanism_only,lobs_0243e0cd2d60f9c9fd4c0959,true
WCM-db826541af62ea996ab7904e,initial_4726_source_pipeline,WCRS-07c1e6eb87e485eec1afdaa2,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_028611b71918af6461eeb646,true
WCM-4349d2c20b4fbb5f43cc824e,initial_4726_source_pipeline,WCRS-106f9578110df1d61b86eb2d,,,remains_unclear,base_wage_direct_value,weak,mechanism_only,lobs_02a7433f56918e8ac6df6a76,true
WCM-c3b862126349ac18c27f0b05,initial_4726_source_pipeline,WCRS-c3e3f2931c59ee924d119096,,,remains_unclear,cola_cpi_indexing,weak,mechanism_only,lobs_02cf16b14ae780a5964de0af,true
WCM-1c7368a083b2f08e19e37cc6,initial_4726_source_pipeline,WCRS-aad9d07db11967cabac16f4d,,,remains_unclear,base_wage_direct_value,weak,mechanism_only,lobs_04a9b383f777af3239a206b5,true
WCM-12b1abf8e450fe11c11099ce,initial_4726_source_pipeline,WCRS-087aa4c21995abc64fbf83e3,,,remains_unclear,cola_cpi_indexing,moderate,mechanism_only,lobs_04af2e69e65f168d8a41a8b4,true
WCM-ad45e43beab157d6d0a397f9,initial_4726_source_pipeline,WCRS-57ef64e193b2c9712ab4d4bd,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_04f9eb5b8890fe6d4dc6eeb3,true
WCM-93bf194cedc1e46164ee5728,initial_4726_source_pipeline,WCRS-9aa02622ad64049b89463d00,,,remains_unclear,non_base_compensation,moderate,mechanism_only,lobs_05ed2d217cf3eb2015ec8da8,true
WCM-d98122092ae38393baf992bd,initial_4726_source_pipeline,WCRS-ecbd86b00a97342ec6cec35e,,,remains_unclear,collective_bargaining,weak,mechanism_only,lobs_05f168b6592855b18784b552,true
WCM-7b90bc632443d8c62ee93e10,initial_4726_source_pipeline,WCRS-65f353c7117c8c84d803c5dc,,,remains_unclear,base_wage_direct_value,moderate,mechanism_only,lobs_05f932347077c338d0432940,true
