implementation_status,join_status,municipality,root_compensation_event_id,side,state,urbanicity
formally_adopted,matched,Chignik,ROOTCOMP-d6fefb719f3dacf660eaa5e1,remains_unclear,AK,rural
implemented,matched,Chuathbaluk,ROOTCOMP-1270a740fa570d096bb60983,remains_unclear,AK,rural
formally_adopted,matched,Chuathbaluk,ROOTCOMP-31925e7a7b94d67d6bba46c3,side_independent,AK,rural
implemented,matched,Chuathbaluk,ROOTCOMP-66773447e6a05796c9613a66,remains_unclear,AK,rural
implemented,matched,Cold Bay,ROOTCOMP-e76ba8adc52be1515bc9c465,remains_unclear,AK,rural
implemented,matched,Egegik,ROOTCOMP-204b446134bf9cb11c02cc43,remains_unclear,AK,rural
implemented,matched,Newhalen,ROOTCOMP-b54559e6c56aa7e4635de327,remains_unclear,AK,rural
implemented,matched,Port Lions,ROOTCOMP-6bf31b7372232ed035c12381,safety_combined,AK,rural
implemented,matched,Port Lions,ROOTCOMP-1f2c469433c46c526f950716,safety_combined,AK,rural
formally_adopted,matched,Togiak,ROOTCOMP-df127a7827589ca659be5a16,remains_unclear,AK,rural
implemented,matched,Whale Pass,ROOTCOMP-a50b90b39d2fad8b60c7012a,remains_unclear,AK,rural
implemented,matched,Ashland,ROOTCOMP-619853891ac75c5d60ca57d7,remains_unclear,AL,rural
implemented,matched,Brundidge,ROOTCOMP-4bf8e0842357958edb258979,remains_unclear,AL,rural
implemented,matched,Graysville,ROOTCOMP-af3c5cdfd4b057b50f87727e,remains_unclear,AL,unknown
implemented,matched,Loachapoka,ROOTCOMP-72235c06cc403d6cea3b6108,remains_unclear,AL,rural
formally_adopted,matched,Stevenson,ROOTCOMP-8579bd70344616ba47d5c4e0,side_independent,AL,rural
implemented,matched,Valley Grande,ROOTCOMP-cd2dd58ddfb43b62d0ba45f8,remains_unclear,AL,unknown
formally_adopted,matched,Batesville,ROOTCOMP-226c66c47fffae6c84293edf,remains_unclear,AR,urban
implemented,matched,Cammack Village,ROOTCOMP-ad06d93710f6ad3ce533ac78,police,AR,urban
implemented,matched,Cammack Village,ROOTCOMP-6aaf42989f0e08cfa5317f84,police,AR,urban
implemented,matched,Hazen,ROOTCOMP-87947013413c80c3384df066,police,AR,rural
implemented,matched,Hazen,ROOTCOMP-e9fb536041986c9ead2da26e,police,AR,rural
implemented,matched,Hazen,ROOTCOMP-1262eb380252cc321a5399ba,police,AR,rural
formally_adopted,matched,Hot Springs,ROOTCOMP-c3de95e9cf6bf33e7194be44,non_safety,AR,urban
implemented,matched,Big Bear Lake,ROOTCOMP-b486f061948be93581557e31,non_safety,CA,urban
implemented,matched,Big Bear Lake,ROOTCOMP-77a009d60f6be726a9525f32,non_safety,CA,urban
implemented,matched,Biggs,ROOTCOMP-e3d4b443772a6b6e877e7084,remains_unclear,CA,rural
formally_adopted,matched,Blue Lake,ROOTCOMP-509c255348bfda60c75cce3f,remains_unclear,CA,rural
formally_adopted,matched,Blue Lake,ROOTCOMP-4d65163d3dc538fb2d9ad50b,side_independent,CA,rural
implemented,matched,Blue Lake,ROOTCOMP-14ae680190ee0550ae9da63b,remains_unclear,CA,rural
implemented,matched,Buellton,ROOTCOMP-a971f405851350cd8cd686ce,remains_unclear,CA,urban
implemented,matched,Carmel-by-the-Sea,ROOTCOMP-f7c869e33ce2212cae287fd7,non_safety,CA,urban
implemented,matched,Carmel-by-the-Sea,ROOTCOMP-ceb4551cd1c7a3529346e5c1,fire,CA,urban
implemented,matched,Carmel-by-the-Sea,ROOTCOMP-8280ebcc4caf526d373b4a05,non_safety,CA,urban
implemented,matched,Carmel-by-the-Sea,ROOTCOMP-d86b92376f2d0e2420ab799b,fire,CA,urban
implemented,matched,Carmel-by-the-Sea,ROOTCOMP-13b7692570da921c139b20b2,non_safety,CA,urban
implemented,matched,Carmel-by-the-Sea,ROOTCOMP-f282dc2c99996d2f15ce2381,police,CA,urban
implemented,matched,Carmel-by-the-Sea,ROOTCOMP-a13a0553d089c50fd963d4af,police,CA,urban
implemented,matched,Colfax,ROOTCOMP-996f0e23007d37af866f6dba,remains_unclear,CA,rural
implemented,matched,Colfax,ROOTCOMP-43dd7b93bce85f2b5f2b4e39,remains_unclear,CA,rural
implemented,matched,Colfax,ROOTCOMP-3d7b140f683fd69d39f731bf,remains_unclear,CA,rural
implemented,matched,Colfax,ROOTCOMP-7b48378c862a1aec13fe6796,remains_unclear,CA,rural
formally_adopted,matched,Colma,ROOTCOMP-5f609578975c2a20f72f2d0c,remains_unclear,CA,urban
formally_adopted,matched,Colma,ROOTCOMP-678cf9754dfe5e6ea83f8690,remains_unclear,CA,urban
formally_adopted,matched,Colma,ROOTCOMP-c7f61f8b689a6eb09ae7c638,police,CA,urban
implemented,matched,Colma,ROOTCOMP-aa89db09d179849a9e4e74d6,remains_unclear,CA,urban
implemented,matched,Colma,ROOTCOMP-f21faad7ba48bee4b7c54228,remains_unclear,CA,urban
implemented,matched,Dos Palos,ROOTCOMP-6113ec41a058ab071fc6ddc8,police,CA,urban
implemented,matched,Dos Palos,ROOTCOMP-06585b784716d718fa13e0bc,police,CA,urban
implemented,matched,Dos Palos,ROOTCOMP-b50ed2067a846a02d61c5608,police,CA,urban
implemented,matched,Escalon,ROOTCOMP-ac250e23c3fc676b6ee013e5,police,CA,urban
implemented,matched,Escalon,ROOTCOMP-f037a27bceee674c41aac00c,police,CA,urban
implemented,matched,Escalon,ROOTCOMP-ee82caf72590329a53d9bfef,remains_unclear,CA,urban
implemented,matched,Escalon,ROOTCOMP-365d82ee056fa0874b205c9d,police,CA,urban
implemented,matched,Escalon,ROOTCOMP-2d90efbdddba8522ee347b53,remains_unclear,CA,urban
formally_adopted,matched,Etna,ROOTCOMP-e22b462eca61c379b3e99691,remains_unclear,CA,rural
implemented,matched,Gonzales,ROOTCOMP-010642f1c7d7f4ec79b844cb,police,CA,urban
formally_adopted,matched,Gustine,ROOTCOMP-d4251540f5c9c1c93e2eaffb,remains_unclear,CA,urban
implemented,matched,Gustine,ROOTCOMP-1895f15d36801d4e0f21f6e0,remains_unclear,CA,urban
implemented,matched,Holtville,ROOTCOMP-647f648f8ecd72a7f93fa921,fire,CA,urban
implemented,matched,Lakeport,ROOTCOMP-d5372d0ff75524ff96da86a5,police,CA,urban
implemented,matched,Lakeport,ROOTCOMP-08d707c4ce6c3052a80fb400,police,CA,urban
implemented,matched,Lakeport,ROOTCOMP-7f8ec2282377369884fe4d5d,remains_unclear,CA,urban
formally_adopted,matched,San Juan Bautista,ROOTCOMP-10fab2197c69fecbbcaa0c42,remains_unclear,CA,rural
implemented,matched,Sand City,ROOTCOMP-0302906b70d6b1d2bba29cc7,police,CA,urban
implemented,matched,Sand City,ROOTCOMP-6eea590c08c4af3bfb842a41,non_safety,CA,urban
implemented,matched,Sand City,ROOTCOMP-71fc4510e2ff114c68a82ce3,police,CA,urban
implemented,matched,Sand City,ROOTCOMP-5625b28fe3823dd416ec1bac,non_safety,CA,urban
implemented,matched,Sand City,ROOTCOMP-8ff9c66d61a76f749c424126,police,CA,urban
implemented,matched,Sand City,ROOTCOMP-759586009c64d550669c8f8b,police,CA,urban
implemented,matched,Sand City,ROOTCOMP-c55722b3a6fbbfbb6bf0f607,non_safety,CA,urban
implemented,matched,Sand City,ROOTCOMP-7ca74f3e487be8b7176e2eff,police,CA,urban
implemented,matched,Sand City,ROOTCOMP-9114e50085bb152ddd7d318e,police,CA,urban
implemented,matched,Solvang,ROOTCOMP-99292aff06972e8df6d0edf5,remains_unclear,CA,urban
formally_adopted,matched,Tulelake,ROOTCOMP-8eaf51f5ac368f0f83e35473,remains_unclear,CA,rural
implemented,matched,Waterford,ROOTCOMP-e1cce2e4cc078280f1141815,remains_unclear,CA,urban
implemented,matched,Westmorland,ROOTCOMP-b830aedef8c79c31366acb76,remains_unclear,CA,rural
formally_adopted,matched,Westmorland,ROOTCOMP-0fe4dbe37d66bd85358069bc,non_safety,CA,rural
implemented,matched,Westmorland,ROOTCOMP-b25514e3897f9c276b0c773f,non_safety,CA,rural
implemented,matched,Westmorland,ROOTCOMP-477debf8e9c7cd6cdbd88206,remains_unclear,CA,rural
implemented,matched,Wheatland,ROOTCOMP-ea2ba21531f5c1ef50335d20,non_safety,CA,rural
formally_adopted,matched,Wheatland,ROOTCOMP-1d977f4d794a4cead0799fc6,remains_unclear,CA,rural
implemented,matched,Wheatland,ROOTCOMP-98c342a92b0fe300043e5502,non_safety,CA,rural
implemented,matched,Castle Pines,ROOTCOMP-ca75d89b46c0ed5311f995c7,remains_unclear,CO,unknown
implemented,matched,Dinosaur,ROOTCOMP-e436daf894cf91fe6a9006bb,remains_unclear,CO,rural
formally_adopted,matched,Dinosaur,ROOTCOMP-8ef3ae30ad55d64d224da752,side_independent,CO,rural
implemented,matched,Dinosaur,ROOTCOMP-0ef92b502abdb6256454c508,remains_unclear,CO,rural
implemented,matched,Dinosaur,ROOTCOMP-a5260ce8159f7d5fadc2d149,remains_unclear,CO,rural
implemented,matched,La Jara,ROOTCOMP-7756518a671ebc1a3a5bacc4,police,CO,rural
implemented,matched,Mountain Village,ROOTCOMP-9ffa0328e5791e5628bd6afe,remains_unclear,CO,urban
implemented,matched,Mountain Village,ROOTCOMP-335fd8dff1cadf74ddf9810c,police,CO,urban
implemented,matched,Mountain Village,ROOTCOMP-d8599a696a3df82a05cccbb1,remains_unclear,CO,urban
implemented,matched,Mountain Village,ROOTCOMP-1108a7cc0322da20a24dafad,police,CO,urban
implemented,matched,Mountain Village,ROOTCOMP-de50eb2a90224be807dbfdd2,remains_unclear,CO,urban
implemented,matched,Yampa,ROOTCOMP-e32a070c4f7888159973530b,remains_unclear,CO,rural
implemented,matched,Andover,ROOTCOMP-11fa77fc068d9ab6dd952e20,remains_unclear,CT,unknown
implemented,matched,Andover,ROOTCOMP-3b0e0bfefc882ddc98a9bd94,remains_unclear,CT,unknown
implemented,matched,Andover,ROOTCOMP-1805b8e6dbb496b1190a8153,remains_unclear,CT,unknown
formally_adopted,matched,Bethlehem,ROOTCOMP-4634a4838821badfe38584fe,remains_unclear,CT,unknown
formally_adopted,matched,Bethlehem,ROOTCOMP-586ca7b84f063dd36b4075d8,remains_unclear,CT,unknown
formally_adopted,matched,Fairfield,ROOTCOMP-568542beaf2541239201fe7b,remains_unclear,CT,unknown
formally_adopted,matched,Fairfield,ROOTCOMP-156764fc857720910257c45e,remains_unclear,CT,unknown
implemented,matched,Marlborough,ROOTCOMP-003681018491e0f80af17b77,remains_unclear,CT,unknown
implemented,matched,Marlborough,ROOTCOMP-0751b2d93ecc42c1b21eaa0d,remains_unclear,CT,unknown
implemented,matched,New Hartford,ROOTCOMP-f51ccebf1572317a6ca95b5e,police,CT,unknown
implemented,matched,New Hartford,ROOTCOMP-365975f09e392f08b92b5af5,police,CT,unknown
formally_adopted,matched,Salisbury,ROOTCOMP-edd7bc214a65116ea0521b22,remains_unclear,CT,unknown
implemented,matched,Union,ROOTCOMP-c06f457c22f56f555bd20a1c,remains_unclear,CT,unknown
