checks,figure_id,status
"{""caption_brief"": true, ""claim_boundary_respected"": true, ""colors_consistent"": true, ""counterexample_representation"": true, ""evidence_tier_consistent"": true, ""report_order_stable"": true, ""sample_notation_present"": true, ""source_note_consistent"": true, ""terminology_consistent"": true, ""title_style_consistent"": true}",F01,pass
"{""caption_brief"": true, ""claim_boundary_respected"": true, ""colors_consistent"": true, ""counterexample_representation"": true, ""evidence_tier_consistent"": true, ""report_order_stable"": true, ""sample_notation_present"": true, ""source_note_consistent"": true, ""terminology_consistent"": true, ""title_style_consistent"": true}",F02,pass
"{""caption_brief"": true, ""claim_boundary_respected"": true, ""colors_consistent"": true, ""counterexample_representation"": true, ""evidence_tier_consistent"": true, ""report_order_stable"": true, ""sample_notation_present"": true, ""source_note_consistent"": true, ""terminology_consistent"": true, ""title_style_consistent"": true}",F03,pass
"{""caption_brief"": true, ""claim_boundary_respected"": true, ""colors_consistent"": true, ""counterexample_representation"": true, ""evidence_tier_consistent"": true, ""report_order_stable"": true, ""sample_notation_present"": true, ""source_note_consistent"": true, ""terminology_consistent"": true, ""title_style_consistent"": true}",F04,pass
"{""caption_brief"": true, ""claim_boundary_respected"": true, ""colors_consistent"": true, ""counterexample_representation"": true, ""evidence_tier_consistent"": true, ""report_order_stable"": true, ""sample_notation_present"": true, ""source_note_consistent"": true, ""terminology_consistent"": true, ""title_style_consistent"": true}",F05,pass
"{""caption_brief"": true, ""claim_boundary_respected"": true, ""colors_consistent"": true, ""counterexample_representation"": true, ""evidence_tier_consistent"": true, ""report_order_stable"": true, ""sample_notation_present"": true, ""source_note_consistent"": true, ""terminology_consistent"": true, ""title_style_consistent"": true}",F06,pass
"{""caption_brief"": true, ""claim_boundary_respected"": true, ""colors_consistent"": true, ""counterexample_representation"": true, ""evidence_tier_consistent"": true, ""report_order_stable"": true, ""sample_notation_present"": true, ""source_note_consistent"": true, ""terminology_consistent"": true, ""title_style_consistent"": true}",F07,pass
"{""caption_brief"": true, ""claim_boundary_respected"": true, ""colors_consistent"": true, ""counterexample_representation"": true, ""evidence_tier_consistent"": true, ""report_order_stable"": true, ""sample_notation_present"": true, ""source_note_consistent"": true, ""terminology_consistent"": true, ""title_style_consistent"": true}",F08,pass
"{""caption_brief"": true, ""claim_boundary_respected"": true, ""colors_consistent"": true, ""counterexample_representation"": true, ""evidence_tier_consistent"": true, ""report_order_stable"": true, ""sample_notation_present"": true, ""source_note_consistent"": true, ""terminology_consistent"": true, ""title_style_consistent"": true}",F09,pass
"{""caption_brief"": true, ""claim_boundary_respected"": true, ""colors_consistent"": true, ""counterexample_representation"": true, ""evidence_tier_consistent"": true, ""report_order_stable"": true, ""sample_notation_present"": true, ""source_note_consistent"": true, ""terminology_consistent"": true, ""title_style_consistent"": true}",F10,pass
"{""caption_brief"": true, ""claim_boundary_respected"": true, ""colors_consistent"": true, ""counterexample_representation"": true, ""evidence_tier_consistent"": true, ""report_order_stable"": true, ""sample_notation_present"": true, ""source_note_consistent"": true, ""terminology_consistent"": true, ""title_style_consistent"": true}",F11,pass
"{""caption_brief"": true, ""claim_boundary_respected"": true, ""colors_consistent"": true, ""counterexample_representation"": true, ""evidence_tier_consistent"": true, ""report_order_stable"": true, ""sample_notation_present"": true, ""source_note_consistent"": true, ""terminology_consistent"": true, ""title_style_consistent"": true}",F12,pass
"{""caption_brief"": true, ""claim_boundary_respected"": true, ""colors_consistent"": true, ""counterexample_representation"": true, ""evidence_tier_consistent"": true, ""report_order_stable"": true, ""sample_notation_present"": true, ""source_note_consistent"": true, ""terminology_consistent"": true, ""title_style_consistent"": true}",F13,pass
"{""caption_brief"": true, ""claim_boundary_respected"": true, ""colors_consistent"": true, ""counterexample_representation"": true, ""evidence_tier_consistent"": true, ""report_order_stable"": true, ""sample_notation_present"": true, ""source_note_consistent"": true, ""terminology_consistent"": true, ""title_style_consistent"": true}",F14,pass
"{""caption_brief"": true, ""claim_boundary_respected"": true, ""colors_consistent"": true, ""counterexample_representation"": true, ""evidence_tier_consistent"": true, ""report_order_stable"": true, ""sample_notation_present"": true, ""source_note_consistent"": true, ""terminology_consistent"": true, ""title_style_consistent"": true}",F15,pass
"{""caption_brief"": true, ""claim_boundary_respected"": true, ""colors_consistent"": true, ""counterexample_representation"": true, ""evidence_tier_consistent"": true, ""report_order_stable"": true, ""sample_notation_present"": true, ""source_note_consistent"": true, ""terminology_consistent"": true, ""title_style_consistent"": true}",F16,pass
