source_domain,reviewed_rows,source_review_ready,ready_high,ready_medium,ready_low,deferred_or_excluded,global_analysis_readiness
0201.nccdn.net,2,2,0,2,0,0,false
091e191e-1212-4dbc-881d-f10214ff8c16.filesusr.com,1,1,0,1,0,0,false
1275a347-08b5-49ef-b3e1-1e8ed6d0f1a3.filesusr.com,2,2,0,2,0,0,false
1drv.ms,1,1,0,1,0,0,false
3349ced6-11bd-45a0-a79a-4789af9e4dcb.filesusr.com,1,1,0,1,0,0,false
4.files.edl.io,4,4,0,4,0,0,false
48516061.fs1.hubspotusercontent-na1.net,1,1,0,1,0,0,false
7ec5af11-b772-4a01-a45f-dd4265018271.filesusr.com,1,1,0,1,0,0,false
81b0a71b-a7a1-414b-af62-5cf86951dfc5.filesusr.com,2,2,0,2,0,0,false
Unknown,19,0,0,0,0,19,false
abbevillecitysc.com,2,2,1,1,0,0,false
aberdeenintranetnc.municipalone.com,1,1,0,1,0,0,false
aberdeennj.org,3,0,0,0,0,3,false
abilenecityhall.com,2,0,0,0,0,2,false
abilenetx.gov,1,1,0,1,0,0,false
abingdon-va.gov,1,0,0,0,0,1,false
abingtonpa.gov,3,0,0,0,0,3,false
abseconnj.gov,4,4,4,0,0,0,false
acluct.org,18,12,7,5,0,6,false
acton-ma.gov,4,0,0,0,0,4,false
actonma.gov,2,0,0,0,0,2,false
adamstwp.org,2,2,0,2,0,0,false
adaok.com,3,0,0,0,0,3,false
addisla.org,3,3,3,0,0,0,false
afscme18.org,1,0,0,0,0,1,false
afscme2975.org,1,1,0,1,0,0,false
afscme500.org,1,1,1,0,0,0,false
afscmeatwork.org,2,0,0,0,0,2,false
afscmemn.org,6,6,3,3,0,0,false
aftonwyoming.gov,2,2,0,2,0,0,false
agendaonline.net,1,1,0,1,0,0,false
aikenchronicles.com,1,0,0,0,0,1,false
airmont.org,1,1,1,0,0,0,false
alachua.novusagenda.com,2,2,0,2,0,0,false
alamosa.novusagenda.com,1,1,0,1,0,0,false
alamotexas.org,2,2,1,1,0,0,false
albanyca.gov,4,0,0,0,0,4,false
albanyga.gov,1,0,0,0,0,1,false
albemarlenc.gov,3,0,0,0,0,3,false
albertonmontana.com,3,3,0,3,0,0,false
albertvillemn.gov,2,0,0,0,0,2,false
albiaiowa.org,3,3,2,1,0,0,false
alburghvt.org,3,3,1,2,0,0,false
alcester.sdcity.gov,1,1,1,0,0,0,false
aldersonwv.org,1,0,0,0,0,1,false
aleknagikak.gov,1,1,1,0,0,0,false
aleutianseast.org,1,1,1,0,0,0,false
alexandercityal.gov,3,0,0,0,0,3,false
alexandriaky.gov,1,1,1,0,0,0,false
allencounty.in.gov,1,1,0,1,0,0,false
allendalemi.gov,2,2,0,2,0,0,false
allenstownnh.gov,4,1,1,0,0,3,false
almacity.com,3,3,3,0,0,0,false
alpena.mi.us,2,2,2,0,0,0,false
alpha.creativecirclecdn.com,3,1,0,1,0,2,false
alvin.gov,3,2,2,0,0,1,false
amerywisconsin.org,2,2,1,1,0,0,false
amherst.ny.us,3,3,3,0,0,0,false
amherstindy.org,1,1,0,1,0,0,false
amherstnh.gov,2,2,2,0,0,0,false
amherstva.gov,2,2,2,0,0,0,false
amityoregon.gov,2,0,0,0,0,2,false
amitytownshippa.com,1,1,0,1,0,0,false
andalusiaal.gov,1,1,1,0,0,0,false
andoverks.civicweb.net,2,2,1,1,0,0,false
andoverks.gov,2,0,0,0,0,2,false
andoverma.gov,4,0,0,0,0,4,false
angier.org,2,0,0,0,0,2,false
angleton.tx.us,1,0,0,0,0,1,false
angolain.org,2,2,2,0,0,0,false
annatexas.gov,4,1,1,0,0,3,false
annistonal.gov,3,3,0,3,0,0,false
antioch.il.gov,2,0,0,0,0,2,false
antiochca.gov,3,1,1,0,0,2,false
antwerptownshipmi.gov,2,2,1,1,0,0,false
anyflip.com,1,1,1,0,0,0,false
apachejunctionaz.gov,3,1,0,1,0,2,false
apea-aft.org,1,1,1,0,0,0,false
apexnc.org,2,0,0,0,0,2,false
api.agendas.revize.com,1,1,0,1,0,0,false
apnm.org,1,1,1,0,0,0,false
app.lla.la.gov,5,5,2,3,0,0,false
app.lla.state.la.us,8,8,4,4,0,0,false
applecreektownship.org,1,1,0,1,0,0,false
apps.garnernc.gov,4,0,0,0,0,4,false
arcadia-fl.gov,1,1,1,0,0,0,false
archbaldboroughpa.gov,1,0,0,0,0,1,false
archdale-nc.gov,2,2,2,0,0,0,false
archive.lib.msu.edu,23,23,2,13,8,0,false
archivesindex.sc.gov,1,1,1,0,0,0,false
arden.delaware.gov,3,3,1,2,0,0,false
ardmorecity.org,2,2,2,0,0,0,false
arkadelphia.gov,1,0,0,0,0,1,false
arkcity.org,1,0,0,0,0,1,false
arklegaudit.gov,1,1,0,1,0,0,false
arlingtonvermont.org,2,2,2,0,0,0,false
armoursd.com,1,1,0,1,0,0,false
ashlandcitytn.gov,1,1,1,0,0,0,false
ashlandmass.com,4,0,0,0,0,4,false
aspen.gov,2,0,0,0,0,2,false
assets-global.website-files.com,1,1,0,1,0,0,false
assets.caboosecms.com,4,4,0,3,1,0,false
assets.locable.com,2,2,0,2,0,0,false
assets.nationbuilder.com,3,3,0,3,0,0,false
assets.newlouisiana.org,1,1,1,0,0,0,false
assets.simpleviewinc.com,1,1,1,0,0,0,false
athensalabama.us,2,0,0,0,0,2,false
athenstx.gov,2,2,1,1,0,0,false
athol-ma.gov,4,0,0,0,0,4,false
atkinsonne.com,2,2,0,2,0,0,false
atokatn.gov,1,0,0,0,0,1,false
attallacity.org,1,1,0,1,0,0,false
atu757.org,2,2,2,0,0,0,false
auburn.ca.gov,6,1,1,0,0,5,false
auburn.ne.gov,1,1,1,0,0,0,false
auburnma.gov,1,0,0,0,0,1,false
auburnnh.gov,2,0,0,0,0,2,false
auditor.state.oh.us,1,0,0,0,0,1,false
augustaks.org,2,2,2,0,0,0,false
aultcolorado.gov,1,0,0,0,0,1,false
aumsville.us,1,0,0,0,0,1,false
aurora-cityhall.org,1,0,0,0,0,1,false
aurora-il.legistar.com,2,2,0,2,0,0,false
austellga.gov,2,2,2,0,0,0,false
austin-ar.com,1,1,1,0,0,0,false
avonindiana.gov,2,2,2,0,0,0,false
avonpark.city,3,0,0,0,0,3,false
aws.state.ak.us,1,1,1,0,0,0,false
aztecnm.gov,2,2,2,0,0,0,false
azusaca.gov,2,0,0,0,0,2,false
b860633f-5969-426d-b701-88ff5ee4d400.filesusr.com,1,1,0,1,0,0,false
baldwinpark.com,3,0,0,0,0,3,false
ballotpedia.s3.amazonaws.com,2,2,0,2,0,0,false
baltimoreohio.org,2,2,1,1,0,0,false
bandon-or.gov,4,1,1,0,0,3,false
barboursville.community.diligentoneplatform.com,1,1,0,1,0,0,false
barharbormaine.gov,1,1,1,0,0,0,false
barlingar.gov,3,0,0,0,0,3,false
barnstead.org,3,2,0,2,0,1,false
barnunnwy.gov,5,3,2,1,0,2,false
barrington-il.gov,3,3,3,0,0,0,false
barrington.nh.gov,4,4,4,0,0,0,false
barrington.ri.gov,3,0,0,0,0,3,false
barringtonboro.com,2,2,2,0,0,0,false
bartonvt.com,1,1,0,1,0,0,false
basalt.net,3,0,0,0,0,3,false
bataviail.gov,2,0,0,0,0,2,false
batesburg-leesville.org,3,0,0,0,0,3,false
batesville.ms,2,2,0,2,0,0,false
batesvillearkansas.gov,2,0,0,0,0,2,false
batesvilleindiana.us,2,2,2,0,0,0,false
batesvillepolicear.gov,1,1,1,0,0,0,false
baxtermn.gov,1,0,0,0,0,1,false
baxterspringsks.gov,2,2,1,1,0,0,false
baycitytx.gov,4,0,0,0,0,4,false
bayfieldgov.org,2,0,0,0,0,2,false
bayharborislands-fl.gov,3,1,1,0,0,2,false
bcato.org,6,5,1,4,0,1,false
bcutah.gov,3,3,0,3,0,0,false
beachnd.com,3,1,0,1,0,2,false
bearriverwy.gov,1,1,1,0,0,0,false
beaumontca.gov,1,0,0,0,0,1,false
beaverfallspa.org,1,1,0,1,0,0,false
beaverton.k12.or.us,2,2,0,2,0,0,false
beavervalleyfop.org,3,3,3,0,0,0,false
