combined_review_id,source_candidate_id,candidate_origin,original_scout_candidate_id,verification_row_id,lane_id,review_lane_id,state,region,municipality,county,source_title,source_locator_or_url,final_canonical_locator,source_domain,source_family_hint,document_type_hint,source_family_confidence,possible_mechanism_hints,candidate_quality_tier,verification_status,http_status_code,content_type_header,content_length_header,redirect_count,candidate_review_status,source_review_priority,employer_match_confidence,municipality_match_confidence,unit_or_occupation_confidence,period_or_cycle_confidence,source_family_review_confidence,official_source_confidence,non_cba_diversity_value,matched_safety_non_safety_opportunity_flag,source_review_reason,review_notes,verification_status_preserved,download_status,source_review_status,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness
CBCR-20260728-06710,BSSC-20260727-00287,broad_490_preserved_review_queue,BSSC-20260727-00287,,,review_lane_001,IA,Midwest,Keokuk,,"AGENDA COUNCIL MEETING — November 21, 2024 (backup includes resolution approving a one-time market adjustment wage increase to Keokuk Police Department law enforcement personnel salaries)",https://cityofkeokuk.org/wp-content/uploads/2024/11/Agenda-for-the-November-21-2024-Council-Mtg.-including-backup.pdf,,cityofkeokuk.org,agenda_packet_or_minutes,agenda_cover_sheet,high,market_or_comparability_pressure,weak_or_needs_review,verification_not_run,,,,,pending_local_metadata_review,,,,,,,,,false,,weak_or_needs_review_not_used_as_queue_padding,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-04843,B4XPAR-20260727-005275,broad_4x1000_deduped,B4XPAR-20260727-005275,BCV-20260728-02168,verify_lane_002,review_lane_001,IA,Midwest,Albia,Monroe County (19135; primary),"Albia City Council Regular Meeting Minutes (June 19, 2023) — resolution stating full-time employee wages effective July 1, 2023; part-time mowing wage increase to $17/hr effective July 1, 2023",https://albiaiowa.org/wp-content/uploads/2023/06/minutes-6-19-23.pdf,https://albiaiowa.org/wp-content/uploads/2023/06/minutes-6-19-23.pdf,albiaiowa.org,agenda_packet_or_minutes,meeting_minutes,high,non_safety_constraint_signal,pending_combined_review,verified_reachable,200,application/pdf,78824,0,pending_local_metadata_review,,,,,,,,,false,,,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-00003,B4XPAR-20260727-000003,broad_4x1000_deduped,B4XPAR-20260727-000003,BCV-20260728-00180,verify_lane_001,review_lane_001,IA,Midwest,Carlisle,Warren County (19181; primary); Polk County (19153),"Carlisle City Council Meeting Agenda (May 26, 2026) — Tentative Collective Bargaining Agreement with Teamsters Local 238 / AFSCME Local 61",https://carlisleiowa.org/AgendaCenter/ViewFile/Agenda/_05262026-92,https://carlisleiowa.org/AgendaCenter/ViewFile/Agenda/_05262026-92,carlisleiowa.org,agenda_packet_or_minutes,agenda_cover_sheet,high,,pending_combined_review,verified_reachable,200,application/pdf,272654,0,pending_local_metadata_review,,,,,,,,,false,,,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-03229,B4XPAR-20260727-003507,broad_4x1000_deduped,B4XPAR-20260727-003507,BCV-20260728-04590,verify_lane_003,review_lane_001,IA,Midwest,Charles City,Floyd County (19067; primary),Police wage/residency/hiring bonus/residency stipend changes (effective dates) and references to attached spreadsheet pay scale (attached as agenda packet item),https://www.cityofcharlescity.org/AgendaCenter/ViewFile/Item/5689?fileID=3734,https://cityofcharlescity.org/AgendaCenter/ViewFile/Item/5689,cityofcharlescity.org,agenda_packet_or_minutes,ordinance_or_policy,high,,pending_combined_review,verified_reachable,200,application/pdf,293177,0,pending_local_metadata_review,,,,,,,,,false,,,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-00012,B4XPAR-20260727-000014,broad_4x1000_deduped,B4XPAR-20260727-000014,BCV-20260728-00330,verify_lane_001,review_lane_001,IA,Midwest,Eldridge,Scott County (19163; primary),Agendas & Minutes (City of Eldridge) landing page for searching council/board attached wage/policy documents,https://cityofeldridgeia.org/agendas-minutes/,https://cityofeldridgeia.org/agendas-minutes,cityofeldridgeia.org,agenda_packet_or_minutes,agenda_cover_sheet,high,non_safety_constraint_signal,pending_combined_review,verified_reachable,200,text/html,not_reported,0,pending_local_metadata_review,,,,,,,,,false,,,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-01582,B4XPAR-20260727-001712,broad_4x1000_deduped,B4XPAR-20260727-001712,BCV-20260728-00416,verify_lane_001,review_lane_001,IA,Midwest,Mount Vernon,Linn County (19113; primary),"Council Meetings (agendas, minutes, and council packets)",https://cityofmtvernon-ia.gov/government/council-meetings/,https://cityofmtvernon-ia.gov/government/council-meetings,cityofmtvernon-ia.gov,agenda_packet_or_minutes,index_page,high,,pending_combined_review,verified_reachable,200,text/html,41046,0,pending_local_metadata_review,,,,,,,,,false,,,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-04856,B4XPAR-20260727-005289,broad_4x1000_deduped,B4XPAR-20260727-005289,BCV-20260728-04791,verify_lane_003,review_lane_001,IA,Midwest,Clarion,Wright County (19197; primary),"Clarion City Council Meeting Agenda (Tuesday, April 6, 2021) — Resolution (21-32) approving tentative agreement with PPME Local 2003 for July 1, 2021 through June 30, 2024",https://www.clarioniowa.gov/_files/ugd/c21554_772ce32a1559469c88a298586ac949d3.pdf,https://7ec5af11-b772-4a01-a45f-dd4265018271.filesusr.com/ugd/c21554_772ce32a1559469c88a298586ac949d3.pdf,clarioniowa.gov,agenda_packet_or_minutes,agenda_cover_sheet,high,,pending_combined_review,verified_reachable_redirected,200,application/pdf,127293,1,pending_local_metadata_review,,,,,,,,,false,,,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-04861,B4XPAR-20260727-005294,broad_4x1000_deduped,B4XPAR-20260727-005294,BCV-20260728-07355,verify_lane_004,review_lane_001,IA,Midwest,Evansdale,Black Hawk County (19013; primary),"Collective Bargaining Agreement (Police) — City of Evansdale and Chauffeurs, Teamsters & Helpers Local 238",https://evansdale.govoffice.com/vertical/sites/%7B2505E64E-BAD1-4EF6-BB07-A8C974051728%7D/uploads/02-06-2024_AGENDA.pdf,https://evansdale.govoffice.com/vertical/sites/%7B2505E64E-BAD1-4EF6-BB07-A8C974051728%7D/uploads/02-06-2024_AGENDA.pdf,evansdale.govoffice.com,agenda_packet_or_minutes,cba,high,,pending_combined_review,verified_reachable,200,application/pdf,8369966,0,pending_local_metadata_review,,,,,,,,,false,,,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-01574,B4XPAR-20260727-001700,broad_4x1000_deduped,B4XPAR-20260727-001700,BCV-20260728-03218,verify_lane_002,review_lane_001,IA,Midwest,Hiawatha,Linn County (19113; primary),"City Council Regular Meeting Agenda (April 4, 2018) — Union Agreements (Resolution approving a three (3) year union contract agreement between City/Hiawatha Police Department and Teamsters Local Union 238)",https://www.hiawatha-iowa.com/files/documents/agenda-20180404.pdf,https://hiawatha-iowa.com/files/documents/agenda-20180404.pdf,hiawatha-iowa.com,agenda_packet_or_minutes,agenda_cover_sheet,high,,pending_combined_review,verified_reachable,200,application/pdf,63394,0,pending_local_metadata_review,,,,,,,,,false,,,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-01580,B4XPAR-20260727-001709,broad_4x1000_deduped,B4XPAR-20260727-001709,BCV-20260728-01321,verify_lane_001,review_lane_001,IA,Midwest,Maquoketa,Jackson County (19097; primary); Clinton County (19045),City Council Minutes (includes approval of Resolution No. 2025-06 financial agreement with Maquoketa Firefighters Association; also references Resolution No. 2025-08 'Maquoketa Fire Department Officers and Pay'),https://www.maquoketaia.com/city-council/minutes/city-council-minutes-122,https://maquoketaia.com/city-council/minutes/city-council-minutes-122,maquoketaia.com,agenda_packet_or_minutes,meeting_minutes,high,,pending_combined_review,unavailable_404_410,404,text/html,70741,0,pending_local_metadata_review,,,,,,,,,false,,,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-03244,B4XPAR-20260727-003527,broad_4x1000_deduped,B4XPAR-20260727-003527,BCV-20260728-07827,verify_lane_004,review_lane_001,IA,Midwest,Milford,Dickinson County (19059; primary),"January 12, 2026 Regular Meeting agenda (PDF) - City of Milford, IA",https://milford.ia.us/wp-content/uploads/2026/01/January-12-2026-Regular-Meeting.pdf,https://milford.ia.us/wp-content/uploads/2026/01/January-12-2026-Regular-Meeting.pdf,milford.ia.us,agenda_packet_or_minutes,agenda_cover_sheet,high,,pending_combined_review,verified_reachable,200,application/pdf,162980,0,pending_local_metadata_review,,,,,,,,,false,,,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-03256,B4XPAR-20260727-003540,broad_4x1000_deduped,B4XPAR-20260727-003540,BCV-20260728-06044,verify_lane_003,review_lane_001,IA,Midwest,Sioux Center,Sioux County (19167; primary),"June 25, 2024 City Council Minutes (FY 24–25 setting salaries; Resolution SC-R-35-24 referenced)",https://siouxcenter.org/AgendaCenter/ViewFile/Minutes/_06252024-124,https://siouxcenter.org/AgendaCenter/ViewFile/Minutes/_06252024-124,siouxcenter.org,agenda_packet_or_minutes,meeting_minutes,high,non_safety_constraint_signal;fiscal_constraint_signal,pending_combined_review,verified_reachable,200,application/pdf,88706,0,pending_local_metadata_review,,,,,,,,,false,,,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
