span_rating_id,span_extraction_id,source_review_download_id,combined_review_id,source_candidate_id,verification_row_id,extraction_id,readiness_id,extracted_text_id,rating_lane_id,rating_lane_sequence,state,region,municipality,county,source_title,source_family_hint,document_type_hint,retained_file_sha256,extracted_text_sha256,span_sha256,evidence_family_input,evidence_family_rated,mechanism_label_input,mechanism_label_rated,quantitative_label_input,quantitative_label_rated,documentary_mechanism_support,direct_text_support,quantitative_compensation_support,source_navigation_support,provisional_causal_candidate_support,direction_of_pressure,evidence_strength,claim_relevance,quote_used,quote_exact_substring,reason_code,claim_boundary,no_wage_gap_claim,no_final_causal_claim,global_analysis_readiness,rating_status,quarantine_reason,gabriel_backend,gabriel_model,gabriel_request_id,gabriel_attempt_count,ingestion_status,codification_status,causal_status,notes
CBRATING-20260728-f8d421b8af55bad8c12dda40,CBSPAN-20260728-b29f2c24b488c9ecc8f489cc,CBSRD-20260728-547cdc0dd6fac8ceff46,CBCR-20260728-02478,B4XPAR-20260727-002678,BCV-20260728-05544,CBTXT-20260728-041bc70e4e347cc203e4,CBRDY-20260728-b10a1c4057ddd0b8322f,CBTXT-20260728-041bc70e4e347cc203e4,rating_lane_001,236,AR,South,Little Rock,Pulaski County (05119; primary),"Statement of Agreement (Fraternal Order of Police, Lodge #17) — City of Little Rock, AR",wage_schedule,memorandum_or_settlement,17c88edb73cd1b63e9ebb10507ef5bd1498628d2967fafec232bc8f6bc5fdf24,df0a95a8e29dda87c9c5ef25c417a95196ae8f6a9f0d0ef3955bedc827fd09c6,624fda85c700a0f04b80a01a5288a54e450f6884c905f8eddfa4e2153105e664,quantitative_compensation,weak_or_not_compensation_relevant,unknown_or_needs_rating,unknown_or_needs_review,contract_period,contract_period,weak,weak,weak,not_applicable,not_applicable,not_applicable,weak,context_only,XXV          Term of Agreement and Impasse Procedures ....................................... ,true,section_heading_only_no_comp_amount_or_dates,candidate exact-span rating only; not ingested; not codified; not causal; no wage-gap or national-prevalence claim; global analysis readiness remains false,true,true,false,valid_rating,,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_00cf5d67d601698c006a695cee96288196b62a344d46b13eb5,1,not_ingested,not_codified,not_causal_evidence,"Bounded live exact-span rating; not a wage-gap estimate, causal result, or globally analysis-ready record."
CBRATING-20260728-1199f78c8b88d4def93e90e2,CBSPAN-20260728-359f0dfedb0e8f42a626c19d,CBSRD-20260728-547cdc0dd6fac8ceff46,CBCR-20260728-02478,B4XPAR-20260727-002678,BCV-20260728-05544,CBTXT-20260728-041bc70e4e347cc203e4,CBRDY-20260728-b10a1c4057ddd0b8322f,CBTXT-20260728-041bc70e4e347cc203e4,rating_lane_001,241,AR,South,Little Rock,Pulaski County (05119; primary),"Statement of Agreement (Fraternal Order of Police, Lodge #17) — City of Little Rock, AR",wage_schedule,memorandum_or_settlement,17c88edb73cd1b63e9ebb10507ef5bd1498628d2967fafec232bc8f6bc5fdf24,df0a95a8e29dda87c9c5ef25c417a95196ae8f6a9f0d0ef3955bedc827fd09c6,2363f079c0899f36594209eaee1d10248b86f1ac1b78ce6f1b42b5b2ecf6d50d,quantitative_compensation,non_base_compensation,unknown_or_needs_rating,implementation_or_retroactivity_advantage,contract_period,contract_period,weak,weak,moderate,not_applicable,not_applicable,not_applicable,weak,quantitative_compensation_claim,"during the term of
this agreement.",true,benefits_plan_implementation_conditioned_by_contract_term,candidate exact-span rating only; not ingested; not codified; not causal; no wage-gap or national-prevalence claim; global analysis readiness remains false,true,true,false,valid_rating,,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_067d5fa5414e9a99006a695cf0ecb8819087527d214fe86d04,1,not_ingested,not_codified,not_causal_evidence,"Bounded live exact-span rating; not a wage-gap estimate, causal result, or globally analysis-ready record."
CBRATING-20260728-a10b187221c6c8835f329258,CBSPAN-20260728-f75b80db26893c936b89039e,CBSRD-20260728-ba9945598f23e38a625c,CBCR-20260728-02479,B4XPAR-20260727-002679,BCV-20260728-07687,CBTXT-20260728-44171c26b1e06e099782,CBRDY-20260728-e7849d6fb4aea66ff946,CBTXT-20260728-44171c26b1e06e099782,rating_lane_001,248,AR,South,Little Rock,Pulaski County (05119; primary),Memorandum of Agreement (International Association of Firefighters) — City of Little Rock,wage_schedule,memorandum_or_settlement,48bd0b9728677436cfd53208735767bf9d35c013c350b3e2a76a8c421c955f13,be92f25dfff24484dd209a20b54b37db7a70741e42e79cebdca11c6499e87e4e,635de42f13c812532503d5a5bdc7767a29024c399f92bf5db838183de4b9560f,quantitative_compensation,quantitative_compensation,unknown_or_needs_rating,unknown_or_needs_review,contract_period,contract_period,strong,strong,strong,not_applicable,not_applicable,not_applicable,strong,quantitative_compensation_claim,"expire at the end of the term of this
agreement",true,direct_expiration_matches_contract_period,candidate exact-span rating only; not ingested; not codified; not causal; no wage-gap or national-prevalence claim; global analysis readiness remains false,true,true,false,valid_rating,,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0674554c0466793b006a695cf319c88193a9cc7b96a3092588,1,not_ingested,not_codified,not_causal_evidence,"Bounded live exact-span rating; not a wage-gap estimate, causal result, or globally analysis-ready record."
CBRATING-20260728-0d5b22263b588d40752f2b39,CBSPAN-20260728-0c8ed7a74e37f8b36b2d1744,CBSRD-20260728-866b972ed8584fcb8c46,CBCR-20260728-06519,BSSC-20260727-00091,BCV-20260728-08086,CBTXT-20260728-9a24f82cee0b974188a2,CBRDY-20260728-f847c2ea0d7d46689344,CBTXT-20260728-9a24f82cee0b974188a2,rating_lane_001,324,AZ,West,El Mirage,,Exhibit A: R25-04-03 Police MOU (Memorandum of Understanding) — El Mirage Police Employees Association,mou_or_memorandum,memorandum_or_settlement,a3c28d6a5ead079b899398ac4c3d7c5c79a214ae95ba74497abb435dce48367f,0161dc2c727587bb1a68a7c495137605493ea6c93b83d0c2c542bec833d21f25,e2ef4b287e9b4780471dd2dcde13a3f7b0d0abb15acdaa43c292ab2d3f505b4d,quantitative_compensation,quantitative_compensation,unknown_or_needs_rating,unknown_or_needs_review,contract_period,contract_period,not_supported,not_supported,weak,not_applicable,not_supported,not_applicable,weak,context_only,"During the term of this agreement, employees who have",true,term_of_agreement_only_no_comp_or_mechanism,candidate exact-span rating only; not ingested; not codified; not causal; no wage-gap or national-prevalence claim; global analysis readiness remains false,true,true,false,valid_rating,,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_065e2716a12d7ab3006a695d3df4008197ba6eadce6e1357a2,1,not_ingested,not_codified,not_causal_evidence,"Bounded live exact-span rating; not a wage-gap estimate, causal result, or globally analysis-ready record."
CBRATING-20260728-cf293188ee25957f98c31fdb,CBSPAN-20260728-7eb8d1784a869f214dd740c5,CBSRD-20260728-a5c4de41c30753e3588d,CBCR-20260728-06523,BSSC-20260727-00095,BCV-20260728-01656,CBTXT-20260728-7ad2f12de030d26d4365,CBRDY-20260728-b0c02d6f1814df050444,CBTXT-20260728-7ad2f12de030d26d4365,rating_lane_001,356,AZ,West,Oro Valley,,"Memorandum of Understanding Between Oro Valley Police Officer Association and the Town of Oro Valley (for the period June 19, 2022 to June 30, 2025; and July 1, 2025 to June 30, 2029)",budget_or_pay_plan,memorandum_or_settlement,0741b0db846c48ef0975631dab3ea19bb9ba71279ebd65542b165775c2ff2d66,260f3285430ec3ba60fbc51923eb966e5966de07db5b0cce71e2d2e9150f2ad2,9ab4d6d4425a7fed0fc6cd09b2a1ebe0b0695bc74ee12faa4fc7a26648fe69e0,quantitative_compensation,weak_or_not_compensation_relevant,unknown_or_needs_rating,implementation_or_retroactivity_advantage,effective_date,contract_period,weak,weak,weak,not_applicable,not_applicable,not_applicable,weak,context_only,"•   Four Year Memorandum of Understanding (MOU) effective July 1, 2025, and ending",true,span_only_states_mou_effective_and_end_date_no_pay_change_details,candidate exact-span rating only; not ingested; not codified; not causal; no wage-gap or national-prevalence claim; global analysis readiness remains false,true,true,false,valid_rating,,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_09f13ffb7558cdbf006a695d5029c88196b6435aee5775b05f,1,not_ingested,not_codified,not_causal_evidence,"Bounded live exact-span rating; not a wage-gap estimate, causal result, or globally analysis-ready record."
CBRATING-20260728-ec535abc280517fbef670ab1,CBSPAN-20260728-cee1aefe67970669cc6be4d9,CBSRD-20260728-9b0a49d7b0668fb60178,CBCR-20260728-02932,B4XPAR-20260727-003182,BCV-20260728-01580,CBTXT-20260728-6221dc44ea45d0009c85,CBRDY-20260728-d0e7e0b875f65a2fc9dc,CBTXT-20260728-6221dc44ea45d0009c85,rating_lane_001,374,AZ,West,Patagonia,Santa Cruz County (04023; primary),Fire Dept. Amended Contract (7/1/2024) - Town of Patagonia with Patagonia Volunteer Fire and Rescue Inc. (PVFR) (Compensation Section),mou_or_memorandum,memorandum_or_settlement,d0192e6dab36c2a3079ec0270ba4c945f83c4149219564bdfe41be51807df6b6,1e7bc69c35aafc2ed5411fdbb04cbbb7ab60c09df05471c3ba7829d35c3d7930,63a3bcc374cbe8acc2ed9544d28a5f0bfc1b2ec8941a87be91b0a17bfd5f6ddf,quantitative_compensation,weak_or_not_compensation_relevant,unknown_or_needs_rating,unknown_or_needs_review,contract_period,contract_period,not_supported,weak,weak,not_applicable,not_applicable,neutral_or_unclear,weak,context_only,"Throughout the term of this Agreement, PVFR shall provide Fire Protection",true,term_reference_only_no_compensation_detail,candidate exact-span rating only; not ingested; not codified; not causal; no wage-gap or national-prevalence claim; global analysis readiness remains false,true,true,false,valid_rating,,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_07bba3b8e2074bde006a695d55c6e88193a627e718763cbd1b,1,not_ingested,not_codified,not_causal_evidence,"Bounded live exact-span rating; not a wage-gap estimate, causal result, or globally analysis-ready record."
CBRATING-20260728-a0ebc6cb8a09b7874b77e282,CBSPAN-20260728-a45fa4d0a415fcc372d3af8b,CBSRD-20260728-bfebb30fede0e79bce68,CBCR-20260728-02933,B4XPAR-20260727-003183,BCV-20260728-01613,CBTXT-20260728-50bf58bec9837f8314a6,CBRDY-20260728-cd8ccbbba52aeb9659e9,CBTXT-20260728-50bf58bec9837f8314a6,rating_lane_001,378,AZ,West,Phoenix,Maricopa County (04013; primary),2026-2028 Unit 4 (PLEA) MOU - FINAL,mou_or_memorandum,cba,aca948542c1ed25b465759582b2c00e2f9e39d78033a8d278c429707f93861b4,babe205a4e77bac26f218684de56a16d85f25267f39a04b91100e7e22135a54f,87c3473d26c7658e12063a60857d8a06ef8fc7242518f6ab2ffe01105fb4fd26,quantitative_compensation,weak_or_not_compensation_relevant,unknown_or_needs_rating,unknown_or_needs_review,contract_period,contract_period,weak,weak,weak,not_applicable,not_applicable,neutral_or_unclear,weak,quantitative_compensation_claim,1104(A)(2) in effect during the term of this agreement. ,true,mentions_rule_effect_during_agreement_term_no_comp_amount,candidate exact-span rating only; not ingested; not codified; not causal; no wage-gap or national-prevalence claim; global analysis readiness remains false,true,true,false,valid_rating,,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0ba505eabcf01371006a695d581b1c81958d08ae9f90441a1f,1,not_ingested,not_codified,not_causal_evidence,"Bounded live exact-span rating; not a wage-gap estimate, causal result, or globally analysis-ready record."
CBRATING-20260728-c562c2ff7fc70a00c11183ee,CBSPAN-20260728-7a4696980f54c5337974a9e8,CBSRD-20260728-5238ec245ce3f0d8820a,CBCR-20260728-02935,B4XPAR-20260727-003185,BCV-20260728-05900,CBTXT-20260728-d62121bbeda0b2c23603,CBRDY-20260728-0bc4eb48cc0f3ecc7b0c,CBTXT-20260728-d62121bbeda0b2c23603,rating_lane_001,410,AZ,West,Phoenix,Maricopa County (04013; primary),2026-2028 Unit 2 (AFSCME 2384) MOU - FINAL,mou_or_memorandum,cba,21b88c844ba1ef271560fbc04a07af1fac4a3e5190b0ebad2e41c79836eef1d2,afe269c71b3011d0b853762039987f18d8bc54c276548d48649f7ad4ba1da69a,77d372f8af849d21eb51706113d4eff1b0a4f3a2630e8e96f3cfcb90c911396c,quantitative_compensation,weak_or_not_compensation_relevant,unknown_or_needs_rating,unknown_or_needs_review,contract_period,contract_period,weak,weak,moderate,not_applicable,not_supported,not_applicable,weak,context_only,City shall at the written request of the Union during the term of this agreement,true,contract_term_reference_only_not_compensation_mechanism,candidate exact-span rating only; not ingested; not codified; not causal; no wage-gap or national-prevalence claim; global analysis readiness remains false,true,true,false,valid_rating,,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0263ee7fe316acb9006a695d64a92c8196a5744c7b0a486d69,1,not_ingested,not_codified,not_causal_evidence,"Bounded live exact-span rating; not a wage-gap estimate, causal result, or globally analysis-ready record."
CBRATING-20260728-bc30c45c90d03ea14589170a,CBSPAN-20260728-40341a9186a81f8056190043,CBSRD-20260728-5238ec245ce3f0d8820a,CBCR-20260728-02935,B4XPAR-20260727-003185,BCV-20260728-05900,CBTXT-20260728-d62121bbeda0b2c23603,CBRDY-20260728-0bc4eb48cc0f3ecc7b0c,CBTXT-20260728-d62121bbeda0b2c23603,rating_lane_001,413,AZ,West,Phoenix,Maricopa County (04013; primary),2026-2028 Unit 2 (AFSCME 2384) MOU - FINAL,mou_or_memorandum,cba,21b88c844ba1ef271560fbc04a07af1fac4a3e5190b0ebad2e41c79836eef1d2,afe269c71b3011d0b853762039987f18d8bc54c276548d48649f7ad4ba1da69a,5407460a00f1c4971e5a4f2ff85bc5bc69c13f2e4386e0ae6dd12053315295f8,quantitative_compensation,weak_or_not_compensation_relevant,unknown_or_needs_rating,not_applicable,contract_period,contract_period,not_applicable,weak,weak,not_applicable,not_supported,not_applicable,weak,context_only,during the term of this agreement.,true,span_only_mentions_contract_term_not_pay_or_compensation,candidate exact-span rating only; not ingested; not codified; not causal; no wage-gap or national-prevalence claim; global analysis readiness remains false,true,true,false,valid_rating,,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_07058c2333d34235006a695d6528f48193a4229e2b1c1f45fb,1,not_ingested,not_codified,not_causal_evidence,"Bounded live exact-span rating; not a wage-gap estimate, causal result, or globally analysis-ready record."
CBRATING-20260728-bcf94ed0931dd9eafd920a3f,CBSPAN-20260728-74dfe4b909a9050e7d947bbb,CBSRD-20260728-a0748b309e12cb49dd4d,CBCR-20260728-06151,B4XPAR-20260727-006701,BCV-20260728-00468,CBTXT-20260728-9c3e1e360d7fc9c1d4c9,CBRDY-20260728-08d0950e5d1580d6e955,CBTXT-20260728-9c3e1e360d7fc9c1d4c9,rating_lane_001,437,AZ,West,Somerton,Yuma County (04027; primary),City Council - 18 Jul 2023 (Position Salary Grade / Salary Schedule document),wage_schedule,wage_schedule_or_compensation_plan,c062ff78414181ebb9d8c050f14d72108549d1e1476c9ef6177c4739d00d213e,ab087fe654abc3324c1b7b93faa839c9849a03fde9d1729a32004c9ebdd34735,f382054cc23315adf3527b6eff9a2cabd33900740e8131b779132164721f8115,quantitative_compensation,weak_or_not_compensation_relevant,unknown_or_needs_rating,not_applicable,contract_period,contract_period,not_supported,not_supported,not_supported,not_applicable,not_supported,neutral_or_unclear,not_supported,not_claim_ready,during the term of this Agreement,true,span_mentions_agreement_term_but_no_wage_or_pay_compensation,candidate exact-span rating only; not ingested; not codified; not causal; no wage-gap or national-prevalence claim; global analysis readiness remains false,true,true,false,valid_rating,,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0b7da68141e81d99006a695d6f60c481948d997e88a306f68a,1,not_ingested,not_codified,not_causal_evidence,"Bounded live exact-span rating; not a wage-gap estimate, causal result, or globally analysis-ready record."
