municipality,valid_rating_count,evidence_strength_counts,claim_relevance_counts
Abbeville,5,"{""moderate"": 1, ""strong"": 1, ""weak"": 3}","{""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 2}"
Aberdeen,3,"{""moderate"": 1, ""not_supported"": 1, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1}"
Abington,16,"{""moderate"": 3, ""not_supported"": 1, ""strong"": 7, ""weak"": 5}","{""context_only"": 5, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 8}"
Adams,5,"{""moderate"": 2, ""weak"": 3}","{""context_only"": 2, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1, ""source_navigation_claim"": 1}"
Adel,5,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 1, ""weak"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 3, ""source_navigation_claim"": 1}"
Ainsworth,3,"{""moderate"": 2, ""weak"": 1}","{""context_only"": 1, ""documentary_mechanism_claim"": 1, ""source_navigation_claim"": 1}"
Airmont,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Airway Heights,1,"{""weak"": 1}","{""context_only"": 1}"
Akutan,2,"{""not_supported"": 1, ""weak"": 1}","{""context_only"": 1, ""not_claim_ready"": 1}"
Alabaster,7,"{""moderate"": 1, ""not_supported"": 4, ""strong"": 1, ""weak"": 1}","{""context_only"": 4, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Alberton,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Albia,3,"{""strong"": 3}","{""direct_text_claim"": 1, ""quantitative_compensation_claim"": 2}"
Albion,39,"{""moderate"": 9, ""not_supported"": 4, ""strong"": 6, ""weak"": 20}","{""context_only"": 18, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 6, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 8, ""source_navigation_claim"": 1}"
Albuquerque,12,"{""moderate"": 2, ""strong"": 3, ""weak"": 7}","{""context_only"": 6, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Alburgh,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Alcester,3,"{""strong"": 3}","{""direct_text_claim"": 1, ""quantitative_compensation_claim"": 2}"
