span_rating_id,span_extraction_id,source_review_download_id,combined_review_id,source_candidate_id,verification_row_id,extraction_id,readiness_id,extracted_text_id,rating_lane_id,rating_lane_sequence,state,region,municipality,county,source_title,source_family_hint,document_type_hint,retained_file_sha256,extracted_text_sha256,span_sha256,evidence_family_input,evidence_family_rated,mechanism_label_input,mechanism_label_rated,quantitative_label_input,quantitative_label_rated,documentary_mechanism_support,direct_text_support,quantitative_compensation_support,source_navigation_support,provisional_causal_candidate_support,direction_of_pressure,evidence_strength,claim_relevance,quote_used,quote_exact_substring,reason_code,claim_boundary,no_wage_gap_claim,no_final_causal_claim,global_analysis_readiness,rating_status,quarantine_reason,gabriel_backend,gabriel_model,gabriel_request_id,gabriel_attempt_count,ingestion_status,codification_status,causal_status,notes
CBRATING-20260728-6d6ab09b00a18f6df9bcc23e,CBSPAN-20260728-fac72a9ec1d680dacbcdaa5d,CBSRD-20260728-bb27a58b1984f6fb461f,CBCR-20260728-02897,B4XPAR-20260727-003143,BCV-20260728-05040,CBTXT-20260728-245c7cd3e3b60ae3f415,CBRDY-20260728-44fecf4dc7dde1f79423,CBTXT-20260728-245c7cd3e3b60ae3f415,rating_lane_001,17,AK,West,Delta Junction,Southeast Fairbanks Census Area (02240; primary),City of Delta Junction Employee Policy Plan (with Employee Salary Schedule / Pay Schedule attachments),wage_schedule,wage_schedule_or_compensation_plan,85a2f3129155fce9ea08d276ea9e4f517ac0dc3b5c2e62f2991773e38fff1700,1bb32aada75d1930d66f0bce26a62f08ff102fdc03d0c9b481316c6f2c1d3462,5425c27015224944ed945041c1ed0e2f05c3c4adc9c0d131743933b823074bd6,quantitative_compensation,source_navigation_reference,unknown_or_needs_rating,unknown_or_needs_review,salary_schedule,salary_schedule,not_supported,not_supported,not_supported,moderate,not_applicable,not_applicable,weak,source_navigation_claim,Attachment – Employee Salary Schedule                    Page 18,true,page_attachment_salary_schedule_only_navigation_no_compensation_terms,candidate exact-span rating only; not ingested; not codified; not causal; no wage-gap or national-prevalence claim; global analysis readiness remains false,true,true,false,valid_rating,,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0424544a86162de9006a695c971d40819096c05f14f376de46,1,not_ingested,not_codified,not_causal_evidence,"Bounded live exact-span rating; not a wage-gap estimate, causal result, or globally analysis-ready record."
CBRATING-20260728-f5d87408b1e6efa8cb8eae9f,CBSPAN-20260728-f2416423aa663a310cfbfbf4,CBSRD-20260728-6c11ac3e14b3133c9a04,CBCR-20260728-06452,BSSC-20260727-00015,BCV-20260728-01350,CBTXT-20260728-3466362f0d875c35f7e2,CBRDY-20260728-f89e172eea1b77bf642a,CBTXT-20260728-3466362f0d875c35f7e2,rating_lane_001,82,AK,West,Nome,,"Collective Bargaining Agreement between City of Nome and City of Nome Employees Association, Local #6141 (APEA/AFT (AFL-CIO)) — “City of Nome Final Contract 2022”",cba,cba,0300d6d501a2eeb0ebd5e99bee36a30e5a6fedb3fdf840e71b554f64b4c23c6b,3da6dadd6985d139ad6ebb48b8de9eb198dc410762c17f8319c46d548c353651,9601d9bd9a6d16dae67c6723aeff4d6e961595988ba0d96c1a6f166c810fe931,source_navigation_reference,source_navigation_reference,unknown_or_needs_rating,not_applicable,unknown_quantitative_compensation,not_applicable,not_supported,not_supported,not_supported,moderate,not_applicable,not_applicable,weak,context_only,"JOB CLASSIFICATIONS, COMPENSATION AND PAY ADMINISTRATION",true,heading_only_no_compensation_terms,candidate exact-span rating only; not ingested; not codified; not causal; no wage-gap or national-prevalence claim; global analysis readiness remains false,true,true,false,valid_rating,,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_04e138984092bdc7006a695cb3b11081948323a1fe8b3ce2ea,1,not_ingested,not_codified,not_causal_evidence,"Bounded live exact-span rating; not a wage-gap estimate, causal result, or globally analysis-ready record."
CBRATING-20260728-5766d3bc4e27987f462a81cc,CBSPAN-20260728-8d37170b865356bb7c104a19,CBSRD-20260728-5274f8613bae83866a6b,CBCR-20260728-04071,B4XPAR-20260727-004428,BCV-20260728-02179,CBTXT-20260728-437f9f6eaa9c0bf9329e,CBRDY-20260728-e8324b4ac39ba1577aa5,CBTXT-20260728-437f9f6eaa9c0bf9329e,rating_lane_001,163,AL,South,Andalusia,Covington County (01039; primary),Resolution No. 2007-25 (amending Personnel Policies & Procedures to reflect changes in the Pay Plan) — includes Classification and Pay Plan tables,budget_or_pay_plan,ordinance_or_policy,7715d1c94fb0c7f5747e96746c6e08898b2fa23257664159ecba345423860b4b,c9c515614cf1a363f48b03ff44399b3cac6299548f0e67ff94c347d5f32e55d1,49aa73d08e22eb0600d9a5637586cff9de3460dba42f2b91b778aff95be05e80,source_navigation_reference,source_navigation_reference,unknown_or_needs_rating,unknown_or_needs_review,unknown_quantitative_compensation,not_applicable,moderate,moderate,not_supported,strong,not_supported,not_applicable,moderate,source_navigation_claim,Step Pay Plan Attached and Made a Part of the Classification and Pay Plan,true,attached_pay_plan_reference_no_compensation_amount,candidate exact-span rating only; not ingested; not codified; not causal; no wage-gap or national-prevalence claim; global analysis readiness remains false,true,true,false,valid_rating,,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_00eed3c884f0468d006a695cd087608194b8cb4c20b289f61c,1,not_ingested,not_codified,not_causal_evidence,"Bounded live exact-span rating; not a wage-gap estimate, causal result, or globally analysis-ready record."
CBRATING-20260728-f7e44fb3e588811ec4e6c7b7,CBSPAN-20260728-23d943d903d0e52c4b5becd8,CBSRD-20260728-416656cd2fc72a4df6c3,CBCR-20260728-05680,B4XPAR-20260727-006182,BCV-20260728-04581,CBTXT-20260728-4ab27c64d5751b5c2308,CBRDY-20260728-b1146654d5243a49cc25,CBTXT-20260728-4ab27c64d5751b5c2308,rating_lane_001,164,AL,South,Calera,Shelby County (01117; primary); Chilton County (01021),Agenda (includes attachment labels) — City of Calera Police Department Classification Plan and City of Calera Police Pay Scale (Resolution No. 2025-45 listed),wage_schedule,agenda_cover_sheet,923af5287ed16006ec24b5b63963ff350a2213539be4fefdd6751ec882c2fdc2,e7e23c61ce7fec809749d7838b8bf549c84f11684235f214cd4ab25c502564ae,be8d5df1e373d8d0b0488582a86373c995c3d5df02657ecaea183bb05ced9ad2,quantitative_compensation,source_navigation_reference,unknown_or_needs_rating,unknown_or_needs_review,classification_compensation_plan,classification_compensation_plan,not_applicable,not_supported,not_supported,strong,not_applicable,not_applicable,strong,source_navigation_claim,City of Calera Police Department Classification Plan,true,title_only_classification_plan_no_amount_or_mechanism,candidate exact-span rating only; not ingested; not codified; not causal; no wage-gap or national-prevalence claim; global analysis readiness remains false,true,true,false,valid_rating,,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0390cf32f3064f58006a695cd084f48194acdc715fd88e903e,1,not_ingested,not_codified,not_causal_evidence,"Bounded live exact-span rating; not a wage-gap estimate, causal result, or globally analysis-ready record."
CBRATING-20260728-63ffbaf5c6759ada6abc19aa,CBSPAN-20260728-9eeb3aaf65da3a967004cb6b,CBSRD-20260728-74e2e6887ef825a9d106,CBCR-20260728-06479,BSSC-20260727-00042,BCV-20260728-04631,CBTXT-20260728-253678c02e466394e663,CBRDY-20260728-72058cccdf7ae5e04fea,CBTXT-20260728-253678c02e466394e663,rating_lane_001,171,AL,South,Gadsden,,RESOLUTION NO. R-192-21 — Amending Section 1 of Resolution R-403-04 (as amended) Regarding Steps in Pay Plan,budget_or_pay_plan,ordinance_or_policy,4be37adadfc68059228884e212f1b648b16d5e73b81e009eb2d2f1f28c683fbb,8e41d78985e59c5bd8c1291fce336e102f746efb5bb118264632312a97680351,2f3e4295f905e63a23c6a9e9661b9dd1348f50bcb7f238d1c23bf922a0f62086,source_navigation_reference,source_navigation_reference,unknown_or_needs_rating,automatic_raise_mechanism,unknown_quantitative_compensation,percentage_raise,moderate,moderate,moderate,strong,not_supported,not_applicable,moderate,context_only,"The plan consists of 25
pay ranges with a difference of five per cent (5%) between each range. ",true,pay_plan_steps_ranges_defined_percent_difference_no_causal_language,candidate exact-span rating only; not ingested; not codified; not causal; no wage-gap or national-prevalence claim; global analysis readiness remains false,true,true,false,valid_rating,,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_022927699ee05bf8006a695cd2e6b08197bea764735d5862dc,1,not_ingested,not_codified,not_causal_evidence,"Bounded live exact-span rating; not a wage-gap estimate, causal result, or globally analysis-ready record."
CBRATING-20260728-41e9fa13500a753c4b8038d4,CBSPAN-20260728-f732362104c7aa396fcf500a,CBSRD-20260728-70b95c8c6b246e751ee2,CBCR-20260728-06492,BSSC-20260727-00059,BCV-20260728-07328,CBTXT-20260728-86ac99a43b7354e707e1,CBRDY-20260728-bfff7ff749d851cbc0cd,CBTXT-20260728-86ac99a43b7354e707e1,rating_lane_001,218,AR,South,El Dorado,,City of El Dorado 2014 Budget (Appendix: Pay Plan Classification and Salary Schedule),budget_or_pay_plan,wage_schedule_or_compensation_plan,09e53da56044e8d434e0dc0bf0f233260aa0aac7fdbf13986e26dc6289d87bd4,2997d100dde187de1c781d895cfcaefcbb7026144d237a2caaff8531389811dc,b29c866454d94b184069ee65d3f6325590358d3fce28c5c2884c75a26036954c,source_navigation_reference,source_navigation_reference,unknown_or_needs_rating,unknown_or_needs_review,unknown_quantitative_compensation,not_applicable,weak,weak,not_supported,moderate,not_applicable,not_applicable,weak,context_only,"“EXHIBIT A”
                            CITY OF EL DORADO
                          PAY PLAN CLASSIFICATION",true,exhibit_title_only_no_pay_terms_present,candidate exact-span rating only; not ingested; not codified; not causal; no wage-gap or national-prevalence claim; global analysis readiness remains false,true,true,false,valid_rating,,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0929f8df0f8160f0006a695ce46a7c8190979c6704a0b99d6e,1,not_ingested,not_codified,not_causal_evidence,"Bounded live exact-span rating; not a wage-gap estimate, causal result, or globally analysis-ready record."
CBRATING-20260728-fcee57bf986f19100655abcb,CBSPAN-20260728-dd2e26820ca27b794bdcf13c,CBSRD-20260728-70b95c8c6b246e751ee2,CBCR-20260728-06492,BSSC-20260727-00059,BCV-20260728-07328,CBTXT-20260728-86ac99a43b7354e707e1,CBRDY-20260728-bfff7ff749d851cbc0cd,CBTXT-20260728-86ac99a43b7354e707e1,rating_lane_001,219,AR,South,El Dorado,,City of El Dorado 2014 Budget (Appendix: Pay Plan Classification and Salary Schedule),budget_or_pay_plan,wage_schedule_or_compensation_plan,09e53da56044e8d434e0dc0bf0f233260aa0aac7fdbf13986e26dc6289d87bd4,2997d100dde187de1c781d895cfcaefcbb7026144d237a2caaff8531389811dc,229c7c0f4d1067abb83ac9021e0b4e6a34f4bb814ba6eccfcf5c1bcc8b4b28b3,source_navigation_reference,source_navigation_reference,unknown_or_needs_rating,unknown_or_needs_review,unknown_quantitative_compensation,unknown_quantitative_compensation,not_supported,not_supported,not_supported,moderate,not_supported,not_applicable,weak,context_only,2013 SALARY SCHEDULE,true,span_is_header_without_compensation_or_mechanism_details,candidate exact-span rating only; not ingested; not codified; not causal; no wage-gap or national-prevalence claim; global analysis readiness remains false,true,true,false,valid_rating,,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_00c8d9e8c844dada006a695ce48f848190ad4a7a5a01e54dd8,1,not_ingested,not_codified,not_causal_evidence,"Bounded live exact-span rating; not a wage-gap estimate, causal result, or globally analysis-ready record."
CBRATING-20260728-b66f7c39585b8b43bbe60dfa,CBSPAN-20260728-5a31a82bca1904884f2c7b18,CBSRD-20260728-dcf720e2e9bd3bd6669d,CBCR-20260728-06493,BSSC-20260727-00060,BCV-20260728-03042,CBTXT-20260728-95a435d0e38dea6eaac8,CBRDY-20260728-3800611489d1820e6bbe,CBTXT-20260728-95a435d0e38dea6eaac8,rating_lane_001,230,AR,South,El Dorado,,City of El Dorado 2015 Budget (Appendix: Pay Plan Classification and Salary Schedule),budget_or_pay_plan,wage_schedule_or_compensation_plan,771e96e8c30cf1d107896fbe9e29343ad14959cf8832aeb182a8fde587257f76,488288852d75d3b66d8bfe3dcf3a307b5c4b7e81334227fc36c9dce264f99c99,fd81291d87cc7c5105e850b36f661a9ed5f8e76bd8e98fc9a79faae377f36876,source_navigation_reference,source_navigation_reference,unknown_or_needs_rating,unknown_or_needs_review,unknown_quantitative_compensation,not_applicable,weak,weak,not_supported,moderate,not_applicable,not_applicable,weak,context_only,"""EXHIBIT A""",true,pay_plan_exhibit_heading_only_no_comp_values,candidate exact-span rating only; not ingested; not codified; not causal; no wage-gap or national-prevalence claim; global analysis readiness remains false,true,true,false,valid_rating,,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_06e91681abe53fc1006a695cec7be08193bd6384386e7c292a,1,not_ingested,not_codified,not_causal_evidence,"Bounded live exact-span rating; not a wage-gap estimate, causal result, or globally analysis-ready record."
CBRATING-20260728-803dad376aa8d8cd422637d0,CBSPAN-20260728-0c01deb9c16008ef9208e637,CBSRD-20260728-dcf720e2e9bd3bd6669d,CBCR-20260728-06493,BSSC-20260727-00060,BCV-20260728-03042,CBTXT-20260728-95a435d0e38dea6eaac8,CBRDY-20260728-3800611489d1820e6bbe,CBTXT-20260728-95a435d0e38dea6eaac8,rating_lane_001,231,AR,South,El Dorado,,City of El Dorado 2015 Budget (Appendix: Pay Plan Classification and Salary Schedule),budget_or_pay_plan,wage_schedule_or_compensation_plan,771e96e8c30cf1d107896fbe9e29343ad14959cf8832aeb182a8fde587257f76,488288852d75d3b66d8bfe3dcf3a307b5c4b7e81334227fc36c9dce264f99c99,c026195e5f7990aac74fd4337846d582a2826835c07bd70b7bd4d981f6ca7f13,source_navigation_reference,source_navigation_reference,unknown_or_needs_rating,unknown_or_needs_review,unknown_quantitative_compensation,not_applicable,not_applicable,not_applicable,not_applicable,moderate,not_applicable,not_applicable,weak,context_only,2015 SALARY SCHEDULE,true,heading_context_only_no_pay_terms,candidate exact-span rating only; not ingested; not codified; not causal; no wage-gap or national-prevalence claim; global analysis readiness remains false,true,true,false,valid_rating,,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_021f1b42272ec54b006a695cf7949c8190b7843290b9133510,2,not_ingested,not_codified,not_causal_evidence,"Bounded live exact-span rating; not a wage-gap estimate, causal result, or globally analysis-ready record."
CBRATING-20260728-6135590fd37cf04a7b32f54a,CBSPAN-20260728-5bca39f49611edf178b1f2d0,CBSRD-20260728-ba9945598f23e38a625c,CBCR-20260728-02479,B4XPAR-20260727-002679,BCV-20260728-07687,CBTXT-20260728-44171c26b1e06e099782,CBRDY-20260728-e7849d6fb4aea66ff946,CBTXT-20260728-44171c26b1e06e099782,rating_lane_001,256,AR,South,Little Rock,Pulaski County (05119; primary),Memorandum of Agreement (International Association of Firefighters) — City of Little Rock,wage_schedule,memorandum_or_settlement,48bd0b9728677436cfd53208735767bf9d35c013c350b3e2a76a8c421c955f13,be92f25dfff24484dd209a20b54b37db7a70741e42e79cebdca11c6499e87e4e,0df3a1797933aebe0b84a37eea3f608a802bf31930560db0f01ef604337eff71,source_navigation_reference,source_navigation_reference,unknown_or_needs_rating,unknown_or_needs_review,unknown_quantitative_compensation,not_applicable,not_supported,not_supported,not_supported,moderate,not_supported,not_applicable,weak,context_only,"SALARY SCHEDULE, LONGEVITY PAY, AND EMT PAY",true,appendix_heading_no_compensation_terms_present,candidate exact-span rating only; not ingested; not codified; not causal; no wage-gap or national-prevalence claim; global analysis readiness remains false,true,true,false,valid_rating,,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0b82e5f7f99983af006a695cf571388194ae290894e3b4c77d,1,not_ingested,not_codified,not_causal_evidence,"Bounded live exact-span rating; not a wage-gap estimate, causal result, or globally analysis-ready record."
