readiness_id,source_review_download_id,combined_review_id,source_candidate_id,verification_row_id,candidate_origin,lane_id,lane_sequence,state,region,municipality,county,source_title,source_locator_or_url,final_canonical_locator,source_domain,source_family_hint,document_type_hint,source_review_priority,retained_file_path,retained_file_type,retained_file_size_bytes,retained_file_sha256,file_extension,detected_file_type,download_status,source_review_status,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,notes,file_integrity_status,page_count,pdf_encrypted_or_locked,pdf_has_text_layer_hint,html_text_readiness_hint,other_document_text_readiness_hint,readiness_status,readiness_reason
CBRDY-20260728-6d01da70adaa7e3c0c9b,CBSRD-20260728-747f9aa1be605683594a,CBCR-20260728-01848,B4XPAR-20260727-002003,BCV-20260728-07577,broad_4x1000_deduped,readiness_lane_002,1,MO,Midwest,Joplin,Jasper County (29097; primary); Newton County (29145),"Salary Administration Plan for Classified and Unclassified Positions (Exhibit A) — effective January 1, 2026",https://www.joplinmo.org/DocumentCenter/View/14220/Salary-Administration-Plan-for-Unclassified-and-Classified-effective-January-1-2026,https://joplinmo.org/DocumentCenter/View/14220/Salary-Administration-Plan-for-Unclassified-and-Classified-effective-January-1-2026,joplinmo.org,wage_schedule,wage_schedule_or_compensation_plan,high,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-747f9aa1be605683594a.pdf,pdf,302820,c11aa7779333027609e9848cd759250a41bb41fec561aa25bf2f4a2ef4301108,.pdf,pdf,downloaded_or_retained,retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked local-only readiness row; no extraction, OCR, rendering, rating, ingestion, codification, or analysis.",integrity_pass,4,false,true,not_applicable,not_applicable,parse_text_layer_later,bounded_first_three_pages_show_machine_readable_text_layer
CBRDY-20260728-e0d521e0eac350f11ac4,CBSRD-20260728-a42674a00357b66698aa,CBCR-20260728-00258,B4XPAR-20260727-000284,BCV-20260728-00017,broad_4x1000_deduped,readiness_lane_002,2,MO,Midwest,Kansas City,Jackson County (29095; primary); Cass County (29037); Clay County (29047); Platte County (29165),Collective Bargaining Agreement — Local 500 Kansas City (AFSCME) (CBA term page),https://afscme500.org/cba,https://afscme500.org/cba,afscme500.org,wage_schedule,cba,high,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-a42674a00357b66698aa.html,html,53889,8934fd56e178b7147135a30b74c81bd1c8f07e503f68cf68806e8d528e4e3821,.html,html,downloaded_or_retained,retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked local-only readiness row; no extraction, OCR, rendering, rating, ingestion, codification, or analysis.",integrity_pass,,not_applicable,not_applicable,text_ready,not_applicable,html_text_later,bounded_html_structure_has_usable_visible_text
CBRDY-20260728-9177d265abdae21c8b2f,CBSRD-20260728-77e0fbf71d9eec93ba68,CBCR-20260728-05089,B4XPAR-20260727-005552,BCV-20260728-06806,broad_4x1000_deduped,readiness_lane_002,3,MO,Midwest,Kennett,Dunklin County (29069; primary),City of Kennett Employee Handbook (Pay Practices and Promotions; Pay Periods; Overtime; Pay Deductions/Garnishments and Collections),https://cityofkennettmo.com/documents/219/Handbook_FINAL.pdf,https://cityofkennettmo.com/documents/219/Handbook_FINAL.pdf,cityofkennettmo.com,other_local_government_pay_policy,ordinance_or_policy,high,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-77e0fbf71d9eec93ba68.pdf,pdf,1510550,43d5a07cf3089b95a8ee5e60c2f090a3e7a4c20b36fac41245395cf60d5d4465,.pdf,pdf,downloaded_or_retained,retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked local-only readiness row; no extraction, OCR, rendering, rating, ingestion, codification, or analysis.",integrity_pass,72,false,true,not_applicable,not_applicable,parse_text_layer_later,bounded_first_three_pages_show_machine_readable_text_layer
CBRDY-20260728-646945d4bb7d90f58bf7,CBSRD-20260728-cb2bec27e9a78729687c,CBCR-20260728-05090,B4XPAR-20260727-005553,BCV-20260728-00376,broad_4x1000_deduped,readiness_lane_002,4,MO,Midwest,Kennett,Dunklin County (29069; primary),"July 21, 2026 City Council Meeting Agenda & Packet",https://cityofkennettmo.com/documents/219/07.21.2026_City_Council_Meeting_Agenda___Packet.pdf,https://cityofkennettmo.com/documents/219/07.21.2026_City_Council_Meeting_Agenda___Packet.pdf,cityofkennettmo.com,salary_ordinance,agenda_cover_sheet,high,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-cb2bec27e9a78729687c.pdf,pdf,1027725,4e429d3f344d511e653e802e6226d72e520badd49483bf708b0a2b3ee8fc3155,.pdf,pdf,downloaded_or_retained,retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked local-only readiness row; no extraction, OCR, rendering, rating, ingestion, codification, or analysis.",integrity_pass,19,false,false,not_applicable,not_applicable,ocr_later_or_defer,bounded_first_three_pages_do_not_show_usable_text_layer
CBRDY-20260728-67970d9997745bc2ad94,CBSRD-20260728-fca083b2c0f22d361291,CBCR-20260728-07004,BSSC-20260727-00612,BCV-20260728-07636,broad_490_preserved_review_queue,readiness_lane_002,5,MO,Midwest,Liberty,,City Council Regular Session (tentative agenda/minutes context referencing a collective bargaining agreement) — FOP Lodge 50,https://www.libertymissouri.gov/ArchiveCenter/ViewFile/Item/3871,https://libertymissouri.gov/ArchiveCenter/ViewFile/Item/3871,libertymissouri.gov,wage_schedule,agenda_cover_sheet,high,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-fca083b2c0f22d361291.pdf,pdf,121317,d26a372c06d66490e748eaff2164a2d87579d482e6e586009d833710b84ce812,.pdf,pdf,downloaded_or_retained,retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked local-only readiness row; no extraction, OCR, rendering, rating, ingestion, codification, or analysis.",integrity_pass,8,false,true,not_applicable,not_applicable,parse_text_layer_later,bounded_first_three_pages_show_machine_readable_text_layer
CBRDY-20260728-df0f0c63812a3774600a,CBSRD-20260728-974e3fad3094382b6012,CBCR-20260728-00261,B4XPAR-20260727-000287,BCV-20260728-07796,broad_4x1000_deduped,readiness_lane_002,6,MO,Midwest,Moberly,Randolph County (29175; primary),"City of Moberly – Classification and Compensation Scale – July 10, 2023",https://mccmeetingspublic.blob.core.usgovcloudapi.net/moberly-meet-a547cc3e3b744d4fbdd8661cf54e8de4/ITEM-Attachment-001-cfc49dea4dc34634806cb1ef5ac538e0.pdf,https://mccmeetingspublic.blob.core.usgovcloudapi.net/moberly-meet-a547cc3e3b744d4fbdd8661cf54e8de4/ITEM-Attachment-001-cfc49dea4dc34634806cb1ef5ac538e0.pdf,mccmeetingspublic.blob.core.usgovcloudapi.net,wage_schedule,wage_schedule_or_compensation_plan,high,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-974e3fad3094382b6012.pdf,pdf,193710,d2bd3a9c0734e380864bc8645790917758d7cd6e5fd382f5dfbc8bbf7cb93035,.pdf,pdf,downloaded_or_retained,retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked local-only readiness row; no extraction, OCR, rendering, rating, ingestion, codification, or analysis.",integrity_pass,2,false,true,not_applicable,not_applicable,parse_text_layer_later,bounded_first_three_pages_show_machine_readable_text_layer
CBRDY-20260728-a36d2516598a3b4b8ade,CBSRD-20260728-83de8387595af6f8af86,CBCR-20260728-03489,B4XPAR-20260727-003795,BCV-20260728-03624,broad_4x1000_deduped,readiness_lane_002,7,MO,Midwest,Neosho,Newton County (29145; primary),City of Neosho Adopted Annual Operating Budget (FY 2019-2020) — includes salary schedule (Exhibit “A” referenced in council-bill ordinance),https://www.neoshomo.gov/ArchiveCenter/ViewFile/Item/55,https://neoshomo.gov/ArchiveCenter/ViewFile/Item/55,neoshomo.gov,budget_or_pay_plan,wage_schedule_or_compensation_plan,high,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-83de8387595af6f8af86.pdf,pdf,3676578,3b525fdebffb0c80ea745e57dfc67025c5375d5b31aec6eefd28173dc6543583,.pdf,pdf,downloaded_or_retained,retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked local-only readiness row; no extraction, OCR, rendering, rating, ingestion, codification, or analysis.",integrity_pass,120,false,true,not_applicable,not_applicable,parse_text_layer_later,bounded_first_three_pages_show_machine_readable_text_layer
CBRDY-20260728-6b5e99f6022c35d9f7cb,CBSRD-20260728-776991f45ada1e67c4e2,CBCR-20260728-03490,B4XPAR-20260727-003796,BCV-20260728-05768,broad_4x1000_deduped,readiness_lane_002,8,MO,Midwest,Neosho,Newton County (29145; primary),City of Neosho Adopted Annual Operating Budget (FY 2023-2024) — includes salary schedule (Exhibit “A” referenced in council-bill ordinance),https://www.neoshomo.gov/ArchiveCenter/ViewFile/Item/79,https://neoshomo.gov/ArchiveCenter/ViewFile/Item/79,neoshomo.gov,budget_or_pay_plan,wage_schedule_or_compensation_plan,high,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-776991f45ada1e67c4e2.pdf,pdf,3055456,d0d9da05f421a8bc75ae3cf7be14aab75c8c61e44a5911e3b6955e230f1db711,.pdf,pdf,downloaded_or_retained,retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked local-only readiness row; no extraction, OCR, rendering, rating, ingestion, codification, or analysis.",integrity_pass,170,false,true,not_applicable,not_applicable,parse_text_layer_later,bounded_first_three_pages_show_machine_readable_text_layer
CBRDY-20260728-0b46f270377dde82bbf0,CBSRD-20260728-356807ff4da7823a8a8e,CBCR-20260728-08804,TS4L-cebfaad67aaa6943ddcf,BCV-20260728-05700,targeted_prior_unrouted,readiness_lane_002,9,MO,Midwest,Nixa,,MNEA — Salary Benchmarks & Rankings 2024-2025 (includes Nixa Public Schools),https://www.mnea.org/sites/default/files/publications/SalaryResearch/MNEA%20Salary%20Benchmarks_2024-2025.pdf,https://mnea.org/sites/default/files/publications/SalaryResearch/MNEA%20Salary%20Benchmarks_2024-2025.pdf,mnea.org,collective_bargaining_agreement_or_moa_or_wage_schedule,collective_bargaining_agreement_or_moa_or_wage_schedule,high,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-356807ff4da7823a8a8e.pdf,pdf,4581042,14ab8810da66169dbea76a73e5abcd1f0720b79f99ad9943e27c07a2677a8c7c,.pdf,pdf,downloaded_or_retained,retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked local-only readiness row; no extraction, OCR, rendering, rating, ingestion, codification, or analysis.",integrity_pass,107,false,true,not_applicable,not_applicable,parse_text_layer_later,bounded_first_three_pages_show_machine_readable_text_layer
CBRDY-20260728-377a8a80266a3d0de089,CBSRD-20260728-9fe87ccf52ad4d33458f,CBCR-20260728-03496,B4XPAR-20260727-003803,BCV-20260728-02570,broad_4x1000_deduped,readiness_lane_002,10,MO,Midwest,Odessa,Lafayette County (29107; primary),City of Odessa - Salary Compensation Schedule 2023/24,https://www.cityofodessamo.com/media/Departments/Finance/2023.2024%20Budget%20All%20Files.pdf,https://cityofodessamo.com/media/Departments/Finance/2023.2024%20Budget%20All%20Files.pdf,cityofodessamo.com,wage_schedule,wage_schedule_or_compensation_plan,high,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-9fe87ccf52ad4d33458f.pdf,pdf,650566,5d251cb6c9984bec4f99ac3e6d5a6f9a49fa577df42c6ab325e874671150045d,.pdf,pdf,downloaded_or_retained,retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked local-only readiness row; no extraction, OCR, rendering, rating, ingestion, codification, or analysis.",integrity_pass,26,false,true,not_applicable,not_applicable,parse_text_layer_later,bounded_first_three_pages_show_machine_readable_text_layer
