municipality,attempted_rows,retained_sources,excluded_or_deferred,retained_bytes,global_analysis_readiness
Abbeville,4,3,1,1392950,false
Aberdeen,1,1,0,164958,false
Abilene,1,1,0,100713,false
Abington,3,3,0,939273,false
Abita Springs,2,2,0,875270,false
Absecon,4,4,0,2885312,false
Acworth,4,3,1,107292,false
Ada,2,0,2,0,false
Adams,3,3,0,302550,false
Addis,4,0,4,0,false
Adel,1,1,0,7826415,false
Afton,2,2,0,623802,false
Agoura Hills,1,1,0,36101970,false
Aiken,2,0,2,0,false
Ainsworth,2,2,0,857628,false
Airmont,1,1,0,95219,false
Airway Heights,1,1,0,269867,false
Akutan,1,1,0,1617863,false
Alabaster,1,1,0,1085932,false
Alachua,2,0,2,0,false
Alamo,2,2,0,13873992,false
Alamosa,1,0,1,0,false
Alberton,3,3,0,222581,false
Albia,3,3,0,755285,false
Albion,6,6,0,11119715,false
Albuquerque,1,1,0,6916762,false
Alburgh,3,3,0,715347,false
Alcester,1,1,0,164306,false
Alcoa,1,1,0,30200,false
Aleknagik,1,1,0,113505,false
Alexandria,1,1,0,5693315,false
Algoma,1,1,0,44225,false
Algona,1,1,0,6937551,false
Alice,1,1,0,193822,false
Allegan,1,1,0,852771,false
Allendale,2,2,0,1412589,false
Allendale charter,2,2,0,23670371,false
Allenstown,1,1,0,2715216,false
Alma,4,4,0,36036117,false
Alpena,3,3,0,13200581,false
Alpharetta,2,1,1,248235,false
Alpine,2,2,0,4011123,false
Alsip,4,4,0,103231798,false
Altavista,1,1,0,6822166,false
Alton,3,3,0,22236349,false
Alva,3,3,0,3921304,false
Alvin,3,3,0,16431268,false
Ambler,1,1,0,3552793,false
American,1,1,0,5568056,false
American Falls,2,1,1,127296,false
Americus,2,1,1,3761598,false
Amery,2,2,0,3030913,false
Amherst,8,8,0,44838840,false
Amite City,2,0,2,0,false
Amity,2,2,0,411560,false
Amityville,1,1,0,943467,false
Anadarko,1,0,1,0,false
Anaktuvuk Pass,1,1,0,820662,false
Anamosa,2,2,0,20485989,false
Andalusia,1,1,0,326946,false
Anderson,7,7,0,57710850,false
Andover,2,2,0,202577,false
Andrews,2,2,0,8051138,false
Angel Fire,1,1,0,1859286,false
Angleton,1,1,0,14817910,false
Angola,2,2,0,9497052,false
Angoon,3,2,1,862950,false
Anna,1,1,0,106612,false
Anniston,3,3,0,48767402,false
Ansted,2,2,0,6994951,false
Anthony,2,2,0,446031,false
Antioch,1,1,0,1840804,false
Antwerp,2,2,0,198325,false
Apache Junction,1,1,0,98820,false
Appalachia,1,1,0,423211,false
Apple Creek,1,1,0,13342,false
