source_review_download_id,combined_review_id,source_candidate_id,verification_row_id,candidate_origin,lane_id,lane_sequence,state,region,municipality,county,source_title,source_locator_or_url,final_canonical_locator,source_domain,source_family_hint,document_type_hint,source_review_priority,verification_status,http_status_code_from_verification,content_type_header_from_verification,candidate_review_status,source_review_download_status,final_download_url,download_http_status,final_content_type,final_content_length,file_extension,retained_file_type,retained_file_path,retained_file_size_bytes,retained_file_sha256,duplicate_file_hash,duplicate_of_source_review_download_id,redirect_count,download_attempt_count,download_started_at,download_completed_at,transport_error_type,source_review_reason,exclusion_or_defer_reason,verification_status_preserved,download_status,source_review_status,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,notes
CBSRD-20260728-8f57ca3daa780d4dc227,CBCR-20260728-02909,B4XPAR-20260727-003156,BCV-20260728-07095,broad_4x1000_deduped,source_review_lane_001,30,AK,West,Wainwright,North Slope Borough (02185; primary),"Wainwright Municipal Code (code library compilation) - may contain city ordinances/policies affecting municipal pay, personnel classifications, and/or wage-related rules",https://www.commerce.alaska.gov/web/Portals/4/pub/LGS/Code_library/Wainwright%20Code.pdf,https://commerce.alaska.gov/web/Portals/4/pub/LGS/Code_library/Wainwright%20Code.pdf,commerce.alaska.gov,other_local_government_pay_policy,ordinance_or_policy,high,verified_reachable,200,application/pdf,source_review_ready_high,oversized_for_this_pass,https://www.commerce.alaska.gov/web/Portals/4/pub/LGS/Code_library/Wainwright%20Code.pdf,200,application/pdf,85292638,,,,,,,,1,1,2026-07-28T19:18:07Z,2026-07-28T19:18:09Z,,content-length exceeds 75 MB pass limit,content-length exceeds 75 MB pass limit,true,not_downloaded,source_reviewed_not_retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source retrieval metadata only
CBSRD-20260728-b8f431704ba4f3d25eb4,CBCR-20260728-06471,BSSC-20260727-00034,BCV-20260728-01585,broad_490_preserved_review_queue,source_review_lane_001,36,AL,South,Bessemer,,CITY OF BESSEMER SALARY SCHEDULE (Regular Rates) — Effective 11/1/2025 (Acknowledged by Personnel Board 12/4/2025),https://www.pbjcal.org/documents/salary/03BS/regular.pdf,https://pbjcal.org/documents/salary/03BS/regular.pdf,pbjcal.org,wage_schedule,wage_schedule_or_compensation_plan,high,verified_reachable,200,application/pdf,source_review_ready_high,blocked_by_transport,,,,,,,,,,,,0,2,2026-07-28T19:18:10Z,2026-07-28T19:18:11Z,ConnectError,ConnectError after bounded retry,ConnectError after bounded retry,true,not_downloaded,source_reviewed_not_retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source retrieval metadata only
CBSRD-20260728-632d1cdf976ca8a688f0,CBCR-20260728-04072,B4XPAR-20260727-004429,BCV-20260728-05873,broad_4x1000_deduped,source_review_lane_001,38,AL,South,Center Point,Jefferson County (01073; primary),Center Point SALARY SCHEDULE (Regular) — Personnel Board of Jefferson County,https://www.pbjcal.org/documents/salary/27CP/regular.pdf,https://pbjcal.org/documents/salary/27CP/regular.pdf,pbjcal.org,wage_schedule,wage_schedule_or_compensation_plan,high,verified_reachable,200,application/pdf,source_review_ready_high,blocked_by_transport,,,,,,,,,,,,0,2,2026-07-28T19:18:11Z,2026-07-28T19:18:13Z,ConnectError,ConnectError after bounded retry,ConnectError after bounded retry,true,not_downloaded,source_reviewed_not_retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source retrieval metadata only
CBSRD-20260728-8e390f7b206f63937601,CBCR-20260728-04073,B4XPAR-20260727-004430,BCV-20260728-03730,broad_4x1000_deduped,source_review_lane_001,39,AL,South,Center Point,Jefferson County (01073; primary),City of Center Point PUBLIC SAFETY SALARY SCHEDULE — Personnel Board of Jefferson County,https://www.pbjcal.org/documents/salary/27CP/publicsafety.pdf,https://pbjcal.org/documents/salary/27CP/publicsafety.pdf,pbjcal.org,wage_schedule,wage_schedule_or_compensation_plan,high,verified_reachable,200,application/pdf,source_review_ready_high,blocked_by_transport,,,,,,,,,,,,0,2,2026-07-28T19:18:12Z,2026-07-28T19:18:13Z,ConnectError,ConnectError after bounded retry,ConnectError after bounded retry,true,not_downloaded,source_reviewed_not_retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source retrieval metadata only
CBSRD-20260728-06b0a1b598d92419ce10,CBCR-20260728-02441,B4XPAR-20260727-002636,BCV-20260728-05872,broad_4x1000_deduped,source_review_lane_001,45,AL,South,Fultondale,Jefferson County (01073; primary),"City of Fultondale Official Salary Schedule (Regular Rates) — April 1, 2026",https://www.pbjcal.org/documents/salary/06FD/regular.pdf,https://pbjcal.org/documents/salary/06FD/regular.pdf,pbjcal.org,wage_schedule,wage_schedule_or_compensation_plan,high,verified_reachable,200,application/pdf,source_review_ready_high,blocked_by_transport,,,,,,,,,,,,0,2,2026-07-28T19:18:14Z,2026-07-28T19:18:15Z,ConnectError,ConnectError after bounded retry,ConnectError after bounded retry,true,not_downloaded,source_reviewed_not_retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source retrieval metadata only
CBSRD-20260728-0f06884b55f8d085bfef,CBCR-20260728-02442,B4XPAR-20260727-002637,BCV-20260728-03729,broad_4x1000_deduped,source_review_lane_001,46,AL,South,Fultondale,Jefferson County (01073; primary),"City of Fultondale Official Firefighter Salary Schedule — April 1, 2026",https://www.pbjcal.org/documents/salary/06FD/Firefighter.pdf,https://pbjcal.org/documents/salary/06FD/Firefighter.pdf,pbjcal.org,wage_schedule,wage_schedule_or_compensation_plan,high,verified_reachable,200,application/pdf,source_review_ready_high,blocked_by_transport,,,,,,,,,,,,0,2,2026-07-28T19:18:15Z,2026-07-28T19:18:16Z,ConnectError,ConnectError after bounded retry,ConnectError after bounded retry,true,not_downloaded,source_reviewed_not_retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source retrieval metadata only
CBSRD-20260728-47a6cfb4c95e190a64e6,CBCR-20260728-02445,B4XPAR-20260727-002642,BCV-20260728-05331,broad_4x1000_deduped,source_review_lane_001,51,AL,South,Gulf Shores,Baldwin County (01003; primary),"Limited Classification and Compensation the City of Gulf Shores, AL (SMC proposal/docs attached to agenda item)",https://www.gulfshoresal.gov/AgendaCenter/ViewFile/Item/5956?fileID=10810,https://gulfshoresal.gov/AgendaCenter/ViewFile/Item/5956,gulfshoresal.gov,civil_service_or_hr_pay_plan,memorandum_or_settlement,high,verified_reachable,200,application/pdf,source_review_ready_high,unavailable_on_get,https://gulfshoresal.gov/AgendaCenter/ViewFile/Item/5956,404,text/html,100807,,,,,,,,0,1,2026-07-28T19:18:20Z,2026-07-28T19:18:21Z,,GET returned 404,GET returned 404,true,not_downloaded,source_reviewed_not_retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source retrieval metadata only
CBSRD-20260728-4afc87bc7b71856b1d85,CBCR-20260728-05690,B4XPAR-20260727-006192,BCV-20260728-08016,broad_4x1000_deduped,source_review_lane_001,52,AL,South,Hueytown,Jefferson County (01073; primary),CITY OF HUEYTOWN OFFICIAL SALARY SCHEDULE (Hourly Rate based on 2080 Annual Hours) — Effective 4/06/2026,https://www.pbjcal.org/documents/salary/09HT/Salary.pdf,https://pbjcal.org/documents/salary/09HT/Salary.pdf,pbjcal.org,wage_schedule,wage_schedule_or_compensation_plan,high,verified_reachable,200,application/pdf,source_review_ready_high,blocked_by_transport,,,,,,,,,,,,0,2,2026-07-28T19:18:21Z,2026-07-28T19:18:22Z,ConnectError,ConnectError after bounded retry,ConnectError after bounded retry,true,not_downloaded,source_reviewed_not_retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source retrieval metadata only
CBSRD-20260728-697c8108d8c0fd66dd6b,CBCR-20260728-02447,B4XPAR-20260727-002644,BCV-20260728-01586,broad_4x1000_deduped,source_review_lane_001,54,AL,South,Irondale,Jefferson County (01073; primary),CITY OF IRONDALE SALARY SCHEDULE (Regular Rates),https://www.pbjcal.org/documents/salary/16ID/regular.pdf,https://pbjcal.org/documents/salary/16ID/regular.pdf,pbjcal.org,wage_schedule,wage_schedule_or_compensation_plan,high,verified_reachable,200,application/pdf,source_review_ready_high,blocked_by_transport,,,,,,,,,,,,0,2,2026-07-28T19:18:22Z,2026-07-28T19:18:23Z,ConnectError,ConnectError after bounded retry,ConnectError after bounded retry,true,not_downloaded,source_reviewed_not_retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source retrieval metadata only
CBSRD-20260728-f929c8a8ec5ac931a0cd,CBCR-20260728-00843,B4XPAR-20260727-000908,BCV-20260728-08014,broad_4x1000_deduped,source_review_lane_001,84,AL,South,Tarrant,Jefferson County (01073; primary),CITY OF TARRANT — SALARY SCHEDULE (Annual Hours 2080) — 13TC Regular Salary Schedule Regular Rates,https://www.pbjcal.org/documents/salary/13TC/regular.pdf,https://pbjcal.org/documents/salary/13TC/regular.pdf,pbjcal.org,budget_or_pay_plan,wage_schedule_or_compensation_plan,high,verified_reachable,200,application/pdf,source_review_ready_high,blocked_by_transport,,,,,,,,,,,,0,2,2026-07-28T19:18:30Z,2026-07-28T19:18:31Z,ConnectError,ConnectError after bounded retry,ConnectError after bounded retry,true,not_downloaded,source_reviewed_not_retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,bounded source retrieval metadata only
