span_extraction_id,span_queue_id,extracted_text_id,extraction_id,readiness_id,source_review_download_id,combined_review_id,source_candidate_id,verification_row_id,lane_id,lane_sequence,state,region,municipality,source_title,source_family_hint,retained_file_sha256,extracted_text_artifact_path,extracted_text_sha256,evidence_family,mechanism_label,quantitative_label,span_status,span_start_offset,span_end_offset,span_sha256,extraction_rule_family,extraction_rule_id,all_extraction_rule_ids,rating_status,global_analysis_readiness,claim_boundary
CBSPAN-20260728-481ae1b2457427401d87ba77,CBSPQ-20260728-92ed814633df26934a9b,CBTXT-20260728-cce48cca0cfea426aee8,CBTXT-20260728-cce48cca0cfea426aee8,CBRDY-20260728-a0ed61cd6d3ea865d1d2,CBSRD-20260728-15aa5c8d716745d26632,CBCR-20260728-02896,B4XPAR-20260727-003142,BCV-20260728-07094,span_lane_001,2,AK,West,Anaktuvuk Pass,City of Anaktuvuk Pass Code of Ordinances (Chapter 2.04.060 and 2.08.060 Council Compensation; plus employment/HR-related chapters),cba,686df24325d7b0ae248f5898453d52029c10664eccfee50c132c3b47e15c55ee,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-cce48cca0cfea426aee8.txt,14745ec5de7367b405d4a103d7c9ebb875d38a7daec7a5525954dd235a26a20e,quantitative_compensation,unknown_or_needs_rating,hourly_rate,span_extracted,317666,317700,e46e998de48d17a44ef5e35965f3d369a4ae5c88624b5e76ee5fdfacbee64cac,Q,Q002,"[""Q002""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-284d90c482ced0f472fae806,CBSPQ-20260728-92ed814633df26934a9b,CBTXT-20260728-cce48cca0cfea426aee8,CBTXT-20260728-cce48cca0cfea426aee8,CBRDY-20260728-a0ed61cd6d3ea865d1d2,CBSRD-20260728-15aa5c8d716745d26632,CBCR-20260728-02896,B4XPAR-20260727-003142,BCV-20260728-07094,span_lane_001,2,AK,West,Anaktuvuk Pass,City of Anaktuvuk Pass Code of Ordinances (Chapter 2.04.060 and 2.08.060 Council Compensation; plus employment/HR-related chapters),cba,686df24325d7b0ae248f5898453d52029c10664eccfee50c132c3b47e15c55ee,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-cce48cca0cfea426aee8.txt,14745ec5de7367b405d4a103d7c9ebb875d38a7daec7a5525954dd235a26a20e,quantitative_compensation,unknown_or_needs_rating,hourly_rate,span_extracted,326523,326552,a7104aef128cd3fca4ff64914857d43910d262c906edf3c7c6ac67aab39fae88,Q,Q002,"[""Q002""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-87061bb8cc3938d999e0b6f7,CBSPQ-20260728-12486f4406102ac3311e,CBTXT-20260728-2441fe84cbb3ef0e09e5,CBTXT-20260728-2441fe84cbb3ef0e09e5,CBRDY-20260728-4f680a8ada05976ac18f,CBSRD-20260728-b8f26c9c257ba0c2703c,CBCR-20260728-06114,B4XPAR-20260727-006663,BCV-20260728-04949,span_lane_001,3,AK,West,Atqasuk,City of Atqasuk Code of Ordinances (Chapter 3: Personnel System; includes compensation/merit pay increase definitions and related personnel pay provisions),budget_or_pay_plan,02665344a9afeb6f10a98f052799cd31e64903a44ef5db4085506d296784fb6e,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-2441fe84cbb3ef0e09e5.txt,f88d39be394582e9a849bf1e5a4a3956c8693a45ca79c9f6db0bc766458bd520,quantitative_compensation,unknown_or_needs_rating,hourly_rate,span_extracted,62715,62803,5c118a6b2dffc604563fedb314d08478e028cc234ef8890e53a7750c7c86a314,Q,Q001,"[""Q001""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-4e63d727ac1e330f43b103c9,CBSPQ-20260728-12486f4406102ac3311e,CBTXT-20260728-2441fe84cbb3ef0e09e5,CBTXT-20260728-2441fe84cbb3ef0e09e5,CBRDY-20260728-4f680a8ada05976ac18f,CBSRD-20260728-b8f26c9c257ba0c2703c,CBCR-20260728-06114,B4XPAR-20260727-006663,BCV-20260728-04949,span_lane_001,3,AK,West,Atqasuk,City of Atqasuk Code of Ordinances (Chapter 3: Personnel System; includes compensation/merit pay increase definitions and related personnel pay provisions),budget_or_pay_plan,02665344a9afeb6f10a98f052799cd31e64903a44ef5db4085506d296784fb6e,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-2441fe84cbb3ef0e09e5.txt,f88d39be394582e9a849bf1e5a4a3956c8693a45ca79c9f6db0bc766458bd520,quantitative_compensation,unknown_or_needs_rating,hourly_rate,span_extracted,63721,63841,9b88aa2d5c0173228466ce3f81d2858b9eecd2991c91a938ba074580c3f905f8,Q,Q001,"[""Q001""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-7093419ef33217a5092a351c,CBSPQ-20260728-12486f4406102ac3311e,CBTXT-20260728-2441fe84cbb3ef0e09e5,CBTXT-20260728-2441fe84cbb3ef0e09e5,CBRDY-20260728-4f680a8ada05976ac18f,CBSRD-20260728-b8f26c9c257ba0c2703c,CBCR-20260728-06114,B4XPAR-20260727-006663,BCV-20260728-04949,span_lane_001,3,AK,West,Atqasuk,City of Atqasuk Code of Ordinances (Chapter 3: Personnel System; includes compensation/merit pay increase definitions and related personnel pay provisions),budget_or_pay_plan,02665344a9afeb6f10a98f052799cd31e64903a44ef5db4085506d296784fb6e,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-2441fe84cbb3ef0e09e5.txt,f88d39be394582e9a849bf1e5a4a3956c8693a45ca79c9f6db0bc766458bd520,quantitative_compensation,unknown_or_needs_rating,hourly_rate,span_extracted,460560,460612,dd2eadafbc0b67ae560bec3817fa0f3c8a5f033f37d66347ef665c30fd862c7f,Q,Q002,"[""Q002""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-56fa8ea7a22deeb973f402de,CBSPQ-20260728-d6d4b8590cb5cf770205,CBTXT-20260728-16ea414db5e15fa613d2,CBTXT-20260728-16ea414db5e15fa613d2,CBRDY-20260728-80a6d9b2560a71a932ba,CBSRD-20260728-20d3f3646924027aac77,CBCR-20260728-06115,B4XPAR-20260727-006664,BCV-20260728-00663,span_lane_001,7,AK,West,False Pass,"City of False Pass Municipal Code (2013 Code of Ordinances) — Title 9, Chapter 75 Personnel Policies (Classification, compensation, salary schedules; pay based on city-adopted schedules)",budget_or_pay_plan,c7ddddcd718a34af8deb2e75a5e85a309ff7eb783b2dc3d0c6dd29a498e3b6cd,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-16ea414db5e15fa613d2.txt,50dbdf38676867f28c26271bba16e2be6b532f2cceb8ad7739fd9f7e8c09b1bc,quantitative_compensation,unknown_or_needs_rating,hourly_rate,span_extracted,15999,16088,cda7d77c776c9f6aaac4037b048cab11cbcd596941806c5d0496afdb922ce425,Q,Q001,"[""Q001"", ""Q002""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-375af5f1df81456dc830accb,CBSPQ-20260728-d6d4b8590cb5cf770205,CBTXT-20260728-16ea414db5e15fa613d2,CBTXT-20260728-16ea414db5e15fa613d2,CBRDY-20260728-80a6d9b2560a71a932ba,CBSRD-20260728-20d3f3646924027aac77,CBCR-20260728-06115,B4XPAR-20260727-006664,BCV-20260728-00663,span_lane_001,7,AK,West,False Pass,"City of False Pass Municipal Code (2013 Code of Ordinances) — Title 9, Chapter 75 Personnel Policies (Classification, compensation, salary schedules; pay based on city-adopted schedules)",budget_or_pay_plan,c7ddddcd718a34af8deb2e75a5e85a309ff7eb783b2dc3d0c6dd29a498e3b6cd,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-16ea414db5e15fa613d2.txt,50dbdf38676867f28c26271bba16e2be6b532f2cceb8ad7739fd9f7e8c09b1bc,quantitative_compensation,unknown_or_needs_rating,hourly_rate,span_extracted,227162,227254,8d338f4d7b1f7b9d2b8286c01807fb530f3b6539532d93ca97dc9626c11e93c5,Q,Q001,"[""Q001""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-487820d90cf3bb83c7ef42ca,CBSPQ-20260728-d6d4b8590cb5cf770205,CBTXT-20260728-16ea414db5e15fa613d2,CBTXT-20260728-16ea414db5e15fa613d2,CBRDY-20260728-80a6d9b2560a71a932ba,CBSRD-20260728-20d3f3646924027aac77,CBCR-20260728-06115,B4XPAR-20260727-006664,BCV-20260728-00663,span_lane_001,7,AK,West,False Pass,"City of False Pass Municipal Code (2013 Code of Ordinances) — Title 9, Chapter 75 Personnel Policies (Classification, compensation, salary schedules; pay based on city-adopted schedules)",budget_or_pay_plan,c7ddddcd718a34af8deb2e75a5e85a309ff7eb783b2dc3d0c6dd29a498e3b6cd,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-16ea414db5e15fa613d2.txt,50dbdf38676867f28c26271bba16e2be6b532f2cceb8ad7739fd9f7e8c09b1bc,quantitative_compensation,unknown_or_needs_rating,hourly_rate,span_extracted,245119,245165,acb7f839ea5cc7be477e89b9b9b8ffcb80295bccf8294c58743a075eaff59031,Q,Q002,"[""Q002""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-3007e7913af7645d220ad058,CBSPQ-20260728-0f4f565fc11be373bb38,CBTXT-20260728-02803e696a48759999b8,CBTXT-20260728-02803e696a48759999b8,CBRDY-20260728-4f89f5ae7ec040dbbdec,CBSRD-20260728-24ee60cf560706a2c9f2,CBCR-20260728-02899,B4XPAR-20260727-003145,BCV-20260728-02808,span_lane_001,9,AK,West,Fort Yukon,Fort Yukon Municipal Code of Ordinances (2013 codification) — personnel/compensation framework (may set salaries by separate ordinances; chief of police/fire appointment provisions),other_local_government_pay_policy,fae4c3dc32b6e3cef8849cb1ab7e70bc631f51c5e8b25d35d16fb9f45e2d1a07,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-02803e696a48759999b8.txt,ae2b881043e7071e06418906eb50d3021bea72e7bf2feb65637024350d2b888f,quantitative_compensation,unknown_or_needs_rating,hourly_rate,span_extracted,135646,135688,58a2ddd3a1bba50d5cad192d604cc2db002ed883475e3afdd23ab7abe32b5cbf,Q,Q002,"[""Q002""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-a42cff33032be876dc9c110e,CBSPQ-20260728-0f4f565fc11be373bb38,CBTXT-20260728-02803e696a48759999b8,CBTXT-20260728-02803e696a48759999b8,CBRDY-20260728-4f89f5ae7ec040dbbdec,CBSRD-20260728-24ee60cf560706a2c9f2,CBCR-20260728-02899,B4XPAR-20260727-003145,BCV-20260728-02808,span_lane_001,9,AK,West,Fort Yukon,Fort Yukon Municipal Code of Ordinances (2013 codification) — personnel/compensation framework (may set salaries by separate ordinances; chief of police/fire appointment provisions),other_local_government_pay_policy,fae4c3dc32b6e3cef8849cb1ab7e70bc631f51c5e8b25d35d16fb9f45e2d1a07,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-02803e696a48759999b8.txt,ae2b881043e7071e06418906eb50d3021bea72e7bf2feb65637024350d2b888f,quantitative_compensation,unknown_or_needs_rating,hourly_rate,span_extracted,410835,410901,c474384bb84eb28ec661503b3f4a9b97ce50735eb35d61768e6431136784c1cd,Q,Q001,"[""Q001""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
