span_extraction_id,span_queue_id,extracted_text_id,extraction_id,readiness_id,source_review_download_id,combined_review_id,source_candidate_id,verification_row_id,lane_id,lane_sequence,state,region,municipality,source_title,source_family_hint,retained_file_sha256,extracted_text_artifact_path,extracted_text_sha256,evidence_family,mechanism_label,quantitative_label,span_status,span_start_offset,span_end_offset,span_sha256,extraction_rule_family,extraction_rule_id,all_extraction_rule_ids,rating_status,global_analysis_readiness,claim_boundary
CBSPAN-20260728-e76d8526e36ff7bd41b3f88e,CBSPQ-20260728-d2fcf5dc4a87fbb32fff,CBTXT-20260728-d96999aeeaf5bbcc56eb,CBTXT-20260728-d96999aeeaf5bbcc56eb,CBRDY-20260728-4c2637a0fc567c4147ac,CBSRD-20260728-882d31671f3f7501b9d2,CBCR-20260728-06455,BSSC-20260727-00018,BCV-20260728-00042,span_lane_001,20,AK,West,Seward,"Bargaining Agreement (SPEA Collective Bargaining Agreement) — City of Seward & Alaska Public Employees Association (SPEA Local 6585), 2026–2028",budget_or_pay_plan,3d1c4020f52ba4ae34d240e4c71bb3bbf30f70db0b58b27f6c33e79880d98797,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-d96999aeeaf5bbcc56eb.txt,bf3ca5fa9364101f4a69a3af0fd7758c5efb45d265a8bf78bb66e669331dc910,quantitative_compensation,unknown_or_needs_rating,wage_schedule,span_extracted,4244,4418,0a6f9913d10e0f3d1ceb871054c5391efccc5489936e418b04bdb94c66ff7b9d,Q,Q005,"[""Q005""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-7a11f204a077e66879c69c79,CBSPQ-20260728-d2fcf5dc4a87fbb32fff,CBTXT-20260728-d96999aeeaf5bbcc56eb,CBTXT-20260728-d96999aeeaf5bbcc56eb,CBRDY-20260728-4c2637a0fc567c4147ac,CBSRD-20260728-882d31671f3f7501b9d2,CBCR-20260728-06455,BSSC-20260727-00018,BCV-20260728-00042,span_lane_001,20,AK,West,Seward,"Bargaining Agreement (SPEA Collective Bargaining Agreement) — City of Seward & Alaska Public Employees Association (SPEA Local 6585), 2026–2028",budget_or_pay_plan,3d1c4020f52ba4ae34d240e4c71bb3bbf30f70db0b58b27f6c33e79880d98797,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-d96999aeeaf5bbcc56eb.txt,bf3ca5fa9364101f4a69a3af0fd7758c5efb45d265a8bf78bb66e669331dc910,quantitative_compensation,unknown_or_needs_rating,wage_schedule,span_extracted,12371,12537,54654e39f4a756af6b206a066ac943aebe5a1b754dd464427a7365b170b4fe8a,Q,Q005,"[""Q005""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-dd021c7f4428c8bc8c7717d6,CBSPQ-20260728-685bdc9ae38e140d34c5,CBTXT-20260728-f0dc1e4145849d2a8079,CBTXT-20260728-f0dc1e4145849d2a8079,CBRDY-20260728-9cbdd51e00f6ce91b63d,CBSRD-20260728-d211b438e01fafa24135,CBCR-20260728-02480,B4XPAR-20260727-002680,BCV-20260728-03401,span_lane_001,64,AR,South,Little Rock,"Statement of Agreement (United Labor Unions, Local 100) — City of Little Rock",wage_schedule,96b4fa757bdc1758af8c64b1e2929bb59eb51ecfe967caa73e94ab89b84152c0,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-f0dc1e4145849d2a8079.txt,05787db1c0bca73f500e39d8d98fe75b85f44ba400c411f5280c080c2995f1b7,quantitative_compensation,unknown_or_needs_rating,wage_schedule,span_extracted,50833,50879,6036cbcf9ba9cbfa7256453b6310cad43db1399e883caf9c6661be1231633181,Q,Q005,"[""Q005"", ""R003""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-29ae854b07fd8141a55db911,CBSPQ-20260728-a5d9ff6887d972c44cc5,CBTXT-20260728-350567cac3f99908ae22,CBTXT-20260728-350567cac3f99908ae22,CBRDY-20260728-e7c1489c105e1b3e7296,CBSRD-20260728-f9a9a062a368fd4ca435,CBCR-20260728-04553,B4XPAR-20260727-004962,BCV-20260728-03071,span_lane_001,120,CA,West,Crescent City,"Memorandum of Understanding between the City of Crescent City and the Crescent City Career Firefighters’ Association (CCCFA) — Effective July 1, 2025 through June 30, 2027",wage_schedule,052f8723f4b78e4c5dccdea6f769a238a9e78fdbbd624f74379dce92d0f0da53,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-350567cac3f99908ae22.txt,606eceedee0bc1722583d72dd11087b94fbe336e98cb15e305acfcad6e6fe8f3,quantitative_compensation,unknown_or_needs_rating,wage_schedule,span_extracted,89302,89423,aa82777f2cc649391e68d07e4ee2cfbc48c2fb8838cd03dbec1e98a8985f615d,Q,Q005,"[""Q005""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-42cd3d4d69712ff256c006b4,CBSPQ-20260728-a5d9ff6887d972c44cc5,CBTXT-20260728-350567cac3f99908ae22,CBTXT-20260728-350567cac3f99908ae22,CBRDY-20260728-e7c1489c105e1b3e7296,CBSRD-20260728-f9a9a062a368fd4ca435,CBCR-20260728-04553,B4XPAR-20260727-004962,BCV-20260728-03071,span_lane_001,120,CA,West,Crescent City,"Memorandum of Understanding between the City of Crescent City and the Crescent City Career Firefighters’ Association (CCCFA) — Effective July 1, 2025 through June 30, 2027",wage_schedule,052f8723f4b78e4c5dccdea6f769a238a9e78fdbbd624f74379dce92d0f0da53,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-350567cac3f99908ae22.txt,606eceedee0bc1722583d72dd11087b94fbe336e98cb15e305acfcad6e6fe8f3,quantitative_compensation,unknown_or_needs_rating,wage_schedule,span_extracted,140631,140711,9781765fd58a55408cffe4c3462ef1e54b274a761bddfb19ef0e8f7ea0a004b6,Q,Q005,"[""Q005""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-4a733eb09a023e0cc1e97e55,CBSPQ-20260728-1ecd74950c65ee9efadf,CBTXT-20260728-86318b202ab02b4e8373,CBTXT-20260728-86318b202ab02b4e8373,CBRDY-20260728-43f0c0a066730e77849d,CBSRD-20260728-2c3b663d7d7cc7250081,CBCR-20260728-06207,B4XPAR-20260727-006760,BCV-20260728-02737,span_lane_001,154,CA,West,San Marino,"City of San Marino and San Marino Police Officers' Association - Memorandum of Understanding (MOU) (July 1, 2024 Through June 30, 2027)",wage_schedule,76d2df36ba4ed07e63512c0715cfb987612cfa528c9a0f501b925311e3b68843,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-86318b202ab02b4e8373.txt,fe30608538087ec3067a84c8ca572028e2ba91ec1189131a38def2f8e8899345,quantitative_compensation,unknown_or_needs_rating,wage_schedule,span_extracted,18504,18639,2e93cd0641229d42f0400377a007defb5234b1f6623b25e75d44834b29b859c6,Q,Q005,"[""Q005""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-5ef0bc92e5ba0400486e7446,CBSPQ-20260728-5bde5949f1ad73e53cbe,CBTXT-20260728-b5e7832a1c7d2a0a6290,CBTXT-20260728-b5e7832a1c7d2a0a6290,CBRDY-20260728-03651f1ba55235d1e1e5,CBSRD-20260728-b4729e95fd0487194de2,CBCR-20260728-05263,B4XPAR-20260727-005744,BCV-20260728-00113,span_lane_001,193,CT,Northeast,Berlin,"AGREEMENT BETWEEN THE TOWN OF BERLIN, CONNECTICUT AND HOME CARE and SCHOOL HEALTH CARE WORKERS of BERLIN, UNIT #20 (July 1, 2013 — June 30, 2015)",cba,d7bfa263dd5b0c7e83cbc4e73240a786721f6890a67fc01c4258a7f997e00fbd,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-b5e7832a1c7d2a0a6290.txt,08bb536f5050adb7983a12edb23cc6d02912230410fbcfe9f9afcebfe1875fe2,quantitative_compensation,unknown_or_needs_rating,wage_schedule,span_extracted,24168,24324,6e6e547ef679481e38add0a3d8662996cede39e8273477cbc6bc73e9c3350cbe,Q,Q005,"[""Q005""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-494f247da2b9d97431d1b893,CBSPQ-20260728-6d3a3a23c0f8fe10a39a,CBTXT-20260728-062ab02e6eb7c4a620d4,CBTXT-20260728-062ab02e6eb7c4a620d4,CBRDY-20260728-73fecfe43d265e6f47cb,CBSRD-20260728-972758e04d980dc305a5,CBCR-20260728-05262,B4XPAR-20260727-005743,BCV-20260728-02257,span_lane_001,194,CT,Northeast,Berlin,"AGREEMENT BETWEEN THE TOWN OF BERLIN, CONNECTICUT AND THE BERLIN POLICE UNION LOCAL 1318, AFL-CIO AND COUNCIL #15, AFSCME, AFL-CIO (July 1, 2011 - June 30, 2015)",wage_schedule,09a7bcd6eda340b5280a92ce47d8707cd370964df473488b266d990c56e1be2d,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-062ab02e6eb7c4a620d4.txt,2dcae2a466c4b09e79c3ebc13dd7fb309055a43605f202d5bc7247a6faec70fb,quantitative_compensation,unknown_or_needs_rating,wage_schedule,span_extracted,4156,4249,dfd7afc337e6b7ad86dc7542454c1db9b80a06ac0445f87116f191c370fee294,Q,Q005,"[""Q005""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-f0f4bcf433f4f8d547340583,CBSPQ-20260728-6d3a3a23c0f8fe10a39a,CBTXT-20260728-062ab02e6eb7c4a620d4,CBTXT-20260728-062ab02e6eb7c4a620d4,CBRDY-20260728-73fecfe43d265e6f47cb,CBSRD-20260728-972758e04d980dc305a5,CBCR-20260728-05262,B4XPAR-20260727-005743,BCV-20260728-02257,span_lane_001,194,CT,Northeast,Berlin,"AGREEMENT BETWEEN THE TOWN OF BERLIN, CONNECTICUT AND THE BERLIN POLICE UNION LOCAL 1318, AFL-CIO AND COUNCIL #15, AFSCME, AFL-CIO (July 1, 2011 - June 30, 2015)",wage_schedule,09a7bcd6eda340b5280a92ce47d8707cd370964df473488b266d990c56e1be2d,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-062ab02e6eb7c4a620d4.txt,2dcae2a466c4b09e79c3ebc13dd7fb309055a43605f202d5bc7247a6faec70fb,quantitative_compensation,unknown_or_needs_rating,wage_schedule,span_extracted,5500,5608,2e8a38d05e381a217a922e45df156dea7983142ee1b334a004eee30dfe3a7d8e,Q,Q005,"[""Q005""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-0cab84e449c6ac8df1dd664d,CBSPQ-20260728-350ba373b540ef6135bf,CBTXT-20260728-77317c641f9c044a29e8,CBTXT-20260728-77317c641f9c044a29e8,CBRDY-20260728-2d579a80789275497e77,CBSRD-20260728-f1bc116567b500b0da9b,CBCR-20260728-02043,B4XPAR-20260727-002207,BCV-20260728-04941,span_lane_001,195,CT,Northeast,Colchester,"COLLECTIVE BARGAINING AGREEMENT - Town of Colchester and Local 1303-254 of Council 4, AFSCME (Town Hall Employees) [redline/agenda attachment]",wage_schedule,64d38d85084158833c50f1f10f54eaae145a321e82649cba5e30edfa5e0a6567,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-77317c641f9c044a29e8.txt,03d50f1a2a42cea357519dce641921c6c4de04370b1502acc7b8d564f1575479,quantitative_compensation,unknown_or_needs_rating,wage_schedule,span_extracted,1613,1670,c7caccfd0a93321f2e32f24e77d51edf60f897aad7e5c3747b7335d5829f495b,Q,Q005,"[""Q005""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
