span_queue_id,extraction_id,readiness_id,source_review_download_id,combined_review_id,source_candidate_id,verification_row_id,candidate_origin,lane_id,lane_sequence,source_extraction_lane_id,state,region,municipality,county,source_title,source_locator_or_url,final_canonical_locator,source_domain,source_family_hint,document_type_hint,source_review_priority,retained_file_sha256,retained_file_path_resolved,retained_file_type,extracted_text_artifact_path,extracted_text_size_bytes,extracted_text_sha256,extraction_status,artifact_root_lineage,source_review_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,claim_boundary,notes,span_status,positive_span_count,ambiguous_span_count,quantitative_span_count,qualitative_span_count,source_navigation_span_count,non_base_span_count,raw_rule_hit_count,deduplicated_rule_hit_count,no_span_or_weak_reason,span_extraction_error_type,span_extraction_reason
CBSPQ-20260728-436b3d3ff640b86900f7,CBTXT-20260728-bf23f62066e3b249a0a2,CBRDY-20260728-0b853a05dbec44ce8037,CBSRD-20260728-0579134ed89c14e762be,CBCR-20260728-06258,B4XPAR-20260727-006813,BCV-20260728-02687,broad_4x1000_deduped,span_lane_003,109,extraction_lane_003,ID,West,Preston,Franklin County (16041; primary),"PRESTON CITY COUNCIL MEETING AGENDA — September 23, 2024",https://cms3.revize.com/revize/prestonid/Documents/Government/City%20Council%20Agenda%20%26%20Minutes/2024/Agenda/City%20Council%20Agenda%202024%2009%2023.pdf,https://cms3.revize.com/revize/prestonid/Documents/Government/City%20Council%20Agenda%20%26%20Minutes/2024/Agenda/City%20Council%20Agenda%202024%2009%2023.pdf,cms3.revize.com,agenda_packet_or_minutes,agenda_cover_sheet,medium,48a78cbf33c81fdefbc3a25f104836930faf4993aa8911d4b772534506f86e68,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-0579134ed89c14e762be.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_003/CBTXT-20260728-bf23f62066e3b249a0a2.txt,3304,5276ee52549e0381e3c0e1bdf587bdf4009453b4192f03eb1e20797bd4a9abec,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Locked deterministic span candidate source; no rating or analytic judgment.,no_span_or_weak,0,0,0,0,0,0,0,0,no_bounded_rule_match,,"no deterministic compensation, mechanism, or navigation rule matched"
CBSPQ-20260728-03ce6faa92279a69e5ff,CBTXT-20260728-6dfa1364d94e2a2788d2,CBRDY-20260728-5774aae892151d1ef776,CBSRD-20260728-d30ca133ec43b8f65bba,CBCR-20260728-00978,B4XPAR-20260727-001052,BCV-20260728-02704,broad_4x1000_deduped,span_lane_003,278,extraction_lane_003,KY,South,Williamstown,Grant County (21081; primary); Pendleton County (21191),WILLIAMSTOWN CITY COUNCIL AGENDA — 09-05-23_CA.pdf (agenda packet; potential attachments may include pay/labor policy),https://cms5.revize.com/revize/williamstown/Document_Center/Agendas%20%26%20Minutes/2023/Agendas/09-05-23_CA.pdf,https://cms5.revize.com/revize/williamstown/Document_Center/Agendas%20%26%20Minutes/2023/Agendas/09-05-23_CA.pdf,cms5.revize.com,agenda_packet_or_minutes,agenda_cover_sheet,medium,c308cb1aca988c7fe005a1ca88733bdc95929c6113b579711e148d5bea954dfd,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-d30ca133ec43b8f65bba.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_003/CBTXT-20260728-6dfa1364d94e2a2788d2.txt,2954,2a1878471fd170697970db4418aa740574f447c52a13da0fb937b8ed4008a21b,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Locked deterministic span candidate source; no rating or analytic judgment.,no_span_or_weak,0,0,0,0,0,0,0,0,no_bounded_rule_match,,"no deterministic compensation, mechanism, or navigation rule matched"
CBSPQ-20260728-b03a7ce3641a17274d6c,CBTXT-20260728-a798b4a4051cda63b6ca,CBRDY-20260728-a113e337b348afb4e92d,CBSRD-20260728-4d5050a2cd3f4519a1c6,CBCR-20260728-06813,BSSC-20260727-00414,BCV-20260728-02423,broad_490_preserved_review_queue,span_lane_003,282,extraction_lane_003,LA,South,Baker,,Council Agenda (2026-02-10) — ad valorem tax notice re: Fire Department union salaries/benefits (Municipal Fire and Police Civil Service System),https://cityofbakerla.com/wp-content/uploads/2026/02/Council-Agenda-2-10-2026.pdf,https://cityofbakerla.com/wp-content/uploads/2026/02/Council-Agenda-2-10-2026.pdf,cityofbakerla.com,civil_service_or_hr_pay_plan,agenda_cover_sheet,medium,22d0094c2219aee662dbce7efc634d2a6ed621c495e7017d058147483ce48cea,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-4d5050a2cd3f4519a1c6.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_003/CBTXT-20260728-a798b4a4051cda63b6ca.txt,5652,9a497e8570fe64cb22061fd361fb5efccbc94d64b3750befeb8cd271df1c7b59,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Locked deterministic span candidate source; no rating or analytic judgment.,no_span_or_weak,0,0,0,0,0,0,0,0,no_bounded_rule_match,,"no deterministic compensation, mechanism, or navigation rule matched"
CBSPQ-20260728-fb9d483920a696520717,CBTXT-20260728-46867730340cca1bd3e9,CBRDY-20260728-0680fa3548b77c919fe1,CBSRD-20260728-627d1056894f8c18fb76,CBCR-20260728-04271,B4XPAR-20260727-004651,BCV-20260728-06169,broad_4x1000_deduped,span_lane_003,324,extraction_lane_003,MD,South,Lonaconing,Allegany County (24001; primary),Regular City Council Meeting agenda packet (PDF) — 2026-07-06,https://towncloud-core-prod.s3.us-west-2.amazonaws.com/uploads/lonaconing-md/meetings/agenda_packet/pdf/249/regular-city-council-meeting_2026-07-06_193129.pdf,https://towncloud-core-prod.s3.us-west-2.amazonaws.com/uploads/lonaconing-md/meetings/agenda_packet/pdf/249/regular-city-council-meeting_2026-07-06_193129.pdf,towncloud-core-prod.s3.us-west-2.amazonaws.com,agenda_packet_or_minutes,agenda_cover_sheet,medium,cd0ff4cdc350095cd1ea043c047c0a94035365d0ae24ed15d7368e2de02ac937,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-627d1056894f8c18fb76.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_003/CBTXT-20260728-46867730340cca1bd3e9.txt,2350,0019780d39905f2b6d162c1a12109e4f35c01ed2149d5854d21ecc507046ea27,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Locked deterministic span candidate source; no rating or analytic judgment.,no_span_or_weak,0,0,0,0,0,0,0,0,no_bounded_rule_match,,"no deterministic compensation, mechanism, or navigation rule matched"
CBSPQ-20260728-3529e3a438c2a1f7f24a,CBTXT-20260728-f8926717d346376f6d05,CBRDY-20260728-51aac700039f76b9992c,CBSRD-20260728-37b46e6dd5e05efd5245,CBCR-20260728-00594,B4XPAR-20260727-000648,BCV-20260728-06170,broad_4x1000_deduped,span_lane_003,345,extraction_lane_003,ME,Northeast,Paris,Oxford County (23017; primary),Board of Selectmen Regular Meeting packet (combined) — 2026-07-13,https://towncloud-core-prod.s3.us-west-2.amazonaws.com/uploads/paris-me/meetings/agenda_packet/pdf_packet/344/board-of-selectmen-regular-meeting_2026-07-13_142648_combined.pdf,https://towncloud-core-prod.s3.us-west-2.amazonaws.com/uploads/paris-me/meetings/agenda_packet/pdf_packet/344/board-of-selectmen-regular-meeting_2026-07-13_142648_combined.pdf,towncloud-core-prod.s3.us-west-2.amazonaws.com,agenda_packet_or_minutes,agenda_cover_sheet,medium,cdd107f6ed0838f60cd58edc4e3494e3592dce2b1e3e9710d3a5cc0e00f2dd23,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-37b46e6dd5e05efd5245.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_003/CBTXT-20260728-f8926717d346376f6d05.txt,2270,ce5313c9bb762da5324a7c345402beac424514baa9a8ea12a53f3c4550ae4ad1,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Locked deterministic span candidate source; no rating or analytic judgment.,no_span_or_weak,0,0,0,0,0,0,0,0,no_bounded_rule_match,,"no deterministic compensation, mechanism, or navigation rule matched"
CBSPQ-20260728-08239a024b614eb95fad,CBTXT-20260728-0416d68a7055595539f4,CBRDY-20260728-a87921b5788171648539,CBSRD-20260728-0e7a529c0555e41fcfc8,CBCR-20260728-08053,TS4L-4c720cf03d848e4b4bc8,BCV-20260728-02895,targeted_prior_unrouted,span_lane_003,378,extraction_lane_003,MI,Midwest,Delhi charter,,"Delhi Charter Township (MI) – Agenda packet (includes CBA for Delhi-Lansing Area Professional Firefighters Association, IAFF Local 421-A; memo references effective dates)",https://www.delhitownshipmi.gov/AgendaCenter/ViewFile/Agenda/_01182022-429?packet=true,https://delhitownshipmi.gov/AgendaCenter/ViewFile/Agenda/_01182022-429,delhitownshipmi.gov,cba_or_arbitration_award_or_factfinding_or_impasse_record,cba_or_arbitration_award_or_factfinding_or_impasse_record,medium,794ad8d6505c86c9781cc44c32b89113ce80069bb38020357086f3ab8b1b2f5c,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-0e7a529c0555e41fcfc8.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_003/CBTXT-20260728-0416d68a7055595539f4.txt,286,6dfe6eb08056e6fe316bfb53d5b67cc876b52d54159adb0209ec1345d8b6b8a7,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Locked deterministic span candidate source; no rating or analytic judgment.,no_span_or_weak,0,0,0,0,0,0,0,0,no_bounded_rule_match,,"no deterministic compensation, mechanism, or navigation rule matched"
CBSPQ-20260728-8e91d9e45883e90e7f27,CBTXT-20260728-abc9e1326a1724a656ff,CBRDY-20260728-05e6abc66ea637bfe70a,CBSRD-20260728-ee1cab4c7df8a5549cf7,CBCR-20260728-04653,B4XPAR-20260727-005072,BCV-20260728-02167,broad_4x1000_deduped,span_lane_003,511,extraction_lane_003,MT,West,Alberton,Mineral County (30061; primary),"Council Meeting Minutes (March 4, 2025)",https://www.albertonmontana.com/Minutes_March_2025_Town_Council_Alberton_MT.pdf,https://albertonmontana.com/Minutes_March_2025_Town_Council_Alberton_MT.pdf,albertonmontana.com,agenda_packet_or_minutes,meeting_minutes,medium,a018984b0775a220e7b9c7b9e95096e75d4c434f7ab79f0ac243c8200b849678,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-ee1cab4c7df8a5549cf7.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_003/CBTXT-20260728-abc9e1326a1724a656ff.txt,5565,d7bce84a4f39a299e906b686785f63e913db780291ff86e32fdaa1bfe6a91491,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Locked deterministic span candidate source; no rating or analytic judgment.,no_span_or_weak,0,0,0,0,0,0,0,0,no_bounded_rule_match,,"no deterministic compensation, mechanism, or navigation rule matched"
CBSPQ-20260728-bb6514068a2e1eace9fd,CBTXT-20260728-fc1f84c3fb440f83c436,CBRDY-20260728-8d49bcecec2ba05feb09,CBSRD-20260728-9cf731645f9c88dca20c,CBCR-20260728-05117,B4XPAR-20260727-005583,BCV-20260728-07206,broad_4x1000_deduped,span_lane_003,574,extraction_lane_003,ND,Midwest,Drayton,Pembina County (38067; primary),"City Council Meeting/Protest Hearing — January 12, 2026 (minutes; employee Christmas bonus motion)",https://draytonnd.com/documents/543/Jan_12_2026_council_minutes.pdf,https://draytonnd.com/documents/543/Jan_12_2026_council_minutes.pdf,draytonnd.com,agenda_packet_or_minutes,meeting_minutes,medium,4979d96ac020fba1a10ca1df0edba50c340146cd8c3687d35b619080e35f69dc,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-9cf731645f9c88dca20c.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_003/CBTXT-20260728-fc1f84c3fb440f83c436.txt,5236,384bef51d621fe2a7dd24e76ff1273294fd896e97cf2915072243d49ef9267b0,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Locked deterministic span candidate source; no rating or analytic judgment.,no_span_or_weak,0,0,0,0,0,0,0,0,no_bounded_rule_match,,"no deterministic compensation, mechanism, or navigation rule matched"
CBSPQ-20260728-3375108941955c391bad,CBTXT-20260728-9afc126b50c4f1fc8de9,CBRDY-20260728-d8e3e81aa1591076ddf4,CBSRD-20260728-9f596a362619969af6db,CBCR-20260728-03521,B4XPAR-20260727-003833,BCV-20260728-01045,broad_4x1000_deduped,span_lane_003,575,extraction_lane_003,ND,Midwest,Gwinner,Sargent County (38081; primary),Ordinance Index (table of contents for codified ordinance chapters/articles),https://gwinnernd.com/documents/527/INDEX.pdf,https://gwinnernd.com/documents/527/INDEX.pdf,gwinnernd.com,unknown_or_needs_review,index_page,medium,7b461451abea8e63b1997656490c5a5ed5ae477cff1c4b5bb4313eb338c2bf9d,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-9f596a362619969af6db.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_003/CBTXT-20260728-9afc126b50c4f1fc8de9.txt,5697,a863a74abf7e63e309ec402279f40196d7c6d9a099eab8dd4d0a3848125fb9cc,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Locked deterministic span candidate source; no rating or analytic judgment.,no_span_or_weak,0,0,0,0,0,0,0,0,no_bounded_rule_match,,"no deterministic compensation, mechanism, or navigation rule matched"
CBSPQ-20260728-db14f8f431f33f915ed3,CBTXT-20260728-a82f2742e94d04e4d65c,CBRDY-20260728-2c55b3120086f89d03c1,CBSRD-20260728-c75ce3368c3d619ba79c,CBCR-20260728-08720,TS4L-c04e1b59805289267cb6,BCV-20260728-02255,targeted_prior_unrouted,span_lane_003,626,extraction_lane_003,NJ,Northeast,Berkeley Heights,,Agenda packet / resolution authorizing execution of agreement with Teamsters Local Union 469 for years 2024-2028 (DPW collective negotiations agreement attachment indicated),https://www.berkeleyheights.gov/AgendaCenter/ViewFile/Agenda/_07152025-1445?packet=true,https://berkeleyheights.gov/AgendaCenter/ViewFile/Agenda/_07152025-1445,berkeleyheights.gov,cba_or_compensation_study_or_classification_study_or_wage_schedule,cba_or_compensation_study_or_classification_study_or_wage_schedule,medium,e33ee598ea2cdf4be8b7c056ada277350a1e1f9d6c24b65659bdbb033c99012f,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-c75ce3368c3d619ba79c.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_003/CBTXT-20260728-a82f2742e94d04e4d65c.txt,666,37fde1b7f25e138cee8b62f74061046b7c9ef5712b25b6a893e914d3999ea790,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Locked deterministic span candidate source; no rating or analytic judgment.,no_span_or_weak,0,0,0,0,0,0,0,0,no_bounded_rule_match,,"no deterministic compensation, mechanism, or navigation rule matched"
