span_queue_id,extraction_id,readiness_id,source_review_download_id,combined_review_id,source_candidate_id,verification_row_id,candidate_origin,lane_id,lane_sequence,source_extraction_lane_id,state,region,municipality,county,source_title,source_locator_or_url,final_canonical_locator,source_domain,source_family_hint,document_type_hint,source_review_priority,retained_file_sha256,retained_file_path_resolved,retained_file_type,extracted_text_artifact_path,extracted_text_size_bytes,extracted_text_sha256,extraction_status,artifact_root_lineage,source_review_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,claim_boundary,notes,span_status,positive_span_count,ambiguous_span_count,quantitative_span_count,qualitative_span_count,source_navigation_span_count,non_base_span_count,raw_rule_hit_count,deduplicated_rule_hit_count,no_span_or_weak_reason,span_extraction_error_type,span_extraction_reason
CBSPQ-20260728-af97abb47e7f177d7b37,CBTXT-20260728-076c59ecafcf1e7472ef,CBRDY-20260728-d0e77d3624343623122c,CBSRD-20260728-9c2f650dbdaaa4d961fd,CBCR-20260728-03742,B4XPAR-20260727-004076,BCV-20260728-04190,broad_4x1000_deduped,span_lane_003,1,extraction_lane_002,CT,Northeast,Watertown,Naugatuck Valley Planning Region (09140; primary),"Town Council packet (includes an agreement between Town of Watertown and a union; binding labor material likely attached, but PDF could not be fully fetched for verification)",https://www.watertownct.org/Documents/Government/Agendas%20and%20Minutes/Town%20Council/2026/Packet/tc-packet-03162026%20no%20exc..pdf?t=202604090901280,https://watertownct.org/Documents/Government/Agendas%20and%20Minutes/Town%20Council/2026/Packet/tc-packet-03162026%20no%20exc..pdf,watertownct.org,agenda_packet_or_minutes,agenda_cover_sheet,medium,aa2efeae5f16a66a8ea3ce89bc4a556c4bbeb7575e8ee89ff13245f5e97408ca,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-9c2f650dbdaaa4d961fd.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_002/CBTXT-20260728-076c59ecafcf1e7472ef.txt,57997,9487562d5f6e898de2c774981fb36697ca7b7c13d4bd9fc5125686aede71b343,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Locked deterministic span candidate source; no rating or analytic judgment.,span_extracted,1,0,1,0,0,0,1,0,,,one or more deterministic exact candidate spans found
CBSPQ-20260728-385f893b017a0c102e1b,CBTXT-20260728-f385f076d706097f654a,CBRDY-20260728-682072a53f86bbb81e2c,CBSRD-20260728-e0cc371efe5d006a0242,CBCR-20260728-07736,TS4L-132ced8e9a71119c8863,BCV-20260728-02046,targeted_prior_unrouted,span_lane_003,2,extraction_lane_002,CT,Northeast,Watertown,,"Town of Watertown, CT — FY 25-26 Budget Approved at Referendum",https://www.watertownct.org/Documents/Finance/BUDGETS/FY%2025-26%20Budget%20Approved%20at%20Referendum.pdf?t=202604100316490,https://watertownct.org/Documents/Finance/BUDGETS/FY%2025-26%20Budget%20Approved%20at%20Referendum.pdf,watertownct.org,cba_or_budget_pay_plan_with_explicit_compensation_mechanism,cba_or_budget_pay_plan_with_explicit_compensation_mechanism,medium,5e062127e1ef9d63e70fc5c5505cc83d71f57bdb37727bb91951372ad474c629,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-e0cc371efe5d006a0242.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_002/CBTXT-20260728-f385f076d706097f654a.txt,328566,c058e0edb29086b346f46b5659e4b5fe5562f5c842c5465adc8e4b68fda44dbf,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Locked deterministic span candidate source; no rating or analytic judgment.,span_extracted,2,0,0,0,0,2,2,0,,,one or more deterministic exact candidate spans found
CBSPQ-20260728-69c8511db5b71e68b0c4,CBTXT-20260728-9cf9d20bb12022b58f10,CBRDY-20260728-381fab742071b2ec2b27,CBSRD-20260728-5505b890d89d90917d9f,CBCR-20260728-08791,TS4L-ccde765f3d4b45d3620c,BCV-20260728-06333,targeted_prior_unrouted,span_lane_003,3,extraction_lane_002,CT,Northeast,Watertown,,"Watertown, CT Town Council Minutes (Jan 20, 2026) — motion on part-time wage schedule",https://www.watertownct.org/Documents/Government/Agendas%20and%20Minutes/Town%20Council/2026/Minutes/tc-motion-01202026.pdf?t=202604090837310,https://watertownct.org/Documents/Government/Agendas%20and%20Minutes/Town%20Council/2026/Minutes/tc-motion-01202026.pdf,watertownct.org,cba_or_budget_pay_plan_with_explicit_compensation_mechanism,cba_or_budget_pay_plan_with_explicit_compensation_mechanism,medium,00b477468205e28aa8fe3d307fc735c9825535358d1099064ad4c11bad093c7e,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-5505b890d89d90917d9f.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_002/CBTXT-20260728-9cf9d20bb12022b58f10.txt,20369,191afb1d4b3c93366734f1cadad8f220c64250553583dd0f24f540ca89348cb2,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Locked deterministic span candidate source; no rating or analytic judgment.,span_extracted,4,0,4,0,0,0,4,0,,,one or more deterministic exact candidate spans found
CBSPQ-20260728-72244fbe00766b6e8791,CBTXT-20260728-89d08e55dbde4fe5773e,CBRDY-20260728-c54399468ad6e8cecc54,CBSRD-20260728-92be3a8d3dde7fee471e,CBCR-20260728-05308,B4XPAR-20260727-005790,BCV-20260728-01450,broad_4x1000_deduped,span_lane_003,4,extraction_lane_002,CT,Northeast,Winchester,Northwest Hills Planning Region (09160; primary),"Clerical Collective Bargaining Agreement (UPSEU) — July 1, 2021 to June 30, 2025",https://municipal-documents.s3.amazonaws.com/uploads/winchester-ct/town-manager/documents/generals/65947/Clerical%20Final%20Agreement%20-%20Final%20for%20Signature%20%28002%29.pdf,https://municipal-documents.s3.amazonaws.com/uploads/winchester-ct/town-manager/documents/generals/65947/Clerical%20Final%20Agreement%20-%20Final%20for%20Signature%20%28002%29.pdf,municipal-documents.s3.amazonaws.com,cba,cba,medium,8449d272a98bf480c8c311aee9f8de7988f029d8c78759e0612c45fb8d87e03a,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-92be3a8d3dde7fee471e.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_002/CBTXT-20260728-89d08e55dbde4fe5773e.txt,54987,c7bcba3ed8e6742238c03146010f80a2816a72dce70c02235e72e59a2854a06e,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Locked deterministic span candidate source; no rating or analytic judgment.,span_extracted,16,0,8,6,0,2,19,2,,,one or more deterministic exact candidate spans found
CBSPQ-20260728-b8e9e0463b9f9596fb20,CBTXT-20260728-dbfe597b7550aef5f322,CBRDY-20260728-f2b9a1fdb17fd18cf344,CBSRD-20260728-b8ca533789bcb4b65e55,CBCR-20260728-00483,B4XPAR-20260727-000533,BCV-20260728-02342,broad_4x1000_deduped,span_lane_003,5,extraction_lane_002,CT,Northeast,Windsor Locks,Capitol Planning Region (09110; primary),CO-PAY RATES 2025/2026 7/1/2025 (CT Partnership Plan 2.0) — Police,https://cdn.townweb.com/windsorlocksct.org/wp-content/uploads/2025/05/CO_PAYS_POLICE_FILLABLE.pdf,https://cdn.townweb.com/windsorlocksct.org/wp-content/uploads/2025/05/CO_PAYS_POLICE_FILLABLE.pdf,cdn.townweb.com,unknown_or_needs_review,context_only,medium,113602e30f66f15fc244cd93d09f1bd501067db9b9a62507c02a93acc0564ace,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-b8ca533789bcb4b65e55.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_002/CBTXT-20260728-dbfe597b7550aef5f322.txt,4839,f515db3bb7b7751c0688555827285e21bff0e46e35d7fb89dab51d857b0146e0,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Locked deterministic span candidate source; no rating or analytic judgment.,ambiguous_span,0,1,0,0,0,0,0,0,generic_term_without_rule_specific_compensation_or_mechanism_context,,generic compensation/labor term found without a positive deterministic rule
CBSPQ-20260728-45657b3e81a33f799cb0,CBTXT-20260728-48da7153b13447a8c221,CBRDY-20260728-a1c76e45e0ef4d386e7a,CBSRD-20260728-169f54fe419205259b0f,CBCR-20260728-02080,B4XPAR-20260727-002249,BCV-20260728-08558,broad_4x1000_deduped,span_lane_003,6,extraction_lane_002,CT,Northeast,Woodbridge,South Central Connecticut Planning Region (09170; primary),Board of Finance meeting minutes (police collective bargaining agreement approval noted),https://www.woodbridgect.org/AgendaCenter/ViewFile/Minutes/_04162026-4153,https://woodbridgect.org/AgendaCenter/ViewFile/Minutes/_04162026-4153,woodbridgect.org,agenda_packet_or_minutes,meeting_minutes,medium,624e2382b345e114de49b39f4ed418e55dfcea3027b8163dcbbf762e2893ad27,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-169f54fe419205259b0f.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_002/CBTXT-20260728-48da7153b13447a8c221.txt,6657,9bc3e73c82ff82e20f73be241c6033b7b32f6d8c071d2715b8521c58bb094183,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Locked deterministic span candidate source; no rating or analytic judgment.,span_extracted,2,0,1,1,0,0,2,0,,,one or more deterministic exact candidate spans found
CBSPQ-20260728-c27e097a8c4e33781f71,CBTXT-20260728-7b0ecc386f7e0dd1c1b8,CBRDY-20260728-222a03b795dc279bf1e2,CBSRD-20260728-e37d6f6ee6a2e2a8ac9a,CBCR-20260728-00487,B4XPAR-20260727-000537,BCV-20260728-08559,broad_4x1000_deduped,span_lane_003,7,extraction_lane_002,CT,Northeast,Woodbury,Naugatuck Valley Planning Region (09140; primary),"Agreement Between Town of Woodbury and AFSCME Council 4, Local 2693W (Police Bargaining Unit)",https://woodburyct.org/vertical/Sites/%7B59751637-3DF2-41D3-B20A-866E470B1D1D%7D/uploads/Woodbury_Police_2023-2026_FINAL_SIGNED.pdf,https://woodburyct.org/vertical/Sites/%7B59751637-3DF2-41D3-B20A-866E470B1D1D%7D/uploads/Woodbury_Police_2023-2026_FINAL_SIGNED.pdf,woodburyct.org,cba,cba,medium,9a2df9ff280a7075e6e3fe9a5e4d42a0a849488b5b1fdbf4da05fde1863cd716,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-e37d6f6ee6a2e2a8ac9a.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_002/CBTXT-20260728-7b0ecc386f7e0dd1c1b8.txt,64783,b71346640754ccd27c701919b21144ea9854a4576ccc547326f4351efe06e980,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Locked deterministic span candidate source; no rating or analytic judgment.,span_extracted,13,0,5,6,0,2,14,1,,,one or more deterministic exact candidate spans found
CBSPQ-20260728-e464d38a3fd8417280f7,CBTXT-20260728-05388cfad7fca7a39958,CBRDY-20260728-ce08ee8bb18850ba55e4,CBSRD-20260728-b0e95b55c3175312a534,CBCR-20260728-06629,BSSC-20260727-00205,BCV-20260728-00171,broad_490_preserved_review_queue,span_lane_003,8,extraction_lane_002,DE,South,Camden,,Council Meeting Minutes (discussion referencing Police contract/collective bargaining),https://camden.delaware.gov/files/2024/06/Council-Meeting-Minutes-5-6-24.pdf,https://camden.delaware.gov/files/2024/06/Council-Meeting-Minutes-5-6-24.pdf,camden.delaware.gov,budget_or_pay_plan,meeting_minutes,medium,9738ffc4526491ce0fd403394810fee856e688ea6cb672a7a6dd2ae077156022,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-b0e95b55c3175312a534.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_002/CBTXT-20260728-05388cfad7fca7a39958.txt,21772,cd9bc9ad53e3e2db7d07fd78fc4408bcb2b61989f4a92b18881604bf097b0426,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Locked deterministic span candidate source; no rating or analytic judgment.,span_extracted,4,0,3,1,0,0,4,0,,,one or more deterministic exact candidate spans found
CBSPQ-20260728-3e5fbf95fe92cccfb4ed,CBTXT-20260728-bddb32fc0f1148d56963,CBRDY-20260728-3f20111375ac081de0b1,CBSRD-20260728-3e23dda67ce5d5dbfa76,CBCR-20260728-06631,BSSC-20260727-00207,BCV-20260728-01595,broad_490_preserved_review_queue,span_lane_003,9,extraction_lane_002,DE,South,Elsmere,,"NOTICE OF CERTIFICATION PETITION AND ELECTION ORDER (FOP, Lodge No. 1) — Town of Elsmere Police Department",https://perb.delaware.gov/wp-content/uploads/sites/127/2024/07/1420-NOTICE-Certification-Petition-FOP1-ElsmerePD.pdf,https://perb.delaware.gov/wp-content/uploads/sites/127/2024/07/1420-NOTICE-Certification-Petition-FOP1-ElsmerePD.pdf,perb.delaware.gov,unknown_or_needs_review,index_page,medium,a6da83e7efe3c75504473d426e8ebd82395d7197e8962b8ba56040f87ecbdd37,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-3e23dda67ce5d5dbfa76.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_002/CBTXT-20260728-bddb32fc0f1148d56963.txt,3052,21efdd542ecac16f596e7979cbf9ebc0fdba22ebb5dd0d9bf235be65c7d4f36d,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Locked deterministic span candidate source; no rating or analytic judgment.,span_extracted,1,0,0,1,0,0,1,0,,,one or more deterministic exact candidate spans found
CBSPQ-20260728-b72af42e7b30690f1061,CBTXT-20260728-029980e7018d584a24c4,CBRDY-20260728-9906daeade2ed3b23107,CBSRD-20260728-4f64efc63e08f6193fc1,CBCR-20260728-02499,B4XPAR-20260727-002699,BCV-20260728-06086,broad_4x1000_deduped,span_lane_003,10,extraction_lane_002,DE,South,Houston,Kent County (10001; primary),"June 24, 2026 Town Council Meeting and Public Hearing FY2027 Budget (agenda/packet pdf)",https://static1.squarespace.com/static/5f84eeefdddcb50022018e0c/t/6a3abc5c494cdc1e72bce141/1782234204995/JUNE+24+2026+TOWN+COUNCIL+MEETING+AND+PUBLIC+HEARING.pdf,https://static1.squarespace.com/static/5f84eeefdddcb50022018e0c/t/6a3abc5c494cdc1e72bce141/1782234204995/JUNE+24+2026+TOWN+COUNCIL+MEETING+AND+PUBLIC+HEARING.pdf,static1.squarespace.com,budget_or_pay_plan,agenda_cover_sheet,medium,d7fc44306fc6851e663d3b9b88c204e3acde30e9ebfe0b2254f9e344ec39e1b9,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-4f64efc63e08f6193fc1.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_002/CBTXT-20260728-029980e7018d584a24c4.txt,612,4f1fd6e2d3cdea1ec285a012671f81f30473bbfe53412ffc48bf82084afe9de4,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Locked deterministic span candidate source; no rating or analytic judgment.,ambiguous_span,0,1,0,0,0,0,0,0,generic_term_without_rule_specific_compensation_or_mechanism_context,,generic compensation/labor term found without a positive deterministic rule
