span_extraction_id,span_queue_id,extracted_text_id,extraction_id,readiness_id,source_review_download_id,combined_review_id,source_candidate_id,verification_row_id,candidate_origin,lane_id,lane_sequence,state,region,municipality,county,source_title,source_locator_or_url,final_canonical_locator,source_domain,source_family_hint,document_type_hint,source_review_priority,retained_file_sha256,retained_file_path_resolved,retained_file_type,extracted_text_artifact_path,extracted_text_size_bytes,extracted_text_sha256,extraction_status,artifact_root_lineage,evidence_family,mechanism_label,quantitative_label,span_status,span_text,span_start_offset,span_end_offset,span_sha256,extraction_rule_family,extraction_rule_id,rule_hit_terms,all_evidence_family_hits,all_mechanism_label_hits,all_quantitative_label_hits,all_extraction_rule_ids,bounded_context_before,bounded_context_after,context_total_char_count,duplicate_span_group_id,source_review_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,claim_boundary,notes
CBSPAN-20260728-a0b703f47642860fc3a00ce4,CBSPQ-20260728-181d98f0954d3f1f476f,CBTXT-20260728-a778e2c08823dddcd163,CBTXT-20260728-a778e2c08823dddcd163,CBRDY-20260728-e1fad7d8c8e130b5725d,CBSRD-20260728-48794f517987a40ebfe6,CBCR-20260728-05996,B4XPAR-20260727-006532,BCV-20260728-00536,broad_4x1000_deduped,span_lane_004,3,TN,South,McMinnville,Warren County (47177; primary),Agenda Packet - Board of Mayor & Aldermen (contains multiple attachments including resolution language; wage-setting labor terms not confirmed),https://cms2.revize.com/revize/mcminnville/BOMA%20Packet.pdf?t=202601131719490,https://cms2.revize.com/revize/mcminnville/BOMA%20Packet.pdf,cms2.revize.com,agenda_packet_or_minutes,index_page,medium,4b8d84439bf56e70dd36e6558c618125200ee285ac78676948836583591fb773,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-48794f517987a40ebfe6.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_003/CBTXT-20260728-a778e2c08823dddcd163.txt,15677,ed162dccc2b465ac230df1ec8eb27afa178e9c1331d09af6231c304d2eb3eaa1,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,weak_or_not_compensation_relevant,weak_or_no_claim_support,unknown_quantitative_compensation,ambiguous_span," through the NPPG OV.COM Lion contract number
",1086,1132,5985e163a93f478dd9abf64c057482a6c3e4958b57e70a913984b19131b67067,W,W001,"[""contract""]","[""weak_or_not_compensation_relevant""]","[""weak_or_no_claim_support""]","[""unknown_quantitative_compensation""]","[""W001""]","becomes effective.
        d. Resolution No. 2026-27, a resolution of the City of McMinnville, authorizing the
           purchase of eight sets of turnout gear for the fire department for $30,920.00 from
           North America Fire Equipment, Inc.","           PS20065, and to set an effective date for this resolution.
3.   RECOGNITION OF VISITORS
4.   PETITIONS
5.   DISCUSSION ITEMS
6.   ACTION ITEMS
7.   RECOGNITION OF EMPLOYEES & DEPARTMENTAL REPORTS

8.   ANNOUNCEMENTS

9.   ADJOURNMENT

City",500,CBDUP-a0b703f47642860fc3a0,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Deterministic exact candidate span; label requires later rating.
CBSPAN-20260728-fc802d3b38c0c24858941d9d,CBSPQ-20260728-16043740204119904e93,CBTXT-20260728-729d9e6de971beb94603,CBTXT-20260728-729d9e6de971beb94603,CBRDY-20260728-4817f995ce5bc4a91561,CBSRD-20260728-1afc139e1c31efa31361,CBCR-20260728-06000,B4XPAR-20260727-006538,BCV-20260728-08254,broad_4x1000_deduped,span_lane_004,6,TN,South,Munford,Tipton County (47167; primary),Ordinance 2023-02-01 (amends City of Munford Personnel Handbook: changes sick and vacation accrual rates for firefighters),https://storage.googleapis.com/proudcity/munfordtn/uploads/2023/01/Board-Packet-03-27-2023-2.pdf,https://storage.googleapis.com/proudcity/munfordtn/uploads/2023/01/Board-Packet-03-27-2023-2.pdf,storage.googleapis.com,budget_or_pay_plan,ordinance_or_policy,medium,b6718598139a93d052099b649deb3ab02795dd9857411b63b43a142f49f13b9e,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-1afc139e1c31efa31361.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_003/CBTXT-20260728-729d9e6de971beb94603.txt,127218,c4d385e47e4d67d6cd1db5ac9e5f756c6b3ec64bb9769dd17793988ae356fc2d,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,weak_or_not_compensation_relevant,weak_or_no_claim_support,unknown_quantitative_compensation,ambiguous_span,"              Budget.
",2683,2705,b4050c04dad8efabf04f1a3f0228a4288a15a78fb83a40d1e4cdf682b333c762,W,W001,"[""Budget""]","[""weak_or_not_compensation_relevant""]","[""weak_or_no_claim_support""]","[""unknown_quantitative_compensation""]","[""W001""]","    Business) District.

         *Ordinance 2023-02-02 comes with a positive recommendation from City of Munford
         Planning Commission

     First Reading

         •    ORDINANCE 2023-03-01 An Ordinance to amend the FY2023 General Operating
","
     First Reading

         •    ORDINANCE 2023-03-02 An Ordinance to amend the FY2023 State Street Aid Fund.

     First Reading

         •    ORDINANCE 2023-03-03 An Ordinance to amend the FY2023 Drug Fund.

     First Reading

        •   ORDIN",500,CBDUP-fc802d3b38c0c2485894,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Deterministic exact candidate span; label requires later rating.
CBSPAN-20260728-9171833a95eb6c9efe662e87,CBSPQ-20260728-223ff940eb6e5cb14ce7,CBTXT-20260728-b1f40fa15b9c9dc20942,CBTXT-20260728-b1f40fa15b9c9dc20942,CBRDY-20260728-654c5c69439e3eaa3033,CBSRD-20260728-1228dcad3f9949ee7a31,CBCR-20260728-05999,B4XPAR-20260727-006535,BCV-20260728-01824,broad_4x1000_deduped,span_lane_004,7,TN,South,Munford,Tipton County (47167; primary),"Job Classification Schedule (includes Police Officer/Sergeant/Lt/Det/Insp/Capt/Chief pay ranges) — Revised April 24, 2023 (public version)",https://storage.googleapis.com/proudcity/munfordtn/uploads/2023/05/Job-Classification-Schedule-2022-2023-Public.pdf,https://storage.googleapis.com/proudcity/munfordtn/uploads/2023/05/Job-Classification-Schedule-2022-2023-Public.pdf,storage.googleapis.com,wage_schedule,wage_schedule_or_compensation_plan,medium,3b8c6e947ee46306a09182c268f328de83308e1abf828a020f0c1c6bfcefa9a4,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-1228dcad3f9949ee7a31.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_003/CBTXT-20260728-b1f40fa15b9c9dc20942.txt,4641,46506b14385e8ad0819547d053b2ac71d1714fabbf148046c74a87e4ee696648,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,weak_or_not_compensation_relevant,weak_or_no_claim_support,unknown_quantitative_compensation,ambiguous_span,"Revised April 24, 2023                                                                           Pay     Pay     Pay      Fire     Fire     Fire
",343,488,3048636c82b0b68937d8101c7f5434964665ad2c73e6834066fcc2d9f5b5c1cf,W,W001,"[""Pay""]","[""weak_or_not_compensation_relevant""]","[""weak_or_no_claim_support""]","[""unknown_quantitative_compensation""]","[""W001""]","                                                             Job Classification Schedule

City of Munford
Job Classification Schedule                                                                      Min     Mid     Max      Min      Mid      Max
","                                                                                 Annual Hours    2,080   2,080   2,080     2,912    2,912    2,912
      Entry Level Positions-no exp                                                              no exp ",500,CBDUP-9171833a95eb6c9efe66,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Deterministic exact candidate span; label requires later rating.
CBSPAN-20260728-82fe321dbdabc0c77ccf6914,CBSPQ-20260728-7435109d8513bddde529,CBTXT-20260728-d701843cdd3011c30c47,CBTXT-20260728-d701843cdd3011c30c47,CBRDY-20260728-259a1147f66c89ae5a5f,CBSRD-20260728-927ce3595e6ba6b5da55,CBCR-20260728-02780,B4XPAR-20260727-003016,BCV-20260728-03492,broad_4x1000_deduped,span_lane_004,10,TN,South,Oak Hill,Davidson County (47037; primary),City of Oak Hill — City Council Meeting Packet (includes “EMP SALARY & WAGES - POL DEPT” line items),https://mccmeetings.blob.core.usgovcloudapi.net/oakhill-pubu/MEET-Packet-afeb6b2160984a8ea3dc1e8554cda6e7.pdf,https://mccmeetings.blob.core.usgovcloudapi.net/oakhill-pubu/MEET-Packet-afeb6b2160984a8ea3dc1e8554cda6e7.pdf,mccmeetings.blob.core.usgovcloudapi.net,budget_or_pay_plan,agenda_cover_sheet,medium,522eeb97f9cd6f6f9ccd433a7231fb0cb9fa2d6d368d0ed1c88decba0833238d,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-927ce3595e6ba6b5da55.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_003/CBTXT-20260728-d701843cdd3011c30c47.txt,253740,fa531cc11cd1fb32f03a704501444e7b0ed43c4604b0d45d173c9da64cb91728,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,weak_or_not_compensation_relevant,weak_or_no_claim_support,unknown_quantitative_compensation,ambiguous_span," Coal severance budget revision
",1074,1106,e67a048ec30838217be131ad0a561dbde616ef7054f0978cfacceb51f0aa0d2d,W,W001,"[""budget""]","[""weak_or_not_compensation_relevant""]","[""weak_or_no_claim_support""]","[""unknown_quantitative_compensation""]","[""W001""]"," special use permit (2nd
    reading)
4. Consideration to amend Oak Hill Municipal Code (OHMC) 5.02 Garage and Rummage
    Sales for the purpose of eliminating fees for yard sale permits (2nd reading)
5. Bid opening for street paving

New Business
6.","7. Request approval for Pro Officer contract between City of Oak Hill and Fayette County
   Board of Ed.
8. Consideration of Spring 2020 campaign materials for service line warranties
9. Consider a recommendation from Oak Hill Sanitary Bd. to fill va",500,CBDUP-82fe321dbdabc0c77ccf,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Deterministic exact candidate span; label requires later rating.
CBSPAN-20260728-b79cb816a86e65a9f9c2b67e,CBSPQ-20260728-f5c37be9920ac5a07e9b,CBTXT-20260728-a77dff399cc9862045f0,CBTXT-20260728-a77dff399cc9862045f0,CBRDY-20260728-c670c80f952dcb55162f,CBSRD-20260728-2fbcaa78ce6664ee1794,CBCR-20260728-06005,B4XPAR-20260727-006543,BCV-20260728-00459,broad_4x1000_deduped,span_lane_004,13,TN,South,Savannah,Hardin County (47071; primary),"Charter of the City of Savannah, Tennessee (Police Force – salaries to be fixed by Board of Commissioners)",https://cityofsavannah.org/wp-content/uploads/2019/06/chartercityofsavannahrevised.pdf,https://cityofsavannah.org/wp-content/uploads/2019/06/chartercityofsavannahrevised.pdf,cityofsavannah.org,budget_or_pay_plan,context_only,medium,e9831ff013513bca4b49928bb4233267549830b0631497b18272b1bd879ae492,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-2fbcaa78ce6664ee1794.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_003/CBTXT-20260728-a77dff399cc9862045f0.txt,114073,cf55aaeb9e43c18919ad75225523ba9df66760b41b5402726658b99047949b0c,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,weak_or_not_compensation_relevant,weak_or_no_claim_support,unknown_quantitative_compensation,ambiguous_span,BUDGET AND APPROPRIATIONS............................................................................... ,3778,3883,45fa212b5a1e53495050cd7656e468c1e541232b3b545aadb05c227f95f3f337,W,W001,"[""BUDGET""]","[""weak_or_not_compensation_relevant""]","[""weak_or_no_claim_support""]","[""unknown_quantitative_compensation""]","[""W001""]"," BONDS ................................................................................................................. 37
SINKING FUND ............................................................................................................. 39
","40
DEPARTMENTS ............................................................................................................ 42
POLICE FORCE ............................................................................................................ 4",500,CBDUP-b79cb816a86e65a9f9c2,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Deterministic exact candidate span; label requires later rating.
CBSPAN-20260728-98ab43182b4596ead24de6b7,CBSPQ-20260728-62da727949fca191a82e,CBTXT-20260728-241e6d5e315d9f7378ee,CBTXT-20260728-241e6d5e315d9f7378ee,CBRDY-20260728-f1fc6bf1edae5fc4a1a6,CBSRD-20260728-1a782ab6cea1decb2ae8,CBCR-20260728-01168,B4XPAR-20260727-001257,BCV-20260728-04839,broad_4x1000_deduped,span_lane_004,16,TN,South,Soddy-Daisy,Hamilton County (47065; primary),"City of Soddy-Daisy Commission Meeting Agenda — June 19, 2025 (Resolution revising personnel policy/pay plans; police pay plan language for 12-hour shifts)",https://cms3.revize.com/revize/cityofsoddydaisy/Documents/Agendas%20%26%20Minutes/Agenda%206-19-2025.pdf,https://cms3.revize.com/revize/cityofsoddydaisy/Documents/Agendas%20%26%20Minutes/Agenda%206-19-2025.pdf,cms3.revize.com,budget_or_pay_plan,agenda_cover_sheet,medium,7c883c56025c29e0b5cb4979156caa6775ca3c3a4ad2ddac2abebc4c1adab003,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-1a782ab6cea1decb2ae8.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_003/CBTXT-20260728-241e6d5e315d9f7378ee.txt,1560,d3b2b9708b492f07db4d28b3c6b8a23b9821b1f09a46f3a92e0154187b525cf5,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,weak_or_not_compensation_relevant,weak_or_no_claim_support,unknown_quantitative_compensation,ambiguous_span,BUDGET. ,423,431,eceb93180ecd77ea6740f2933eac61c830bd0bfc8f248a889bc14d7452216522,W,W001,"[""BUDGET""]","[""weak_or_not_compensation_relevant""]","[""weak_or_no_claim_support""]","[""unknown_quantitative_compensation""]","[""W001""]","Invocation

Pledge to the Flag

Roll Call by Recorder

Approval of Minutes – Regular Meeting of June 5, 2025


Old Business:

AN ORDINANCE OF THE CITY OF SODDY-DAISY, TENNESSEE, AMENDING
2023-2024 ORDINANCE NO. 18 ADOPTING THE 2024-2025 GENERAL FUND
","SECOND AND FINAL READING.

AN ORDINANCE OF THE CITY OF SODDY-DAISY, TENNESSEE, ADOPTING THE
ANNUAL BUDGET FOR THE FISCAL YEAR BEGINNING JULY 1, 2025 AND
ENDING JUNE 30, 2026. SECOND AND FINAL READING.

AN ORDINANCE OF THE CITY OF SODDY-DAISY, TENNESS",500,CBDUP-98ab43182b4596ead24d,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Deterministic exact candidate span; label requires later rating.
CBSPAN-20260728-f0d40eab8edb7f7947bc2efd,CBSPQ-20260728-03f66cb7b4c422a21bd1,CBTXT-20260728-d8b05c71ce8032a7b4ed,CBTXT-20260728-d8b05c71ce8032a7b4ed,CBRDY-20260728-e0710289599a37e4a62c,CBSRD-20260728-06a3d398b894a73bafd4,CBCR-20260728-01169,B4XPAR-20260727-001258,BCV-20260728-06982,broad_4x1000_deduped,span_lane_004,17,TN,South,Soddy-Daisy,Hamilton County (47065; primary),"City of Soddy-Daisy Board of Commissioners Meeting Minutes — June 19, 2025 (Resolution No. 6: revising personnel policy; amending Section III Pay Plans; police pay plan language for 12-hour shifts)",https://cms3.revize.com/revize/cityofsoddydaisy/Documents/Agendas%20%26%20Minutes/CM%206-19-25.pdf,https://cms3.revize.com/revize/cityofsoddydaisy/Documents/Agendas%20%26%20Minutes/CM%206-19-25.pdf,cms3.revize.com,budget_or_pay_plan,meeting_minutes,medium,6510d0f1e54be716e5421b0701a5a93a5943e3f0235b66603e2d03cf3fe8494b,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-06a3d398b894a73bafd4.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_003/CBTXT-20260728-d8b05c71ce8032a7b4ed.txt,13979,3a4130f23293c7bacef64eb8437f9249b2e7be7d326e28b6be460d564cc53307,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,weak_or_not_compensation_relevant,weak_or_no_claim_support,unknown_quantitative_compensation,ambiguous_span,               FUND BUDGET. ,752,780,2fdce2ee61e84607801d38eae7b78996c423bb86941416437307e2c062e8c2f1,W,W001,"[""BUDGET""]","[""weak_or_not_compensation_relevant""]","[""weak_or_no_claim_support""]","[""unknown_quantitative_compensation""]","[""W001""]","g held June 5, 2025 were approved as presented.

     OLD BUSINESS:

                           2024-2025 ORDINANCE NO. 19

  AN ORDINANCE OF THE CITY OF SODDY-DAISY, TENNESSEE, AMENDING
     2023-2024 ORDINANCE NO. 18 ADOPTING THE 2024-2025 GENERAL
","SECOND AND FINAL READING.

     1st  - Commissioner Everett to approve
     2nd  - Vice-Mayor Penney
     Ayes - Vice-Mayor Penney, Commissioner Beene, Commissioner Everett,
            Commissioner Keith, Mayor Coleman

                             ",500,CBDUP-f0d40eab8edb7f7947bc,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Deterministic exact candidate span; label requires later rating.
CBSPAN-20260728-79cd5aafafecba609562c17a,CBSPQ-20260728-bfb1e784576d1273f768,CBTXT-20260728-cee40bddea83b75ad877,CBTXT-20260728-cee40bddea83b75ad877,CBRDY-20260728-812e71ccd2119065ece5,CBSRD-20260728-218f5e2054820168b62b,CBCR-20260728-08909,TS4L-dfc89fc070e4442267df,BCV-20260728-00553,targeted_prior_unrouted,span_lane_004,19,TN,South,Soddy-Daisy,,"CM 6-18-2020 Minutes (Ordinance adopting a classification and pay plan for city employees) — City of Soddy-Daisy, TN",https://cms3.revize.com/revize/cityofsoddydaisy/Documents/Government/Board%20Of%20Commissioners/Agendas%20%26%20Minutes/2020/Minutes/CM-6-18-2020.pdf,https://cms3.revize.com/revize/cityofsoddydaisy/Documents/Government/Board%20Of%20Commissioners/Agendas%20%26%20Minutes/2020/Minutes/CM-6-18-2020.pdf,cms3.revize.com,cba_or_compensation_study_or_classification_study_or_wage_schedule,cba_or_compensation_study_or_classification_study_or_wage_schedule,medium,cd63be9e106cdd2532c8dd7be06969d6ecc29d139c3f56481b749d0d22ecbca9,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-218f5e2054820168b62b.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_003/CBTXT-20260728-cee40bddea83b75ad877.txt,8015,d5434f6be69e68de2c0ecc2a391624c36429c8c482224bcc9b9dd2e1f0b5a81d,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,weak_or_not_compensation_relevant,weak_or_no_claim_support,unknown_quantitative_compensation,ambiguous_span,"  ADOPTING THE ANNUAL BUDGET AND TAX RATE FOR THE FISCAL YEAR
",548,610,7b45f85dcb335fffdd870e2c59e068aa83e6c8b16fc89796aba9264aa02675f0,W,W001,"[""BUDGET""]","[""weak_or_not_compensation_relevant""]","[""weak_or_no_claim_support""]","[""unknown_quantitative_compensation""]","[""W001""]","ER ABSENT:
RECORDER JOHNSON

     The minutes of the regular meeting held June 4, 2020 were approved as presented.

     OLD BUSINESS:

                            2019-2020 ORDINANCE NO. 8

       AN ORDINANCE OF THE CITY OF SODDY-DAISY, TENNESSEE,
","  BEGINNING JULY 1, 2020 AND ENDING JUNE 30, 2021. SECOND AND FINAL
                              READING.

     There was no discussion.

     1st  - Vice-Mayor Cothran
       nd
     2    - Commissioner Lowe
     Ayes - Unanimous

                 ",500,CBDUP-79cd5aafafecba609562,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Deterministic exact candidate span; label requires later rating.
CBSPAN-20260728-eaf9cd8d7f3e25169b1bc301,CBSPQ-20260728-40e0d9bcede60557d86e,CBTXT-20260728-8dcfc0a0d29a40d3e191,CBTXT-20260728-8dcfc0a0d29a40d3e191,CBRDY-20260728-abbecb8bb8f8c793ff9d,CBSRD-20260728-a16d488e98e4f95f1536,CBCR-20260728-06017,B4XPAR-20260727-006558,BCV-20260728-02657,broad_4x1000_deduped,span_lane_004,37,TX,South,Cleveland,Liberty County (48291; primary); Montgomery County (48339); San Jacinto County (48407),City Council Meeting Minutes — 'Authorize Compensation of Employees' (reclassifications / pay grade assignments),https://www.clevelandtexas.com/AgendaCenter/ViewFile/Agenda/_01282025-1068,https://clevelandtexas.com/AgendaCenter/ViewFile/Agenda/_01282025-1068,clevelandtexas.com,agenda_packet_or_minutes,meeting_minutes,medium,6efd2d8d16eb86d8c01e59744d5a86f550748e64ca14c6eeed1f18c84c76b6b4,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-a16d488e98e4f95f1536.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_003/CBTXT-20260728-8dcfc0a0d29a40d3e191.txt,26696,bf6137d4c74dcdf0eec25fa6cda0e59f80b2b7af3cca778a926cf7109b4b95fa,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,weak_or_not_compensation_relevant,weak_or_no_claim_support,unknown_quantitative_compensation,ambiguous_span, The water complaint since Labor Day weekend. ,1213,1259,76d1af7cb357a56f4688aeb9e79e8ec23f451dfae8758b4f1754b6ee47738f6b,W,W001,"[""Labor""]","[""weak_or_not_compensation_relevant""]","[""weak_or_no_claim_support""]","[""unknown_quantitative_compensation""]","[""W001""]","e Blackwell
 4. Proclamation for Cervical Cancer Awareness, Ms. Sharica Lewis
 5. Pam Cogbill received Employee of the Month Recognition
 6. Public comments - Raymond Chapell had a complaint about a water main break on the
       300 block of Elm St.","There was a
       water main break, and a temporary flx was done but nothing else. The street is closed
       off the feeder road and the water pressure is low. Mayor Danny Lee states that notes
       will be taken regarding this matter. Joe Vasqu",500,CBDUP-eaf9cd8d7f3e25169b1b,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Deterministic exact candidate span; label requires later rating.
CBSPAN-20260728-ca5c34bb474584f648598768,CBSPQ-20260728-5439fd8e5a281c663d5d,CBTXT-20260728-1fc9d99138aba5a481e3,CBTXT-20260728-1fc9d99138aba5a481e3,CBRDY-20260728-ecdce816540dd692371d,CBSRD-20260728-6630a42a5347ffbee409,CBCR-20260728-01182,B4XPAR-20260727-001273,BCV-20260728-05206,broad_4x1000_deduped,span_lane_004,41,TX,South,Ennis,Ellis County (48139; primary),City of Ennis Pay Plan FY 25-26 General Government - Full Time Employees,https://ennistx.civicweb.net/document/113989/FY%202026_Civilian%20General%20Government%20Pay%20Plan.pdf?handle=D09ED4DD41AE44ECA87A3F71E5BFF1F1,https://ennistx.civicweb.net/document/113989/FY%202026_Civilian%20General%20Government%20Pay%20Plan.pdf,ennistx.civicweb.net,budget_or_pay_plan,wage_schedule_or_compensation_plan,medium,8d211917d212e5a89a0bc943e06b3327721010d0261dd6d1883904506eb061be,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-6630a42a5347ffbee409.pdf,pdf,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_003/CBTXT-20260728-1fc9d99138aba5a481e3.txt,11876,a1eca7df1b57e682020d40c724f3b1b4ff6522f34d9c87ec0b98c4a262c1f898,extracted_ok,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,weak_or_not_compensation_relevant,weak_or_no_claim_support,unknown_quantitative_compensation,ambiguous_span,"City of Ennis Pay Plan
",0,23,9329ae627690204673f074e65e02166d42cd620b8b5ed7d6152bbb988e93be58,W,W001,"[""Pay""]","[""weak_or_not_compensation_relevant""]","[""weak_or_no_claim_support""]","[""unknown_quantitative_compensation""]","[""W001""]",,"FY 25-26 General Government - Full Time Employees
                                                                   SALARY          HOURLY           HOURLY                      HOURLY
POSITION/TITLE                                                   ",250,CBDUP-ca5c34bb474584f64859,retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready,Deterministic exact candidate span; label requires later rating.
