extraction_id,readiness_id,source_review_download_id,lane_id,extraction_status,text_artifact_group,extracted_text_artifact_path,extracted_text_size_bytes,extracted_text_sha256,artifact_storage_status
CBTXT-20260728-bbea33abcf9130451706,CBRDY-20260728-cc804fff8d57ee93860b,CBSRD-20260728-74d1b2c3b872fb346d35,extraction_lane_001,extracted_ok,pdf_text_layer,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-bbea33abcf9130451706.txt,297225,f1ab3173a3cf09d13c789a0588958f22b43b720df8a16edc35047e3c2a4331a7,local_only_git_ignored
CBTXT-20260728-cce48cca0cfea426aee8,CBRDY-20260728-a0ed61cd6d3ea865d1d2,CBSRD-20260728-15aa5c8d716745d26632,extraction_lane_001,extracted_ok,pdf_text_layer,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-cce48cca0cfea426aee8.txt,405207,14745ec5de7367b405d4a103d7c9ebb875d38a7daec7a5525954dd235a26a20e,local_only_git_ignored
CBTXT-20260728-2441fe84cbb3ef0e09e5,CBRDY-20260728-4f680a8ada05976ac18f,CBSRD-20260728-b8f26c9c257ba0c2703c,extraction_lane_001,extracted_ok,pdf_text_layer,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-2441fe84cbb3ef0e09e5.txt,563316,f88d39be394582e9a849bf1e5a4a3956c8693a45ca79c9f6db0bc766458bd520,local_only_git_ignored
CBTXT-20260728-245c7cd3e3b60ae3f415,CBRDY-20260728-44fecf4dc7dde1f79423,CBSRD-20260728-bb27a58b1984f6fb461f,extraction_lane_001,extracted_ok,pdf_text_layer,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-245c7cd3e3b60ae3f415.txt,52210,1bb32aada75d1930d66f0bce26a62f08ff102fdc03d0c9b481316c6f2c1d3462,local_only_git_ignored
CBTXT-20260728-9b715c13510450bc7eaf,CBRDY-20260728-4f5dacf386016568826b,CBSRD-20260728-e001077890bf66646130,extraction_lane_001,extracted_ok,pdf_text_layer,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-9b715c13510450bc7eaf.txt,16360,25939fe6ec8144d1391c3316e55123c38739b6b866973ddde5356df72340639f,local_only_git_ignored
CBTXT-20260728-417c49254de4d856b1ab,CBRDY-20260728-4ae0bc63b39a72b29d01,CBSRD-20260728-e35d851c8521dd2f465e,extraction_lane_001,extracted_ok,pdf_text_layer,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-417c49254de4d856b1ab.txt,410500,64fc4b0dc6514e7c2c20c31b49559ba1366f571d1888acf6d0c086cd442e965b,local_only_git_ignored
CBTXT-20260728-16ea414db5e15fa613d2,CBRDY-20260728-80a6d9b2560a71a932ba,CBSRD-20260728-20d3f3646924027aac77,extraction_lane_001,extracted_ok,pdf_text_layer,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-16ea414db5e15fa613d2.txt,550297,50dbdf38676867f28c26271bba16e2be6b532f2cceb8ad7739fd9f7e8c09b1bc,local_only_git_ignored
CBTXT-20260728-a4b1e9b6d0327f68e4df,CBRDY-20260728-f812873e7229d12c6465,CBSRD-20260728-a97302bcebc62758229d,extraction_lane_001,extracted_ok,pdf_text_layer,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-a4b1e9b6d0327f68e4df.txt,3182,eb3a5e82c64cf0d82aeb775f3288278312436fb76533c0a2c878f0935c470299,local_only_git_ignored
CBTXT-20260728-02803e696a48759999b8,CBRDY-20260728-4f89f5ae7ec040dbbdec,CBSRD-20260728-24ee60cf560706a2c9f2,extraction_lane_001,extracted_ok,pdf_text_layer,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-02803e696a48759999b8.txt,513793,ae2b881043e7071e06418906eb50d3021bea72e7bf2feb65637024350d2b888f,local_only_git_ignored
CBTXT-20260728-622774dd2b41cdd1318b,CBRDY-20260728-8e6eb6becafc78818a49,CBSRD-20260728-d9ef08f23426860da2bd,extraction_lane_001,extracted_ok,pdf_text_layer,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-622774dd2b41cdd1318b.txt,462018,acc4ee84ed0f3ba5581f2613327c5d6f08b37c8dd8a40199e109f36f3b2cbf7b,local_only_git_ignored
