extraction_id,readiness_id,source_review_download_id,combined_review_id,source_candidate_id,verification_row_id,candidate_origin,lane_id,lane_sequence,state,region,municipality,county,source_title,source_locator_or_url,final_canonical_locator,source_domain,source_family_hint,document_type_hint,source_review_priority,retained_file_type,retained_file_size_bytes,retained_file_sha256,readiness_status,page_count,retained_file_path_resolved,retained_file_path_source,original_retained_file_path,local_artifact_file_path,artifact_root_lineage,source_review_status,download_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,notes,extraction_status,extraction_method,text_artifact_group,extracted_text_artifact_path,extracted_text_size_bytes,extracted_text_sha256,char_count,line_count,chars_per_page,low_text_density_flag,repeated_garbage_flag,encoding_issue_flag,suspected_scanned_pdf_flag,html_shell_flag,extraction_warning_flag,extraction_error_type,extraction_reason
CBTXT-20260728-b7b8ce83c23cca2aa4c8,CBRDY-20260728-7d7d4777febda29f8ce7,CBSRD-20260728-986a466238494e72262c,CBCR-20260728-04509,B4XPAR-20260727-004915,BCV-20260728-04705,broad_4x1000_deduped,extraction_lane_004,140,AK,West,Nenana,Yukon-Koyukuk Census Area (02290; primary),City Council Minutes 2022 (landing list of Google Drive documents),https://www.cityofnenana.com/copy-of-city-council-minutes-2021,https://cityofnenana.com/copy-of-city-council-minutes-2021,cityofnenana.com,agenda_packet_or_minutes,agenda_cover_sheet,high,html,847343,9fe1d7c14908bb2185fc417ae3ec8109cc6eded25e771d3d1244e6a7ac5b342c,html_text_later,,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-986a466238494e72262c.html,original_operational_path,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-986a466238494e72262c.html,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-986a466238494e72262c.html,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,downloaded_or_retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked machine-readable text-only extraction row; no OCR, rendering, span extraction, rating, ingestion, codification, or analysis.",html_noisy_or_shell,stdlib_html_visible_text,html_text,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_004/CBTXT-20260728-b7b8ce83c23cca2aa4c8.txt,588,9aaef073cc6925723721730f8bb0e8e6843c1a3133069419d3345e0b6e1d57b2,588,30,,false,false,false,false,true,true,,bounded structural/text checks indicate shell-dominant HTML
CBTXT-20260728-6e10cde8bbd03d277841,CBRDY-20260728-6cee5346a196a20867e7,CBSRD-20260728-ae35964829649a68cf1f,CBCR-20260728-04085,B4XPAR-20260727-004442,BCV-20260728-04714,broad_4x1000_deduped,extraction_lane_004,147,AL,South,Oneonta,Blount County (01009; primary),City of Oneonta — Approved Council Minutes (archive landing),https://www.cityofoneonta.us/copy-of-minutes,https://cityofoneonta.us/copy-of-minutes,cityofoneonta.us,agenda_packet_or_minutes,index_page,high,html,741665,083c47ba70af5f2e2143bc0a7fea0fbdb87646cc5de0bc1f11177b32930c6121,html_text_later,,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-ae35964829649a68cf1f.html,original_operational_path,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-ae35964829649a68cf1f.html,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-ae35964829649a68cf1f.html,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,downloaded_or_retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked machine-readable text-only extraction row; no OCR, rendering, span extraction, rating, ingestion, codification, or analysis.",html_noisy_or_shell,stdlib_html_visible_text,html_text,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_004/CBTXT-20260728-6e10cde8bbd03d277841.txt,567,55cdcdc91ec390751db3b956331bdeeb21455002c119aa3431c4fc5f1560aa94,567,34,,false,false,false,false,true,true,,bounded structural/text checks indicate shell-dominant HTML
CBTXT-20260728-33b6374b215bac9af42f,CBRDY-20260728-3a9a9cac38da38afdd15,CBSRD-20260728-470992e0b2ea3f296bea,CBCR-20260728-04088,B4XPAR-20260727-004445,BCV-20260728-03734,broad_4x1000_deduped,extraction_lane_004,149,AL,South,Pell City,St. Clair County (01115; primary),Council Minutes (2025/2024/2023 minute links list),https://pell-city.com/council-minutes/,https://pell-city.com/council-minutes,pell-city.com,agenda_packet_or_minutes,index_page,high,html,116296,c94b77f471f67e819ecb3168604072fd5acc911861ee10bc06b9c564186876cb,html_text_later,,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-470992e0b2ea3f296bea.html,original_operational_path,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-470992e0b2ea3f296bea.html,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-470992e0b2ea3f296bea.html,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,downloaded_or_retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked machine-readable text-only extraction row; no OCR, rendering, span extraction, rating, ingestion, codification, or analysis.",html_noisy_or_shell,stdlib_html_visible_text,html_text,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_004/CBTXT-20260728-33b6374b215bac9af42f.txt,6451,43a2db9f9171107c08677c64d507b852e10bb4ea9f21098352906bbbf2f5cd2e,6436,428,,false,false,false,false,true,true,,bounded structural/text checks indicate shell-dominant HTML
CBTXT-20260728-e1d31789696dca13e30e,CBRDY-20260728-a63d8132a438322785a0,CBSRD-20260728-e26d0a75b153a38dc575,CBCR-20260728-05707,B4XPAR-20260727-006211,BCV-20260728-02333,broad_4x1000_deduped,extraction_lane_004,155,AR,South,Cave City,Sharp County (05135; primary); Independence County (05063),Public Notices — Cave City (links to Ordinances/Resolutions/Other Documents),https://www.cavecity.us/public-notices,https://cavecity.us/public-notices,cavecity.us,wage_schedule,index_page,high,html,82385,e9833d3330087f47aabca2fd2dc4250ac45dd879efe60d2a15b50de4d3fc7384,html_text_later,,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-e26d0a75b153a38dc575.html,original_operational_path,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-e26d0a75b153a38dc575.html,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-e26d0a75b153a38dc575.html,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,downloaded_or_retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked machine-readable text-only extraction row; no OCR, rendering, span extraction, rating, ingestion, codification, or analysis.",html_noisy_or_shell,stdlib_html_visible_text,html_text,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_004/CBTXT-20260728-e1d31789696dca13e30e.txt,1850,abd21d985c98902f5ef5a737803e3f534a460cb4d7bb71880ba7e7c48a342cf0,1848,83,,false,false,false,false,true,true,,bounded structural/text checks indicate shell-dominant HTML
CBTXT-20260728-c4056b7637ca778ce35b,CBRDY-20260728-33fdcd0304a090337ed6,CBSRD-20260728-3055b69cf4dc62047670,CBCR-20260728-05715,B4XPAR-20260727-006219,BCV-20260728-05293,broad_4x1000_deduped,extraction_lane_004,156,AR,South,Gentry,Benton County (05007; primary),AGENDAS (City Council / P & Z) – index/landing; source documents hosted on Egnyte,https://www.gentryar.gov/agendas,https://gentryar.gov/agendas,gentryar.gov,agenda_packet_or_minutes,index_page,high,html,599308,0122436b46a4a3a8f1173d73e1f856770b0e651579022541ca5b5939bc5968c5,html_text_later,,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-3055b69cf4dc62047670.html,original_operational_path,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-3055b69cf4dc62047670.html,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-3055b69cf4dc62047670.html,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,downloaded_or_retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked machine-readable text-only extraction row; no OCR, rendering, span extraction, rating, ingestion, codification, or analysis.",html_noisy_or_shell,stdlib_html_visible_text,html_text,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_004/CBTXT-20260728-c4056b7637ca778ce35b.txt,1045,76e82d405ab2f407df40d9374ea517e6ccf1097e61c93a674b21439a990d35b6,1042,70,,false,false,false,false,true,true,,bounded structural/text checks indicate shell-dominant HTML
CBTXT-20260728-18c483a491fc37cde804,CBRDY-20260728-366049f5344d506ee029,CBSRD-20260728-30f08e256580c55c4240,CBCR-20260728-05716,B4XPAR-20260727-006220,BCV-20260728-01006,broad_4x1000_deduped,extraction_lane_004,157,AR,South,Gentry,Benton County (05007; primary),MINUTES (City Council / P & Z) – index/landing; source documents hosted on Egnyte,https://www.gentryar.gov/copy-of-agendas,https://gentryar.gov/copy-of-agendas,gentryar.gov,agenda_packet_or_minutes,index_page,high,html,599740,91062273d9d32cb31eef1f4547c0d242e88c93c198bc66c719c95f69ffe4e41d,html_text_later,,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-30f08e256580c55c4240.html,original_operational_path,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-30f08e256580c55c4240.html,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-30f08e256580c55c4240.html,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,downloaded_or_retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked machine-readable text-only extraction row; no OCR, rendering, span extraction, rating, ingestion, codification, or analysis.",html_noisy_or_shell,stdlib_html_visible_text,html_text,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_004/CBTXT-20260728-18c483a491fc37cde804.txt,1045,881810149dc82a26753f6e1aa73804f5583eeff0a67efafb6ceae7411f7cd466,1042,69,,false,false,false,false,true,true,,bounded structural/text checks indicate shell-dominant HTML
CBTXT-20260728-e8c9cc1e8df797b85f33,CBRDY-20260728-ca79fcc924e65ffe46f3,CBSRD-20260728-282a49985a8063505749,CBCR-20260728-05717,B4XPAR-20260727-006221,BCV-20260728-07436,broad_4x1000_deduped,extraction_lane_004,158,AR,South,Gentry,Benton County (05007; primary),ORDINANCES & RESOLUTIONS – page describing document repositories hosted on Egnyte,https://www.gentryar.gov/about-3,https://gentryar.gov/about-3,gentryar.gov,salary_ordinance,agenda_cover_sheet,high,html,592145,21d770557224032f3a9e56251c91ae0870695bee3dc52426c64df8b44ace737b,html_text_later,,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-282a49985a8063505749.html,original_operational_path,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-282a49985a8063505749.html,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-282a49985a8063505749.html,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,downloaded_or_retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked machine-readable text-only extraction row; no OCR, rendering, span extraction, rating, ingestion, codification, or analysis.",html_noisy_or_shell,stdlib_html_visible_text,html_text,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_004/CBTXT-20260728-e8c9cc1e8df797b85f33.txt,1509,d745190ec8fbafe1a5ca130f7b75691a62bf1064566ac8a95b66cb0d282531ec,1506,60,,false,false,false,false,true,true,,bounded structural/text checks indicate shell-dominant HTML
CBTXT-20260728-6b2a85e693c3848c53f7,CBRDY-20260728-ecd5b7164b974c1cb6bf,CBSRD-20260728-f8fdc7e3673b48bf6495,CBCR-20260728-00863,B4XPAR-20260727-000929,BCV-20260728-06030,broad_4x1000_deduped,extraction_lane_004,160,AR,South,Shannon Hills,Saline County (05125; primary),Ordinances (archive landing page; PDFs available),https://shannonhills.ar.gov/ordinances,https://shannonhills.ar.gov/ordinances,shannonhills.ar.gov,budget_or_pay_plan,index_page,high,html,43358,bced983597694084cc24e120ee0ea81d7d6b5ce4bca72384e75cd14f6b34a5cc,html_text_later,,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-f8fdc7e3673b48bf6495.html,original_operational_path,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-f8fdc7e3673b48bf6495.html,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-f8fdc7e3673b48bf6495.html,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,downloaded_or_retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked machine-readable text-only extraction row; no OCR, rendering, span extraction, rating, ingestion, codification, or analysis.",html_noisy_or_shell,stdlib_html_visible_text,html_text,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_004/CBTXT-20260728-6b2a85e693c3848c53f7.txt,3152,63bd4d3962c19f52c58bbddac99c10e4ad45678cd8d2cefc6ebb17be8a27fc99,3149,172,,false,false,false,false,true,true,,bounded structural/text checks indicate shell-dominant HTML
CBTXT-20260728-6ae3f4c0c982a152dc54,CBRDY-20260728-8c2b8e838af072038563,CBSRD-20260728-366ab3646025330e1973,CBCR-20260728-00864,B4XPAR-20260727-000930,BCV-20260728-03887,broad_4x1000_deduped,extraction_lane_004,161,AR,South,Shannon Hills,Saline County (05125; primary),Older Meeting Minutes (2018-2023 PDFs listed),https://shannonhills.ar.gov/older-meeting-minutes,https://shannonhills.ar.gov/older-meeting-minutes,shannonhills.ar.gov,budget_or_pay_plan,meeting_minutes,high,html,39490,85b637e08a777c41ac5bf47340d264fc94efc4293043a5d071313069a4dc1222,html_text_later,,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-366ab3646025330e1973.html,original_operational_path,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-366ab3646025330e1973.html,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-366ab3646025330e1973.html,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,downloaded_or_retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked machine-readable text-only extraction row; no OCR, rendering, span extraction, rating, ingestion, codification, or analysis.",html_noisy_or_shell,stdlib_html_visible_text,html_text,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_004/CBTXT-20260728-6ae3f4c0c982a152dc54.txt,2751,981c4aff4d0c2bcf366aec8622da0fceedb96b2b5543cae260ce6a97e711617e,2748,146,,false,false,false,false,true,true,,bounded structural/text checks indicate shell-dominant HTML
CBTXT-20260728-e354d3a2f77e71feefaf,CBRDY-20260728-e3c574dc0ff279ec868d,CBSRD-20260728-197df2254aa579c4eb57,CBCR-20260728-00866,B4XPAR-20260727-000932,BCV-20260728-00488,broad_4x1000_deduped,extraction_lane_004,163,AR,South,Vilonia,Faulkner County (05045; primary),Municipal Code & Ordinances (Vilonia),https://www.cityofvilonia.net/municipal-code,https://cityofvilonia.net/municipal-code,cityofvilonia.net,wage_schedule,index_page,high,html,746952,83bc8ce211993a316c3e91848372a7934c0e1901dddae8c6c8c3b4eb4c09ce44,html_text_later,,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-197df2254aa579c4eb57.html,original_operational_path,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-197df2254aa579c4eb57.html,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-197df2254aa579c4eb57.html,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,downloaded_or_retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked machine-readable text-only extraction row; no OCR, rendering, span extraction, rating, ingestion, codification, or analysis.",html_noisy_or_shell,stdlib_html_visible_text,html_text,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_004/CBTXT-20260728-e354d3a2f77e71feefaf.txt,1859,dafcc1409b17a131c5e0758dbcad09f2c48e913e301b19a48752f14a3e7e333e,1847,100,,false,false,false,false,true,true,,bounded structural/text checks indicate shell-dominant HTML
