extraction_id,readiness_id,source_review_download_id,combined_review_id,source_candidate_id,verification_row_id,candidate_origin,lane_id,lane_sequence,state,region,municipality,county,source_title,source_locator_or_url,final_canonical_locator,source_domain,source_family_hint,document_type_hint,source_review_priority,retained_file_type,retained_file_size_bytes,retained_file_sha256,readiness_status,page_count,retained_file_path_resolved,retained_file_path_source,original_retained_file_path,local_artifact_file_path,artifact_root_lineage,source_review_status,download_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,notes,extraction_status,extraction_method,text_artifact_group,extracted_text_artifact_path,extracted_text_size_bytes,extracted_text_sha256,char_count,line_count,chars_per_page,low_text_density_flag,repeated_garbage_flag,encoding_issue_flag,suspected_scanned_pdf_flag,html_shell_flag,extraction_warning_flag,extraction_error_type,extraction_reason
CBTXT-20260728-aee01ec1c8717b27bddc,CBRDY-20260728-e72191f7877d6f4f259a,CBSRD-20260728-ffe736525031f76f4348,CBCR-20260728-06110,B4XPAR-20260727-006659,BCV-20260728-00026,broad_4x1000_deduped,extraction_lane_004,139,AK,West,Aleknagik,Dillingham Census Area (02070; primary),Chapter 9 – City Clerk (clerk’s pay section),https://aleknagikak.gov/ordinance/chapter-9-city-clerk/,https://aleknagikak.gov/ordinance/chapter-9-city-clerk,aleknagikak.gov,other_local_government_pay_policy,ordinance_or_policy,high,html,113505,fffec15c7462dff068cf8837b68ae768c0b09b4c03bbd949ea6325517f1fca35,html_text_later,,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-ffe736525031f76f4348.html,original_operational_path,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-ffe736525031f76f4348.html,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-ffe736525031f76f4348.html,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,downloaded_or_retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked machine-readable text-only extraction row; no OCR, rendering, span extraction, rating, ingestion, codification, or analysis.",extracted_ok,stdlib_html_visible_text,html_text,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_004/CBTXT-20260728-aee01ec1c8717b27bddc.txt,4055,bbbc402991e761470c1417a68aef25de3eca55e0ba4e6e4318c9384922a2bc9d,4022,203,,false,false,false,false,false,false,,machine-readable text extracted and passed bounded quality checks
CBTXT-20260728-b7b8ce83c23cca2aa4c8,CBRDY-20260728-7d7d4777febda29f8ce7,CBSRD-20260728-986a466238494e72262c,CBCR-20260728-04509,B4XPAR-20260727-004915,BCV-20260728-04705,broad_4x1000_deduped,extraction_lane_004,140,AK,West,Nenana,Yukon-Koyukuk Census Area (02290; primary),City Council Minutes 2022 (landing list of Google Drive documents),https://www.cityofnenana.com/copy-of-city-council-minutes-2021,https://cityofnenana.com/copy-of-city-council-minutes-2021,cityofnenana.com,agenda_packet_or_minutes,agenda_cover_sheet,high,html,847343,9fe1d7c14908bb2185fc417ae3ec8109cc6eded25e771d3d1244e6a7ac5b342c,html_text_later,,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-986a466238494e72262c.html,original_operational_path,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-986a466238494e72262c.html,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-986a466238494e72262c.html,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,downloaded_or_retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked machine-readable text-only extraction row; no OCR, rendering, span extraction, rating, ingestion, codification, or analysis.",html_noisy_or_shell,stdlib_html_visible_text,html_text,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_004/CBTXT-20260728-b7b8ce83c23cca2aa4c8.txt,588,9aaef073cc6925723721730f8bb0e8e6843c1a3133069419d3345e0b6e1d57b2,588,30,,false,false,false,false,true,true,,bounded structural/text checks indicate shell-dominant HTML
CBTXT-20260728-9648889648b8ad4cb11f,CBRDY-20260728-5c79e3505f07b6849fc7,CBSRD-20260728-da2ba276b5c1278f7031,CBCR-20260728-02908,B4XPAR-20260727-003155,BCV-20260728-04359,broad_4x1000_deduped,extraction_lane_004,141,AK,West,Tanana,Yukon-Koyukuk Census Area (02290; primary),"City of Tanana Regular City Council Meeting Minutes (agenda packet attachment) - February 21, 2024; Special City Council Meeting Agenda - February 23, 2024",https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=146635,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx,aws.state.ak.us,agenda_packet_or_minutes,meeting_minutes,high,html,6214,ff5167030d47c21a74bfb1606d7a2e63ee38c60cb5ddae4fa68c955d89eaabd3,html_text_later,,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-da2ba276b5c1278f7031.html,original_operational_path,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-da2ba276b5c1278f7031.html,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-da2ba276b5c1278f7031.html,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,downloaded_or_retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked machine-readable text-only extraction row; no OCR, rendering, span extraction, rating, ingestion, codification, or analysis.",extracted_ok,stdlib_html_visible_text,html_text,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_004/CBTXT-20260728-9648889648b8ad4cb11f.txt,416,46df124679d40dddb82c70cb6e79baefc36333d3ab9e7a6ee579eb376334da13,415,29,,false,false,false,false,false,false,,machine-readable text extracted and passed bounded quality checks
CBTXT-20260728-d9af2ddb734201c89205,CBRDY-20260728-f05f5e67a2f49715ba17,CBSRD-20260728-6dbe81366092e535caca,CBCR-20260728-04514,B4XPAR-20260727-004920,BCV-20260728-01168,broad_4x1000_deduped,extraction_lane_004,142,AK,West,Togiak,Dillingham Census Area (02070; primary),Alaska Labor Relations Agency decision (Case No. 01-1084-ULP) referencing “Togiak” negotiation location; appears to involve a school district + teachers/association rather than City of Togiak municipal employees,https://www.labor.state.ak.us/laborr/do/257.htm,https://labor.state.ak.us/laborr/do/257.htm,labor.state.ak.us,arbitration_award,arbitration_award,high,html,94325,a3d3de91f4c003762624dbcd4c0441e655c76e6e04d974d50616511d4e44c777,html_text_later,,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-6dbe81366092e535caca.html,original_operational_path,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-6dbe81366092e535caca.html,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-6dbe81366092e535caca.html,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,downloaded_or_retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked machine-readable text-only extraction row; no OCR, rendering, span extraction, rating, ingestion, codification, or analysis.",extracted_ok,stdlib_html_visible_text,html_text,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_004/CBTXT-20260728-d9af2ddb734201c89205.txt,73351,41a29f7567ba76ed10a8993babc8409327e445a3cf67bb9a4efcaf5d8e952313,73336,393,,false,false,false,false,false,false,,machine-readable text extracted and passed bounded quality checks
CBTXT-20260728-69e36f1e57f7f24ff18e,CBRDY-20260728-375bdaf79121dd5d9f12,CBSRD-20260728-1c24b242597ca59ac962,CBCR-20260728-02437,B4XPAR-20260727-002632,BCV-20260728-00307,broad_4x1000_deduped,extraction_lane_004,143,AL,South,Chickasaw,Mobile County (01097; primary),City Council Minutes (landing/index),https://cityofchickasaw.org/city-council-minutes/,https://cityofchickasaw.org/city-council-minutes,cityofchickasaw.org,wage_schedule,index_page,high,html,155390,0c5918b55613b8e3273e2fa5a3d0c58026fbdfb2a99eb33d7cfe9e841d06cc50,html_text_later,,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-1c24b242597ca59ac962.html,original_operational_path,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-1c24b242597ca59ac962.html,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-1c24b242597ca59ac962.html,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,downloaded_or_retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked machine-readable text-only extraction row; no OCR, rendering, span extraction, rating, ingestion, codification, or analysis.",extracted_ok,stdlib_html_visible_text,html_text,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_004/CBTXT-20260728-69e36f1e57f7f24ff18e.txt,2229,b89509ec2594fcf3da312fe8759b9e26d7d93209260c6a92c159bba220a27f8c,2223,127,,false,false,false,false,false,false,,machine-readable text extracted and passed bounded quality checks
CBTXT-20260728-5a3b03cb612b5e7cccf5,CBRDY-20260728-7105ad9bcbd8041ab3ac,CBSRD-20260728-6138223b9d3e8696ddab,CBCR-20260728-04076,B4XPAR-20260727-004433,BCV-20260728-02492,broad_4x1000_deduped,extraction_lane_004,144,AL,South,Glencoe,Etowah County (01055; primary); Calhoun County (01015),"Council Minutes August 22, 2023 (new pay scale for the Police Department approved)",https://cityofglencoe.org/council-minutes/council-minutes-august-22-2023/,https://cityofglencoe.org/council-minutes/council-minutes-august-22-2023,cityofglencoe.org,agenda_packet_or_minutes,meeting_minutes,high,html,136390,64fb59572f074da91388ef52e8075fa557f4b4426e67806439a7fd8ffc55fb03,html_text_later,,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-6138223b9d3e8696ddab.html,original_operational_path,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-6138223b9d3e8696ddab.html,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-6138223b9d3e8696ddab.html,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,downloaded_or_retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked machine-readable text-only extraction row; no OCR, rendering, span extraction, rating, ingestion, codification, or analysis.",extracted_ok,stdlib_html_visible_text,html_text,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_004/CBTXT-20260728-5a3b03cb612b5e7cccf5.txt,4353,5a7207c82c7dafbb6dd5df11589afb2f6f6ea21020c216e34ca85e60a66e5675,4350,126,,false,false,false,false,false,false,,machine-readable text extracted and passed bounded quality checks
CBTXT-20260728-e1970a825307e5dfdd21,CBRDY-20260728-8f13e3ad036647fed8d5,CBSRD-20260728-5237ed3126eb72f5e25a,CBCR-20260728-04077,B4XPAR-20260727-004434,BCV-20260728-00348,broad_4x1000_deduped,extraction_lane_004,145,AL,South,Glencoe,Etowah County (01055; primary); Calhoun County (01015),"Council Minutes August 10, 2021 (hire entry references police department pay scale level/step)",https://cityofglencoe.org/council-minutes/council-minutes-for-august-10-2021/,https://cityofglencoe.org/council-minutes/council-minutes-for-august-10-2021,cityofglencoe.org,agenda_packet_or_minutes,meeting_minutes,high,html,136124,94282746cab29e0393c4025a155e11548178d2982076663c80719f435f9ca4f8,html_text_later,,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-5237ed3126eb72f5e25a.html,original_operational_path,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-5237ed3126eb72f5e25a.html,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-5237ed3126eb72f5e25a.html,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,downloaded_or_retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked machine-readable text-only extraction row; no OCR, rendering, span extraction, rating, ingestion, codification, or analysis.",extracted_ok,stdlib_html_visible_text,html_text,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_004/CBTXT-20260728-e1970a825307e5dfdd21.txt,3766,56fbd41e088bce785b0e46a0c483ce3e7ad3a19bbc00625d24f8aa6312f02f26,3763,124,,false,false,false,false,false,false,,machine-readable text extracted and passed bounded quality checks
CBTXT-20260728-312aaf5e289a858c2f7e,CBRDY-20260728-e5c957db529ce5642747,CBSRD-20260728-7e1b71c87f896a6794cc,CBCR-20260728-04078,B4XPAR-20260727-004435,BCV-20260728-04634,broad_4x1000_deduped,extraction_lane_004,146,AL,South,Glencoe,Etowah County (01055; primary); Calhoun County (01015),"Council Minutes April 22, 2025 (Personnel Handbook changes including pay period and leave/vacation provisions)",https://cityofglencoe.org/council-minutes/council-minutes-april-22-2025/,https://cityofglencoe.org/council-minutes/council-minutes-april-22-2025,cityofglencoe.org,agenda_packet_or_minutes,meeting_minutes,high,html,137005,bf51f9f5a82a9d97bb8aa8b3db4fd9cdf47ae89fd4831baac3ca0cfabf152781,html_text_later,,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-7e1b71c87f896a6794cc.html,original_operational_path,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-7e1b71c87f896a6794cc.html,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-7e1b71c87f896a6794cc.html,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,downloaded_or_retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked machine-readable text-only extraction row; no OCR, rendering, span extraction, rating, ingestion, codification, or analysis.",extracted_ok,stdlib_html_visible_text,html_text,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_004/CBTXT-20260728-312aaf5e289a858c2f7e.txt,4797,e2876eba7d25dfa5a123790602abce5e9b6938404d78d296fb89a8475bae4603,4790,142,,false,false,false,false,false,false,,machine-readable text extracted and passed bounded quality checks
CBTXT-20260728-6e10cde8bbd03d277841,CBRDY-20260728-6cee5346a196a20867e7,CBSRD-20260728-ae35964829649a68cf1f,CBCR-20260728-04085,B4XPAR-20260727-004442,BCV-20260728-04714,broad_4x1000_deduped,extraction_lane_004,147,AL,South,Oneonta,Blount County (01009; primary),City of Oneonta — Approved Council Minutes (archive landing),https://www.cityofoneonta.us/copy-of-minutes,https://cityofoneonta.us/copy-of-minutes,cityofoneonta.us,agenda_packet_or_minutes,index_page,high,html,741665,083c47ba70af5f2e2143bc0a7fea0fbdb87646cc5de0bc1f11177b32930c6121,html_text_later,,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-ae35964829649a68cf1f.html,original_operational_path,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-ae35964829649a68cf1f.html,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-ae35964829649a68cf1f.html,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,downloaded_or_retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked machine-readable text-only extraction row; no OCR, rendering, span extraction, rating, ingestion, codification, or analysis.",html_noisy_or_shell,stdlib_html_visible_text,html_text,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_004/CBTXT-20260728-6e10cde8bbd03d277841.txt,567,55cdcdc91ec390751db3b956331bdeeb21455002c119aa3431c4fc5f1560aa94,567,34,,false,false,false,false,true,true,,bounded structural/text checks indicate shell-dominant HTML
CBTXT-20260728-6e9cf3bd90d2c96fb775,CBRDY-20260728-8967ed83c71696ea5144,CBSRD-20260728-7a80ef98a6467015516f,CBCR-20260728-04082,B4XPAR-20260727-004439,BCV-20260728-00427,broad_4x1000_deduped,extraction_lane_004,148,AL,South,Oneonta,Blount County (01009; primary),City of Oneonta Human Resources — Personnel Policies and Procedures (landing),https://www.cityofoneonta.us/hr,https://cityofoneonta.us/hr,cityofoneonta.us,civil_service_or_hr_pay_plan,unknown,high,html,748934,807fad341efe7a83fdd32cc0fdfad3a48082759794d0be3a634f0e484a7dc671,html_text_later,,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-7a80ef98a6467015516f.html,original_operational_path,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-7a80ef98a6467015516f.html,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-7a80ef98a6467015516f.html,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,retained,downloaded_or_retained,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked machine-readable text-only extraction row; no OCR, rendering, span extraction, rating, ingestion, codification, or analysis.",extracted_ok,stdlib_html_visible_text,html_text,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_004/CBTXT-20260728-6e9cf3bd90d2c96fb775.txt,1067,047f3b8d1e46ed6904ed724f3764c66653f71b347390c00ad763124e2b479c4d,1041,61,,false,false,false,false,false,false,,machine-readable text extracted and passed bounded quality checks
