extraction_case_id,document_identity_id,text_table_detection_id,source_review_id,candidate_queue_row_id,state,municipality,government_name,unit_type,candidate_source_type,disposition,page_relationship,bounded_evidence_pointer,confidence,reason_codes,short_rationale,qa_status
cex_634d8c2916509fe7e7dce92c,doc_032ec138ab96d8e495bb72c3,ttd_fbd5fadbb062e75ec84aacaa,sr_2b64a90c6f6403d9713a2c99,NSCQ-AK-20260720-0012,AK,Wasilla,CITY OF WASILLA,non_safety,cba,reference_only,points_to_later_evidence,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0034_sr_2b64a90c6f6403d9713a2c99.pdf#page=1|tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0034_sr_2b64a90c6f6403d9713a2c99.pdf#page=2|tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0034_sr_2b64a90c6f6403d9713a2c99.pdf#page=7,low,PACKET_CONTAINS_ONLY_AGENDA_RESOLUTION_T,"No wage-rate, pay step, grade, or numeric compensation terms are visible. The pages provide headings/references to wage and benefit sections, implying later pages contain the missing compensation details.",needs_review
cex_33977d3af49d1e09bf99cb6c,doc_391573494520678714847bc7,ttd_2474baf52a21a32eb2a6f8fc,sr_b3eafc2ef5bb713329952dbb,NSCQ-AK-20260720-0011,AK,Wasilla,CITY OF WASILLA,police,cba,exclude,no_candidate_page,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0071_sr_b3eafc2ef5bb713329952dbb.pdf#page=15|tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0071_sr_b3eafc2ef5bb713329952dbb.pdf#page=21|tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0071_sr_b3eafc2ef5bb713329952dbb.pdf#page=28|tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0071_sr_b3eafc2ef5bb713329952dbb.pdf#page=35|tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0071_sr_b3eafc2ef5bb713329952dbb.pdf#page=61|tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0071_sr_b3eafc2ef5bb713329952dbb.pdf#page=62,low,NO_VISIBLE_BASE_COMPENSATION_TOKENS|GRIEVANCE_ARBITRATION_TIMELINES_ONLY|GENERIC_REFERENCE_TO_PAYMENT_RATE_WITHIN|NO_EXPLICIT_OVERTIME_BENEFIT_OR_RATE_AMT,"The provided pages describe grievance timelines, arbitration procedure/authority, and workplace due process, but contain no explicit base-pay or non-base-wage compensation amounts or formulas. A generic statement about being paid at the appropriate rate during off-duty interviews does not specify a补",excluded_provisional
cex_d3bedbd7465b1697d943e559,doc_86284c130e4f45d655b885c6,ttd_d9f42e095b3d0d19b338245b,sr_01d1561c19aa1c306c3e02d3,NSCQ-CA-20260720-0443,CA,Azusa,CITY OF AZUSA,police,cba,reference_only,points_to_later_evidence,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0124_sr_01d1561c19aa1c306c3e02d3.pdf#page=2|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0124_sr_01d1561c19aa1c306c3e02d3.pdf#page=6|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0124_sr_01d1561c19aa1c306c3e02d3.pdf#page=17|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0124_sr_01d1561c19aa1c306c3e02d3.pdf#page=25|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0124_sr_01d1561c19aa1c306c3e02d3.pdf#page=28,low,TABLE_OF_CONTENTS_REFERENCES_COMPENSATON|PACKET_DOES_NOT_INCLUDE_SALARY_OR_PREMIU,"This packet largely contains a table of contents and non-pay provisions; the only compensation-adjacent content is a partial threshold referencing overtime/workers compensation cost increases, without any actual pay amounts or structured compensation terms.",needs_review
cex_88c0af6577ce3501924b2367,doc_f8915b77ba6fef11e13661d1,ttd_bb6a69fc42d48a8e7d9e52bc,sr_e285c32f7243afb9d90fbd45,NSCQ-CA-20260720-0285,CA,Pleasanton,CITY OF PLEASANTON,police,cba,exclude,unknown,,low,S1_0|S1_1,Packet page is a memorandum cover page showing contract term dates only; no compensation amounts or mechanisms are visible.,excluded_provisional
cex_6f5ea03bb6f2bb57002ce083,doc_80226e98fa844abf0e40a08b,ttd_099fdbc07340886548a700db,sr_e3be1b0c40c5265160c79435,NSCQ-CA-20260720-0395,CA,San Bruno,CITY OF SAN BRUNO,fire,cba,exclude,no_candidate_page,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0099_sr_e3be1b0c40c5265160c79435.pdf#page=2|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0099_sr_e3be1b0c40c5265160c79435.pdf#page=7|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0099_sr_e3be1b0c40c5265160c79435.pdf#page=13|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0099_sr_e3be1b0c40c5265160c79435.pdf#page=19|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0099_sr_e3be1b0c40c5265160c79435.pdf#page=28,low,SCCTOCSSN|TOC1_2_3_6_7_8|NO_VISIBLE_COMPENSATION_VALUES,"Provided pages are mostly memorandum structure/section headings and do not show any specific salary, rate, grade, step, pay-band, or effective-date compensation values to extract.",excluded_provisional
cex_564cbd4d5f8e34edc3912802,doc_ee07d722a809748daac5629b,ttd_e7ff88eb9e220160413cc549,sr_053e18209c37d543226b094d,NSCQ-CA-20260720-0396,CA,San Bruno,CITY OF SAN BRUNO,non_safety,cba,reference_only,unknown,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0188_sr_053e18209c37d543226b094d.pdf#page=2|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0188_sr_053e18209c37d543226b094d.pdf#page=7|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0188_sr_053e18209c37d543226b094d.pdf#page=13|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0188_sr_053e18209c37d543226b094d.pdf#page=18|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0188_sr_053e18209c37d543226b094d.pdf#page=30,low,BOUNDING_PACKET_INCLUDES_ONLY_TABLE_OF_C|NO_VISIBLE_COMPENSATION_VALUES|HEADINGS_PRESENT_WITHOUT_CORRESPONDING_E|NO_BASE_PAY_NUMERIC_TOKENS_IN_PACKET,"The provided pages are largely a table-of-contents/locators and general memorandum sections; they reference compensation/benefit topics but do not show any specific pay rate/amount, grade, step, effective-date figures, or benefit value tokens needed to populate structured compensation observations.",needs_review
cex_99bd10f87d91931f59aacf04,doc_05c62080ba0f61fd87437d0d,ttd_e7de2fa959f1cdd12ba3e87e,sr_6380ea150066ba608512a9de,NSCQ-CA-20260720-0394,CA,San Bruno,CITY OF SAN BRUNO,police,cba,exclude,no_candidate_page,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0177_sr_6380ea150066ba608512a9de.pdf#page=2|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0177_sr_6380ea150066ba608512a9de.pdf#page=12|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0177_sr_6380ea150066ba608512a9de.pdf#page=18|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0177_sr_6380ea150066ba608512a9de.pdf#page=23|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0177_sr_6380ea150066ba608512a9de.pdf#page=26|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0177_sr_6380ea150066ba608512a9de.pdf#page=29|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0177_sr_6380ea150066ba608512a9de.pdf#page=50,low,AI_PACKET_HAS_NO_VISIBLE_COMPENSATION_AM|PAGES_SHOW_SECTION_HEADERS_ONLY_OR_NON_W|NO_BASE_PAY_OR_COMPENSATION_AMOUNT_T,"Within the provided page packet, there are only a table-of-contents style list of compensation-related section headings and unrelated HR provisions (e.g., probationary period durations); no visible pay/compensation amounts or wage-setting mechanisms with values are present.",excluded_provisional
cex_30c9ebec1e14cfcf42c2d306,doc_b96dc5f2f82b6c7f1569c2d7,ttd_1b70b1ccbd7e31ecb0062231,sr_fba5f85224d6a7f9693c7314,NSCQ-CT-20260720-0037,CT,Middletown,CITY OF MIDDLETOWN,police,cba,exclude,unknown,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0173_sr_fba5f85224d6a7f9693c7314.pdf#page=2|tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0173_sr_fba5f85224d6a7f9693c7314.pdf#page=9|tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0173_sr_fba5f85224d6a7f9693c7314.pdf#page=17|tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0173_sr_fba5f85224d6a7f9693c7314.pdf#page=32|tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0173_sr_fba5f85224d6a7f9693c7314.pdf#page=36,medium,NO_EXPLICIT_BASE_PAY_NUMERICALS_VISIBLE|OVERTIME_MULTIPLIERS_AND_CALL_BACK_PAY_T,Only overtime and retroactive-pay implementation rules with visible time/rate multipliers are present; no police salary schedule or base wage amounts are visible in the provided packet.,excluded_provisional
cex_989a4a513947a53a595b1982,doc_10d74d4817a88b3dd1b923eb,ttd_10b561371518c84f062c412a,sr_cdcecaa6dd36b937ff84a46e,NSCQ-DE-20260720-0002,DE,Dover,CITY OF DOVER,police,cba,exclude,unknown,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0030_sr_cdcecaa6dd36b937ff84a46e.pdf#page=4|tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0030_sr_cdcecaa6dd36b937ff84a46e.pdf#page=7|tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0030_sr_cdcecaa6dd36b937ff84a46e.pdf#page=14|tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0030_sr_cdcecaa6dd36b937ff84a46e.pdf#page=15,low,NO_VISIBLE_BASE_COMPENSATION_AMOUNTS_IN,"The packet shows agreement timing and benefits/maintenance language but no explicit wage, rate, or compensation amounts.",excluded_provisional
cex_2184fb0fede2aad4e86329d7,doc_14b3dae5a3bf76cc2024d4d1,ttd_0a1d497bf5759ebb954e3080,sr_fdcc61f9efca149473ba2e06,NSCQ-DE-20260720-0013,DE,Smyrna,TOWN OF SMYRNA,non_safety,cba,exclude,no_candidate_page,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0065_sr_fdcc61f9efca149473ba2e06.pdf#page=2|tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0065_sr_fdcc61f9efca149473ba2e06.pdf#page=4|tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0065_sr_fdcc61f9efca149473ba2e06.pdf#page=8|tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0065_sr_fdcc61f9efca149473ba2e06.pdf#page=11|tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0065_sr_fdcc61f9efca149473ba2e06.pdf#page=15|tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0065_sr_fdcc61f9efca149473ba2e06.pdf#page=18|tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0065_sr_fdcc61f9efca149473ba2e06.pdf#page=32,low,NO_VISIBLE_PAY_RATES_OR_WAGE_SCHEDULE_T0|BOUNDARY_PACKET_PAGES_DO_NOT_CONTAIN_PRO|NO_COMPENSATION_VALUE_TOKENS_VISIBLE,"The provided page excerpts describe union recognition, dues authorization, and management rights, but do not show any wage or compensation amounts/rates or related effective-date/calculation terms.",excluded_provisional
