document_identity_id,extraction_case_ids,text_table_detection_id,source_review_id,candidate_queue_row_id,state,municipality,government_name,unit_type,candidate_source_type,raw_retained_content_hash,pdf_readiness_id,controlled_occupation_class,occupation_class_bridge_status,source_type_bridge,source_corpus_bridge,source_cite_bridge,retrieval_date_bridge,retrieval_method_bridge,artifact_pointer_bridge,contract_period_start_bridge,contract_period_end_bridge,negotiation_cycle_id,city_unit_negotiation_cycle_key,matched_set_id,identity_bridge_status,analysis_matching_status,text_layer_status_bridge,ocr_needed_signal_bridge
doc_0024bda1e1f67c8f7d82669e,cexrem_949425a848add81ee3831174,ttd_62cffe1e02ca181bf501d4f9,sr_2e6b140569db57018f2b22f0,NSCQ-OH-20260720-0127,OH,Massillon,CITY OF MASSILLON,police,cba,8378ad0f6acf376319fc489414bbe69ad5450996833c49d973cdb1f5968e0471,pr_336e468590087654e6e6d334,police,exact_controlled_public_safety_class,cba,causal,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-03-0267.pdf,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0344_sr_2e6b140569db57018f2b22f0.pdf,,,,,,complete_one_to_one,incomplete_no_inference,present,no
doc_00a5e237175d41f61fb0fe40,cex_ac7f0dc61e465dc39972f6c8,ttd_00db69e7e7d1ac5ff95dc5ad,sr_c98e0a0b1ee43b114fbab537,NSCQ-NE-20260720-0028,NE,Beatrice,CITY OF BEATRICE,fire,cba,7afe4e7eb0ad048ad9742a043b9fde7abc818f56b27cc501d96752fc67fe8401,pr_d0661a96e1474a0c2a1e11be,fire,exact_controlled_public_safety_class,cba,causal,https://www.beatrice.ne.gov/media/hycf5ylr/firefighters_union_local_no_1098_contract_-_2021-2027.pdf,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0058_sr_c98e0a0b1ee43b114fbab537.pdf,,,,,,complete_one_to_one,incomplete_no_inference,present,no
doc_00acf134cd4257ec3d0ac58c,cexrem_46b534fa8ef76603c11d7c23,ttd_6717935084b924dc797a86fe,sr_17a5350f3924d1b470489a74,NSCQ-OH-20260720-0138,OH,Tallmadge,CITY OF TALLMADGE,police,cba,5cf1ad20be6f9cff7ac04ab47668d531c08ad3328dcf99f109e5919eca0e3254,pr_d027f602d63c4c7c09eae316,police,exact_controlled_public_safety_class,cba,causal,https://www.tallmadgeoh.gov/DocumentCenter/View/3002/2021-124Exhibit-A?bidId=,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0354_sr_17a5350f3924d1b470489a74.pdf,,,,,,complete_one_to_one,incomplete_no_inference,present,no
doc_00b636f73a6d528a99e81753,cex1000_a7be9d0b29264dac7bb98f79,ttd_d9d754b0958cc37c630bbe20,sr_748b2fa6d4d5d1b7257f8bf0,NSCQ-MI-20260720-0005,MI,Lansing,CITY OF LANSING,non_safety,cba,9ca8249e31278059288e5090b9a059403edd008b6688e2e24b301d03c2f3eb92,pr_a9100f14d52e872071e83a6c,,non_safety_subclass_not_supported_without_inference,cba,causal,https://archive.lib.msu.edu/LIR/contracts/c10171.pdf,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0419_sr_748b2fa6d4d5d1b7257f8bf0.pdf,,,,,,complete_one_to_one,incomplete_no_inference,present,no
doc_00be60d682965c00bfcd91bb,cex1000_102e6345ebd70d5e759e2a3e,ttd_9921b2589d3628c67f979a10,sr_2f9ea99f1c1cd9c14c1ab60a,NSCQ-MI-20260720-0070,MI,Saginaw,CITY OF SAGINAW,police,cba,8150e924b435b4048ca1c8def4982255fc80f699bc15c777e2fb2d5589b620b7,pr_eda7e70fb1711dd54ae5aa7d,police,exact_controlled_public_safety_class,cba,causal,https://www.saginaw-mi.com/DocumentCenter/View/93/POAM-CONTRACT-2022-2026,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0005_sr_2f9ea99f1c1cd9c14c1ab60a.pdf,,,,,,complete_one_to_one,incomplete_no_inference,partial,no
doc_00f189ad9659a24159a223b5,cexrem_a42e85c41930c5292d2a5555,ttd_b20d67e96806f6c0ccaf488a,sr_3283b5fca0e170f8265f266b,NSCQ-FL-20260720-0112,FL,Pensacola,CITY OF PENSACOLA,fire,cba,d9cfa0346ee8d2c10b9db93cabeb0ffc348c0b6e7bf1e13af5c3d1026c96e06d,pr_5efd69fbdd63a6123dcab82f,fire,exact_controlled_public_safety_class,cba,causal,https://www.cityofpensacola.com/DocumentCenter/View/26407/International-Association-of-Firefighters-2023-2026-PDF,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0216_sr_3283b5fca0e170f8265f266b.pdf,,,,,,complete_one_to_one,incomplete_no_inference,partial,no
doc_00fac5f0ec5ee8b4b524ff51,cex1000_18bfe856c1d951e50a4ee28e,ttd_65fdfcaf9fe1d45ef30de14d,sr_a93a370b9390b595fd275bbc,NSCQ-CA-20260720-0163,CA,San Buenaventura (Ventura),CITY OF SAN BUENAVENTURA,non_safety,cba,d4b634fe2e57af22a09a1172f29ca98b456aae95facdd6015b3cccd2cf8fe2db,pr_f0fe0ad42499aa4255556f66,,non_safety_subclass_not_supported_without_inference,cba,causal,https://www.cityofventura.ca.gov/DocumentCenter/View/36750/General-Unit-SEIU-MOU?bidId=,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0202_sr_a93a370b9390b595fd275bbc.pdf,,,,,,complete_one_to_one,incomplete_no_inference,present,no
doc_013e9c1d707e0c73beef1965,cexrem_f137ef93975d6bf3e6978fee,ttd_bf73c96f4af581f4ff119cab,sr_2cf1d0ad88274250fa37ecb8,NSCQ-CA-20260720-0588,CA,Moorpark,CITY OF MOORPARK,non_safety,cba,34c439382cea556427e2bb75398db3439587b68f1a3e95553e513bcc6ad0443e,pr_a0352023d447c92db9b300b2,,non_safety_subclass_not_supported_without_inference,cba,causal,https://moorparkca.gov/DocumentCenter/View/15558/MOU-with-SEIU-721-2023-2025?bidId=,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0261_sr_2cf1d0ad88274250fa37ecb8.pdf,,,,,,complete_one_to_one,incomplete_no_inference,present,no
doc_0147d87fff81eb085fe3a2f4,cexrem_39bdbd15dcd0f086e050a5ec,ttd_e986f313f5792685d40cef44,sr_f6d57677ac22a68ec4a33f5f,NSCQ-WA-20260720-0004,WA,Spokane,CITY OF SPOKANE,police,cba,e8d9a408d04cc4f6d5fb626c7c67e119c69065f4cffe1855e234c75be8b07d69,pr_e73d3199a19088459c96ef65,police,exact_controlled_public_safety_class,cba,causal,https://static.spokanecity.org/documents/news/2021/02/12/city-police-guild-reach-tentative-agreement/ta-2017-2021-guild-contract.pdf,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0087_sr_f6d57677ac22a68ec4a33f5f.pdf,,,,,,complete_one_to_one,incomplete_no_inference,present,no
doc_019a03c8d3744a366ff9f74f,cex1000_5bc2a0daf11d1bfd8ffe125b,ttd_7ea70d04711ded8991d6508f,sr_0b904e5470f2638c85621656,NSCQ-WA-20260720-0063,WA,Redmond,CITY OF REDMOND,police,cba,bbc5c1745332861096addb2091b06dcb4506e08a016c22ec613ea9487a42147d,pr_3c62f80a9d9ebac4741aa4da,police,exact_controlled_public_safety_class,cba,causal,https://www.redmond.gov/DocumentCenter/View/35489/2025-2027-Redmond-Law-Enforcement-Officers-CBA?bidId=,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0393_sr_0b904e5470f2638c85621656.pdf,,,,,,complete_one_to_one,incomplete_no_inference,present,no
