extraction_case_id,document_identity_id,text_table_detection_id,source_review_id,candidate_queue_row_id,state,municipality,government_name,unit_type,candidate_source_type,disposition,page_relationship,bounded_evidence_pointer,confidence,reason_codes,short_rationale,qa_status,cumulative_cohort,source_seed_observation_id,qa_original_status,qa_resolution_classification,qa_resolution_status,canonical_observation_id,duplicate_of,active_in_provisional_lane,targeted_qa_reference_id,source_quantitative_observation_id,targeted_qa_resolution_ids,targeted_qa_resolution_classification,targeted_qa_resolution_status,targeted_qa_reason_codes,targeted_qa_source_observation_id,active_in_qa_corrected_lane,readable_conflict_qa_resolution_id,readable_conflict_qa_classification,readable_conflict_qa_status,readable_conflict_qa_reason_codes,readable_conflict_qa_source_observation_id,active_in_readable_conflict_qa_lane,raw_retained_content_hash,pdf_readiness_id,controlled_occupation_class,occupation_class_bridge_status,source_type_bridge,source_corpus_bridge,source_cite_bridge,retrieval_date_bridge,retrieval_method_bridge,artifact_pointer_bridge,contract_period_start_bridge,contract_period_end_bridge,negotiation_cycle_id,city_unit_negotiation_cycle_key,matched_set_id,identity_bridge_status,analysis_matching_status,current_active,current_qa_status,current_qa_status_source,mixed_membership_status,control_only,analysis_outcome_eligible
cex_634d8c2916509fe7e7dce92c,doc_032ec138ab96d8e495bb72c3,ttd_fbd5fadbb062e75ec84aacaa,sr_2b64a90c6f6403d9713a2c99,NSCQ-AK-20260720-0012,AK,Wasilla,CITY OF WASILLA,non_safety,cba,reference_only,points_to_later_evidence,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0034_sr_2b64a90c6f6403d9713a2c99.pdf#page=1|tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0034_sr_2b64a90c6f6403d9713a2c99.pdf#page=2|tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0034_sr_2b64a90c6f6403d9713a2c99.pdf#page=7,low,PACKET_CONTAINS_ONLY_AGENDA_RESOLUTION_T,"No wage-rate, pay step, grade, or numeric compensation terms are visible. The pages provide headings/references to wage and benefit sections, implying later pages contain the missing compensation details.",needs_review,corrected_500_seed,,needs_review,not_in_targeted_queue,not_applicable,,,true,,,,not_in_targeted_queue,not_applicable,,,true,,not_in_targeted_queue,not_applicable,,,true,e0c2d5d94fdfacfd92b5214f88775beb5351049844db20a6ed6f6c3258a53c72,pr_11b9c9fe4941a259e8d79270,,non_safety_subclass_not_supported_without_inference,cba,causal,https://www.cityofwasilla.gov/DocumentCenter/View/5155/14-23-PDF,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0034_sr_2b64a90c6f6403d9713a2c99.pdf,,,,,,complete_one_to_one,incomplete_no_inference,true,needs_review,qa_status,none,true,false
cex_33977d3af49d1e09bf99cb6c,doc_391573494520678714847bc7,ttd_2474baf52a21a32eb2a6f8fc,sr_b3eafc2ef5bb713329952dbb,NSCQ-AK-20260720-0011,AK,Wasilla,CITY OF WASILLA,police,cba,exclude,no_candidate_page,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0071_sr_b3eafc2ef5bb713329952dbb.pdf#page=15|tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0071_sr_b3eafc2ef5bb713329952dbb.pdf#page=21|tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0071_sr_b3eafc2ef5bb713329952dbb.pdf#page=28|tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0071_sr_b3eafc2ef5bb713329952dbb.pdf#page=35|tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0071_sr_b3eafc2ef5bb713329952dbb.pdf#page=61|tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0071_sr_b3eafc2ef5bb713329952dbb.pdf#page=62,low,NO_VISIBLE_BASE_COMPENSATION_TOKENS|GRIEVANCE_ARBITRATION_TIMELINES_ONLY|GENERIC_REFERENCE_TO_PAYMENT_RATE_WITHIN|NO_EXPLICIT_OVERTIME_BENEFIT_OR_RATE_AMT,"The provided pages describe grievance timelines, arbitration procedure/authority, and workplace due process, but contain no explicit base-pay or non-base-wage compensation amounts or formulas. A generic statement about being paid at the appropriate rate during off-duty interviews does not specify a补",excluded_provisional,corrected_500_seed,,excluded_provisional,not_in_targeted_queue,not_applicable,,,true,,,,not_in_targeted_queue,not_applicable,,,true,,not_in_targeted_queue,not_applicable,,,true,e41f8ce9354db395460251465294d787e9bfcb947627583196d6c48b7d78a92d,pr_7c4680243cd251d03a72bc84,police,exact_controlled_public_safety_class,cba,causal,https://www.cityofwasilla.gov/DocumentCenter/View/4743/21-27-PDF,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0071_sr_b3eafc2ef5bb713329952dbb.pdf,,,,,,complete_one_to_one,incomplete_no_inference,true,excluded_provisional,qa_status,none,true,false
cex_d3bedbd7465b1697d943e559,doc_86284c130e4f45d655b885c6,ttd_d9f42e095b3d0d19b338245b,sr_01d1561c19aa1c306c3e02d3,NSCQ-CA-20260720-0443,CA,Azusa,CITY OF AZUSA,police,cba,reference_only,points_to_later_evidence,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0124_sr_01d1561c19aa1c306c3e02d3.pdf#page=2|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0124_sr_01d1561c19aa1c306c3e02d3.pdf#page=6|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0124_sr_01d1561c19aa1c306c3e02d3.pdf#page=17|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0124_sr_01d1561c19aa1c306c3e02d3.pdf#page=25|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0124_sr_01d1561c19aa1c306c3e02d3.pdf#page=28,low,TABLE_OF_CONTENTS_REFERENCES_COMPENSATON|PACKET_DOES_NOT_INCLUDE_SALARY_OR_PREMIU,"This packet largely contains a table of contents and non-pay provisions; the only compensation-adjacent content is a partial threshold referencing overtime/workers compensation cost increases, without any actual pay amounts or structured compensation terms.",needs_review,corrected_500_seed,,needs_review,not_in_targeted_queue,not_applicable,,,true,,,,not_in_targeted_queue,not_applicable,,,true,,not_in_targeted_queue,not_applicable,,,true,94b372a9c7eca7945784bb062d1694111b4f810584dbcdd43422b5ec1cfb04de,pr_e86ca487bed3861587ad5ff1,police,exact_controlled_public_safety_class,cba,causal,https://www.azusaca.gov/DocumentCenter/View/49836/APOA-MOU-2024-2028?bidId=,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0124_sr_01d1561c19aa1c306c3e02d3.pdf,,,,,,complete_one_to_one,incomplete_no_inference,true,needs_review,qa_status,none,true,false
cex_88c0af6577ce3501924b2367,doc_f8915b77ba6fef11e13661d1,ttd_bb6a69fc42d48a8e7d9e52bc,sr_e285c32f7243afb9d90fbd45,NSCQ-CA-20260720-0285,CA,Pleasanton,CITY OF PLEASANTON,police,cba,exclude,unknown,,low,S1_0|S1_1,Packet page is a memorandum cover page showing contract term dates only; no compensation amounts or mechanisms are visible.,excluded_provisional,corrected_500_seed,,excluded_provisional,not_in_targeted_queue,not_applicable,,,true,,,,not_in_targeted_queue,not_applicable,,,true,,not_in_targeted_queue,not_applicable,,,true,f1c62696b5b502b46db97c601d4af9910a685712b0633128fc9613a4a62f0800,pr_2a2ba60718240e43ae7e8648,police,exact_controlled_public_safety_class,cba,causal,https://www.cityofpleasantonca.gov/assets/our-government/human-resources/labor-agreements/Police-MOU.pdf,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0083_sr_e285c32f7243afb9d90fbd45.pdf,,,,,,complete_one_to_one,incomplete_no_inference,true,excluded_provisional,qa_status,none,true,false
cex_6f5ea03bb6f2bb57002ce083,doc_80226e98fa844abf0e40a08b,ttd_099fdbc07340886548a700db,sr_e3be1b0c40c5265160c79435,NSCQ-CA-20260720-0395,CA,San Bruno,CITY OF SAN BRUNO,fire,cba,exclude,no_candidate_page,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0099_sr_e3be1b0c40c5265160c79435.pdf#page=2|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0099_sr_e3be1b0c40c5265160c79435.pdf#page=7|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0099_sr_e3be1b0c40c5265160c79435.pdf#page=13|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0099_sr_e3be1b0c40c5265160c79435.pdf#page=19|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0099_sr_e3be1b0c40c5265160c79435.pdf#page=28,low,SCCTOCSSN|TOC1_2_3_6_7_8|NO_VISIBLE_COMPENSATION_VALUES,"Provided pages are mostly memorandum structure/section headings and do not show any specific salary, rate, grade, step, pay-band, or effective-date compensation values to extract.",excluded_provisional,corrected_500_seed,,excluded_provisional,not_in_targeted_queue,not_applicable,,,true,,,,not_in_targeted_queue,not_applicable,,,true,,not_in_targeted_queue,not_applicable,,,true,04773aa1932a2e268a02ab44614ff4d1b7c9d8c652198e477e61adc05a2d3553,pr_37b6d3d0359186c5722d5cf4,fire,exact_controlled_public_safety_class,cba,causal,https://www.sanbruno.ca.gov/DocumentCenter/View/5041/Fire-Agreement-2022---2025?bidId=,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0099_sr_e3be1b0c40c5265160c79435.pdf,,,,,,complete_one_to_one,incomplete_no_inference,true,excluded_provisional,qa_status,none,true,false
cex_564cbd4d5f8e34edc3912802,doc_ee07d722a809748daac5629b,ttd_e7ff88eb9e220160413cc549,sr_053e18209c37d543226b094d,NSCQ-CA-20260720-0396,CA,San Bruno,CITY OF SAN BRUNO,non_safety,cba,reference_only,unknown,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0188_sr_053e18209c37d543226b094d.pdf#page=2|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0188_sr_053e18209c37d543226b094d.pdf#page=7|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0188_sr_053e18209c37d543226b094d.pdf#page=13|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0188_sr_053e18209c37d543226b094d.pdf#page=18|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0188_sr_053e18209c37d543226b094d.pdf#page=30,low,BOUNDING_PACKET_INCLUDES_ONLY_TABLE_OF_C|NO_VISIBLE_COMPENSATION_VALUES|HEADINGS_PRESENT_WITHOUT_CORRESPONDING_E|NO_BASE_PAY_NUMERIC_TOKENS_IN_PACKET,"The provided pages are largely a table-of-contents/locators and general memorandum sections; they reference compensation/benefit topics but do not show any specific pay rate/amount, grade, step, effective-date figures, or benefit value tokens needed to populate structured compensation observations.",needs_review,corrected_500_seed,,needs_review,not_in_targeted_queue,not_applicable,,,true,,,,not_in_targeted_queue,not_applicable,,,true,,not_in_targeted_queue,not_applicable,,,true,d96fd1005fe05d80475582e6182019099f0962e7a83b7c793e19b9ec252b3d47,pr_19167ac00938e308dec62731,,non_safety_subclass_not_supported_without_inference,cba,causal,https://www.sanbruno.ca.gov/DocumentCenter/View/8942/Miscellaneous-Agreement-2026---2028,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0188_sr_053e18209c37d543226b094d.pdf,,,,,,complete_one_to_one,incomplete_no_inference,true,needs_review,qa_status,none,true,false
cex_99bd10f87d91931f59aacf04,doc_05c62080ba0f61fd87437d0d,ttd_e7de2fa959f1cdd12ba3e87e,sr_6380ea150066ba608512a9de,NSCQ-CA-20260720-0394,CA,San Bruno,CITY OF SAN BRUNO,police,cba,exclude,no_candidate_page,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0177_sr_6380ea150066ba608512a9de.pdf#page=2|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0177_sr_6380ea150066ba608512a9de.pdf#page=12|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0177_sr_6380ea150066ba608512a9de.pdf#page=18|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0177_sr_6380ea150066ba608512a9de.pdf#page=23|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0177_sr_6380ea150066ba608512a9de.pdf#page=26|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0177_sr_6380ea150066ba608512a9de.pdf#page=29|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0177_sr_6380ea150066ba608512a9de.pdf#page=50,low,AI_PACKET_HAS_NO_VISIBLE_COMPENSATION_AM|PAGES_SHOW_SECTION_HEADERS_ONLY_OR_NON_W|NO_BASE_PAY_OR_COMPENSATION_AMOUNT_T,"Within the provided page packet, there are only a table-of-contents style list of compensation-related section headings and unrelated HR provisions (e.g., probationary period durations); no visible pay/compensation amounts or wage-setting mechanisms with values are present.",excluded_provisional,corrected_500_seed,,excluded_provisional,not_in_targeted_queue,not_applicable,,,true,,,,not_in_targeted_queue,not_applicable,,,true,,not_in_targeted_queue,not_applicable,,,true,46a06c9858a06586ac949fa3ca978cc31032a4110c6fe6b0068889c63b451ec6,pr_9fda87ee7f7a2f198d9908e8,police,exact_controlled_public_safety_class,cba,causal,https://www.sanbruno.ca.gov/DocumentCenter/View/4209/Police-Agreement-2026-2029?bidId=,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0177_sr_6380ea150066ba608512a9de.pdf,,,,,,complete_one_to_one,incomplete_no_inference,true,excluded_provisional,qa_status,none,true,false
cex_30c9ebec1e14cfcf42c2d306,doc_b96dc5f2f82b6c7f1569c2d7,ttd_1b70b1ccbd7e31ecb0062231,sr_fba5f85224d6a7f9693c7314,NSCQ-CT-20260720-0037,CT,Middletown,CITY OF MIDDLETOWN,police,cba,exclude,unknown,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0173_sr_fba5f85224d6a7f9693c7314.pdf#page=2|tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0173_sr_fba5f85224d6a7f9693c7314.pdf#page=9|tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0173_sr_fba5f85224d6a7f9693c7314.pdf#page=17|tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0173_sr_fba5f85224d6a7f9693c7314.pdf#page=32|tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0173_sr_fba5f85224d6a7f9693c7314.pdf#page=36,medium,NO_EXPLICIT_BASE_PAY_NUMERICALS_VISIBLE|OVERTIME_MULTIPLIERS_AND_CALL_BACK_PAY_T,Only overtime and retroactive-pay implementation rules with visible time/rate multipliers are present; no police salary schedule or base wage amounts are visible in the provided packet.,excluded_provisional,corrected_500_seed,,excluded_provisional,not_in_targeted_queue,not_applicable,,,true,,,,not_in_targeted_queue,not_applicable,,,true,,not_in_targeted_queue,not_applicable,,,true,01fa68c6202e49f8b608c93b83d90734b9da6eb97677a469461155c8414b9927,pr_62a2160e3cc97a9bec8cb99d,police,exact_controlled_public_safety_class,cba,causal,https://www.middletownct.gov/DocumentCenter/View/826/2025-2030-Police---Local-1361-PDF,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0173_sr_fba5f85224d6a7f9693c7314.pdf,,,,,,complete_one_to_one,incomplete_no_inference,true,excluded_provisional,qa_status,none,true,false
cex_989a4a513947a53a595b1982,doc_10d74d4817a88b3dd1b923eb,ttd_10b561371518c84f062c412a,sr_cdcecaa6dd36b937ff84a46e,NSCQ-DE-20260720-0002,DE,Dover,CITY OF DOVER,police,cba,exclude,unknown,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0030_sr_cdcecaa6dd36b937ff84a46e.pdf#page=4|tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0030_sr_cdcecaa6dd36b937ff84a46e.pdf#page=7|tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0030_sr_cdcecaa6dd36b937ff84a46e.pdf#page=14|tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0030_sr_cdcecaa6dd36b937ff84a46e.pdf#page=15,low,NO_VISIBLE_BASE_COMPENSATION_AMOUNTS_IN,"The packet shows agreement timing and benefits/maintenance language but no explicit wage, rate, or compensation amounts.",excluded_provisional,corrected_500_seed,,excluded_provisional,not_in_targeted_queue,not_applicable,,,true,,,,not_in_targeted_queue,not_applicable,,,true,,not_in_targeted_queue,not_applicable,,,true,f897f93ae705b12273d81d6c7d18de007f65c86b6f92b49f9064802a34f6bc51,pr_5c248fbc96c2540c380a59a7,police,exact_controlled_public_safety_class,cba,causal,https://www.cityofdover.gov/media/Human%20Resources/Union%20Contracts/FOP%20Contract%202024-2026%20(final)%20-%20Fully%20Executed.pdf,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0030_sr_cdcecaa6dd36b937ff84a46e.pdf,,,,,,complete_one_to_one,incomplete_no_inference,true,excluded_provisional,qa_status,none,true,false
cex_2184fb0fede2aad4e86329d7,doc_14b3dae5a3bf76cc2024d4d1,ttd_0a1d497bf5759ebb954e3080,sr_fdcc61f9efca149473ba2e06,NSCQ-DE-20260720-0013,DE,Smyrna,TOWN OF SMYRNA,non_safety,cba,exclude,no_candidate_page,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0065_sr_fdcc61f9efca149473ba2e06.pdf#page=2|tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0065_sr_fdcc61f9efca149473ba2e06.pdf#page=4|tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0065_sr_fdcc61f9efca149473ba2e06.pdf#page=8|tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0065_sr_fdcc61f9efca149473ba2e06.pdf#page=11|tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0065_sr_fdcc61f9efca149473ba2e06.pdf#page=15|tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0065_sr_fdcc61f9efca149473ba2e06.pdf#page=18|tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0065_sr_fdcc61f9efca149473ba2e06.pdf#page=32,low,NO_VISIBLE_PAY_RATES_OR_WAGE_SCHEDULE_T0|BOUNDARY_PACKET_PAGES_DO_NOT_CONTAIN_PRO|NO_COMPENSATION_VALUE_TOKENS_VISIBLE,"The provided page excerpts describe union recognition, dues authorization, and management rights, but do not show any wage or compensation amounts/rates or related effective-date/calculation terms.",excluded_provisional,corrected_500_seed,,excluded_provisional,not_in_targeted_queue,not_applicable,,,true,,,,not_in_targeted_queue,not_applicable,,,true,,not_in_targeted_queue,not_applicable,,,true,c01756465b6a85d01e371f9778f7b786c072600a2efdb79278d41369a8679761,pr_ace94457014122f0246120f5,,non_safety_subclass_not_supported_without_inference,cba,causal,https://www.smyrna.delaware.gov/DocumentCenter/View/1273/AFSCME-Local-2466?bidId=,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0065_sr_fdcc61f9efca149473ba2e06.pdf,,,,,,complete_one_to_one,incomplete_no_inference,true,excluded_provisional,qa_status,none,true,false
