candidate_id,lane_id,priority_tier,quality_label,gap_priority_score,gap_priority_reason,source_url_or_locator,source_title,municipality,state,derived_region,unit_type,occupation_group,bargaining_unit_name,contract_or_document_period,inferred_cycle_start,inferred_cycle_end,source_family,target_mechanism_family,same_city_match_status,overlapping_cycle_status,verification_status,verification_reason,verified_municipality,verified_state,verified_region,verified_unit_type,verified_source_family,verified_contract_or_document_period,locator_accessibility_status,verification_timestamp,candidate_only_lineage_status,retained_source_id,source_review_download_status,download_status,http_status,content_type_hint,file_extension,file_size_bytes,file_sha256,local_retained_path,duplicate_file_group_id,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,source_review_timestamp,notes
TS4L-0004eda460008d8c0843,lane_1,tier_c,verification_ready_medium,147,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://www.optouttoday.com/wp-content/uploads/2018/05/afscme_contract_albany_15-18.pdf,AFSCME Contract (Albany) 15-18 (CEA-ratified agreement PDF copy),Albany,NY,Northeast,non_safety_comparator,AFSCME-represented municipal employees (non-police/non-fire unit implied by AFSCME common use; exact unit details not confirmed here),AFSCME (Council/local not confirmed from lead snippet only),2015-2018 (overlaps expected 2016-2022 successor window partially),2016,2018,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"Same-city (City of Albany, NY)",Overlaps expected period (2016-2022) for years 2016-2018 only,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Albany,NY,Northeast,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,2015-2018 (overlaps expected 2016-2022 successor window partially),head_http_200,2026-07-27T12:57:43Z,verified_source_lead_not_downloaded,RS556-e3d686b4033c3260e79d,retained_downloaded_source,downloaded_retained,200,application/pdf,.pdf,4140325,1e8bc69cc02db394d679c597430f41dae85b9356fcc7cdef0802e42c18118f15,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-e3d686b4033c3260e79d.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:37:54Z,"bounded_get_completed_supported_content; attempts=1; elapsed_seconds=0.253; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
TS4L-029313105c05da88a886,lane_1,tier_c,verification_ready_low,137,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|non_cba_or_special_source_signal|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://werc.wi.gov/grievance_awards/6401.pdf,"BEFORE THE ARBITRATOR - General Teamsters Union, Local 662 & School District of New Richmond, New Richmond, Wisconsin (WERC grievance award MA-11555, Case 50 No. 60182) (PDF)",New Richmond,WI,Midwest,non_safety_comparator,School district bargaining unit (teamsters; likely non-safety staff such as custodial/clerical/transport-related depending on unit terms),"General Teamsters Union, Local 662 (affiliated/represented in arbitration proceedings)",unclear,,,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"same city (New Richmond, WI) - municipality appears as the employer (School District of New Richmond)",unknown,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,New Richmond,WI,Midwest,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,unclear,head_http_200,2026-07-27T12:59:00Z,verified_source_lead_not_downloaded,RS556-ab92837eb21349211dd9,retained_downloaded_source,downloaded_retained,200,application/pdf,.pdf,146317,987657005d6e587dc14f5beb8d741ed88885312fb7eb987f52dde01b35fae717,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-ab92837eb21349211dd9.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:37:54Z,"bounded_get_completed_supported_content; attempts=1; elapsed_seconds=1.898; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
TS4L-0419d32500648846ffa0,lane_1,tier_c,verification_ready_medium,144,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://www.oleanschools.org/fs/resource-manager/view/72fc21eb-8a30-4edc-85b8-64b02f70da9f,CONTRACT OLEAN CITY SCHOOL DISTRICT and OLEAN EDUCATIONAL SUPPORT PERSONNEL ASSOCIATION (OESPA) (pdf),Olean,NY,Northeast,non_safety_comparator,Education Support Personnel (classified civil service positions),Olean Educational Support Personnel Association (OESPA),"Begins: July 1, 2021; Ends: June 30, 2025",2021-06-01,2026-05-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_match,partial_overlap,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Olean,NY,Northeast,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,"Begins: July 1, 2021; Ends: June 30, 2025",head_http_200,2026-07-27T12:58:09Z,verified_source_lead_not_downloaded,RS556-11e6a472fd1a34eefe9d,retained_downloaded_source,downloaded_retained,200,application/pdf,.pdf,518505,1089df91abab2987f24e658877628acda812e1de9368970eae6e558f5acbf372,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-11e6a472fd1a34eefe9d.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:37:54Z,"bounded_get_completed_supported_content; attempts=1; elapsed_seconds=0.534; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
TS4L-043b6ad53687431e3b68,lane_1,tier_c,verification_ready_medium,136,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-01-0023.pdf,"Collective Bargaining Agreement (SERB) — City of Loveland (Effective May 5, 2020 through May 1, 2023)",Loveland,OH,Midwest,non_safety_comparator,non_safety_comparator,,"Effective May 5, 2020 through May 1, 2023",2020-05-05,2023-05-01,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"match (City of Loveland, OH)",overlapping (matches requested effective period),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Loveland,OH,Midwest,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,"Effective May 5, 2020 through May 1, 2023",head_http_200,2026-07-27T12:59:00Z,verified_source_lead_not_downloaded,RS556-bdda97f8abb62ab3bcd3,retained_downloaded_source,downloaded_retained,200,application/pdf,.pdf,2223220,a3aa3947df71d0cb1ef910e39c64709224f9b5adf16272b3a3621d27953b161b,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-bdda97f8abb62ab3bcd3.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:37:54Z,"bounded_get_completed_supported_content; attempts=1; elapsed_seconds=4.656; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
TS4L-05dc4525a5bc3db46686,lane_1,tier_c,verification_ready_medium,139,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://campussuite-storage.s3.amazonaws.com/prod/1558962/97d3dc2a-f5c0-11e9-949f-12c65c926202/2849869/c4b2c9ca-7777-11ef-b130-0a58a9feac02/file/MPESPA%20CBA%202024-2029%20Approved%209_19_24.pdf,Collective Bargaining Agreement — Board of Education of Mount Prospect School District 57 and the Mount Prospect Educational Support Personnel Association (MPESPA) (Approved 9/19/24),Mount Prospect,IL,Midwest,non_safety_comparator,Educational support personnel (MPESPA unit),Mount Prospect Educational Support Personnel Association (MPESPA),2024–2029 (PDF labeled as MPESPA CBA 2024–2029),2024-01-01,2025-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,Mount Prospect School District 57 (same-city match expected from source title/affiliation),Overlaps expected period 2023–2025 via 2024–2025 portion,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Mount Prospect,IL,Midwest,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,2024–2029 (PDF labeled as MPESPA CBA 2024–2029),head_http_200,2026-07-27T12:58:35Z,verified_source_lead_not_downloaded,RS556-02489917ab0e7e498ce4,retained_downloaded_source,downloaded_retained,200,application/pdf,.pdf,1006041,a2c98b60f790a71d7950afbac538f02c90e9f7c46ef91813ab30fd71190743b7,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-02489917ab0e7e498ce4.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:37:54Z,"bounded_get_completed_supported_content; attempts=1; elapsed_seconds=4.286; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
TS4L-061275e55166380a5524,lane_1,tier_c,verification_ready_medium,156,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|non_cba_or_special_source_signal|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://lackawannany.gov/wp-content/uploads/2018/03/2013-CM.pdf,Lackawanna City Council meeting materials (2013 CM) — includes “Non Bargaining Unit Veto” referencing Chapter 36-19: Wage Schedule and Classification,Lackawanna,NY,Northeast,non_safety_comparator,Non-bargaining-unit employees (non-safety comparator group),Non-Bargaining-Unit Employees (referenced via Chapter 36-19),2013 City Council communications referencing Chapter 36-19 wage schedule/classification (context around non-bargaining-unit wage schedule changes),2009-08-01,2017-07-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"same-city (Lackawanna, NY)",inferred overlap with 8/1/2009–7/31/2017 as a mid-cycle amendment/context lead,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Lackawanna,NY,Northeast,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,2013 City Council communications referencing Chapter 36-19 wage schedule/classification (context around non-bargaining-unit wage schedule changes),head_http_200,2026-07-27T12:57:42Z,verified_source_lead_not_downloaded,RS556-efe63c962e406b1b8801,retained_downloaded_source,downloaded_retained,200,application/pdf,.pdf,1251639,da97a92e113eef20c697455708c473e50ae4fd4164beab91d60cefb114e9ac01,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-efe63c962e406b1b8801.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:37:54Z,"bounded_get_completed_supported_content; attempts=1; elapsed_seconds=1.403; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
TS4L-0bbd4602a4b08a27c19f,lane_1,tier_c,verification_ready_low,139,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://www.lodi-nj.org/Home/DownloadDocument?docId=2729458d-5dff-41db-a85e-3d5e7a58caf6,"Lodi, NJ — Council meeting agenda download referencing Resolution No. 25-77 entering into an Agreement with Lodi Public Works Employee Association IUJAT Local 1N",Lodi,NJ,Northeast,non_safety_comparator,Public works / DPW (IUJAT Local 1N unit referenced),"Lodi Public Works Employee Association (United Service Workers Union), IUJAT, Local 1N",2025-2029,,,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"same-city: Borough of Lodi, NJ",cycle overlap unknown (document period not captured in lead text),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Lodi,NJ,Northeast,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,2025-2029,head_http_200,2026-07-27T12:58:37Z,verified_source_lead_not_downloaded,RS556-60dc5422d0888220eb80,retained_downloaded_source,downloaded_retained,200,application/pdf,.pdf,115546,5ff6debfcd0b12b55d523698c69f1deefa6b30051cbbb152ee4fa773deee2156,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-60dc5422d0888220eb80.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:37:59Z,"bounded_get_completed_supported_content; attempts=1; elapsed_seconds=0.425; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
TS4L-0cb8665dbbcc2d3fd8fb,lane_1,tier_c,verification_ready_medium,136,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-10-1458.pdf,Collective Bargaining Agreement (SERB) — Mount Healthy City School District and Association (effective 7/1/2021–6/30/2022),Mount Healthy,OH,Midwest,non_safety_comparator,Certificated or other school district bargaining group (occupation group not fully specified in snippet),,"July 1, 2021 through June 30, 2022",2021-07-01,2022-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city,overlaps_expected_period,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Mount Healthy,OH,Midwest,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,"July 1, 2021 through June 30, 2022",head_http_200,2026-07-27T12:59:00Z,verified_source_lead_not_downloaded,RS556-22bd33e84a15a9bd719e,retained_downloaded_source,downloaded_retained,200,application/pdf,.pdf,7567545,2aeb123e600caec8273ab679d76f5d9be64acd46dcc5969128495cb21d0635f7,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-22bd33e84a15a9bd719e.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:37:59Z,"bounded_get_completed_supported_content; attempts=1; elapsed_seconds=0.574; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
TS4L-0f354a5935bad3aee436,lane_1,tier_c,verification_ready_medium,137,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://cms.tacoma.gov/HR/Collective_Bargaining_Agreements/2013-2016_120_General_final_signed.pdf,2013-2016 Agreement by and between (Tacoma) - General (Final signed) (PDF),Tacoma,WA,West,non_safety_comparator,City of Tacoma general bargaining unit (non-public-safety comparator lead),General bargaining unit (identifier indicates 'General'),"January 1, 2013 to December 31, 2016 (includes 2015-2016)",2015-01-01,2016-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,Tacoma match,Overlaps expected period (2015-2016),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Tacoma,WA,West,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,"January 1, 2013 to December 31, 2016 (includes 2015-2016)",head_http_200,2026-07-27T12:58:39Z,verified_source_lead_not_downloaded,RS556-3e896a1391d0d5ac4168,retained_downloaded_source,downloaded_retained,200,text/html,.html,4421,3c3cf32a123f39e14ef79e266c8049b9b6f06b97740a10045e96458e2f68cef5,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-3e896a1391d0d5ac4168.html,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:37:59Z,"bounded_get_completed_supported_content; attempts=1; elapsed_seconds=2.160; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
TS4L-11df7e4f45e8553b14ae,lane_1,tier_c,verification_ready_medium,139,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/1820/Asd/30a8fa75-fd8b-40b6-b243-9eb0473d5cc8/Teacher_s_CBA_from_9-1-2021_to_August_31_2023.pdf?disposition=inline,Teacher’s CBA (Independent School District No. 10 of Anaconda-Deer Lodge County) — PDF,Anaconda-Deer Lodge County,MT,West,non_safety_comparator,Classroom Teachers / Teacher bargaining unit,Anaconda Teachers Union (Local 502) (as stated in document),From 9/1/2021 to 8/31/2023 (as indicated by file title),2021-09-01,2023-08-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_match_expected,overlaps_with_2021-2023_classified_lead_expected,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Anaconda-Deer Lodge County,MT,West,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,From 9/1/2021 to 8/31/2023 (as indicated by file title),head_http_200,2026-07-27T12:58:35Z,verified_source_lead_not_downloaded,RS556-259bc782293ece178105,retained_downloaded_source,downloaded_retained,200,application/pdf,.pdf,13094600,bb0a2571e13775c7b2a494c8b0fabb2627d2e94b62d3e317baba07e8ea0ee7f5,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-259bc782293ece178105.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:37:59Z,"bounded_get_completed_supported_content; attempts=1; elapsed_seconds=2.979; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
