qualitative_evidence_id,qualitative_source_record_id,scope_origin,source_review_id,retained_source_id,retained_content_hash,case_id,text_table_detection_id,candidate_id,state,municipality,unit_type,bargaining_unit_name,contract_or_cycle_period,cycle_start,cycle_end,source_family,mechanism_family,claim_relevance,direction_of_pressure,evidence_strength,claim_boundary,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness
legacy:qualitative:lobs_002c1605061ebac04849affa:non_base_compensation_signal,qualitative:lobs_002c1605061ebac04849affa,legacy_valid_636_rating,sr_9d36d1f7ba0c515cd33376e1,,59ecdc4d5b3029b6aa19162c873e2464fa259882d289dc3917cba6231bb591df,cex_e41c7293b5969c7e91e1d912,ttd_21eba94afa5e8a2f7ff8dc3b,,NE,,non_safety,,,,,cba,non_base_compensation_signal,direct_text_claim,non_safety_advantage,moderate,Supports that compensation may be provided for time spent in negotiations; does not establish base wage or broader wage effects.,rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_0061e768a4924ce0613c5725:implementation_or_retroactivity_advantage,qualitative:lobs_0061e768a4924ce0613c5725,legacy_valid_636_rating,sr_276eadd5967a39a172cde88e,,2212c6a365839373c04d06fec97aa3022c2bff3a7d55898dc21bbc92fd76b564,cex_55a4686f305f50ca82689d7b,ttd_726010162891f9249fa001eb,,NE,,police,,,,,cba,implementation_or_retroactivity_advantage,direct_text_claim,gap_narrowing,moderate,Timing term indicating retroactivity of the contract effective date.,rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_01c6e8860b466aa692232fb9:implementation_or_retroactivity_advantage,qualitative:lobs_01c6e8860b466aa692232fb9,legacy_valid_636_rating,sr_38b342f09f2ec8b7aef45b24,,ed136443d3f1a894957ccad9373a31b12d1db28c0c06c0e3f6976d31372a000f,cexrem_0c804d558eb12ad31160d0c9,ttd_c545e57e184b4c34c55da8fc,,WA,,non_safety,,,,,cba,implementation_or_retroactivity_advantage,documentary_mechanism_claim,gap_narrowing,moderate,Timing/effective-date rule indicates implementation timing; no direction of wage effects is asserted.,rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_01cf4dde9a822739e8c3a74b:implementation_or_retroactivity_advantage,qualitative:lobs_01cf4dde9a822739e8c3a74b,legacy_valid_636_rating,sr_e1ffd4859fe8d0caa25e3340,,1a3e259e7cd1c4e39e8d7a64fa288c3fc3d835ba40fd688c6555e2df8a6955d0,cex_ed9a2b4a19df1546cf996d8a,ttd_1bb0a452e20698a51cb0e7a6,,OR,,non_safety,,,,,cba,implementation_or_retroactivity_advantage,provisional_causal_candidate,neutral_or_unclear,weak,"Indicates timing via review dates but does not state retroactivity, effective-date advantage, staged increases, or comparative timing.",rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_01d00a56e42bc6a4aef8fda3:implementation_or_retroactivity_advantage,qualitative:lobs_01d00a56e42bc6a4aef8fda3,legacy_valid_636_rating,sr_2f1e5a1152dd525de2f322d1,,3bde29cea169e493b592385b859b02b75521c04c2aee86a1e07d8a9adab0f34d,cex_5a4ac97a59623ce22354b574,ttd_c5a07e815ff65e89d17ab0ff,,CT,,non_safety,,,,,cba,implementation_or_retroactivity_advantage,documentary_mechanism_claim,neutral_or_unclear,weak,Timing term about when a contract change may be adopted; does not specify favorable effective dating relative to a counterfactual.,rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_0225ab3abe275717ae62b033:implementation_or_retroactivity_advantage,qualitative:lobs_0225ab3abe275717ae62b033,legacy_valid_636_rating,sr_69c25330ff103bbf3e192a07,,4f44546b12812c3986de7470b069f28d7a53e7d37d8836ce291260bf8f2da6f1,cexrem_de71fcf83007bfedbb22755c,ttd_6cf6cf20765a67948497ba0a,,WA,,police,,,,,cba,implementation_or_retroactivity_advantage,documentary_mechanism_claim,neutral_or_unclear,weak,"This only indicates timing ('Effective January 1, 2026') and does not establish whether the timing is favorable relative to another group or period.",rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_0243e0cd2d60f9c9fd4c0959:automatic_raise_mechanism,qualitative:lobs_0243e0cd2d60f9c9fd4c0959,legacy_valid_636_rating,sr_070e460ae3b05c51f7435a6d,,89f04a702f32ca8d3bc034eb9900832606567605a3fda98c59d5f14b69620f0b,cex1000_4dcf958b0456ad7f5ae10773,ttd_a47798d877644dd9dde88004,,CA,,police,,,,,cba,automatic_raise_mechanism,documentary_mechanism_claim,gap_narrowing,moderate,This excerpt indicates a COLA description of the combined 2022 increases; it does not establish outcomes or relative wage effects.,rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_0243e0cd2d60f9c9fd4c0959:market_or_comparability_pressure,qualitative:lobs_0243e0cd2d60f9c9fd4c0959,legacy_valid_636_rating,sr_070e460ae3b05c51f7435a6d,,89f04a702f32ca8d3bc034eb9900832606567605a3fda98c59d5f14b69620f0b,cex1000_4dcf958b0456ad7f5ae10773,ttd_a47798d877644dd9dde88004,,CA,,police,,,,,cba,market_or_comparability_pressure,documentary_mechanism_claim,non_safety_advantage,weak,The span only begins a 'market' phrase and does not specify how market comparability affects pay.,rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_02cf16b14ae780a5964de0af:automatic_raise_mechanism,qualitative:lobs_02cf16b14ae780a5964de0af,legacy_valid_636_rating,sr_272eba05d55d401649848e75,,a057527db20ae52d197d3d1605315a1130dfbf918ca8b8b5e399c1cec23d4fd6,cexrem_1301e6955416ea4378194e19,ttd_5152ab99181d22d564ae4964,,MI,,fire,,,,,memorandum_or_settlement,automatic_raise_mechanism,context_only,neutral_or_unclear,weak,Only indicates that a wage step increase program is eliminated; does not specify how any automatic raise mechanism would operate or for whom.,rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_04af2e69e65f168d8a41a8b4:automatic_raise_mechanism,qualitative:lobs_04af2e69e65f168d8a41a8b4,legacy_valid_636_rating,sr_4cefab41817eefff2ee66db0,,a0bbe84030342496aa76c518ee4d74df91d980ff38c3733c82c0ec779fb9fe88,cexrem_81afb545a05c05b9fb14f318,ttd_6c245da26cf15a7f410708e8,,WI,,police,,,,,cba,automatic_raise_mechanism,direct_text_claim,neutral_or_unclear,moderate,"Automatic, rule-based pay-step increases are described as applying to each pay grade and occurring each year.",rated_valid,not_ingested,not_codified,not_causal_evidence,false
