candidate_id,lane_id,priority_tier,quality_label,source_url_or_locator,source_title,municipality,state,unit_type,occupation_group,bargaining_unit_name,contract_or_document_period,inferred_cycle_start,inferred_cycle_end,source_family,target_mechanism_family,same_city_match_status,overlapping_cycle_status,verification_status,verification_reason,verification_timestamp,candidate_only_lineage_status,retained_source_id,source_review_download_status,download_status,http_status,content_type_hint,file_extension,file_size_bytes,file_sha256,local_retained_path,duplicate_file_group_id,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,source_review_timestamp,notes
TS4L-246beb7c50a2ceccb32b,lane_1,tier_a,verification_ready_high,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-04-0526.pdf,"Collective Bargaining Agreement (Upper Sandusky Education Association; Board of Education of the Upper Sandusky Exempted Village School District) — July 1, 2021 to June 30, 2024",Upper Sandusky,OH,non_safety_comparator,certificated personnel (per document recognition/scope language),Upper Sandusky Education Association,"JULY 1, 2021 - JUNE 30, 2024",2021-07-01,2024-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same-city (Upper Sandusky; Upper Sandusky Exempted Village School District),overlaps expected period (covers 2021-2022 portion of 2020-2022 window),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:05Z,verified_source_lead_not_downloaded,RS429-02e02efa7a60019e8c35,oversized_for_this_pass,not_downloaded,200,application/pdf,,104420921,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:02Z,"content_length_exceeds_pass_limit; attempts=1; elapsed_seconds=0.338; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
TS4L-aa5970f8ec6daa115fe6,lane_1,tier_a,verification_ready_high,https://www.chandleraz.gov/sites/default/files/departments/management-services/City-of-Chandler-FY-24-25-Adopted-Budget-Book-v4.pdf,City of Chandler FY2024-25 Adopted Budget Book (Employee Compensation section; contract effective 7/1/2024–6/30/2026 references),Chandler,AZ,non_safety_comparator,Represented employee groups referenced in Employee Compensation section (CLEA/CLASA/IAFF mentioned),CLEA; CLASA; IAFF (exact unit scope to be confirmed from referenced sections),"Includes references to contracts effective July 1, 2024 through June 30, 2026 (and related FY2024-25 compensation detail)",2024-07-01 (per narr,2026-06-30 (per narr,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_candidate_lead,partial_overlap_possible_with_late_2023_or_2024_comparison_period,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:08Z,verified_source_lead_not_downloaded,RS429-377e35b8ebc4a01c2f49,oversized_for_this_pass,not_downloaded,200,application/pdf,,57886144,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:08Z,"content_length_exceeds_pass_limit; attempts=1; elapsed_seconds=1.108; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
TS4L-1c21ec7767f32219c3de,lane_1,tier_b,verification_ready_medium,https://detroitmi.gov/sites/detroitmi.localhost/files/events/2023-11/DPOA%20Contract%202022-2027.pdf,DPOA Contract 2022-2027 (Detroit Police Officers Association) [PDF],Detroit,MI,non_safety_comparator,Police (officers) - bargaining unit contract document lead,Detroit Police Officers Association (DPOA),2022-2027,2022,2027,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"exact_city_match_expected (Detroit, MI)",overlap_expected_with_2022_to_2027,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:21Z,verified_source_lead_not_downloaded,RS429-4b9792aaa1165602f2fb,oversized_for_this_pass,not_downloaded,200,application/pdf,,41279554,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:12Z,"content_length_exceeds_pass_limit; attempts=1; elapsed_seconds=0.243; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
TS4L-2378458fd602ed2d7dcd,lane_1,tier_b,verification_ready_medium,https://detroitmi.gov/sites/detroitmi.localhost/files/events/2023-11/DPLSA%20Contract%202022-2027.pdf,DPLSA Contract 2022-2027 (Detroit Police Lieutenants Supervisors Association) [PDF],Detroit,MI,non_safety_comparator,Police (lieutenants/supervisors) - bargaining unit contract document lead,Detroit Police Lieutenants & Supervisors Association (DPLSA),2022-2027,2022,2027,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"exact_city_match_expected (Detroit, MI)",overlap_expected_with_2022_to_2027,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:21Z,verified_source_lead_not_downloaded,RS429-0fdcd3c4e3c34834c7bd,oversized_for_this_pass,not_downloaded,200,application/pdf,,37230215,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:13Z,"content_length_exceeds_pass_limit; attempts=1; elapsed_seconds=0.146; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
TS4L-40ecce79a21a8174baba,lane_1,tier_b,verification_ready_medium,https://cms2.revize.com/revize/roundlakebeach/Document%20Center/Agenda%20and%20Minutes/Council%20Meeting/2026-03-16%20Council%20Meeting%20Packet.pdf?t=202603131532090,"Village Board Meeting (March 16, 2026 Council Meeting Packet) — Memorandum re: Collective Bargaining Agreement (AFSCME) (Round Lake Beach, IL)",Round Lake Beach,IL,non_safety_comparator,Unknown (AFSCME bargaining unit within Village of Round Lake Beach),AFSCME (Village of Round Lake Beach),"January 1, 2026 through December 31, 2028",2026-01-01,2028-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city,overlaps_target_period_2026-2028,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:30Z,verified_source_lead_not_downloaded,RS429-78c7d9065cd06ec93568,oversized_for_this_pass,not_downloaded,200,application/pdf,,28243315,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:13Z,"content_length_exceeds_pass_limit; attempts=1; elapsed_seconds=0.315; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
TS4L-a96bee2acc6beac4884b,lane_1,tier_b,verification_ready_medium,https://cms7files1.revize.com/birmingham/Document_Center/Department/Human%20resource/Collective%20Bargaining%20Agreements/Birmingham%20Command%20CBA%202022-FINAL%20SIGNED.pdf,Birmingham Command CBA 2022-FINAL SIGNED,Birmingham,AL,non_safety_comparator,Police command / supervisory bargaining unit (exact group inferred from document title),Birmingham Command (as titled),"2022–(salary schedule references July 1, 2022 – June 30, 2025 in document text)",2022-07-01,2025-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city,unknown,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:57Z,verified_source_lead_not_downloaded,RS429-a39aaa225900f8e89ab2,oversized_for_this_pass,not_downloaded,200,application/pdf,,29937532,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:20Z,"content_length_exceeds_pass_limit; attempts=1; elapsed_seconds=0.094; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
TS4L-20f523e843fc7de877fa,lane_2,tier_b,verification_ready_medium,https://ballotpedia.s3.amazonaws.com/images/0/0b/Fort_Wayne_CBA_Text_2022-2024.pdf,Fort Wayne CBA Text 2022-2024 (Police / Patrolmen's Benevolent Association),Wayne,IN,safety_and_non_safety_bargaining_units,Police (public safety),"Fort Wayne Patrolmen's Benevolent Association, Inc. (PBA) / Fraternal Order of Police referenced within document context",2022-2024,2022,2024,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"City mismatch likely (Fort Wayne found, not Wayne, IN explicitly in title/body snippet)",Overlaps expected period 2014-2024 (explicitly 2022-2024),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:32:15Z,verified_source_lead_not_downloaded,RS429-42d0b07a783677d20c50,oversized_for_this_pass,not_downloaded,200,application/pdf,,43474471,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:29Z,"content_length_exceeds_pass_limit; attempts=1; elapsed_seconds=0.318; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
TS4L-f8827b366ba325d23ce8,lane_3,tier_b,verification_ready_medium,https://www.horizoncity.org/wp-content/uploads/Town-of-Horizon-City-Approved-FY2022-Budget.pdf,Town of Horizon City — Approved FY2022 Budget (Operating Budget),Horizon City,TX,non_safety_municipal_units,administrative employees (non-safety) and employees covered by collective bargaining (compensation plan incorporated in budget),,FY2022 Operating Budget,2021-10-01,2022-09-30,cba_or_budget_pay_plan_with_explicit_compensation_mechanism,fiscal_constraint_signal,Horizon City (Town of) — likely same municipality match,Overlaps expected 2014-2024 window (FY2022),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:33:09Z,verified_source_lead_not_downloaded,RS429-269aca65b362ba21a63f,oversized_for_this_pass,not_downloaded,200,application/pdf,,29669745,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:47:09Z,"content_length_exceeds_pass_limit; attempts=1; elapsed_seconds=0.202; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
TS4L-30df6fbbe25cf11c4d7d,lane_4,tier_b,verification_ready_medium,https://www.lagrangeil.gov/Archive.aspx?ADID=1178,"VILLAGE OF LA GRANGE (document snippet references Illinois Fraternal Order of Police Labor Council agreement; includes “day of _,2014.”)",La Grange,IL,safety_and_non_safety_compensation_units,Police (patrol officers / police bargaining unit),Illinois Fraternal Order of Police Labor Council,2014 (exact term not visible in search snippet; document appears to relate to a police CBA dated in 2014),,,cba_or_compensation_study_or_classification_study_or_wage_schedule,market_or_comparability_pressure,"Exact municipality name match (La Grange, IL)",Overlaps expected window (2014–2024),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:32:07Z,verified_source_lead_not_downloaded,RS429-4b224f1e15a2907102d0,oversized_for_this_pass,not_downloaded,200,application/pdf,,74592764,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:47:13Z,"content_length_exceeds_pass_limit; attempts=1; elapsed_seconds=0.298; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
TS4L-cca2206b95e8ee874d78,lane_4,tier_b,verification_ready_medium,https://www.liveoaktx.net/files/finance_forms_and_reports/2022-23-Annual-Budget.pdf,City of Live Oak — Approved Budget 2022-2023 (PDF),Live Oak,TX,safety_and_non_safety_compensation_units,City employee compensation classifications (incl. public safety-related positions) vs. other employee classifications (as presented in budget),,2022-2023 (Approved Budget),2022-10-01,2023-09-30,cba_or_compensation_study_or_classification_study_or_wage_schedule,market_or_comparability_pressure,exact_city_name_match,overlaps_expected_window_2014-2024,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:33:02Z,verified_source_lead_not_downloaded,RS429-2b3544af37ea503ab47f,oversized_for_this_pass,not_downloaded,200,application/pdf,,62294285,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:48:00Z,"content_length_exceeds_pass_limit; attempts=1; elapsed_seconds=0.358; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
