municipality,state,unit_type,contract_or_document_period,extraction_queue_count,extracted_ok_count,excluded_or_failed_count
Addison,IL,non_safety_comparator,"January 1, 2015 – December 31, 2017 (referenced)",1,1,0
Addison,TX,safety_and_non_safety_compensation_units,Agenda packet (2025-06-24) referencing FY2024 pay plan ranges,1,1,0
Alamo,TX,non_safety_municipal_units,FY 2016-2017 budget document,1,1,0
Alamo,TX,non_safety_municipal_units,FY 2018-2019 budget document,1,1,0
Alexandria,LA,non_safety_comparator,"Fiscal Year 2025 wage adjustment effective with first full pay period commencing on/after July 1, 2024 (exact full CBA term not captured in lead snippet)",1,1,0
Americus,GA,safety_and_non_safety_compensation_units,2014-2024 target window (reference indicates 2024 Council Approved / Implementation Completed),1,1,0
Amherst,NY,safety_and_non_safety_bargaining_units,2014-2024 (exact dates not determined from search snippet),2,2,0
Anderson,OH,safety_and_non_safety_bargaining_units,"CBA referenced; disciplinary/arbitration activity around May 2017 (with effective demotion date May 6, 2017); decision issued 2019",1,1,0
Andover,MA,safety_and_non_safety_bargaining_units,2014-2024 (browse-linked agreement documents),1,1,0
Andover,MA,safety_and_non_safety_bargaining_units,Fiscal 2015; Fiscal Year 2016; Fiscal Year 2017 (referencing contract expired in 2014 and arbitration process),1,1,0
Andrews,TX,safety_and_non_safety_compensation_units,2014-2019 (publication appears to cover multiple fiscal years; exact year mapping requires on-page inspection),1,1,0
Athens,TN,safety_and_non_safety_compensation_units,2022-12-01 (proposal date; study proposal),1,1,0
Aurora,CO,non_safety_comparator,Referenced salary impacts include 2023-2024 and 2024-2025,1,1,0
Austintown,OH,safety_and_non_safety_bargaining_units,"Effective April 1, 2014 through March 31, 2017",1,1,0
Austintown,OH,safety_and_non_safety_bargaining_units,"Fact-finding relating to CBA successor term for agreement originally referenced as April 1, 2011 to March 31, 2014 (issued in 2014)",1,1,0
Bangor charter,MI,safety_and_non_safety_compensation_units,2014-2024 window (contract expiration 6/30/2021; inferred cycle ~7/1/2020–6/30/2021),1,1,0
Bangor charter,MI,safety_and_non_safety_compensation_units,2014-2024 window (contract expiration 6/30/2022; inferred cycle ~7/1/2021–6/30/2022),1,1,0
Barrington,RI,safety_and_non_safety_compensation_units,2014-2024 window (page is a hub for multiple CBAs; specific contract years vary by linked PDF),1,1,0
Batavia,OH,safety_and_non_safety_bargaining_units,2014-2024 window (contract year 2022–2026 referenced by file set; exact term dates not extracted here),1,1,0
Bath,OH,safety_and_non_safety_bargaining_units,Fact-finding report dated 2023 (impasse referenced in snippet),1,1,0
Beaufort,SC,safety_and_non_safety_compensation_units,FY 2014 (wage and salary report referenced in 2014 agenda packet),1,1,0
Bedford,NY,safety_and_non_safety_compensation_units,Listed: Bedford White Collar CBA 2019 to 2022,1,1,0
