retained_source_id,candidate_id,lane_id,priority_tier,quality_label,source_url_or_locator,source_title,municipality,state,unit_type,occupation_group,bargaining_unit_name,contract_or_document_period,inferred_cycle_start,inferred_cycle_end,source_family,target_mechanism_family,same_city_match_status,overlapping_cycle_status,verification_status,verification_reason,source_review_download_status,download_status,content_type_hint,file_extension,file_size_bytes,file_sha256,local_retained_path,duplicate_file_group_id,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,source_review_timestamp,file_integrity_status,readiness_status,readiness_reason,page_count,pdf_encrypted_or_locked,pdf_has_text_layer_hint,pdf_version_hint,bounded_text_probe_pages,bounded_text_signal_character_count,html_text_readiness_hint,html_probe_bytes,html_visible_text_character_count,html_link_count,html_script_count,readiness_review_status,readiness_notes,exclusion_layer,preserved_exclusion_status,verification_timestamp,candidate_only_lineage_status,http_status,notes,excluded_from_readiness_queue
RS429-1faeac9175aae59e6494,TS4L-0ce7b03152197ce5c276,lane_1,tier_b,verification_ready_medium,https://www.worcesterma.gov/human-resources/collective-bargaining-agreements/local-495-moa-2017-2020.pdf,"Local 495 — Memorandum of Agreement (July 1, 2017 - June 30, 2020)",Worcester,MA,non_safety_comparator,Unknown (not extracted from lead metadata),Local 495,"July 1, 2017 - June 30, 2020",2017-07-01,2020-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"Exact match (City of Worcester, MA)",Exact period overlap (matches 7/1/2017–6/30/2020),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,824708,75d72fffe75bc0c7ccda0a2959e6680a9d91c15a311ea153ad0686ad3c267970,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-1faeac9175aae59e6494.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:12Z,integrity_pass,needs_review,pdf_encrypted_or_locked,13,true,unknown,1.6,0,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred.",readiness_review,needs_review,,,,,
RS429-20a594e247c8da14f0f9,TS4L-5ef86fb33f6b59e69dfa,lane_1,tier_a,verification_ready_high,https://www.yakimawa.gov/services/hr/files/AFSCME-Municipal-2022-2026-Executed-Copy.pdf,AFSCME Municipal Employees Collective Bargaining Agreement (Executed Copy) — 2022–2026,Yakima,WA,non_safety_comparator,Municipal employees (AFSCME),AFSCME Municipal Employees (City of Yakima),2022–2026 (includes 2024–2026),2024-01-01,2026-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,yes,overlaps_2024-2026,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,25322044,ce7517eb3e5e36f094c58d8afc652ae675ac1c85223d0d5c85a29523dd308b0f,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-20a594e247c8da14f0f9.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:06Z,integrity_pass,oversized_for_text_pass,pdf_exceeds_bounded_text_pass_size_or_page_limit,50,false,unknown,1.6,0,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred.",readiness_review,oversized_for_text_pass,,,,,
RS429-23a0f9e9625a3097894c,TS4L-73775a9184d77735eeb4,lane_1,tier_b,verification_ready_medium,https://www.rentonschools.us/fs/resource-manager/view/05e47289-b6d7-4461-9205-e16dfb4bb0aa,AFT (American Federation of Teachers) Renton Local 6367 Collective Bargaining Agreement (Renton School District 403 x AFT Renton Local 6367),Renton,WA,non_safety_comparator,"Classified employees (e.g., transportation, dispatch, garage mechanical technicians, building maintenance, nutrition services, warehouse drivers as defined in agreement)",American Federation of Teachers (AFT) Renton Local 6367,"September 1, 2024–August 31, 2027",2024-09-01,2027-08-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"City-of-Renton match (Renton School District 403; Renton, WA)",Overlaps expected 2024–2026 period (2024–2026 included within 2024–2027 term),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,947468,25e8f175c45daf39e10ec3ea41b7ff7875e08cc59c5976512934ebeb9a3f6a63,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-23a0f9e9625a3097894c.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:14Z,integrity_pass,needs_review,pdf_encrypted_or_locked,79,true,unknown,1.7,0,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred.",readiness_review,needs_review,,,,,
RS429-254976629ddc0d74ccc7,TS4L-b5eba08724e81c214d1d,lane_1,tier_b,verification_ready_medium,https://cdnsm5-ss13.sharpschool.com/UserFiles/Servers/Server_60720/File/Departments/Business/Contracts/ESP%20Contract%202021%20-%202026.pdf,"ESP Contract 2021 - 2026 (Tinley Park ESP Council of AFT, Local 604) - Collective Bargaining Agreement",Tinley Park,IL,non_safety_comparator,Educational support professionals (ESP),"Tinley Park ESP Council of AFT, Local 604",2021-2026 (as indicated by filename/title),2021-01-01,2026-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"same-city match (Tinley Park, IL district bargaining context)",unknown (target expected period unclear),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,2237198,418bec2fd8576de6b6c721b8e5924eb5c8057ad773010d5b414eef29483448d7,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-254976629ddc0d74ccc7.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:20Z,integrity_pass,ocr_later_or_defer,bounded_first_pages_do_not_show_usable_text_layer,38,false,false,1.3,3,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred.",readiness_review,ocr_later_or_defer,,,,,
RS429-33a929bbb1d73dab1241,TS4L-76ec9b2dbf03157e90cf,lane_1,tier_b,verification_ready_medium,https://www.wilmingtoncitycouncil.com/wp-content/uploads/2019/11/4748-Resolution-Approving-Collective-Bargaining-Agreement-with-Local-Union-1102-for-7-18-to-6-30-22-W0108344x920B6.pdf,"Resolution Approving Collective Bargaining Agreement with Local Union 1102 (July 1, 2018–June 30, 2022) — City of Wilmington, Delaware (PDF)",Wilmington,DE,non_safety_comparator,white-collar employees (as described for AFSCME Local 1102),AFSCME Local 1102 (Delaware Public Employees Council 81),"July 1, 2018 through June 30, 2022 (per resolution synopsis/title)",2018-07-01,2022-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city,unknown,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,3417469,c49a367c7b8a7d567ffd34a9adb484b80e1f1a07e6ac830b1137d5a43ac0909b,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-33a929bbb1d73dab1241.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:14Z,integrity_pass,ocr_later_or_defer,bounded_first_pages_do_not_show_usable_text_layer,57,false,false,1.4,3,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred.",readiness_review,ocr_later_or_defer,,,,,
RS429-457c325232d270b4f8c4,TS4L-4d77853982adfb6e38d9,lane_1,tier_a,verification_ready_high,https://www.maine.gov/mlrb/sites/maine.gov.mlrb/files/inline-files/schools.presqueisle_0.pdf,Maine Labor Relations Board: Presque Isle — schools collective bargaining agreement / contract document (period not yet confirmed),Presque Isle,ME,non_safety_comparator,Schools (non-safety public employees; specific job groups not yet identified),Presque Isle schools bargaining unit (name not yet extracted),period not yet confirmed (filename does not show 2024-2026),,,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_match_expected,unknown_overlap,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,1573241,fa13e9b5d2c18822c58174b37ea324be3b98eabe8c7c2718e824a763ba81ce5c,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-457c325232d270b4f8c4.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:04Z,integrity_pass,ocr_later_or_defer,bounded_first_pages_do_not_show_usable_text_layer,24,false,false,1.4,3,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred.",readiness_review,ocr_later_or_defer,,,,,
RS429-5c19ac096c6f0b67594f,TS4L-04462a16b388e3c06ec4,lane_1,tier_b,verification_ready_medium,https://www.brooklynpark.org/wp-content/uploads/2022/04/ccep042522rm.pdf,"City of Brooklyn Park Council Action Request/Resolution: Approving Staff to Enter into the 2022-2023 Collective Bargaining Agreement with IUOE Local 49 (Apr 25, 2022 agenda item)",Brooklyn Park,MN,non_safety_comparator,Operations and Maintenance employees (IUOE Local 49 represented unit),"International Union of Operating Engineers (IUOE), Local No. 49","January 1, 2022 through December 31, 2023 (agreement period referenced/approved)",2022-01-01,2023-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"Brooklyn Park, MN match (city of Brooklyn Park).",Overlaps expected period (2022-01-01 through 2025-12-31).,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,20975663,99b9736be32308fa790719dbfb7a8f3da60460a513cd7f772cd870a08feab47b,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-5c19ac096c6f0b67594f.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:11Z,integrity_pass,oversized_for_text_pass,pdf_exceeds_bounded_text_pass_size_or_page_limit,179,false,unknown,1.7,0,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred.",readiness_review,oversized_for_text_pass,,,,,
RS429-67fb23baabac726cc643,TS4L-1171084bf3acbe24f755,lane_1,tier_a,verification_ready_high,https://www.orangecityfl.gov/files/teamsters-contract.pdf,"COLLECTIVE BARGAINING AGREEMENT (Orange City) — Teamsters contract (Fiscal Years 2023/24, 2024/25, 2025/26)",Orange City,FL,non_safety_comparator,Non-safety (bargaining unit referenced as “Teamsters”),Teamsters (Orange City bargaining unit),"Fiscal Years 2023/24, 2024/25, 2025/26",2023-10-01,2026-09-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"same-city (Orange City, FL)",overlaps expected fiscal years (2023/24–2025/26),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,1566004,e083d7f66b5df690e850a4d901d76b58817373bb62ee1e2a151da69f62cfbdbc,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-67fb23baabac726cc643.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:02Z,integrity_pass,ocr_later_or_defer,bounded_first_pages_do_not_show_usable_text_layer,36,false,false,1.4,3,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred.",readiness_review,ocr_later_or_defer,,,,,
RS429-6d16c2a7bb4cb6910547,TS4L-007dbad731d5396346d8,lane_1,tier_b,verification_ready_medium,https://www.rentonschools.us/fs/resource-manager/view/04f0bbe0-c9dd-41be-879d-3942b03daced,RESP (Renton Education Support Professionals) Collective Bargaining Agreement (Renton School District 403 x RESP/Washington Education Association/NEA),Renton,WA,non_safety_comparator,Office personnel and paraeducators (and other RESP-covered classifications as defined in agreement),Renton Education Support Professionals (RESP) (WEA/NEA affiliations listed on cover),"September 1, 2023–August 31, 2026",2023-09-01,2026-08-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"City-of-Renton match (Renton School District 403; Renton, WA)",Overlaps expected 2024–2026 period (2024–2026 included within 2023–2026 term),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,1833921,25d3d1982e32129a67ae661669d7e3d10215f663b81426b5dec3764d976ec518,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-6d16c2a7bb4cb6910547.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:11Z,integrity_pass,needs_review,pdf_encrypted_or_locked,98,true,unknown,1.7,0,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred.",readiness_review,needs_review,,,,,
RS429-7e46e02bbbc0921aa433,TS4L-910e7bcdeae0cbacf46a,lane_1,tier_a,verification_ready_high,https://seiu73.org/wp-content/uploads/2021/08/Lake-in-The-Hills-Public-Works-January-1-2023-December-31.-2026.pdf,"Agreement by and between the Village of Lake in the Hills and SEIU Local 73 (Public Works) (Jan 1, 2023 – Dec 31, 2026) [PDF]",Lake in the Hills,IL,non_safety_comparator,Public Works (laborers/utilities/water operations) – SEIU Local 73 bargaining unit,"S.E.I.U., Local 73 (Public Works employees bargaining unit)","January 1, 2023 – December 31, 2026",2023-01-01,2026-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_match,overlaps_2020-2023,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,16959858,8c100394b6467bb7eb79eb8e88815bee8a0d84fa5ce7d2a414d02a732f94913f,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-7e46e02bbbc0921aa433.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:07Z,integrity_pass,ocr_later_or_defer,bounded_first_pages_do_not_show_usable_text_layer,106,false,false,1.6,3,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred.",readiness_review,ocr_later_or_defer,,,,,
