retained_source_id,candidate_id,lane_id,priority_tier,quality_label,source_url_or_locator,source_title,municipality,state,derived_region,unit_type,occupation_group,bargaining_unit_name,contract_or_document_period,inferred_cycle_start,inferred_cycle_end,source_family,target_mechanism_family,same_city_match_status,overlapping_cycle_status,verification_status,verification_reason,source_review_download_status,download_status,content_type_hint,file_extension,file_size_bytes,file_sha256,local_retained_path,duplicate_file_group_id,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,source_review_timestamp,file_integrity_status,readiness_status,readiness_reason,page_count,pdf_encrypted_or_locked,pdf_has_text_layer_hint,pdf_version_hint,bounded_text_probe_pages,bounded_text_signal_character_count,html_text_readiness_hint,html_probe_bytes,html_visible_text_character_count,html_link_count,html_script_count,readiness_review_status,readiness_notes
RS556-3e722210012a0f435fac,TS4L-9772db5f0737831c79f9,lane_1,tier_c,verification_ready_medium,https://www.worcesterma.gov/human-resources/collective-bargaining-agreements/local-170-moa-2017-2020.pdf,"Local 170, Teamsters (DPW Clerks) — Memorandum of Agreement (July 1, 2017 - June 30, 2020)",Worcester,MA,Northeast,non_safety_comparator,Clerks (DPW Clerks),"Local 170, Teamsters","July 1, 2017 - June 30, 2020",2017-07-01,2020-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"Exact match (City of Worcester, MA)",Exact period overlap (matches 7/1/2017–6/30/2020),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,27413,8f3054e9e7cc47e53cc7ee0f76b083950c56572002f42172e3482bfac2e008ca,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-3e722210012a0f435fac.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:38:37Z,integrity_pass,needs_review,pdf_encrypted_or_locked,5,true,unknown,1.6,0,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred."
RS556-3e896a1391d0d5ac4168,TS4L-0f354a5935bad3aee436,lane_1,tier_c,verification_ready_medium,https://cms.tacoma.gov/HR/Collective_Bargaining_Agreements/2013-2016_120_General_final_signed.pdf,2013-2016 Agreement by and between (Tacoma) - General (Final signed) (PDF),Tacoma,WA,West,non_safety_comparator,City of Tacoma general bargaining unit (non-public-safety comparator lead),General bargaining unit (identifier indicates 'General'),"January 1, 2013 to December 31, 2016 (includes 2015-2016)",2015-01-01,2016-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,Tacoma match,Overlaps expected period (2015-2016),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,text/html,.html,4421,3c3cf32a123f39e14ef79e266c8049b9b6f06b97740a10045e96458e2f68cef5,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-3e896a1391d0d5ac4168.html,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:37:59Z,integrity_pass,needs_review,html_visible_text_signal_too_weak,,not_applicable,not_applicable,,0,0,weak_or_noisy,4421,178,0,5,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred."
RS556-ef065ba53618adb57ba8,TS4L-d70610060b543010bf20,lane_1,tier_c,verification_ready_medium,https://www.worcesterma.gov/human-resources/collective-bargaining-agreements/local-490-moa-2017-2020.pdf,"Local 490, NAGE/SEIU (Clerks) — Memorandum of Agreement (July 1, 2017 - June 30, 2020)",Worcester,MA,Northeast,non_safety_comparator,Clerks,"Local 490, NAGE, SEIU Service Employees International Union","July 1, 2017 - June 30, 2020",2017-07-01,2020-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"Exact match (City of Worcester, MA)",Exact period overlap (matches 7/1/2017–6/30/2020),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,13657,2f09740a271d50511220a5af5c33d47af325734df83ef7bc6b9cd8bd04863aac,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-ef065ba53618adb57ba8.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:38:51Z,integrity_pass,needs_review,pdf_encrypted_or_locked,3,true,unknown,1.6,0,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred."
RS556-88764ea302f9da4f95c6,TS4L-ce008cb4c99268ee3529,lane_2,tier_c,verification_ready_medium,https://www.pa.gov/content/dam/copapwp-pagov/en/dli/documents/individuals/labor-management-relations/plrb/fact-finding/2014/documents/upper%20dublin%20sd-upper%20dulblin%20ea%20act%2088-14-15-e.pdf,Pennsylvania Labor Relations Board (PLRB) Fact Finding Report and Recommendation (Case # ACT 88-14-15-E): Upper Dublin School District and Upper Dublin Education Association PSEA/NEA,Upper Dublin,PA,Northeast,safety_and_non_safety_bargaining_units,Professional educators (PSEA/NEA unit),Upper Dublin Education Association PSEA/NEA,"Report date: June 30, 2014 (Act 88 impasse / fact-finding window within 2014)",2014,2015,cba_or_arbitration_award_or_factfinding_or_impasse_record (factfinding),strike_or_no_strike_constraint,Match (Upper Dublin municipality; Upper Dublin School District),Overlaps expected period (2014-2024); specific factfinding instance in 2014,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,488182,6e04ce83ffd5ce1cdb80e3cac1dc1b58fff8a658d335dcf31bc3fe54f61f734b,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-88764ea302f9da4f95c6.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:40:01Z,integrity_pass,needs_review,pdf_encrypted_or_locked,12,true,unknown,1.6,0,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred."
RS556-99987de227e05c265586,TS4L-1a79445aa83cced43bc6,lane_2,tier_c,verification_ready_low,https://www.pa.gov/content/dam/copapwp-pagov/en/dli/documents/individuals/labor-management-relations/plrb/fact-finding/2015/documents/upper%20dublin%20sd%2088-14-37-e.pdf,Pennsylvania Labor Relations Board (PLRB) Fact Finding Report (Case No. ACT 88-14-37-E): Upper Dublin Educational Support Personnel Association PSEA/NEA and Upper Dublin School District,Upper Dublin,PA,Northeast,safety_and_non_safety_bargaining_units,Educational support personnel (PSEA/NEA unit),"Upper Dublin Educational Support Personnel Association, PSEA/NEA","Hearing: January 13, 2015; Case No. ACT 88-14-37-E (fact-finding window spanning 2014-2015)",2014,2015,cba_or_arbitration_award_or_factfinding_or_impasse_record (factfinding),strike_or_no_strike_constraint,Match (Upper Dublin municipality; Upper Dublin School District),Overlaps expected period (2014-2024); specific factfinding instance in 2014-2015,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,172231,516eb2bbd9b3f619cb88241f22d912f2590892234d0b18bfab0474d31715cf74,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-99987de227e05c265586.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:39:03Z,integrity_pass,needs_review,pdf_encrypted_or_locked,15,true,unknown,1.6,0,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred."
RS556-ad936912b26214fb9f8c,TS4L-c2506387585ad72ea671,lane_2,tier_c,verification_ready_low,https://www.scribd.com/document/656407160/Police-PBA-Contract-TownofManlius-P-2023,Police PBA Contract Town of Manlius — PBA (document labeled 2023; hosted on Scribd),Manlius,NY,Northeast,safety_and_non_safety_bargaining_units,Police (public safety),Town of Manlius Police Benevolent Association (PBA),"Appears to cover Jan 1, 2021 through Dec 31, 2023 (as shown in the hosted document text snippet)",2021,2023,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_city,overlaps_expected_window,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,text/html,.html,1156508,50ed6901863d040ebfeeb3899c18c18364c65a27a776f8c5075b2d5fe33a4a40,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-ad936912b26214fb9f8c.html,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:39:55Z,integrity_pass,needs_review,html_visible_text_signal_too_weak,,not_applicable,not_applicable,,0,0,weak_or_noisy,262144,38,0,6,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred."
RS556-c6471f5be92c87a3faa1,TS4L-46b6a28caf64fa601b84,lane_2,tier_c,verification_ready_medium,https://www.pa.gov/content/dam/copapwp-pagov/en/dli/documents/individuals/labor-management-relations/plrb/fact-finding/2014/documents/city%20of%20york%20pera-f-13-325-e.pdf,Pennsylvania Labor Relations Board — Fact-Finding Report — City of York and Teamsters Local 776 (Case No. PERA-F-13-325-E) (Fact Finding; year 2014 folder),York,PA,Northeast,safety_and_non_safety_bargaining_units,Teamsters (Local Union No. 776),Teamsters Local Union No. 776,Fact-finding report document (case PERA-F-13-325-E; in 2014 fact-finding document folder),,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"City of York, York County, Pennsylvania (match)",Likely within 2014-2024 target window (in 2014 fact-finding folder; specific bargaining cycle dates not stated in search snippet),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,473034,422056407bb2ff26a99580d8f1e01e68d03408d30058b2801acc9bd35296ba7e,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-c6471f5be92c87a3faa1.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:39:17Z,integrity_pass,needs_review,pdf_encrypted_or_locked,6,true,unknown,1.6,0,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred."
RS556-cf45de5422f3fa9b69de,TS4L-f5b7a7e84d6ac7c610de,lane_2,tier_c,verification_ready_low,https://www.scribd.com/doc/315304888/Fact-Finders-Report-Greater-Egg-Harbor-pdf,Fact Finders Report - Greater Egg Harbor (document hosted on Scribd; includes Notice of Impasse language in snippet),Egg Harbor,NJ,Northeast,safety_and_non_safety_bargaining_units,education (greater egg harbor education association fact-finding/impasse context),Greater Egg Harbor Education Association (as indicated by the document title/snippet),Appears to be fact-finding related to an impasse; likely within 2014-2024 window (document age suggests mid-2010s).,,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,Implied Greater Egg Harbor / Egg Harbor Township area (not explicitly confirmed in the locator snippet).,Unknown from snippet alone; appears to fall within target decade based on the hosted document’s stated timeframe.,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,text/html,.html,1215395,1c4bac7c580aeeb0fc14597cf04fe213123d9798f6a64295def1e781ccd90001,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-cf45de5422f3fa9b69de.html,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:40:11Z,integrity_pass,needs_review,html_visible_text_signal_too_weak,,not_applicable,not_applicable,,0,0,weak_or_noisy,262144,55,0,6,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred."
RS556-d0bbff807bd63195e1da,TS4L-dcb25fe59e09d3a9618b,lane_2,tier_c,verification_ready_medium,https://www.paauditor.gov/wp-content/uploads/audits-archive/Media/Default/Reports/MunWhitehallTwpPPP030420.pdf,"Whitehall Township Police Pension Plan - Lehigh County (Audit Period January 1, 2015 to December 31, 2018) - PA Auditor General (includes statement about Act 111 arbitration scheduled for April 29, 2020)",Whitehall,PA,Northeast,safety_and_non_safety_bargaining_units,Police (uniformed public safety),Whitehall Police Bargaining Committee / Whitehall Police Bargaining Unit (as referenced in document),"Audit period stated as January 1, 2015 to December 31, 2018; arbitration scheduling reference April 29, 2020",2020-01-01,2020-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"high_confidence_match (Whitehall Township, PA)","partial_overlap_with_2014_2024 (April 29, 2020 reference)",verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,400833,107ae86bf7e6054eb694237af17dec95614ceaebbe9ff3c0d4a7e47e0f612615,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-d0bbff807bd63195e1da.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:40:03Z,integrity_pass,needs_review,pdf_encrypted_or_locked,19,true,unknown,1.6,0,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred."
RS556-f58cc9d8982900683279,TS4L-d455e60b21f29338ea54,lane_2,tier_c,verification_ready_medium,https://www.pa.gov/content/dam/copapwp-pagov/en/dli/documents/individuals/labor-management-relations/plrb/final-orders/2015/documents/middletown%20borough%20pf-c-13-109-e.pdf,Commonwealth of Pennsylvania PLRB Final Order PDF — “middletown borough pf-c-13-109-e”,Middletown,PA,Northeast,safety_and_non_safety_bargaining_units,public_safety (police),not_identified_in_locator_snippet,2015 (final order year; underlying negotiation/arbitration/impasse period not specified in locator snippet),,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,middletown_borough_PA — exact match in filename,overlaps_2014_2024 (final order within range),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,retained_downloaded_source,downloaded_retained,application/pdf,.pdf,170787,3ca2b6031063a7e0df0e2b8bf0f8bcb97d63840649f48c096c3e3cae8c74ae06,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-f58cc9d8982900683279.pdf,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T14:40:01Z,integrity_pass,needs_review,pdf_encrypted_or_locked,11,true,unknown,1.6,0,0,not_applicable,0,0,0,0,reviewed_local_file_metadata_only,"No URL open, download, OCR, rendering, saved page text, evidence extraction, rating, ingestion, codification, model analysis, or causal work occurred."
