run_id,state,municipality,municipality_id,unit_type,union_name,employer,document_title,contract_years,source_url,source_owner,source_owner_type,document_type,candidate_stage,document_completeness,visible_year_evidence,overlap_with_anchor_cycle,duplicate_risk,blocked_or_unreadable_flag,cycle_match_notes,comparator_role,wrong_employer_risk,context_only_flag,needs_verification_reason,triad_value,provenance_score,likely_ingest_priority,why_relevant,confidence,raw_response_ref,verification_status,promotion_status
all_2026-07-22_164144,OK,Oklahoma City,cog_2025_209170,police,"Fraternal Order of Police (FOP), Lodge 123",CITY OF OKLAHOMA CITY,"FOP, LODGE 123 COLLECTIVE BARGAINING AGREEMENT FY ’23-‘25",2023-2025,https://www.fop123okc.com/wp-content/uploads/2023/10/2023-2025-CBA.pdf,,union,cba,qualifying_candidate,full_document,duration_clause,no_anchor_supplied,none,no,"Contract term stated in operative duration language: effective July 1, 2023 through June 30, 2025.",safety_target,possible,no,"Scout lead only: confirm the PDF cover/title page explicitly lists the parties as City of Oklahoma City and FOP Lodge 123, and confirm included wage tables/schedules match the intended OKC police unit in later in-depth review.",low,48,medium,Authoritative municipal labor agreement for the City of Oklahoma City’s police bargaining unit with a clearly stated multi-year term overlapping the 2014-2024 window (via overlap with 2023-2024).,medium,tmp/tier1_coordinator_150row_serial_live_after_diag_direct_sdk_2026-07-22_attempt1/raw_outputs.csv#identifier=gabriel_state_source_scout_all_2026-07-22_164144_cog_2025_209170,unverified,raw_model_output
all_2026-07-22_164144,OR,Portland,or_portland,police,Portland Police Association (PPA),CITY OF PORTLAND,"LABOR AGREEMENT between the PORTLAND POLICE ASSOCIATION and the CITY OF PORTLAND (July 1, 2021 through June 30, 2025)",2021-2025,https://www.portland.gov/bhr/employee-relations/labor-relations/documents/cop-2021-2025-collective-bargaining-agreement-ppa/download,,city,cba,qualifying_candidate,full_document,cover_or_title,overlap,none,no,"CBA term shown on cover as July 1, 2021 through June 30, 2025 (overlaps 2014-2024 by starting within the anchor window).",safety_target,none,no,"Scout-stage lead only; must later verify bargaining unit scope for sworn police classifications, confirm wage schedule portions, and confirm cycle overlap details in operative text.",high,81,high,"Authoritative, employer-specific wage-setting contract for Portland sworn police bargaining unit (police target).",high,tmp/tier1_coordinator_150row_serial_live_after_diag_direct_sdk_2026-07-22_attempt1/raw_outputs.csv#identifier=gabriel_state_source_scout_all_2026-07-22_164144_or_portland,unverified,raw_model_output
all_2026-07-22_164144,OR,Portland,or_portland,police,Portland Police Association (PPA),CITY OF PORTLAND,City of Portland Labor Agreement with Portland Police Association 2016-2020,2016-2020,https://www.portland.gov/bhr/employee-relations/documents/portland-police-association-ppa-2016-2020/download,,city,cba,qualifying_candidate,full_document,cover_or_title,overlap,possible,no,Bargaining cycle years shown in title as 2016-2020 (overlaps 2014-2024). Later review needed to confirm exact operative duration clause years if they differ from title.,safety_target,none,no,Scout-stage lead only; must later verify contract term in the duration clause and extract wage-setting provisions/schedule relevant to 2014-2024 overlaps.,high,66,high,Employer-specific police CBA document suitable for identifying historical wage-setting terms and cycles overlapping 2014-2024.,medium,tmp/tier1_coordinator_150row_serial_live_after_diag_direct_sdk_2026-07-22_attempt1/raw_outputs.csv#identifier=gabriel_state_source_scout_all_2026-07-22_164144_or_portland,unverified,raw_model_output
all_2026-07-22_164144,OR,Portland,or_portland,fire,"Portland Fire Fighters' Association (PFFA), IAFF Local 43",CITY OF PORTLAND,"LABOR AGREEMENT between THE CITY OF PORTLAND and THE PORTLAND FIRE FIGHTERS' ASSOCIATION IAFF LOCAL 43 (July 1, 2019 - June 30, 2023)",2019-2023,https://www.portland.gov/bhr/employee-relations/labor-relations/documents/cop-2019-2023-collective-bargaining-agreement-0/download,,city,cba,qualifying_candidate,full_document,cover_or_title,overlap,none,no,"CBA term shown on cover as July 1, 2019 through June 30, 2023 (overlaps 2014-2024).",safety_target,none,no,"Scout-stage lead only; must later confirm wage/salary schedule location (e.g., schedule/attachment) and ensure fire unit identity matches Portland sworn firefighters bargaining unit.",high,81,high,Employer-specific fire CBA (fire target allowed because exact employer is CITY OF PORTLAND).,high,tmp/tier1_coordinator_150row_serial_live_after_diag_direct_sdk_2026-07-22_attempt1/raw_outputs.csv#identifier=gabriel_state_source_scout_all_2026-07-22_164144_or_portland,unverified,raw_model_output
all_2026-07-22_164144,OR,Portland,or_portland,non_safety,Laborers' International Union of North America (LiUNA) Local 483,CITY OF PORTLAND,City of Portland - LiUNA Local 483 Labor Agreement 07-01-2022 to 06-30-2026,2022-2026,https://www.portland.gov/bhr/employee-relations/labor-relations/documents/2022-2026-collective-bargaining-agreement-laborers/download,,city,cba,qualifying_candidate,full_document,cover_or_title,overlap,none,no,"Title shows 07-01-2022 to 06-30-2026 (overlaps 2014-2024 by starting within the anchor window). Must later verify that the bargaining unit is an ordinary non-safety unit (e.g., not a safety/police/fire unit) and extract wage schedule/compensation terms.",ordinary_non_safety_comparator,none,no,"Scout-stage lead only; must later confirm unit identity is ordinary municipal/civilian (clerical/admin/public works/sanitation/library-type where available) versus any safety-adjacent classification, and extract authoritative wage-setting schedule terms.",high,88,high,Ordinary non-safety municipal wage-setting source for CITY OF PORTLAND during a 2014-2024-overlapping cycle.,medium,tmp/tier1_coordinator_150row_serial_live_after_diag_direct_sdk_2026-07-22_attempt1/raw_outputs.csv#identifier=gabriel_state_source_scout_all_2026-07-22_164144_or_portland,unverified,raw_model_output
all_2026-07-22_164144,WI,Milwaukee,cog_2025_136562,police,"Milwaukee Police Association, Local #21 (I.U.P.A., AFL-CIO)",CITY OF MILWAUKEE,"AGREEMENT Between CITY OF MILWAUKEE and THE MILWAUKEE POLICE ASSOCIATION, LOCAL #21, I.U.P.A., AFL-CIO",2018-2019,https://city.milwaukee.gov/ImageLibrary/User/jkamme/LaborContracts/18-19MPALABORAGREEMENT2.pdf,,city,cba,qualifying_candidate,full_document,cover_or_title,overlap,none,no,"Cycle evidenced on document cover: EFFECTIVE JANUARY 1, 2018 THROUGH DECEMBER 31, 2019.",safety_target,none,no,"Scout-stage lead only: must later verify employer/unit scope (police bargaining unit coverage) and wage-setting clauses/mechanism, plus arbitration/impasse/factfinding content and any compensation-plan/wage schedule attachments.",medium,81,high,Municipal police CBA for City of Milwaukee (direct wage-setting and labor relations mechanisms expected within the contract).,high,tmp/tier1_coordinator_150row_serial_live_after_diag_direct_sdk_2026-07-22_attempt1/raw_outputs.csv#identifier=gabriel_state_source_scout_all_2026-07-22_164144_cog_2025_136562,unverified,raw_model_output
all_2026-07-22_164144,WI,Milwaukee,cog_2025_136562,police,"Milwaukee Police Association, Local #21 (I.U.P.A., AFL-CIO)",CITY OF MILWAUKEE,"AGREEMENT Between CITY OF MILWAUKEE and THE MILWAUKEE POLICE ASSOCIATION, LOCAL #21, I.U.P.A., AFL-CIO",2020-2022,https://city.milwaukee.gov/ImageLibrary/Groups/derAuthors/Policies/2020-2023MPALaborAgreement.pdf,,city,cba,qualifying_candidate,full_document,cover_or_title,overlap,none,no,"Cycle evidenced on document cover: EFFECTIVE JANUARY 1, 2020 THROUGH DECEMBER 31, 2022.",safety_target,none,no,"Scout-stage lead only: must later verify wage-setting provisions, and confirm bargaining unit identity matches sworn police coverage; also check for any attachments/schedules and whether arbitration/impasse/factfinding or wage implementation language is present.",medium,81,high,Municipal police CBA for City of Milwaukee covering an anchor-window period (2014-2024 overlap).,high,tmp/tier1_coordinator_150row_serial_live_after_diag_direct_sdk_2026-07-22_attempt1/raw_outputs.csv#identifier=gabriel_state_source_scout_all_2026-07-22_164144_cog_2025_136562,unverified,raw_model_output
all_2026-07-22_164144,WI,Milwaukee,cog_2025_136562,fire,"Milwaukee Professional Fire Fighters' Association, Local #215 (IAFF, AFL-CIO)",CITY OF MILWAUKEE,"AGREEMENT BETWEEN CITY OF MILWAUKEE and MILWAUKEE PROFESSIONAL FIRE FIGHTERS' ASSOCIATION, LOCAL #215, IAFF, AFL-CIO",2017-2020,https://city.milwaukee.gov/ImageLibrary/User/jkamme/LaborContracts/Lo21517-20LaborContract.pdf,,city,cba,qualifying_candidate,full_document,cover_or_title,overlap,none,no,"Cycle evidenced on document cover: EFFECTIVE JANUARY 1, 2017 THROUGH DECEMBER 31, 2020.",safety_target,none,no,Scout-stage lead only: must later verify fire bargaining unit scope (firefighters) and locate authoritative wage-setting clauses/mechanisms; also check for dispute resolution/impasse or any factfinding language relevant to wage changes.,medium,81,high,Municipal fire CBA for City of Milwaukee (allowed only because the employer is the exact City of Milwaukee).,high,tmp/tier1_coordinator_150row_serial_live_after_diag_direct_sdk_2026-07-22_attempt1/raw_outputs.csv#identifier=gabriel_state_source_scout_all_2026-07-22_164144_cog_2025_136562,unverified,raw_model_output
all_2026-07-22_164144,WI,Milwaukee,cog_2025_136562,fire,"Milwaukee Professional Fire Fighters' Association, Local #215 (IAFF, AFL-CIO)",CITY OF MILWAUKEE,"AGREEMENT BETWEEN CITY OF MILWAUKEE and MILWAUKEE PROFESSIONAL FIRE FIGHTERS' ASSOCIATION, LOCAL #215, IAFF, AFL-CIO",2021-2022,https://city.milwaukee.gov/ImageLibrary/Groups/derAuthors/Policies/Lo2152021_LaborAgreement.pdf,,city,cba,qualifying_candidate,full_document,cover_or_title,overlap,none,no,"Cycle evidenced on document cover: EFFECTIVE JANUARY 1, 2021 THROUGH DECEMBER 31, 2022.",safety_target,none,no,Scout-stage lead only: must later confirm whether this cycle contains binding wage schedules/compensation changes and check dispute resolution language relevant to compensation during the term.,medium,81,high,Municipal fire CBA for City of Milwaukee within the 2014-2024 anchor window.,high,tmp/tier1_coordinator_150row_serial_live_after_diag_direct_sdk_2026-07-22_attempt1/raw_outputs.csv#identifier=gabriel_state_source_scout_all_2026-07-22_164144_cog_2025_136562,unverified,raw_model_output
all_2026-07-22_164144,GA,Atlanta,cog_2025_194678,fire,Atlanta Professional Firefighters (IAFF Local 134),CITY OF ATLANTA,"Collective Bargaining Agreement Between The City of Atlanta and the Atlanta Professional Firefighters, IAFF Local 134",unclear,https://atlantaciviccircle.org/wp-content/uploads/2026/03/Local-134-Filed-Complaint-with-Exhibits-1-8.pdf,,third_party,cba,qualifying_candidate,full_document,duration_clause,non_overlap_deferred,none,no,"The CBA duration clause states it terminates at the end of a 12-month period commencing after execution; the document material surrounding the CBA references ratification/adoption in 2025, which does not clearly evidence a 2014-2024 contract year cycle within the CBA title/cover or a contract-year date range visible in-title. Therefore: non-overlap deferred vs 2014-2024 preference.",safety_target,none,no,"Scout-stage only: wage-setting content (e.g., specific wage tables/schedules and numeric pay rates) is not confirmed as included/complete for the Atlanta Fire Rescue bargaining unit within the visible excerpts; further check is needed for explicit wage schedule/compensation terms and any effective-date/wage-cycle labeling.",low,21,low,"Contains an ATLANTA-CITY employer collective bargaining agreement covering firefighters (IAFF Local 134), including a duration clause and wage/compensation-related articles (e.g., pay plan and incentives), making it an authoritative municipal fire wage-setting pathway document candidate.",medium,tmp/tier1_coordinator_150row_serial_live_after_diag_direct_sdk_2026-07-22_attempt1/raw_outputs.csv#identifier=gabriel_state_source_scout_all_2026-07-22_164144_cog_2025_194678,unverified,raw_model_output
