run_id,state,municipality,municipality_id,unit_type,union_name,employer,document_title,contract_years,source_url,source_owner,source_owner_type,document_type,candidate_stage,document_completeness,visible_year_evidence,overlap_with_anchor_cycle,duplicate_risk,blocked_or_unreadable_flag,cycle_match_notes,comparator_role,wrong_employer_risk,context_only_flag,needs_verification_reason,triad_value,provenance_score,likely_ingest_priority,why_relevant,confidence,raw_response_ref,verification_status,promotion_status
ny_2026-07-20_200033,NY,Buffalo,ny_buffalo,fire,"Buffalo Professional Firefighters Association, Local 282, IAFF, AFL-CIO",City of Buffalo,"Memorandum of Agreement between the City of Buffalo and the Buffalo Professional Firefighters Association, Local 282, IAFF, AFL-CIO (successor Collective Bargaining Agreement)","July 1, 2017 to June 30, 2025",https://www.seethroughny.net/contracts/CityofBuffalo_F_moa_2025.pdf,,third_party,cba,qualifying_candidate,full_document,cover_or_title,no_anchor_supplied,none,no,"Operative term shown as July 1, 2017 through June 30, 2025. This visibly overlaps 2014-2024 window (covers 2017-2024).",safety_target,possible,no,Third-party hosting (SeeThroughNY). Must verify Buffalo employer identity and that this document is the City of Buffalo labor agreement for the relevant unit without substitutions.,medium,46,medium,Fire/safety municipal wage-setting document with visible operative years that overlaps the requested 2014-2024 cycle window.,medium,tmp/gabriel_state_source_scout/NY/national_batch01_ny25_live_direct_sdk_2026-07-20/raw_outputs.csv#identifier=gabriel_state_source_scout_ny_2026-07-20_200033_ny_buffalo,unverified,raw_model_output
ny_2026-07-20_200033,NY,Buffalo,ny_buffalo,police,Buffalo Police Benevolent Association (PBA),City of Buffalo,"Buffalo Fiscal Stability Authority Board Packet (Tentative Agreement between City of Buffalo and Buffalo Police Benevolent Association) — December 28, 2023","July 1, 2021 to June 30, 2025",https://bfsa.ny.gov/system/files/documents/2024/01/1.11.24-board-packet.pdf,,state_labor_board,meeting_minutes,insufficient_candidate,summary_only,duration_clause,no_anchor_supplied,none,no,"Document is a BFSA board packet letter/summary describing tentative CBA terms (salary increases, longevity, residency). It does not clearly provide the full executed police CBA text/attachments as a standalone contract document (insufficient for full comparator use under 'full CBA' standard).",safety_target,possible,yes,"Must verify that the tentative agreement contents correspond to the actual City of Buffalo police bargaining unit (and Census government ID match) and, if needed, locate the full executed CBA or attached wage schedule/arbitration award document referenced by the packet.",medium,16,low,Public wage-setting mechanism material for police bargaining during FY 2021-2025 with visible operative years that overlaps 2014-2024 window (covers 2021-2024).,low,tmp/gabriel_state_source_scout/NY/national_batch01_ny25_live_direct_sdk_2026-07-20/raw_outputs.csv#identifier=gabriel_state_source_scout_ny_2026-07-20_200033_ny_buffalo,unverified,raw_model_output
ny_2026-07-20_200033,NY,Rochester,ny_rochester,police,"Rochester Police Locust Club, Inc.","City of Rochester, New York",PLC CBA 2019-2024,2019-2024,https://www.cityofrochester.gov/sites/default/files/2024-06/PLC%20CBA%202019-2024.pdf,,city,cba,qualifying_candidate,full_document,cover_or_title,no_anchor_supplied,none,no,Visible operative contract cycle evidence appears on title/cover: 2019-2024. Anchor cycle not supplied; treated as within 2014-2024 range by visible years.,safety_target,possible,no,Needs confirmation that this PDF is for the CITY OF ROCHESTER bargaining unit with Census government ID 131239 and that the bargaining unit identity matches the intended police unit definition; also verify exact operative dates/paid-unit scope during 2014-2024 overlap.,high,66,high,Police CBA (safety) with visible contract cycle overlapping the 2014-2024 window requested for comparison-repair scouting.,high,tmp/gabriel_state_source_scout/NY/national_batch01_ny25_live_direct_sdk_2026-07-20/raw_outputs.csv#identifier=gabriel_state_source_scout_ny_2026-07-20_200033_ny_rochester,unverified,raw_model_output
ny_2026-07-20_200033,NY,Rochester,ny_rochester,police,"Rochester Police Locust Club, Inc.","City of Rochester, New York",PLC CBA 7.1.24-6.30.28,2024-2028,https://www.cityofrochester.gov/sites/default/files/2024-10/PLC%20CBA%207.1.24-6.30.28.pdf,,city,cba,qualifying_candidate,full_document,cover_or_title,no_anchor_supplied,possible,no,"Visible contract period on title/cover: July 1, 2024 to June 30, 2028. This overlaps the requested 2014-2024 window only at the year 2024; anchor cycle not supplied.",safety_target,possible,no,Needs verification that the document corresponds to the CITY OF ROCHESTER (Census government ID 131239) police bargaining unit and that operative start/end aligns with paid-unit coverage for 2024 overlap.,high,51,medium,Follow-on police CBA beginning in 2024 to support spotting continuity/shift in wage-setting mechanisms around the 2014-2024 period.,high,tmp/gabriel_state_source_scout/NY/national_batch01_ny25_live_direct_sdk_2026-07-20/raw_outputs.csv#identifier=gabriel_state_source_scout_ny_2026-07-20_200033_ny_rochester,unverified,raw_model_output
ny_2026-07-20_200033,NY,Rochester,ny_rochester,fire,"Rochester Fire Fighters Association, Local 1071, IAFF, AFL-CIO, Inc.","City of Rochester, New York",IAFF CBA 7.1.21-6.30.26,2021-2026,https://www.cityofrochester.gov/sites/default/files/2024-06/IAFF%20CBA%207.1.21-6.30.26.pdf,,city,cba,qualifying_candidate,full_document,cover_or_title,no_anchor_supplied,none,no,"Visible contract cycle evidence appears on title/cover: July 1, 2021 to June 30, 2026. This overlaps the requested 2014-2024 window during 2021-2024; anchor cycle not supplied.",safety_target,possible,no,"Needs confirmation that the IAFF Local 1071 document is specifically for uniformed firefighters (fire bargaining unit) for the CITY OF ROCHESTER bargaining unit tied to Census government ID 131239, and that wage/arbitration/factfinding or impasse mechanisms are actually applicable for the intended bargaining unit.",high,66,high,"Fire (safety) CBA with visible contract years overlapping 2014-2024, suitable for matched comparison repair scouting.",high,tmp/gabriel_state_source_scout/NY/national_batch01_ny25_live_direct_sdk_2026-07-20/raw_outputs.csv#identifier=gabriel_state_source_scout_ny_2026-07-20_200033_ny_rochester,unverified,raw_model_output
ny_2026-07-20_200033,NY,Rochester,ny_rochester,non_safety,"AFSCME, Local 1635","City of Rochester, New York","AFSCME Local 1635 Full-time Employees July 1, 2022 to June 30, 2027",2022-2027,https://www.cityofrochester.gov/sites/default/files/2025-08/AFSME%20Local%201635%20Full-time%20Employees%20-%20July%201%2C%202022%20to%20June%2030%2C%202027.pdf,,city,cba,qualifying_candidate,full_document,cover_or_title,no_anchor_supplied,none,no,"Visible contract cycle evidence appears on title/cover: July 1, 2022 to June 30, 2027. This overlaps the requested 2014-2024 window during 2022-2024; anchor cycle not supplied.",ordinary_non_safety_comparator,possible,no,Needs verification that this bargaining unit is ordinary/general municipal non-safety (not public safety) and belongs to CITY OF ROCHESTER Census government ID 131239; also verify wage-setting and any arbitration/factfinding/impasse mechanism provisions for the intended comparison repair.,high,73,high,Ordinary municipal non-safety CBA with visible years overlapping 2014-2024 for non-safety comparator repair scouting.,medium,tmp/gabriel_state_source_scout/NY/national_batch01_ny25_live_direct_sdk_2026-07-20/raw_outputs.csv#identifier=gabriel_state_source_scout_ny_2026-07-20_200033_ny_rochester,unverified,raw_model_output
ny_2026-07-20_200033,NY,Syracuse,ny_syracuse,police,Syracuse Police Benevolent Association (PBA),City of Syracuse,2018-2019 Interest Arbitration Award (PBA) (City of Syracuse v Syracuse Police Benevolent Association),2018-2019,https://www.syr.gov/files/sharedassets/public/v/1/departments/police/documents/pba-contracts/pba-arbitration-award.pdf,,city,arbitration_award,qualifying_candidate,partial_document,index_or_snippet_only,no_anchor_supplied,none,no,Contract years provided by the City PBA-Contracts index label (2018-2019). The PDF text was not retrievable for year-string confirmation via this tool run; thus year evidence is weak but the document is indexed as an arbitration award for that cycle.,safety_target,possible,no,Verify within the PDF cover/title text that it is executed/issued for City of Syracuse and for the specific PBA bargaining relationship; confirm cycle operative dates and wage-setting portions.,high,56,medium,Directly supports the police safety comparator request via a municipally posted interest arbitration award within the 2014-2024 range.,medium,tmp/gabriel_state_source_scout/NY/national_batch01_ny25_live_direct_sdk_2026-07-20/raw_outputs.csv#identifier=gabriel_state_source_scout_ny_2026-07-20_200033_ny_syracuse,unverified,raw_model_output
ny_2026-07-20_200033,NY,Syracuse,ny_syracuse,police,Syracuse Police Benevolent Association (PBA),City of Syracuse,2016-2017 Memorandum of Agreement (PBA) (City of Syracuse),2016-2017,https://www.syr.gov/files/sharedassets/public/v/1/departments/police/documents/pba-contracts/2018memorandumofagreement2016-2017.pdf,,city,memorandum_or_settlement,qualifying_candidate,partial_document,index_or_snippet_only,no_anchor_supplied,none,no,Contract years derived from the City PBA-Contracts index label (2016-2017). Year confirmation inside the PDF was not retrievable via this tool run (very short 1-page file).,safety_target,possible,no,Confirm whether this MOA contains binding wage-setting/interest-arbitration related wage terms (not only administrative/scope items) and whether the City employer identity and bargaining unit match the intended Syracuse police unit.,high,46,medium,Provides a second police-safety cycle lead in the 2014-2024 window for overlap checks and wage-setting material extraction.,low,tmp/gabriel_state_source_scout/NY/national_batch01_ny25_live_direct_sdk_2026-07-20/raw_outputs.csv#identifier=gabriel_state_source_scout_ny_2026-07-20_200033_ny_syracuse,unverified,raw_model_output
ny_2026-07-20_200033,NY,Syracuse,ny_syracuse,fire,"Syracuse Fire Fighters Association, Local 280, International Association of Fire Fighters (IAFF)",City of Syracuse,"2018-2020 LABOR AGREEMENT (City of Syracuse and Syracuse Fire Fighters Association Local 280, IAFF)",2018-2020,https://www.nyspffa.org/main/wp-content/uploads/2020/12/SYRACUSE-L-280-20.pdf,,union,cba,qualifying_candidate,full_document,cover_or_title,no_anchor_supplied,none,no,"Visible in document front matter/table and operative termination clause: effective first day of January 2018 through midnight Dec 31, 2020 (plus salary schedule appended by 2018/2019/2020 segments).",safety_target,possible,no,Verify this is for the City of Syracuse (not another “Syracuse” jurisdiction) and that the PDF is the executed CBA (signature block / city signatory) and that wage schedules are included and binding.,high,58,medium,Meets the fire CBA requirement with explicit wage schedule/salary schedule appendices and a cycle that lies within 2014-2024.,medium,tmp/gabriel_state_source_scout/NY/national_batch01_ny25_live_direct_sdk_2026-07-20/raw_outputs.csv#identifier=gabriel_state_source_scout_ny_2026-07-20_200033_ny_syracuse,unverified,raw_model_output
ny_2026-07-20_200033,NY,Syracuse,ny_syracuse,non_safety,"Civil Service Employees Association, Inc. (CSEA), Local 1000 AFSCME/AFL-CIO",City of Syracuse,"AGREEMENT by and between the CITY OF SYRACUSE and CSEA, INC. LOCAL 1000 AFSCME/AFL-CIO, City of Syracuse Unit 7801-00 (January 1, 2018-December 31, 2020)",2018-2020,https://csealocal834.org/wp-content/uploads/2019/09/A-6.5.19-Syracuse-City-of-2018-2020-final_.pdf,,union,cba,qualifying_candidate,full_document,cover_or_title,no_anchor_supplied,none,no,"Cover/title and the agreement term show January 1, 2018-December 31, 2020; salary schedule appendices are present for 2019 and 2020.",ordinary_non_safety_comparator,possible,no,Confirm that Unit 7801-00 corresponds to the intended non-safety bargaining unit for the City of Syracuse (Census government ID 170582) and extract the operative wage-setting language and any salary schedule terms.,high,65,high,"Provides the requested ordinary general-municipal (non-safety) CBA comparator cycle within 2014-2024, with wage schedules/compensation appendices for matched-comparison repair work.",medium,tmp/gabriel_state_source_scout/NY/national_batch01_ny25_live_direct_sdk_2026-07-20/raw_outputs.csv#identifier=gabriel_state_source_scout_ny_2026-07-20_200033_ny_syracuse,unverified,raw_model_output
