run_id,state,municipality,municipality_id,unit_type,union_name,employer,document_title,contract_years,source_url,source_owner,source_owner_type,document_type,triad_value,provenance_score,likely_ingest_priority,why_relevant,confidence,raw_response_ref,verification_status,promotion_status
pa_2026-07-15_101602,PA,Reading,pa_reading,police,Reading Lodge #9 Fraternal Order of Police,,FOP Collective Bargaining Agreement,,https://codelibrary.amlegal.com/codes/readingpa/218e32b1-8100-4be2-b681-e7528852cb2f/readingordres2018/f_o_p__collective__bargaining__agreement,,third_party,cba,high,33,low,,high,tmp/gabriel_state_source_scout/PA/2026-07-15_timeout_stress_test/raw_outputs.csv#identifier=gabriel_state_source_scout_pa_2026-07-15_101602_pa_reading,unverified,raw_model_output
pa_2026-07-15_101602,PA,Reading,pa_reading,police,F.O.P. Lodge 9,,Ratifying Collective Bargaining Agreement F.O.P. Lodge 9,,https://codelibrary.amlegal.com/codes/readingpa/45075128-5749-4340-aac9-0f986a5b7ffe/readingordres2022/ratifying__collective__bargaining__agreement__f__o__p___lodge_9,,third_party,unknown,high,18,low,,low,tmp/gabriel_state_source_scout/PA/2026-07-15_timeout_stress_test/raw_outputs.csv#identifier=gabriel_state_source_scout_pa_2026-07-15_101602_pa_reading,unverified,raw_model_output
pa_2026-07-15_101602,PA,Reading,pa_reading,fire,I.A.F.F. Local 1803,,Ratifying Collective Bargaining Agreement with I.A.F.F. Local 1803,,https://codelibrary.amlegal.com/codes/readingpa/45075128-5749-4340-aac9-0f986a5b7ffe/readingordres2022/ratifying__collective__bargaining__agreement_with__i__a__f__f___local_1803,,third_party,unknown,high,18,low,,low,tmp/gabriel_state_source_scout/PA/2026-07-15_timeout_stress_test/raw_outputs.csv#identifier=gabriel_state_source_scout_pa_2026-07-15_101602_pa_reading,unverified,raw_model_output
pa_2026-07-15_101602,PA,Reading,pa_reading,non_safety,"American Federation of State, County and Municipal Employees (AFSCME) District Council 88, Local 3799",,"COLLECTIVE BARGAINING AGREEMENT BETWEEN THE CITY OF READING, PENNSYLVANIA AND THE AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO DISTRICT COUNCIL 88, LOCAL 3799",,https://www.readingpa.gov/images/City_Council_regular_agenda/10-10-22v2.pdf,,city,cba,high,60,medium,,high,tmp/gabriel_state_source_scout/PA/2026-07-15_timeout_stress_test/raw_outputs.csv#identifier=gabriel_state_source_scout_pa_2026-07-15_101602_pa_reading,unverified,raw_model_output
pa_2026-07-15_101602,PA,Bethlehem,pa_bethlehem,police,Fraternal Order of Police (FOP) Star Lodge #20,,"Police Department Recruitment - ""Why Bethlehem Police"" (notes FOP contractual benefits valid through 12/31/2026)",,https://www.bethlehem-pa.gov/police/recruitment/why-bethlehem-police/,,city,context_only,high,18,low,,medium,tmp/gabriel_state_source_scout/PA/2026-07-15_timeout_stress_test/raw_outputs.csv#identifier=gabriel_state_source_scout_pa_2026-07-15_101602_pa_bethlehem,unverified,raw_model_output
pa_2026-07-15_101602,PA,Bethlehem,pa_bethlehem,police,Fraternal Order of Police (FOP) Star Lodge #20,,Ordinance - ARTICLE 153 (Police Pension Fund; references terms governed by collective bargaining agreement between City and FOP Star Lodge #20),,https://www.bethlehem-pa.gov/CityOfBethlehem/media/Ordinance-PDFs/ARTICLE0153.pdf?ext=.pdf,,city,context_only,high,33,low,,high,tmp/gabriel_state_source_scout/PA/2026-07-15_timeout_stress_test/raw_outputs.csv#identifier=gabriel_state_source_scout_pa_2026-07-15_101602_pa_bethlehem,unverified,raw_model_output
pa_2026-07-15_101602,PA,Bethlehem,pa_bethlehem,fire,International Association of Fire Fighters (IAFF) Local 735,,Fire Department Recruitment - Fire Application Packet 2025 (Appendix 3: Compensation and Benefits; references contract agreement with IAFF Local 735),,https://www.bethlehem-pa.gov/CityOfBethlehem/media/BFDMedia/Recruitment/Fire-Application-Packet-2025.pdf,,city,context_only,high,33,low,,medium,tmp/gabriel_state_source_scout/PA/2026-07-15_timeout_stress_test/raw_outputs.csv#identifier=gabriel_state_source_scout_pa_2026-07-15_101602_pa_bethlehem,unverified,raw_model_output
pa_2026-07-15_101602,PA,Bethlehem,pa_bethlehem,fire,International Association of Fire Fighters (IAFF) Local 735,,Ordinance - ARTICLE 151 (Firemen’s Pension Fund; references terms governed by collective bargaining agreement with IAFF Local 735),,https://devarchive.bethlehem-pa.gov/ordinance/pdf/ARTICLE0151.pdf,,city,context_only,high,33,low,,high,tmp/gabriel_state_source_scout/PA/2026-07-15_timeout_stress_test/raw_outputs.csv#identifier=gabriel_state_source_scout_pa_2026-07-15_101602_pa_bethlehem,unverified,raw_model_output
pa_2026-07-15_101602,PA,Bethlehem,pa_bethlehem,non_safety,SEIU Local 32BJ (Mid-Atlantic District) (as referenced in document),,SEIU Labor Contract Settlement (Finance Committee transfer/settlement document; references SEIU contract terms running 2025-2028 after 2022-2024),,https://www.bethlehem-pa.gov/getattachment/Calendar/Meetings/2025/Committee-Meetings/395/17-Resolution-SEIU-TAMS-Salary.pdf.aspx?lang=en-US,,city,context_only,high,25,low,,medium,tmp/gabriel_state_source_scout/PA/2026-07-15_timeout_stress_test/raw_outputs.csv#identifier=gabriel_state_source_scout_pa_2026-07-15_101602_pa_bethlehem,unverified,raw_model_output
pa_2026-07-15_101602,PA,Bethlehem,pa_bethlehem,non_safety,SEIU Local 32BJ (Mid-Atlantic District) (as referenced in document),,Financial Statements 2024 (Notes; references SEIU Local 32BJ Mid-Atlantic District collective bargaining agreement articles),,https://www.bethlehem-pa.gov/CityOfBethlehem/media/AdminMediaFolder/Audits/COB-Financial-Statements-2024.pdf,,city,context_only,high,40,medium,,low,tmp/gabriel_state_source_scout/PA/2026-07-15_timeout_stress_test/raw_outputs.csv#identifier=gabriel_state_source_scout_pa_2026-07-15_101602_pa_bethlehem,unverified,raw_model_output
pa_2026-07-15_101602,PA,Harrisburg,pa_harrisburg,police,Fraternal Order of Police (FOP) Capital City Lodge No. 12,,2020-2025 Collective Bargaining Agreement between the City of Harrisburg and the Fraternal Order of Police Capital City Lodge No. 12,,https://ecode360.com/HA1391/document/517728933.pdf,,third_party,cba,high,33,low,,high,tmp/gabriel_state_source_scout/PA/2026-07-15_timeout_stress_test/raw_outputs.csv#identifier=gabriel_state_source_scout_pa_2026-07-15_101602_pa_harrisburg,unverified,raw_model_output
pa_2026-07-15_101602,PA,Harrisburg,pa_harrisburg,police,Fraternal Order of Police (FOP) Capital City Lodge No. 12,,Second Amendment to the Collective Bargaining Agreement between the City of Harrisburg and Fraternal Order of Police Capital City Lodge No. 12,,https://harrisburgcitycontroller.com/wp-content/uploads/2010/01/FOP-Contract-Amendment.pdf,,city,cba,high,53,medium,,medium,tmp/gabriel_state_source_scout/PA/2026-07-15_timeout_stress_test/raw_outputs.csv#identifier=gabriel_state_source_scout_pa_2026-07-15_101602_pa_harrisburg,unverified,raw_model_output
pa_2026-07-15_101602,PA,Harrisburg,pa_harrisburg,fire,International Association of Fire Fighters (IAFF),,FIRST AMENDMENT TO THE BASIC LABOR AGREEMENT,,https://cms2.revize.com/revize/harrisburgpa/Documents/Services/City%20Controller/International-Association-to-Fire-Fighters-IAFF.pdf,,city,cba,high,53,medium,,high,tmp/gabriel_state_source_scout/PA/2026-07-15_timeout_stress_test/raw_outputs.csv#identifier=gabriel_state_source_scout_pa_2026-07-15_101602_pa_harrisburg,unverified,raw_model_output
pa_2026-07-15_101602,PA,Harrisburg,pa_harrisburg,fire,International Association of Fire Fighters (IAFF),,Second Amendment to the Basic Labor Agreement,,https://harrisburgcitycontroller.com/wp-content/uploads/2010/01/Second-Amendment-to-IAFF-Contract.pdf,,city,cba,high,53,medium,,medium,tmp/gabriel_state_source_scout/PA/2026-07-15_timeout_stress_test/raw_outputs.csv#identifier=gabriel_state_source_scout_pa_2026-07-15_101602_pa_harrisburg,unverified,raw_model_output
