run_id,state,municipality,municipality_id,unit_type,union_name,employer,document_title,contract_years,source_url,source_owner,source_owner_type,document_type,triad_value,provenance_score,likely_ingest_priority,why_relevant,confidence,raw_response_ref,verification_status,promotion_status
pa_2026-07-15_110349,PA,Scranton,pa_scranton,police,Fraternal Order of Police (FOP),,Exp.-2021-Police-CBA.pdf,,https://www.scrantonpa.gov/docs/collectivebargainingagreements/Exp.-2021-Police-CBA.pdf,,city,cba,high,53,medium,,high,tmp/gabriel_state_source_scout/PA/2026-07-15_matrix_cell2_min_n1_s20/raw_outputs.csv#identifier=gabriel_state_source_scout_pa_2026-07-15_110349_pa_scranton,unverified,raw_model_output
pa_2026-07-15_110349,PA,Scranton,pa_scranton,police,Fraternal Order of Police (FOP),,FOP_Arbitration_Award_2023,,https://scrantonpa.gov/wp-content/uploads/2026/01/FOP_Arbitration_Award_2023.pdf,,city,arbitration_award,high,53,medium,,high,tmp/gabriel_state_source_scout/PA/2026-07-15_matrix_cell2_min_n1_s20/raw_outputs.csv#identifier=gabriel_state_source_scout_pa_2026-07-15_110349_pa_scranton,unverified,raw_model_output
pa_2026-07-15_110349,PA,Scranton,pa_scranton,fire,IAFF Local Union 60,,Fire 1.1.22 through 12.31.26 CBA – City & IAFF Local Union 60 (fully executed),,https://scrantonpa.gov/wp-content/uploads/2026/01/Fire-1.1.22-through-12.31.26-CBA-City-IAFF-Local-Union-60-fully-executed.pdf,,city,cba,high,53,medium,,high,tmp/gabriel_state_source_scout/PA/2026-07-15_matrix_cell2_min_n1_s20/raw_outputs.csv#identifier=gabriel_state_source_scout_pa_2026-07-15_110349_pa_scranton,unverified,raw_model_output
pa_2026-07-15_110349,PA,Scranton,pa_scranton,fire,IAFF Local Union 60,,IAFFLocalUnion6022-2424CBA.pdf,,https://www.scrantonpa.gov/docs/collectivebargainingagreements/IAFFLocalUnion6022-2424CBA.pdf,,city,cba,high,53,medium,,medium,tmp/gabriel_state_source_scout/PA/2026-07-15_matrix_cell2_min_n1_s20/raw_outputs.csv#identifier=gabriel_state_source_scout_pa_2026-07-15_110349_pa_scranton,unverified,raw_model_output
pa_2026-07-15_110349,PA,Scranton,pa_scranton,non_safety,Scranton SSD Local 2462 (IAM),,STO Signed CBA 2023 through 2027,,https://scrantonpa.gov/wp-content/uploads/2026/01/STO-Signed-CBA-2023-through-2027.pdf,,city,cba,high,60,medium,,medium,tmp/gabriel_state_source_scout/PA/2026-07-15_matrix_cell2_min_n1_s20/raw_outputs.csv#identifier=gabriel_state_source_scout_pa_2026-07-15_110349_pa_scranton,unverified,raw_model_output
pa_2026-07-15_110349,PA,Scranton,pa_scranton,non_safety,Unknown,,Exp.-2021-DPW-CBA.pdf,,https://www.scrantonpa.gov/docs/collectivebargainingagreements/Exp.-2021-DPW-CBA.pdf,,city,cba,high,60,medium,,medium,tmp/gabriel_state_source_scout/PA/2026-07-15_matrix_cell2_min_n1_s20/raw_outputs.csv#identifier=gabriel_state_source_scout_pa_2026-07-15_110349_pa_scranton,unverified,raw_model_output
pa_2026-07-15_110349,PA,Lancaster,pa_lancaster,fire,"International Association of Fire Fighters, Local Union No. 319",,"International Association of Fire Fighters, Local Union No. 319 v. City of Lancaster — Final Order (Case No. PF-C-21-79-E)",,https://www.pa.gov/content/dam/copapwp-pagov/en/dli/documents/individuals/labor-management-relations/plrb/final-orders/2023/documents/city-of-lancaster-pf-c-21-79-e.pdf,,state_labor_board,factfinding,low,63,medium,,high,tmp/gabriel_state_source_scout/PA/2026-07-15_matrix_cell2_min_n1_s20/raw_outputs.csv#identifier=gabriel_state_source_scout_pa_2026-07-15_110349_pa_lancaster,unverified,raw_model_output
pa_2026-07-15_110349,PA,Lancaster,pa_lancaster,fire,"International Association of Fire Fighters, Local Union 319",,"International Association of Fire Fighters, Local Union 319 v. City of Lancaster — Proposed Decision and Order (Case No. PF-C-18-43-E)",,https://www.pa.gov/content/dam/copapwp-pagov/en/dli/documents/individuals/labor-management-relations/plrb/proposed/2019/documents/city-of-lancaster-pf-c-18-43-e.pdf,,state_labor_board,context_only,low,43,medium,,medium,tmp/gabriel_state_source_scout/PA/2026-07-15_matrix_cell2_min_n1_s20/raw_outputs.csv#identifier=gabriel_state_source_scout_pa_2026-07-15_110349_pa_lancaster,unverified,raw_model_output
pa_2026-07-15_110349,PA,York,pa_york,police,"White Rose Lodge No. 15, Fraternal Order of Police",,White Rose Lodge No. 15 ▪ 2019-2022,,https://www.yorkcity.org/wp-content/uploads/2020/10/FOP-2019-2022-Union-Agreement.pdf,,city,cba,high,53,medium,,high,tmp/gabriel_state_source_scout/PA/2026-07-15_matrix_cell2_min_n1_s20/raw_outputs.csv#identifier=gabriel_state_source_scout_pa_2026-07-15_110349_pa_york,unverified,raw_model_output
pa_2026-07-15_110349,PA,York,pa_york,police,"White Rose Lodge #15, Fraternal Order of Police",,"FOP Agreement forthcoming (Resolution No. ...; attachment described as updated CBA for Jan 1, 2023–Dec 31, 2026)",,https://www.yorkcity.org/wp-content/uploads/2025/01/FOP-Bargaining-Agreement-2024-2026.pdf,,city,context_only,high,33,low,,medium,tmp/gabriel_state_source_scout/PA/2026-07-15_matrix_cell2_min_n1_s20/raw_outputs.csv#identifier=gabriel_state_source_scout_pa_2026-07-15_110349_pa_york,unverified,raw_model_output
pa_2026-07-15_110349,PA,York,pa_york,fire,"Local Union # 627, International Association of Firefighters (IAFF)",,"COLLECTIVE BARGAINING AGREEMENT BY AND BETWEEN LOCAL UNION # 627 OF THE INTERNATIONAL ASSOCIATION OF FIREFIGHTERS, AFL-CIO AND THE CITY OF YORK EFFECTIVE DATE JANUARY 1, 2018 TO DECEMBER 31, 2022",,https://www.yorkcity.org/wp-content/uploads/2017/11/IAFF-2018-2022-Collective-Bargaining-Agreement-Revised.pdf,,city,cba,high,53,medium,,high,tmp/gabriel_state_source_scout/PA/2026-07-15_matrix_cell2_min_n1_s20/raw_outputs.csv#identifier=gabriel_state_source_scout_pa_2026-07-15_110349_pa_york,unverified,raw_model_output
pa_2026-07-15_110349,PA,York,pa_york,fire,"Local Union # 627, International Association of Firefighters (IAFF)",,IAFF-2018-2022-Collective-Bargaining-Agreement-Revised (duplicate/revision document titled as collective bargaining agreement/union contract),,https://www.yorkcity.org/wp-content/uploads/2017/10/IAFF-2018-2022-Union-Contract.pdf,,city,cba,high,53,medium,,medium,tmp/gabriel_state_source_scout/PA/2026-07-15_matrix_cell2_min_n1_s20/raw_outputs.csv#identifier=gabriel_state_source_scout_pa_2026-07-15_110349_pa_york,unverified,raw_model_output
