aggregation_mode,artifact_family,logical_bytes,logical_human,allocated_entry_bytes,allocated_entry_human,file_count,overlap_note,snapshot_generated_at
primary_exclusive,artifacts_other,3728090977,3.47 GiB,3752800256,3.50 GiB,49195,Mutually exclusive; sums to the filesystem-entry total.,2026-08-07T15:30:16.438726+00:00
primary_exclusive,compact_observations,2081516662,1.94 GiB,2083622912,1.94 GiB,421,Mutually exclusive; sums to the filesystem-entry total.,2026-08-07T15:30:16.438726+00:00
primary_exclusive,docs_analysis_other,16809712604,15.66 GiB,17537204224,16.33 GiB,226838,Mutually exclusive; sums to the filesystem-entry total.,2026-08-07T15:30:16.438726+00:00
primary_exclusive,extracted_text,1416294317,1.32 GiB,1547476992,1.44 GiB,52714,Mutually exclusive; sums to the filesystem-entry total.,2026-08-07T15:30:16.438726+00:00
primary_exclusive,git_metadata,15062418352,14.03 GiB,15073140736,14.04 GiB,3744,Mutually exclusive; sums to the filesystem-entry total.,2026-08-07T15:30:16.438726+00:00
primary_exclusive,handoff_packages,136292155,129.98 MiB,136499200,130.18 MiB,77,Mutually exclusive; sums to the filesystem-entry total.,2026-08-07T15:30:16.438726+00:00
primary_exclusive,matching,3044741,2.90 MiB,3108864,2.96 MiB,23,Mutually exclusive; sums to the filesystem-entry total.,2026-08-07T15:30:16.438726+00:00
primary_exclusive,normalization,1540037734,1.43 GiB,1542688768,1.44 GiB,911,Mutually exclusive; sums to the filesystem-entry total.,2026-08-07T15:30:16.438726+00:00
primary_exclusive,original_sources,69428281552,64.66 GiB,69493424128,64.72 GiB,31878,Mutually exclusive; sums to the filesystem-entry total.,2026-08-07T15:30:16.438726+00:00
primary_exclusive,project_other,1162374931,1.08 GiB,1225101312,1.14 GiB,25767,Mutually exclusive; sums to the filesystem-entry total.,2026-08-07T15:30:16.438726+00:00
primary_exclusive,raw_fields,939220163,895.71 MiB,939331584,895.82 MiB,53,Mutually exclusive; sums to the filesystem-entry total.,2026-08-07T15:30:16.438726+00:00
primary_exclusive,raw_spans,1721433569,1.60 GiB,1723092992,1.60 GiB,591,Mutually exclusive; sums to the filesystem-entry total.,2026-08-07T15:30:16.438726+00:00
primary_exclusive,reconciliation,5514912625,5.14 GiB,5519392768,5.14 GiB,1465,Mutually exclusive; sums to the filesystem-entry total.,2026-08-07T15:30:16.438726+00:00
primary_exclusive,reports,214175681,204.25 MiB,217673728,207.59 MiB,1523,Mutually exclusive; sums to the filesystem-entry total.,2026-08-07T15:30:16.438726+00:00
primary_exclusive,tmp_caches,580543,566.94 KiB,606208,592.00 KiB,10,Mutually exclusive; sums to the filesystem-entry total.,2026-08-07T15:30:16.438726+00:00
primary_exclusive,tmp_logs,22017,21.50 KiB,118784,116.00 KiB,35,Mutually exclusive; sums to the filesystem-entry total.,2026-08-07T15:30:16.438726+00:00
