inventory_id,relative_path,artifact_family,artifact_subfamily,file_size_bytes,clean_repo_decision,source_library_decision,original_archive_decision,post_acceptance_cleanup_decision,cleanup_level,lane_id,lineage,absolute_path_hash,filename,extension,tracked_status,ignored_status,untracked_status,symlink_status,file_size_human,modified_time,created_time_if_available,SHA256_if_available,existing_hash_source,exact_duplicate_group_id,near_duplicate_group_id_if_available,canonical_source_id_if_available,task_id_if_available,source_type_if_available,municipality_if_available,state_if_available,period_if_available,original_URL_pointer_if_available,extraction_status_if_available,claim_or_report_dependency,current_use_status,superseded_status,sensitive_material_risk,machine_specific_path_risk,redistribution_risk,cleanup_priority,estimated_reclaimable_bytes,replacement_summary_path,retention_reason,exclusion_reason,unresolved_question,logical_file_count
INV-0bd25e3d9d783ba1609d,scripts/run_dashboard_fix_and_tier_c_source_review_download_556.py,dashboard,py,59685,exclude,exclude,retain,retain,none,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,
INV-02d97fe29651adfc17bf,.github/workflows/deploy-dashboard.yml,dashboard,yml,2131,exclude,exclude,retain,retain,none,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,
INV-bf8b80abcd35f25de713,docs/dashboard/src/main.jsx,dashboard,jsx,241,exclude,exclude,retain,retain,none,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,
INV-852ec6921abf589225a2,docs/dashboard/data/content_triage_status_summary.json,dashboard,json,15708,exclude,exclude,retain,retain,none,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,
INV-56f1751e2ba65919ec3b,scripts/test_tier_c_readiness_dashboard_map_update.py,dashboard,py,7426,exclude,exclude,retain,retain,none,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,
INV-87a6dbaaddf6cf4e2b63,scripts/run_live_dashboard_content_audit_fix.py,dashboard,py,36554,exclude,exclude,retain,retain,none,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,
INV-52a9b27f508391ca140e,scripts/run_tier_c_readiness_dashboard_map_update.py,dashboard,py,62049,exclude,exclude,retain,retain,none,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,
INV-86758c8522ae0f5ef6b3,docs/dashboard/data/top_priority_targets.json,dashboard,json,217464,exclude,exclude,retain,retain,none,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,
INV-9c7b9d50c510e65a25dc,docs/dashboard/data/scout_operations_summary.json,dashboard,json,12964,exclude,exclude,retain,retain,none,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,
INV-a352eae502c98aabc847,docs/dashboard/data/text_table_detection_status_summary.json,dashboard,json,12889,exclude,exclude,retain,retain,none,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,
INV-ebac4022e4dfda1b2b22,docs/dashboard/src/components/DataLimitations.jsx,dashboard,jsx,2232,exclude,exclude,retain,retain,none,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,
INV-c8320f714064139a6682,docs/dashboard/data/parallel_scout_status.json,dashboard,json,13422,exclude,exclude,retain,retain,none,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,
INV-3af23e5ad57274e5a905,docs/dashboard/scripts/build_map_asset.py,dashboard,py,4937,exclude,exclude,retain,retain,none,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,
INV-2e4cfe8fbfeb29b8dea7,docs/dashboard/package-lock.json,dashboard,json,31001,exclude,exclude,retain,retain,none,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,
INV-1eaa17271ed81c0a46e4,docs/dashboard/src/styles.css,dashboard,css,47274,exclude,exclude,retain,retain,none,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,
INV-5962ebde14fc1da58005,docs/dashboard/data/scout_runtime_trends.json,dashboard,json,14022,exclude,exclude,retain,retain,none,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,
INV-3d9aa0adff2e84a44902,docs/dashboard/src/components/README.md,dashboard,md,2017,exclude,exclude,retain,retain,none,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,
INV-9c8e6293142737686dc6,docs/dashboard/data/source_review_status_summary.json,dashboard,json,27241,exclude,exclude,retain,retain,none,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,
INV-cdbb6df45324c8fbfaa2,docs/dashboard/data/verification_status_summary.json,dashboard,json,15288,exclude,exclude,retain,retain,none,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,
INV-56ecc81f572e8ef86f71,docs/dashboard/src/components/mapMetrics.js,dashboard,js,1128,exclude,exclude,retain,retain,none,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,
INV-4ce69105eb05a50f29a3,scripts/test_dashboard_github_pages_deployment_repair.py,dashboard,py,119186,exclude,exclude,retain,retain,none,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,
INV-5fb186b36a626a0cbd4b,docs/dashboard/src/assets/us-states-2025-20m.geojson,dashboard,geojson,293563,exclude,exclude,retain,retain,none,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,
INV-bd07cd633ae1d1034beb,docs/dashboard/vite.config.js,dashboard,js,287,exclude,exclude,retain,retain,none,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,
INV-0b9d0b194696776316b5,scripts/test_dashboard_fix_and_tier_c_source_review_download_556.py,dashboard,py,15534,exclude,exclude,retain,retain,none,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,
INV-62000b4bbb3f20d0ca1b,docs/dashboard/data/pdf_readiness_status_summary.json,dashboard,json,12684,exclude,exclude,retain,retain,none,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,
