relative_path,risk_type,occurrence_count,redacted_fingerprint,portable_replacement
docs/archive/legacy_gabriel_pilot_2026-06/comparator_edges_from_v9_verified_excerpts_2026-06-29.md,absolute_home_path,8,342f1d66390b,repository-relative or environment-configured path
tmp/gabriel_proxy_connection_diagnosis_2026-07-16/smoke_test_metadata.json,absolute_home_path,1,010cbe08bac4,repository-relative or environment-configured path
tmp/gabriel_state_source_scout/MA/national_batch01_ma_live_2026-07-16_retry_failed/run_metadata.json,absolute_home_path,1,fc3a18b4cb1a,repository-relative or environment-configured path
docs/archive/legacy_gabriel_pilot_2026-06/gabriel_pilot/results_gabriel_builtin_web_smoke_boston_2026-07-01.csv,absolute_home_path,1,1392a75f5218,repository-relative or environment-configured path
docs/archive/legacy_gabriel_pilot_2026-06/gabriel_pilot/results_gabriel_builtin_web_boston_graduated_retry_2026-07-01.csv,absolute_home_path,2,bf6836e3bed0,repository-relative or environment-configured path
tmp/gabriel_proxy_connection_retest_2026-07-17/smoke_test_metadata.json,absolute_home_path,1,85e7b073ea40,repository-relative or environment-configured path
docs/archive/misc_diagnostics_2026-07/git_remote_diagnosis_2026-07-10.md,absolute_home_path,1,fe9fc7c2ca5a,repository-relative or environment-configured path
scripts/build_post_pi_wave1_worker_inputs.py,absolute_home_path,2,0184e49a4288,repository-relative or environment-configured path
scripts/build_tier1_worker_batches.py,absolute_home_path,2,0184e49a4288,repository-relative or environment-configured path
scripts/run_external_data_exhaustive_resume.py,absolute_home_path,1,700a13d268b8,repository-relative or environment-configured path
tmp/gabriel_state_source_scout/MA/national_batch01_ma_live_2026-07-16_remaining_first_attempt/run_metadata.json,absolute_home_path,1,83d351b295e1,repository-relative or environment-configured path
scripts/build_tier1_wave2_worker_batches.py,absolute_home_path,2,93050e027a26,repository-relative or environment-configured path
docs/archive/final_report_production_2026-07/final_report_export_preflight_2026-07-10.md,absolute_home_path,1,9d4278b2f6e8,repository-relative or environment-configured path
docs/archive/legacy_gabriel_pilot_2026-06/comparator_network_design_2026-06-29.md,absolute_home_path,5,64fde9e7ae74,repository-relative or environment-configured path
docs/archive/legacy_gabriel_pilot_2026-06/gabriel_builtin_web_smoke_test_status_2026-07-01.md,absolute_home_path,1,9d4278b2f6e8,repository-relative or environment-configured path
tmp/huit_openai_request_shape_diagnosis_2026-07-17/diagnostic_results.json,absolute_home_path,2,700a13d268b8,repository-relative or environment-configured path
scripts/run_available_external_data_full_verification.py,absolute_home_path,1,700a13d268b8,repository-relative or environment-configured path
scripts/run_available_external_data_candidate_review.py,absolute_home_path,1,700a13d268b8,repository-relative or environment-configured path
tmp/gabriel_state_source_scout/MA/national_batch01_ma_live_2026-07-16/run_metadata.json,absolute_home_path,1,11aa4d17c90f,repository-relative or environment-configured path
docs/archive/gabriel_codify_viewer_history_2026-07/gabriel_codify_viewer_capability_review_2026-07-09.md,absolute_home_path,1,e583f72ee807,repository-relative or environment-configured path
docs/archive/acquisition_recon_2026-06/ma_non_prr_public_source_expansion_2026-06-24.md,absolute_home_path,2,3a50425cd22e,repository-relative or environment-configured path
docs/archive/legacy_gabriel_pilot_2026-06/comparator_edge_synthesis_2026-06-29.md,absolute_home_path,4,0870788f287f,repository-relative or environment-configured path
PROGRESS.md,absolute_home_path,10,ba209dfd73e8,repository-relative or environment-configured path
docs/analysis/parallel_scout_round1_live_prompt_2026-07-23.md,absolute_home_path,1,fe9fc7c2ca5a,repository-relative or environment-configured path
docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-AGGRESSIVE-BOUNDED-REANALYSIS-AND-CROSS-EXAMINATION-2026-08-06/04_AGGRESSIVE-SEMANTIC-CROSS-EXAMINATION/aggressive_cross_exam_results.csv,absolute_home_path,38,ac0a01520b4c,repository-relative or environment-configured path
docs/analysis/tier1_worker_2_prep_prompt_2026-07-22.md,absolute_home_path,3,f883005d08c4,repository-relative or environment-configured path
docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-EXTRACTION-REMAINING-PARSE-TEXT-826-2026-07-25/remaining_parse_text_packet_manifest.csv,absolute_home_path,258,87c253d64106,repository-relative or environment-configured path
docs/analysis/tier1_wave2_worker_3_prep_prompt_2026-07-22.md,absolute_home_path,4,46df15556afd,repository-relative or environment-configured path
docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-PDF-TEXT-READINESS-2026-08-02/preflight_report.json,absolute_home_path,1,700a13d268b8,repository-relative or environment-configured path
docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-LIMITED-QUALITATIVE-USAGE-LAYER-2026-07-25/quantitative_exceptions_carried_forward_manifest.json,absolute_home_path,1,3171640023ee,repository-relative or environment-configured path
docs/analysis/pdf_readiness_pilots/PDF-READINESS-PILOT1-150-2026-07-24/pdf_readiness_pilot_manifest.json,absolute_home_path,6,6658219cabb5,repository-relative or environment-configured path
docs/analysis/chatgpt_handoff_latest.md,absolute_home_path,1,e7d0593abdb4,repository-relative or environment-configured path
docs/analysis/tier1_wave2_worker_1_prep_prompt_2026-07-22.md,absolute_home_path,4,4def2c4747e3,repository-relative or environment-configured path
docs/analysis/claim_consolidation_preflight_2026-07-12.md,absolute_home_path,1,9d4278b2f6e8,repository-relative or environment-configured path
docs/analysis/compensation_extraction/BROAD-STATE-4X2500-PDF-TEXT-READINESS-2026-07-30/preflight_report.json,absolute_home_path,1,700a13d268b8,repository-relative or environment-configured path
docs/analysis/future_2x2000_verification_prompt_template_2026-07-24.md,absolute_home_path,1,fe9fc7c2ca5a,repository-relative or environment-configured path
docs/analysis/content_triage_full_universe_metadata_merge_prompt_2026-07-24.md,absolute_home_path,1,fe9fc7c2ca5a,repository-relative or environment-configured path
docs/analysis/pdf_readiness_pilots/PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24/pdf_readiness_pilot_manifest.json,absolute_home_path,8,7190dab2616f,repository-relative or environment-configured path
