volume_id,filename,status,source_count,source_bytes,text_companion_count,text_bytes,planned_total_bytes,compressed_bytes,compression_ratio,archive_SHA256,first_source_id,last_source_id,state_coverage,municipality_count,member_count,validation_method,verified_source_member_count,verification_status,runtime_seconds
VOL-001,gabriel-wages-source-library-2026-08-06.part-001.tar.zst,accepted,1037,2086896836,880,54687374,2141584210,1755887609,0.819901,636b19f30f70e64d4e4eba1a4ae921586c5632242ff47f622808ac9c68a4a1ee,3a368297b641debe207edbbcac2569313bed6a462aa4c643435cc38e4b978416,a47353309a420c8f9895ecd60f2bcb396151291326dbeedbf9444af133f06dd5,AK|AL|AR|AZ|CA,269,1918,zstd integrity plus 100% streaming member SHA-256,1037,pass,8.141
VOL-002,gabriel-wages-source-library-2026-08-06.part-002.tar.zst,accepted,740,1947350100,608,44290665,1991640765,1687321960,0.847202,810423f3a1d3754c7b3ab0c38ef75adb2edb36607739ee440f9e9522efe31c51,052f8723f4b78e4c5dccdea6f769a238a9e78fdbbd624f74379dce92d0f0da53,a58e017963c44eab52de17b167efa073b9a1665b7bf5876aebc251ce28e4d779,CA|CO|CT|DE|FL,256,1349,zstd integrity plus 100% streaming member SHA-256,740,pass,7.638
VOL-003,gabriel-wages-source-library-2026-08-06.part-003.tar.zst,accepted,609,2089010393,537,43065182,2132075575,1722219109,0.807766,364bdf00784425d3605c4c6cd230d5d3c0f17427ea186d7053796df6206c7c08,039781244837b8dc372dfe3b30da7f6cbdaf84b1e23e839fa478beff5834c7d4,61dc6e4c4f3f14f1714905c6873b42a74cb8f90722a4064d9547177ca0490d5e,FL|GA,204,1147,zstd integrity plus 100% streaming member SHA-256,609,pass,10.642
VOL-004,gabriel-wages-source-library-2026-08-06.part-004.tar.zst,accepted,935,2104190124,809,42653426,2146843550,1779032876,0.828674,09eb860ed6293c6d373d9ff77fd1fe5db7b870535baa4b3c518a966bb4bd97ec,635eb7a87995a1d6ce5663055c13558f76255686a4849bee66e68331ceb04b27,6c836c62d401ae9a5492075b130d0f70d1653dad7263839b27db1479fda4a671,GA|IA|ID|IL,276,1745,zstd integrity plus 100% streaming member SHA-256,935,pass,12.284
VOL-005,gabriel-wages-source-library-2026-08-06.part-005.tar.zst,accepted,766,2102465033,671,36768323,2139233356,1766370235,0.825702,77ee60c0e9b8d737a56bc70797149277389baef16e29289a4310705d8c197cc7,53460a7f2a3f01b1e6fff3fa4a2041f060bff14da5140602fca2420da22bb8a4,8b98b3a4302595bb4fa5445378cc3e6dfd11cefd17cb39fba8764299e54cb6c1,IL,141,1438,zstd integrity plus 100% streaming member SHA-256,766,pass,13.403
VOL-006,gabriel-wages-source-library-2026-08-06.part-006.tar.zst,accepted,1137,2101050907,899,44501781,2145552688,1835644546,0.855558,a362cedaf06074b4abb80b5349bbe992fdb409d866b1473ba6b58fed72ee844f,1b8d20ffdd8298cea4fd25426a7a51e6cd4159f226c4d46d15c2511697140532,068a5da8344032723b9d96dd42f34a2c6599489871dc998688cc3fa785dd7ca9,IL|IN,387,2037,zstd integrity plus 100% streaming member SHA-256,1137,pass,7.902
VOL-007,gabriel-wages-source-library-2026-08-06.part-007.tar.zst,accepted,1490,2096460274,1281,47642813,2144103087,1712305613,0.798612,56f3f231f8946058026119893f6a1f8b4f19aee7122c1d0d0ac725e6df4bddcd,c5662efdb716e9b5de0ce8197e52b3efb774d491b30a5205d80472c84ebf4b4f,fae7b0125df4bb08d07f1ae0153c1c0939f25954649bd5c86632777344e84dc9,IN|KS|KY|LA|MA,482,2772,zstd integrity plus 100% streaming member SHA-256,1490,pass,7.851
VOL-008,gabriel-wages-source-library-2026-08-06.part-008.tar.zst,accepted,968,2035652992,783,68976443,2104629435,1775811968,0.843765,b98feada23727ae63a97d2c16ef2f62a3e84c73239a9a621de3d6483a32bff69,20b6eea443a6f46ec684b1b0175f192c7501c5693cfad7f3513b984c86e1ae05,fb3cf1100f70a155dad287569affafb8d1965c181910e01d9811137b562d7ff4,MA|MD|ME|MI,289,1752,zstd integrity plus 100% streaming member SHA-256,968,pass,9.538
VOL-009,gabriel-wages-source-library-2026-08-06.part-009.tar.zst,accepted,882,2109713095,820,33358138,2143071233,1785048819,0.83294,72dee49ce653809e0191fd311f5a02a8cc05803990dcf6351ed1b6f9fa01f2a7,0713a6ceb8658471de238e063b09737d1a9b9d21470fec37dd00e1f710ab3545,d1322badb9ba201d930f387a1c7988de23ff1c72dea653883776379766c3ec37,MI,154,1703,zstd integrity plus 100% streaming member SHA-256,882,pass,8.461
VOL-010,gabriel-wages-source-library-2026-08-06.part-010.tar.zst,accepted,843,2060308934,746,41175744,2101484678,1732565062,0.824448,37d6a246d554d5c39a887e838b2f62dbf05e90282ebeda74bcbc6e246f7ed6a6,0e73b9046ef1803d0c3f22f4609d5caff8427c9bf0060e6d98cd7bb7b6ee187f,8456832815975584da630c6dcf93c486fb033c85a8741e45ed0d8039e707e4e1,MI|MN|OH,298,1590,zstd integrity plus 100% streaming member SHA-256,843,pass,8.84
