item_id,item_type,assignment_status,planned_bytes_status,safe_path_status,source_only_status,production_status,QA_result
VOL-001,archive_volume,pass,pass,pass,pass,accepted,pass
VOL-002,archive_volume,pass,pass,pass,pass,accepted,pass
VOL-003,archive_volume,pass,pass,pass,pass,accepted,pass
VOL-004,archive_volume,pass,pass,pass,pass,accepted,pass
VOL-005,archive_volume,pass,pass,pass,pass,accepted,pass
VOL-006,archive_volume,pass,pass,pass,pass,accepted,pass
VOL-007,archive_volume,pass,pass,pass,pass,accepted,pass
VOL-008,archive_volume,pass,pass,pass,pass,accepted,pass
VOL-009,archive_volume,pass,pass,pass,pass,accepted,pass
VOL-010,archive_volume,pass,pass,pass,pass,accepted,pass
VOL-011,archive_volume,pass,pass,pass,pass,accepted,pass
VOL-012,archive_volume,pass,pass,pass,pass,accepted,pass
VOL-013,archive_volume,pass,pass,pass,pass,accepted,pass
VOL-014,archive_volume,pass,pass,pass,pass,accepted,pass
VOL-015,archive_volume,pass,pass,pass,pass,accepted,pass
VOL-016,archive_volume,pass,pass,pass,pass,accepted,pass
VOL-017,archive_volume,pass,pass,pass,pass,accepted,pass
VOL-018,archive_volume,pass,pass,pass,pass,accepted,pass
VOL-019,archive_volume,pass,pass,pass,pass,accepted,pass
VOL-020,archive_volume,pass,pass,pass,pass,accepted,pass
VOL-021,archive_volume,pass,pass,pass,pass,accepted,pass
VOL-022,archive_volume,pass,pass,pass,pass,accepted,pass
VOL-023,archive_volume,pass,pass,pass,pass,held_for_space,not_produced_space_floor
VOL-024,archive_volume,pass,pass,pass,pass,held_for_space,not_produced_space_floor
VOL-025,archive_volume,pass,pass,pass,pass,held_for_space,not_produced_space_floor
VOL-026,archive_volume,pass,pass,pass,pass,held_for_space,not_produced_space_floor
VOL-027,archive_volume,pass,pass,pass,pass,held_for_space,not_produced_space_floor
VOL-028,archive_volume,pass,pass,pass,pass,held_for_space,not_produced_space_floor
