caption_a,caption_b,jaccard_similarity,flag
retroactivity-payroll,non-base-compensation,0.344,False
retroactivity-payroll,scheduled-base-growth,0.398,False
retroactivity-payroll,budgets-pay-plans,0.412,False
retroactivity-payroll,ordinance-adoption,0.45,False
retroactivity-payroll,formal-bargaining,0.385,False
retroactivity-payroll,classification-structure,0.412,False
retroactivity-payroll,staffing-market-pressure,0.415,False
retroactivity-payroll,none-identified,0.194,False
retroactivity-payroll,no-direct-compensation-outcome,0.168,False
retroactivity-payroll,unclear,0.128,False
non-base-compensation,scheduled-base-growth,0.367,False
non-base-compensation,budgets-pay-plans,0.34,False
non-base-compensation,ordinance-adoption,0.318,False
non-base-compensation,formal-bargaining,0.295,False
non-base-compensation,classification-structure,0.367,False
non-base-compensation,staffing-market-pressure,0.342,False
non-base-compensation,none-identified,0.161,False
non-base-compensation,no-direct-compensation-outcome,0.117,False
non-base-compensation,unclear,0.096,False
scheduled-base-growth,budgets-pay-plans,0.395,False
scheduled-base-growth,ordinance-adoption,0.393,False
scheduled-base-growth,formal-bargaining,0.381,False
scheduled-base-growth,classification-structure,0.43,False
scheduled-base-growth,staffing-market-pressure,0.398,False
scheduled-base-growth,none-identified,0.165,False
scheduled-base-growth,no-direct-compensation-outcome,0.121,False
scheduled-base-growth,unclear,0.113,False
budgets-pay-plans,ordinance-adoption,0.462,False
budgets-pay-plans,formal-bargaining,0.392,False
budgets-pay-plans,classification-structure,0.409,False
budgets-pay-plans,staffing-market-pressure,0.425,False
budgets-pay-plans,none-identified,0.206,False
budgets-pay-plans,no-direct-compensation-outcome,0.144,False
budgets-pay-plans,unclear,0.125,False
ordinance-adoption,formal-bargaining,0.402,False
ordinance-adoption,classification-structure,0.448,False
ordinance-adoption,staffing-market-pressure,0.438,False
ordinance-adoption,none-identified,0.202,False
ordinance-adoption,no-direct-compensation-outcome,0.185,False
ordinance-adoption,unclear,0.138,False
formal-bargaining,classification-structure,0.371,False
formal-bargaining,staffing-market-pressure,0.417,False
formal-bargaining,none-identified,0.164,False
formal-bargaining,no-direct-compensation-outcome,0.122,False
formal-bargaining,unclear,0.115,False
classification-structure,staffing-market-pressure,0.438,False
classification-structure,none-identified,0.171,False
classification-structure,no-direct-compensation-outcome,0.123,False
classification-structure,unclear,0.114,False
staffing-market-pressure,none-identified,0.173,False
staffing-market-pressure,no-direct-compensation-outcome,0.146,False
staffing-market-pressure,unclear,0.115,False
none-identified,no-direct-compensation-outcome,0.25,False
none-identified,unclear,0.219,False
no-direct-compensation-outcome,unclear,0.175,False
