asset,issue_type,severity,diagnosis,repair
mechanism-across-the-board-raise.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-bargaining-leverage.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-base-wage-change.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-benefit-cost-change.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-budget-appropriation.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-budget-pay-plan-process.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-classification-band-change.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-classification-civil-service.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-cola-cpi-adjustment.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-collective-bargaining.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-comparability-parity.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-contract-ratification.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-fiscal-constraint.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-holiday-pay.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-inflation-indexing.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-interest-arbitration.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-longevity.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-lump-sum.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-market-recruitment-retention.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-no-direct-compensation-outcome.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-non-base-compensation-other.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-none-identified.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-one-time.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-ordinance-adoption.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-ordinance-council-adoption.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-overtime.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-overview.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-payroll-effective-date.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-recurring.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-reimbursement.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-retroactive-pay.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-retroactive.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
mechanism-salary-range-change.png,map_extent_and_layout,critical,old y-axis ended at +1.7m while state/hex data extend above +3.0m; Alaska filtered out,fixed basemap-derived extent and labeled Alaska inset
