lane,item,status
1,cover,locked
1,executive_summary,locked
1,reader_guide_1,locked
1,reader_guide_2,locked
1,reader_guide_3,locked
2,retroactivity-payroll,locked
2,non-base-compensation,locked
2,scheduled-base-growth,locked
2,budgets-pay-plans,locked
2,ordinance-adoption,locked
2,formal-bargaining,locked
2,classification-structure,locked
2,staffing-market-pressure,locked
2,alaska_mechanism_audit,locked
3,corpus,locked
3,pipeline,locked
3,side_visibility,locked
3,readiness,locked
3,growth,locked
3,staffing,locked
3,implementation,locked
3,local_comparisons,locked
3,claim_overview,locked
3,claim_matrix_1,locked
3,claim_matrix_2,locked
3,counterexamples,locked
4,page_plan,locked
4,limitations,locked
4,methodology,locked
4,category_appendix,locked
4,status_appendix,locked
5,native_composition,locked
5,text_extraction,locked
5,300dpi_render,locked
5,zoom_QA,locked
5,publication,locked
