wave_id,priority_rank,state,municipality,municipality_id,census_gov_id,government_name,government_type,geography_type,population,county_relationship_count,multi_county_flag,county_context_summary,selection_bucket,selection_reason,claim_or_source_need_connection,expected_units_to_search,verification_notes,recommended_scout_status,already_scouted_status,coverage_status_before_run,scout_purpose,anchor_cycle,known_source_cycle_exclusions,known_source_notes,known_source_urls
NWMS-2026-07-16-01,1,IL,Chicago,il_chicago,162236,CITY OF CHICAGO,municipal,place,2664452,2,yes,Cook County [17031; county; government-units-primary=yes; basis=2020_place_by_county] | DuPage County [17043; county; government-units-primary=no; basis=2020_place_by_county],claim_register_anchor,"Manifest priority 14 / NST-2026-07-12-011: largest Illinois municipal employer and high-value safety/non-safety matched-set anchor.","CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07; H1;H2;H3;H4;H5;H7","police CBA; fire CBA; one ordinary general-municipal non-safety CBA; arbitration/factfinding/impasse or wage-study source in a shared cycle","Verify exact CITY OF CHICAGO employer, official/union provenance, 2014-2024 visible operative dates, and within-city safety/non-safety overlap later. Do not substitute Cook County, Chicago Public Schools, CTA, Chicago Park District, Chicago Housing Authority, airport/transit police, or a special district.",ready_for_scout,no,not_scouted,matched_comparison_repair,"No canonical anchor cycle is supplied. Find a CITY OF CHICAGO police/fire/ordinary-non-safety set with visibly supported overlapping 2014-2024 cycles; label non-overlap or unclear evidence.",None recorded: no CITY OF CHICAGO canonical contract or national queue candidate as of 2026-07-20.,"No canonical or queued CITY OF CHICAGO source/cycle is known locally; this is scout-stage matched-set discovery only.",
NWMS-2026-07-16-01,2,IL,Aurora,il_aurora,189929,CITY OF AURORA,municipal,place,177563,4,yes,DuPage County [17043; county; government-units-primary=no; basis=2020_place_by_county] | Kane County [17089; county; government-units-primary=yes; basis=2020_place_by_county] | Kendall County [17093; county; government-units-primary=no; basis=2020_place_by_county] | Will County [17197; county; government-units-primary=no; basis=2020_place_by_county],claim_register_anchor,"Manifest priority 15 / NST-2026-07-12-012: large multi-county municipal employer and high-value matched-set target.","CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07; H1;H2;H3;H4;H5;H7","police CBA; fire CBA; one ordinary general-municipal non-safety CBA; arbitration/factfinding/impasse or wage-study source in a shared cycle","Verify exact CITY OF AURORA employer and Census ID 189929, official/union provenance, visible 2014-2024 dates, and overlap later. Do not substitute Aurora Township (185079), counties, school/library/park districts, transit, airport, or special districts.",ready_for_scout,no,not_scouted,matched_comparison_repair,"No canonical anchor cycle is supplied. Find a CITY OF AURORA police/fire/ordinary-non-safety set with visibly supported overlapping 2014-2024 cycles; label non-overlap or unclear evidence.",None recorded: no CITY OF AURORA canonical contract or national queue candidate as of 2026-07-20.,"No canonical or queued CITY OF AURORA source/cycle is known locally; this is scout-stage matched-set discovery only.",
NWMS-2026-07-16-01,3,IL,Rockford,il_rockford,102882,CITY OF ROCKFORD,municipal,place,146120,2,yes,Ogle County [17141; county; government-units-primary=no; basis=2020_place_by_county] | Winnebago County [17201; county; government-units-primary=yes; basis=2020_place_by_county],claim_register_anchor,"Manifest priority 16 / NST-2026-07-12-013: northern Illinois municipal anchor with a distinct labor-market setting.","CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07; H1;H2;H3;H4;H5;H7","police CBA; fire CBA; one ordinary general-municipal non-safety CBA; arbitration/factfinding/impasse or wage-study source in a shared cycle","Verify exact CITY OF ROCKFORD employer and Census ID 102882, official/union provenance, visible 2014-2024 dates, and overlap later. Do not substitute Rockford Township (204332), counties, school/park districts, airport/transit police, or special districts.",ready_for_scout,no,not_scouted,matched_comparison_repair,"No canonical anchor cycle is supplied. Find a CITY OF ROCKFORD police/fire/ordinary-non-safety set with visibly supported overlapping 2014-2024 cycles; label non-overlap or unclear evidence.",None recorded: no CITY OF ROCKFORD canonical contract or national queue candidate as of 2026-07-20.,"No canonical or queued CITY OF ROCKFORD source/cycle is known locally; this is scout-stage matched-set discovery only.",
NWMS-2026-07-16-01,4,IL,Springfield,il_springfield,162629,CITY OF SPRINGFIELD,municipal,place,112544,1,no,Sangamon County [17167; county; government-units-primary=yes; basis=2020_place_by_county],claim_register_anchor,"Manifest priority 17: state-capital municipal employer, adding an administrative and central-Illinois comparison anchor.","CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-06; H1;H4;H5","police CBA; fire CBA; one ordinary general-municipal non-safety CBA; arbitration/factfinding/impasse source in a shared cycle","Verify exact CITY OF SPRINGFIELD employer, official/union provenance, visible 2014-2024 dates, and overlap later. Do not substitute Sangamon County, State of Illinois, school districts, transit, park districts, or special districts.",ready_for_scout,no,not_scouted,matched_comparison_repair,"No canonical anchor cycle is supplied. Find a CITY OF SPRINGFIELD police/fire/ordinary-non-safety set with visibly supported overlapping 2014-2024 cycles; label non-overlap or unclear evidence.",None recorded: no CITY OF SPRINGFIELD canonical contract or national queue candidate as of 2026-07-20.,"No canonical or queued CITY OF SPRINGFIELD source/cycle is known locally; this is scout-stage matched-set discovery only.",
NWMS-2026-07-16-01,5,IL,Naperville,il_naperville,162299,CITY OF NAPERVILLE,municipal,place,150245,2,yes,DuPage County [17043; county; government-units-primary=yes; basis=2020_place_by_county] | Will County [17197; county; government-units-primary=no; basis=2020_place_by_county],claim_register_anchor,"Manifest priority 18: high-population suburban municipal employer, complementing Chicago and Aurora.","CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-06; H1;H4;H5","police CBA; fire CBA; one ordinary general-municipal non-safety CBA; arbitration/factfinding/impasse source in a shared cycle","Verify exact CITY OF NAPERVILLE employer, official/union provenance, visible 2014-2024 dates, and overlap later. Do not substitute DuPage/Will counties, school districts, park districts, transit, or special districts.",ready_for_scout,no,not_scouted,matched_comparison_repair,"No canonical anchor cycle is supplied. Find a CITY OF NAPERVILLE police/fire/ordinary-non-safety set with visibly supported overlapping 2014-2024 cycles; label non-overlap or unclear evidence.",None recorded: no CITY OF NAPERVILLE canonical contract or national queue candidate as of 2026-07-20.,"No canonical or queued CITY OF NAPERVILLE source/cycle is known locally; this is scout-stage matched-set discovery only.",
IL25-2026-07-20,6,IL,Joliet,cog_2025_162690,162690,CITY OF JOLIET,municipal,place,150489,2,yes,Kendall County [17093; county; government-units-primary=no; basis=2020_place_by_county] | Will County [17197; county; government-units-primary=yes; basis=2020_place_by_county],large_city_state_anchor,"Second-largest unscouted Illinois city after the prepared anchors; major Will County municipal labor-market anchor.","State-scale safety/non-safety wage-gap comparison; matched police/fire/civilian discovery.","police CBA; fire CBA; ordinary general-municipal non-safety CBA; public impasse/arbitration/factfinding material","Verify CITY OF JOLIET identity, union/official provenance, visible dates, and overlap later. Do not substitute Kendall/Will counties, school districts, park districts, transit, or special districts.",ready_for_scout,no,not_scouted,matched_comparison_repair,"No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 police/fire/ordinary-non-safety cycles.",None recorded: no CITY OF JOLIET canonical contract or national queue candidate as of 2026-07-20.,"No canonical or queued CITY OF JOLIET source/cycle is known locally; scout-stage discovery only.",
IL25-2026-07-20,7,IL,Elgin,cog_2025_102716,102716,CITY OF ELGIN,municipal,place,113310,2,yes,Cook County [17031; county; government-units-primary=no; basis=2020_place_by_county] | Kane County [17089; county; government-units-primary=yes; basis=2020_place_by_county],large_city_state_anchor,"Large Fox Valley municipal employer, adding Cook/Kane cross-county coverage distinct from Chicago and Aurora.","State-scale safety/non-safety wage-gap comparison; matched police/fire/civilian discovery.","police CBA; fire CBA; ordinary general-municipal non-safety CBA; public impasse/arbitration/factfinding material","Verify CITY OF ELGIN identity, union/official provenance, visible dates, and overlap later. Do not substitute Cook/Kane counties, school districts, park districts, transit, or special districts.",ready_for_scout,no,not_scouted,matched_comparison_repair,"No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 police/fire/ordinary-non-safety cycles.",None recorded: no CITY OF ELGIN canonical contract or national queue candidate as of 2026-07-20.,"No canonical or queued CITY OF ELGIN source/cycle is known locally; scout-stage discovery only.",
IL25-2026-07-20,8,IL,Peoria,cog_2025_193205,193205,CITY OF PEORIA,municipal,place,110460,1,no,Peoria County [17143; county; government-units-primary=yes; basis=2020_place_by_county],large_city_state_anchor,"Large central-Illinois city and county-seat labor market; broadens beyond Chicagoland.","State-scale safety/non-safety wage-gap comparison; matched police/fire/civilian discovery.","police CBA; fire CBA; ordinary general-municipal non-safety CBA; public impasse/arbitration/factfinding material","Verify CITY OF PEORIA identity, union/official provenance, visible dates, and overlap later. Do not substitute Peoria County, schools, park district, transit, housing, or special districts.",ready_for_scout,no,not_scouted,matched_comparison_repair,"No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 police/fire/ordinary-non-safety cycles.",None recorded: no CITY OF PEORIA canonical contract or national queue candidate as of 2026-07-20.,"No canonical or queued CITY OF PEORIA source/cycle is known locally; scout-stage discovery only.",
IL25-2026-07-20,9,IL,Champaign,cog_2025_194692,194692,CITY OF CHAMPAIGN,municipal,place,89189,1,no,Champaign County [17019; county; government-units-primary=yes; basis=2020_place_by_county],large_city_state_anchor,"Large university-region municipal employer, providing a distinct central-east city comparison.","State-scale safety/non-safety wage-gap comparison; matched police/fire/civilian discovery.","police CBA; fire CBA; ordinary general-municipal non-safety CBA; public impasse/arbitration/factfinding material","Verify CITY OF CHAMPAIGN identity, union/official provenance, visible dates, and overlap later. Do not substitute Champaign County, University of Illinois, school districts, transit, park districts, or special districts.",ready_for_scout,no,not_scouted,matched_comparison_repair,"No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 police/fire/ordinary-non-safety cycles.",None recorded: no CITY OF CHAMPAIGN canonical contract or national queue candidate as of 2026-07-20.,"No canonical or queued CITY OF CHAMPAIGN source/cycle is known locally; scout-stage discovery only.",
IL25-2026-07-20,10,IL,Waukegan,cog_2025_124969,124969,CITY OF WAUKEGAN,municipal,place,87642,1,no,Lake County [17097; county; government-units-primary=yes; basis=2020_place_by_county],large_city_state_anchor,"Large Lake County city, extending the northern metro/lakeshore municipal comparison frame.","State-scale safety/non-safety wage-gap comparison; matched police/fire/civilian discovery.","police CBA; fire CBA; ordinary general-municipal non-safety CBA; public impasse/arbitration/factfinding material","Verify CITY OF WAUKEGAN identity, union/official provenance, visible dates, and overlap later. Do not substitute Lake County, schools, park district, transit, housing, or special districts.",ready_for_scout,no,not_scouted,matched_comparison_repair,"No canonical anchor cycle is supplied. Seek visibly supported overlapping 2014-2024 police/fire/ordinary-non-safety cycles.",None recorded: no CITY OF WAUKEGAN canonical contract or national queue candidate as of 2026-07-20.,"No canonical or queued CITY OF WAUKEGAN source/cycle is known locally; scout-stage discovery only.",
