verification_id,source_stage,municipality,state,municipality_id,scout_candidate_id,original_unit_type,verified_unit_type,document_title_scouted,document_title_verified,source_url,final_url,url_reachable,http_status_or_error,access_type,source_owner_type,source_owner_name,target_employer_verified,verified_employer_name,wrong_employer_flag,wrong_employer_notes,document_type_verified,document_completeness,bargaining_unit_verified,union_name_verified,contract_years_scouted,contract_years_verified,wage_material_present,city_specific_purpose_supported,verification_status,ingestion_recommendation,verification_priority,evidence_notes,limits_or_uncertainties,next_action
TXV-2026-07-16-001,parsed_scout_candidate,San Antonio,TX,tx_san_antonio,TXSC-001,non_safety,unclear,San Antonio Code of Ordinances — Article IV. Employee Relations (Division 1: Labor Relations): collective bargaining not authorized for non-covered groups,Municode Library JavaScript shell for the requested San Antonio code node,https://library.municode.com/tx/san_antonio/codes/code_of_ordinances?nodeId=PTIICO_CH2AD_ARTIVEMRE_DIV1RE,https://library.municode.com/tx/san_antonio/codes/code_of_ordinances?nodeId=PTIICO_CH2AD_ARTIVEMRE_DIV1RE,yes,200; requested node text absent from returned HTML,public_no_login,third_party,CivicPlus/Municode,unclear,,no,No substitute employer appeared; the returned shell did not expose the ordinance text.,index_page,javascript_shell,unclear,,unknown,unknown,no,no,insufficient_evidence,needs_manual_review,low,The URL opened but returned only the generic Municode application shell. The candidate's claimed prohibition and scope could not be read or dated.,A browser-rendered or API-backed node view would be needed to test the scout's legal interpretation. Reachability of a shell is not verification of the ordinance.,Do not ingest. Revisit only if the civilian non-availability pathway remains important and a bounded rendered-node check is authorized.
TXV-2026-07-16-002,parsed_scout_candidate,San Antonio,TX,tx_san_antonio,TXSC-002,non_safety,fire,San Antonio Fire Department (For Agencies) — Collective Bargaining document (bargaining unit does not include civilian personnel),Collective Bargaining Agreement between the City of San Antonio and Local 624 International Association of Fire Fighters,https://www.sanantonio.gov/Portals/0/Files/SAFD/ForAgencies/CollectiveBargaining.pdf,https://www.sanantonio.gov/Portals/0/Files/SAFD/ForAgencies/CollectiveBargaining.pdf,yes,200,public_no_login,official_city,City of San Antonio,yes,City of San Antonio,no,Correct city employer but wrong occupational unit for the requested civilian comparator.,collective_bargaining_agreement,full_document_89_pages,firefighters,Local 624 International Association of Fire Fighters,unknown,2009-10-01 through 2014-09-30,yes,no,verified_candidate,do_not_ingest,low,The cover identifies the City and Local 624 and the 2009-2014 term; the table of contents includes wages. This is an authentic full fire CBA.,The PDF is image-based and was visually inspected. The task did not test whether this cycle is already represented elsewhere because the lead fails the city-specific civilian purpose.,Reject for this wave as wrong-unit leakage; never count it as non-safety.
TXV-2026-07-16-003,parsed_scout_candidate,Houston,TX,tx_houston,TXSC-003,police,police,Meet & Confer Agreement between the Houston Police Officers’ Union and the City of Houston Texas (2/9/2015) (includes Base Pay and Step Tables for 2015–2018),Meet & Confer Agreement between the Houston Police Officers' Union and the City of Houston Texas,https://citypuc.s3.amazonaws.com/Houston%20Police%20Department/Police%20Union%20Contract.pdf,https://citypuc.s3.amazonaws.com/Houston%20Police%20Department/Police%20Union%20Contract.pdf,yes,200,public_no_login,archive,citypuc S3 repository; ownership not independently confirmed,yes,City of Houston,no,The document itself names the exact City employer; host ownership remains uncertain.,meet_and_confer_agreement,full_document_105_pages,all Houston Police Department police officers except specified chiefs,Houston Police Officers' Union,2015-2018,2015 through close of business 2018-12-31 with stated continuation terms,yes,yes,partially_verified_candidate,needs_manual_review,high,The full agreement names HPOU and the City; Article 3 gives the term and Article 33 plus Exhibit A contain 2015-2018 base-pay and step tables.,Authenticity and completeness are strongly supported by internal content but the S3 repository owner and chain of custody are not established. An official City or HPOU copy should be preferred.,Before ingestion confirm official provenance and reconcile this cycle against existing Houston police coverage.
TXV-2026-07-16-004,parsed_scout_candidate,Houston,TX,tx_houston,TXSC-004,non_safety,ordinary_non_safety_mixed_municipal,2015-2018 HOPE Meet and Confer Agreement (Municipal employees; excludes classified Police and Fire subject to Chapter 143 TLGC),2015 Meet and Confer Agreement between the Houston Organization of Public Employees and the City of Houston,https://www.houstontx.gov/hr/hrfiles/employee_relations/2015-2018%20HOPE%20Meet%20and%20Confer%20Agreement.pdf,https://www.houstontx.gov/hr/hrfiles/employee_relations/2015-2018%20HOPE%20Meet%20and%20Confer%20Agreement.pdf,yes,200,public_no_login,official_city,City of Houston,yes,City of Houston,no,The bargaining unit is the City's municipal employees and expressly excludes classified Police and Fire; Houston Emergency Center employees are included.,meet_and_confer_agreement,full_document_115_pages,City municipal employees in the Chapter 146 bargaining unit excluding directors elected officials certain mayor/council staff and classified Police and Fire,Houston Organization of Public Employees (HOPE),effective through 2018-06-30,2015 agreement through 2018-06-30,yes,yes,verified_candidate,later_ingest_candidate,highest,The official City PDF is complete. Its definition section verifies the unit; Article 10 contains FY2016-FY2018 wage increases and a minimum base rate; Article 19 ends the term 2018-06-30.,The broad unit includes many classifications rather than one occupation row. Ingestion still requires mapping one or more eligible ordinary municipal units without collapsing occupations and confirming matched-cycle overlap.,Highest-priority pre-ingestion review: map covered classifications to contract rows and test overlap with verified Houston police/fire cycles.
TXV-2026-07-16-005,parsed_scout_candidate,Houston,TX,tx_houston,TXSC-005,non_safety,ordinary_non_safety_mixed_municipal,HR-Meet and Confer Agreement between HOPE and the City of Houston (CoverSheet) (Agreement affects municipal employees; expires June 30 2024),City Council item cover sheet for the 2021 HOPE-City of Houston Meet and Confer Agreement,https://houston.novusagenda.com/agendapublic/CoverSheet.aspx?ItemID=23554&MeetingID=494,https://houston.novusagenda.com/agendapublic/CoverSheet.aspx?ItemID=23554&MeetingID=494,yes,200,public_no_login,official_city,City of Houston City Council via NovusAgenda,yes,City of Houston,no,The page and signed cover sheet identify the exact City and HOPE municipal bargaining unit.,meeting_agenda_cover_sheet,summary_plus_signed_two_page_cover_sheet,City municipal employees excluding department directors elected officials and classified Police and Fire,Houston Organization of Public Employees (HOPE),three-year term ending 2024-06-30,after Council ratification through 2024-06-30,yes,partial,context_only_verified,context_only_do_not_ingest,high,The official agenda record and directly linked signed cover sheet state the 2021-2024 term; 3 percent raises in October 2021 July 2022 and July 2023; and a $14.25 minimum wage.,The actual HOPE agreement was not exposed by the candidate page's accessible attachment link. The cover sheet is not a full contract and cannot support clause-level ingestion.,Use as a repeat-cycle locator only; obtain and verify the full 2021 agreement before any ingestion decision.
TXV-2026-07-16-006,parsed_scout_candidate,Houston,TX,tx_houston,TXSC-006,fire,fire,Settlement Agreement with Firefighters (Interoffice Memorandum Office of the City Attorney) (backpay period and settlement/impasse context),City Attorney interoffice memorandum: Settlement Agreement with Firefighters,https://pwehelp.houstontx.gov/moc/2024/march-update/Settlement-Agreement-Firefighters.pdf,https://pwehelp.houstontx.gov/moc/2024/march-update/Settlement-Agreement-Firefighters.pdf,yes,200,public_no_login,official_city,City of Houston Office of the City Attorney,yes,City of Houston,no,Exact city employer and firefighter dispute; no substitute employer.,settlement_summary_memorandum,full_three_page_memo_but_not_underlying_settlement,Houston firefighters,Referenced as firefighters; the memo does not state the union name,2017-07-01 through 2024-03-01 backpay; related future cycle asserted by scout,2017-07-01 through 2024-03-01 backpay period,yes,yes,context_only_verified,context_only_do_not_ingest,high,The official memo describes a seven-year court battle; backpay; comparison to other Texas cities; risk from court or arbitration; and interaction with police and municipal employee negotiations.,The scout mislabeled this document as factfinding. It is a City Attorney explanatory memo and not the settlement agreement award or an arbitration/fact-finding document. The union and full settlement terms are not in the memo.,Preserve as mechanism context only. Before causal ingestion obtain the underlying executed settlement or qualifying award and verify parties and cycle.
TXV-2026-07-16-A01,trace_only,Austin,TX,tx_austin,TXTRACE-001,unknown,ordinary_non_safety,Raw Austin web trace,Proposed resolution directing a civilian-worker consultation policy with AFSCME Local 1624,https://services.austintexas.gov/edims/document.cfm?id=465936,https://services.austintexas.gov/edims/document.cfm?id=465936,yes,200,public_no_login,official_city,City of Austin,yes,City of Austin,no,The resolution concerns civilian City workers; school districts appear only as examples and do not substitute for the employer.,proposed_resolution,full_five_page_draft,civilian City employees not covered by Texas Local Government Code Chapters 143 or 174,AFSCME Local 1624,not supplied,proposed for 2026-01-22,no,partial,trace_only_not_candidate,context_only_do_not_ingest,medium,The document verifies an emerging City-AFSCME consultation pathway for civilian workers and expressly notes Texas limits on civilian public-sector bargaining.,It is a 2026 draft outside the 2014-2024 observation window and contains no wage schedule or agreement then in force.,Retain only as post-window institutional context; do not treat it as the missing Austin comparator.
TXV-2026-07-16-A02,trace_only,Austin,TX,tx_austin,TXTRACE-002,unknown,police,Raw Austin web trace,Police Meet and Confer Agreement index page,https://www.austintexas.gov/labor-relations/police-meet-and-confer-agreement,https://www.austintexas.gov/labor-relations/police-meet-and-confer-agreement,yes,200,public_no_login,official_city,City of Austin,yes,City of Austin,no,Correct city but safety unit rather than the requested ordinary non-safety comparator.,index_page,index_page_with_agreement_links,Austin Police Association bargaining unit,Austin Police Association,not supplied,2018 agreement and 2024-2029 agreement listed,limited,no,trace_only_not_candidate,do_not_ingest,low,The official page is a valid police source index and lists agreement cycles and compensation-analysis materials.,It does not answer the Austin non-EMS ordinary comparator need and was not a parsed candidate.,Do not elevate in this wave; use only if a later matched-cycle check needs a police anchor.
TXV-2026-07-16-A03,trace_only,Austin,TX,tx_austin,TXTRACE-003,unknown,unclear,Raw Austin web trace,Requested 2015_CBA_Final PDF not found,https://www.austintexas.gov/sites/default/files/files/City_Manager/2015_CBA_Final.pdf,https://www.austintexas.gov/sites/default/files/files/City_Manager/2015_CBA_Final.pdf,no,404,unreachable,official_city,City of Austin,unclear,,unclear,The file name does not establish employer or unit because the document was unavailable.,unknown,dead_link,unclear,,not supplied,unknown,unknown,no,trace_only_not_candidate,unreachable_do_not_ingest,low,The exact trace URL returned an AustinTexas.gov 404 page.,The missing file could not be identified without leaving the bounded trace scope.,No action unless a later authorized verification pass supplies a direct replacement link.
TXV-2026-07-16-A04,trace_only,Austin,TX,tx_austin,TXTRACE-004,unknown,unclear,Raw Austin web trace,Requested Austin Public Utilities Supervisors contract PDF not found,https://afscmeatwork.org/system/files/2566-0003_austin_public_utilities_supervisors_contract_2022-2024_0.pdf,https://afscmeatwork.org/system/files/2566-0003_austin_public_utilities_supervisors_contract_2022-2024_0.pdf,no,404,unreachable,official_union,AFSCME-hosted site,unclear,,unclear,The title alone is insufficient to distinguish Austin Texas from another Austin or to verify a City employer.,unknown,dead_link,unclear,AFSCME affiliate not verified,not supplied,2022-2024 asserted by file name,unknown,no,trace_only_not_candidate,unreachable_do_not_ingest,low,The exact PDF URL returned 404.,No document content or employer identity was available; the promising file name cannot be treated as evidence.,Do not use. A replacement would require a separately bounded source lead.
