state,county_equivalent_count,municipalities_known,municipalities_scouted,municipalities_scout_positive,municipalities_with_police_candidate,municipalities_with_fire_candidate,municipalities_with_non_safety_candidate,municipalities_with_likely_triad,candidate_rows_total,official_or_union_candidate_rows,high_priority_candidate_rows,scout_total_cost,input_tokens_total,reasoning_tokens_total,output_tokens_total,last_updated
AL,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
AK,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
AZ,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
AR,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
CA,58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
CO,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
CT,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
DE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
DC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
FL,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
GA,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
HI,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
ID,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
IL,102,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
IN,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
IA,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
KS,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
KY,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
LA,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
ME,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
MD,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
MA,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
MI,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
MN,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
MS,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
MO,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
MT,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
NE,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
NV,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
NH,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
NJ,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
NM,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
NY,62,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
NC,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
ND,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
OH,88,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
OK,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
OR,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
PA,67,25,25,23,20,16,14,10,75,65,3,0.2687877,814151.0,36975.0,47791.0,2026-07-15T12:33:41
RI,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
SC,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
SD,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
TN,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
TX,254,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
UT,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
VT,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
VA,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
WA,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
WV,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
WI,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
WY,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15T12:33:41
