pa_batch_id,pa_runner_shard_id,pa_priority_rank,state,municipality,municipality_id,census_gov_id,government_name,government_type,geography_type,population,population_year,county_relationship_count,multi_county_flag,county_context_summary,batching_county_geoid,batching_county_name,already_scouted,scout_positive_status,already_in_corpus,already_in_city_coverage,government_website_available,pa_priority_score,pa_priority_tier,selection_reason,expected_units_to_search,verification_notes,recommended_scout_status
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-001,1,PA,Lower Paxton,cog_2025_211235,211235,TOWNSHIP OF LOWER PAXTON,township,county_subdivision,54807,2023,1,no,Dauphin County [42043; county; government-units-primary=yes; basis=2024_county_subdivision_geoid],42043,Dauphin County,no,not_scouted,no,no,yes,90,tier_1_high_plausibility,"tier_1_high_plausibility (score=90): population band 50,000+; Census political type township; Government Units record supplies an official website; shares county context with a previously scouted municipality; shares county context with a scout-positive municipality; shares county context with a prior likely-triad scout result. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified. Confirm the township government—not a same-name borough/city, county, school district, or statistical place—is the employer.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-001,2,PA,Millcreek,cog_2025_133760,133760,TOWNSHIP OF MILLCREEK,township,county_subdivision,53101,2023,1,no,Erie County [42049; county; government-units-primary=yes; basis=2024_county_subdivision_geoid],42049,Erie County,no,not_scouted,no,no,yes,90,tier_1_high_plausibility,"tier_1_high_plausibility (score=90): population band 50,000+; Census political type township; Government Units record supplies an official website; shares county context with a previously scouted municipality; shares county context with a scout-positive municipality; shares county context with a prior likely-triad scout result. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified. Confirm the township government—not a same-name borough/city, county, school district, or statistical place—is the employer.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-001,3,PA,Upper Darby,cog_2025_174437,174437,TOWNSHIP OF UPPER DARBY,township,county_subdivision,84893,2023,1,no,Delaware County [42045; county; government-units-primary=yes; basis=2024_county_subdivision_geoid],42045,Delaware County,no,not_scouted,no,no,yes,85,tier_1_high_plausibility,"tier_1_high_plausibility (score=85): population band 50,000+; Census political type township; Government Units record supplies an official website; shares county context with a previously scouted municipality; shares county context with a scout-positive municipality. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified. Confirm the township government—not a same-name borough/city, county, school district, or statistical place—is the employer.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-001,4,PA,Lower Merion,cog_2025_133845,133845,TOWNSHIP OF LOWER MERION,township,county_subdivision,64157,2023,1,no,Montgomery County [42091; county; government-units-primary=yes; basis=2024_county_subdivision_geoid],42091,Montgomery County,no,not_scouted,no,no,yes,85,tier_1_high_plausibility,"tier_1_high_plausibility (score=85): population band 50,000+; Census political type township; Government Units record supplies an official website; shares county context with a previously scouted municipality; shares county context with a scout-positive municipality. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified. Confirm the township government—not a same-name borough/city, county, school district, or statistical place—is the employer.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-001,5,PA,Penn Hills,cog_2025_174200,174200,MUNICIPALITY OF PENN HILLS,municipal,place,39643,2023,1,no,Allegheny County [42003; county; government-units-primary=yes; basis=2025_government_units_primary_county_supplement],42003,Allegheny County,no,not_scouted,no,no,yes,82,tier_1_high_plausibility,"tier_1_high_plausibility (score=82): population band 25,000-49,999; Census political type municipality; Government Units record supplies an official website; shares county context with a previously scouted municipality; shares county context with a scout-positive municipality. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-001,6,PA,York,cog_2025_174829,174829,TOWNSHIP OF YORK,township,county_subdivision,30485,2023,1,no,York County [42133; county; government-units-primary=yes; basis=2024_county_subdivision_geoid],42133,York County,no,not_scouted,no,no,yes,80,tier_1_high_plausibility,"tier_1_high_plausibility (score=80): population band 25,000-49,999; Census political type township; Government Units record supplies an official website; shares county context with a previously scouted municipality; shares county context with a scout-positive municipality; shares county context with a prior likely-triad scout result. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified. Confirm the township government—not a same-name borough/city, county, school district, or statistical place—is the employer.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-001,7,PA,Nanticoke,cog_2025_133582,133582,CITY OF NANTICOKE,municipal,place,10615,2023,1,no,Luzerne County [42079; county; government-units-primary=yes; basis=2020_place_by_county],42079,Luzerne County,no,not_scouted,no,no,yes,80,tier_1_high_plausibility,"tier_1_high_plausibility (score=80): population band 10,000-24,999; Census political type city; Government Units record supplies an official website; shares county context with a previously scouted municipality; shares county context with a scout-positive municipality; shares county context with a prior likely-triad scout result. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-001,8,PA,Manheim,cog_2025_133804,133804,TOWNSHIP OF MANHEIM,township,county_subdivision,44265,2023,1,no,Lancaster County [42071; county; government-units-primary=yes; basis=2024_county_subdivision_geoid],42071,Lancaster County,no,not_scouted,no,no,yes,75,tier_1_high_plausibility,"tier_1_high_plausibility (score=75): population band 25,000-49,999; Census political type township; Government Units record supplies an official website; shares county context with a previously scouted municipality; shares county context with a scout-positive municipality. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified. Confirm the township government—not a same-name borough/city, county, school district, or statistical place—is the employer.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-001,9,PA,Lower Macungie,cog_2025_112222,112222,TOWNSHIP OF LOWER MACUNGIE,township,county_subdivision,32524,2023,1,no,Lehigh County [42077; county; government-units-primary=yes; basis=2024_county_subdivision_geoid],42077,Lehigh County,no,not_scouted,no,no,yes,75,tier_1_high_plausibility,"tier_1_high_plausibility (score=75): population band 25,000-49,999; Census political type township; Government Units record supplies an official website; shares county context with a previously scouted municipality; shares county context with a scout-positive municipality. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified. Confirm the township government—not a same-name borough/city, county, school district, or statistical place—is the employer.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-001,10,PA,Spring,cog_2025_133680,133680,TOWNSHIP OF SPRING,township,county_subdivision,28501,2023,1,no,Berks County [42011; county; government-units-primary=yes; basis=2024_county_subdivision_geoid],42011,Berks County,no,not_scouted,no,no,yes,75,tier_1_high_plausibility,"tier_1_high_plausibility (score=75): population band 25,000-49,999; Census political type township; Government Units record supplies an official website; shares county context with a previously scouted municipality; shares county context with a scout-positive municipality. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified. Confirm the township government—not a same-name borough/city, county, school district, or statistical place—is the employer.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-001,11,PA,Bethlehem,cog_2025_174646,174646,TOWNSHIP OF BETHLEHEM,township,county_subdivision,26338,2023,1,no,Northampton County [42095; county; government-units-primary=yes; basis=2024_county_subdivision_geoid],42095,Northampton County,no,not_scouted,no,no,yes,75,tier_1_high_plausibility,"tier_1_high_plausibility (score=75): population band 25,000-49,999; Census political type township; Government Units record supplies an official website; shares county context with a previously scouted municipality; shares county context with a scout-positive municipality. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified. Confirm the township government—not a same-name borough/city, county, school district, or statistical place—is the employer.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-001,12,PA,Dunmore,cog_2025_173992,173992,BOROUGH OF DUNMORE,municipal,place,14186,2023,1,no,Lackawanna County [42069; county; government-units-primary=yes; basis=2020_place_by_county],42069,Lackawanna County,no,not_scouted,no,no,yes,73,tier_1_high_plausibility,"tier_1_high_plausibility (score=73): population band 10,000-24,999; Census political type borough; Government Units record supplies an official website; shares county context with a previously scouted municipality; shares county context with a scout-positive municipality; shares county context with a prior likely-triad scout result. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-001,13,PA,Waynesboro,cog_2025_133552,133552,BOROUGH OF WAYNESBORO,municipal,place,11067,2023,1,no,Franklin County [42055; county; government-units-primary=yes; basis=2020_place_by_county],42055,Franklin County,no,not_scouted,no,no,yes,73,tier_1_high_plausibility,"tier_1_high_plausibility (score=73): population band 10,000-24,999; Census political type borough; Government Units record supplies an official website; shares county context with a previously scouted municipality; shares county context with a scout-positive municipality; shares county context with a prior likely-triad scout result. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-001,14,PA,Bensalem,cog_2025_194869,194869,TOWNSHIP OF BENSALEM,township,county_subdivision,62800,2023,1,no,Bucks County [42017; county; government-units-primary=yes; basis=2024_county_subdivision_geoid],42017,Bucks County,no,not_scouted,no,no,yes,70,tier_1_high_plausibility,"tier_1_high_plausibility (score=70): population band 50,000+; Census political type township; Government Units record supplies an official website. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified. Confirm the township government—not a same-name borough/city, county, school district, or statistical place—is the employer.",ready_for_scout
