post_pi_wave_rank,original_priority_rank,post_pi_wave_id,worker_batch,worker_batch_row,future_live_queue_id,municipality_id,census_gov_id,state,municipality,government_name,government_type,geography_type,population,county_relationship_count,multi_county_flag,county_context_summary,total_priority_score,priority_tier,priority_confidence,population_score,government_type_score,state_yield_score,research_design_score,geographic_value_score,evidence_signal_score,retry_flag,failure_only_flag,scout_coverage_status,candidate_row_count,future_scout_eligible_flag,future_scout_exclusion_reason,priority_reason_summary,source_priority_file,source_priority_commit,search_hints_available,search_hint_1,search_hint_2,search_hint_3,search_hint_4,search_hint_5,already_canonical_flag,candidate_positive_flag,expected_units_to_search,verification_notes,recommended_scout_status,worker_id,worker_state_scope,worker_rank_min,worker_rank_max,worker_assignment_method
51,60,POST-PI-SCALEUP-WAVE1-2026-07-23,post_pi_wave1_worker_2,1,COORD-POST-PI-WAVE1-SERIAL150-2026-07-23,cog_2025_110734,110734,OH,Pickerington,CITY OF PICKERINGTON,municipal,place,25256,2,yes,Fairfield County (39045; primary); Franklin County (39049),76.056,Tier 1,low,22.770,10.000,16.670,11.977,9.638,0.000,false,false,not_scouted,0,true,eligible_new_scout,population percentile 94.3; municipal/place; state evidence low; smoothed yield component 16.7/20; 3 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF PICKERINGTON"" OH official website","""CITY OF PICKERINGTON"" OH collective bargaining agreement","""CITY OF PICKERINGTON"" OH police union contract","""CITY OF PICKERINGTON"" OH fire union contract","""CITY OF PICKERINGTON"" OH salary schedule employee compensation plan",false,false,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF PICKERINGTON (Census government ID 110734; locked municipality ID cog_2025_110734). County context: Fairfield County (39045; primary); Franklin County (39049). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post_pi_wave1_worker_prep_dry_run_only,worker_2,CROSS_STATE_POST_PI_SCALEUP_WAVE1,51,100,rank_sliced_contiguous
52,61,POST-PI-SCALEUP-WAVE1-2026-07-23,post_pi_wave1_worker_2,2,COORD-POST-PI-WAVE1-SERIAL150-2026-07-23,cog_2025_173712,173712,OR,Newberg,CITY OF NEWBERG,municipal,place,26095,1,no,Yamhill County (41071; primary),76.044,Tier 1,low,22.831,10.000,16.964,12.684,8.565,0.000,false,false,not_scouted,0,true,eligible_new_scout,population percentile 94.5; municipal/place; state evidence low; smoothed yield component 17.0/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF NEWBERG"" OR official website","""CITY OF NEWBERG"" OR collective bargaining agreement","""CITY OF NEWBERG"" OR police union contract","""CITY OF NEWBERG"" OR fire union contract","""CITY OF NEWBERG"" OR salary schedule employee compensation plan",false,false,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF NEWBERG (Census government ID 173712; locked municipality ID cog_2025_173712). County context: Yamhill County (41071; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post_pi_wave1_worker_prep_dry_run_only,worker_2,CROSS_STATE_POST_PI_SCALEUP_WAVE1,51,100,rank_sliced_contiguous
53,62,POST-PI-SCALEUP-WAVE1-2026-07-23,post_pi_wave1_worker_2,3,COORD-POST-PI-WAVE1-SERIAL150-2026-07-23,cog_2025_101937,101937,FL,Homestead,CITY OF HOMESTEAD,municipal,place,81659,1,no,Miami-Dade County (12086; primary),76.039,Tier 1,medium,24.610,10.000,17.089,11.950,7.389,0.000,false,false,not_scouted,0,true,eligible_new_scout,population percentile 98.6; municipal/place; state evidence medium; smoothed yield component 17.1/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF HOMESTEAD"" FL official website","""CITY OF HOMESTEAD"" FL collective bargaining agreement","""CITY OF HOMESTEAD"" FL police union contract","""CITY OF HOMESTEAD"" FL fire union contract","""CITY OF HOMESTEAD"" FL salary schedule employee compensation plan",false,false,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF HOMESTEAD (Census government ID 101937; locked municipality ID cog_2025_101937). County context: Miami-Dade County (12086; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post_pi_wave1_worker_prep_dry_run_only,worker_2,CROSS_STATE_POST_PI_SCALEUP_WAVE1,51,100,rank_sliced_contiguous
54,63,POST-PI-SCALEUP-WAVE1-2026-07-23,post_pi_wave1_worker_2,4,COORD-POST-PI-WAVE1-SERIAL150-2026-07-23,cog_2025_176845,176845,WA,Sammamish,CITY OF SAMMAMISH,municipal,place,65116,1,no,King County (53033; primary),76.027,Tier 1,medium,24.295,10.000,16.923,12.131,7.678,0.000,false,false,not_scouted,0,true,eligible_new_scout,population percentile 98.1; municipal/place; state evidence medium; smoothed yield component 16.9/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF SAMMAMISH"" WA official website","""CITY OF SAMMAMISH"" WA collective bargaining agreement","""CITY OF SAMMAMISH"" WA police union contract","""CITY OF SAMMAMISH"" WA fire union contract","""CITY OF SAMMAMISH"" WA salary schedule employee compensation plan",false,false,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF SAMMAMISH (Census government ID 176845; locked municipality ID cog_2025_176845). County context: King County (53033; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post_pi_wave1_worker_prep_dry_run_only,worker_2,CROSS_STATE_POST_PI_SCALEUP_WAVE1,51,100,rank_sliced_contiguous
55,64,POST-PI-SCALEUP-WAVE1-2026-07-23,post_pi_wave1_worker_2,5,COORD-POST-PI-WAVE1-SERIAL150-2026-07-23,cog_2025_212239,212239,OH,Cleveland Heights,CITY OF CLEVELAND HEIGHTS,municipal,place,43908,1,no,Cuyahoga County (39035; primary),76.024,Tier 1,low,23.703,10.000,16.670,11.977,8.673,0.000,false,false,not_scouted,0,true,eligible_new_scout,population percentile 96.9; municipal/place; state evidence low; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF CLEVELAND HEIGHTS"" OH official website","""CITY OF CLEVELAND HEIGHTS"" OH collective bargaining agreement","""CITY OF CLEVELAND HEIGHTS"" OH police union contract","""CITY OF CLEVELAND HEIGHTS"" OH fire union contract","""CITY OF CLEVELAND HEIGHTS"" OH salary schedule employee compensation plan",false,false,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF CLEVELAND HEIGHTS (Census government ID 212239; locked municipality ID cog_2025_212239). County context: Cuyahoga County (39035; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post_pi_wave1_worker_prep_dry_run_only,worker_2,CROSS_STATE_POST_PI_SCALEUP_WAVE1,51,100,rank_sliced_contiguous
56,65,POST-PI-SCALEUP-WAVE1-2026-07-23,post_pi_wave1_worker_2,6,COORD-POST-PI-WAVE1-SERIAL150-2026-07-23,cog_2025_161668,161668,FL,St. Cloud,CITY OF ST CLOUD,municipal,place,66448,1,no,Osceola County (12097; primary),76.018,Tier 1,medium,24.325,10.000,17.089,11.950,7.654,0.000,false,false,not_scouted,0,true,eligible_new_scout,population percentile 98.1; municipal/place; state evidence medium; smoothed yield component 17.1/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF ST CLOUD"" FL official website","""CITY OF ST CLOUD"" FL collective bargaining agreement","""CITY OF ST CLOUD"" FL police union contract","""CITY OF ST CLOUD"" FL fire union contract","""CITY OF ST CLOUD"" FL salary schedule employee compensation plan",false,false,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF ST CLOUD (Census government ID 161668; locked municipality ID cog_2025_161668). County context: Osceola County (12097; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post_pi_wave1_worker_prep_dry_run_only,worker_2,CROSS_STATE_POST_PI_SCALEUP_WAVE1,51,100,rank_sliced_contiguous
57,66,POST-PI-SCALEUP-WAVE1-2026-07-23,post_pi_wave1_worker_2,7,COORD-POST-PI-WAVE1-SERIAL150-2026-07-23,cog_2025_133206,133206,OR,Happy Valley,CITY OF HAPPY VALLEY,municipal,place,28409,1,no,Clackamas County (41005; primary),76.014,Tier 1,low,22.988,10.000,16.964,12.684,8.377,0.000,false,false,not_scouted,0,true,eligible_new_scout,population percentile 95.0; municipal/place; state evidence low; smoothed yield component 17.0/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF HAPPY VALLEY"" OR official website","""CITY OF HAPPY VALLEY"" OR collective bargaining agreement","""CITY OF HAPPY VALLEY"" OR police union contract","""CITY OF HAPPY VALLEY"" OR fire union contract","""CITY OF HAPPY VALLEY"" OR salary schedule employee compensation plan",false,false,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF HAPPY VALLEY (Census government ID 133206; locked municipality ID cog_2025_133206). County context: Clackamas County (41005; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post_pi_wave1_worker_prep_dry_run_only,worker_2,CROSS_STATE_POST_PI_SCALEUP_WAVE1,51,100,rank_sliced_contiguous
58,67,POST-PI-SCALEUP-WAVE1-2026-07-23,post_pi_wave1_worker_2,8,COORD-POST-PI-WAVE1-SERIAL150-2026-07-23,cog_2025_136102,136102,WA,Richland,CITY OF RICHLAND,municipal,place,63757,1,no,Benton County (53005; primary),76.013,Tier 1,medium,24.265,10.000,16.923,12.131,7.693,0.000,false,false,not_scouted,0,true,eligible_new_scout,population percentile 98.0; municipal/place; state evidence medium; smoothed yield component 16.9/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF RICHLAND"" WA official website","""CITY OF RICHLAND"" WA collective bargaining agreement","""CITY OF RICHLAND"" WA police union contract","""CITY OF RICHLAND"" WA fire union contract","""CITY OF RICHLAND"" WA salary schedule employee compensation plan",false,false,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF RICHLAND (Census government ID 136102; locked municipality ID cog_2025_136102). County context: Benton County (53005; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post_pi_wave1_worker_prep_dry_run_only,worker_2,CROSS_STATE_POST_PI_SCALEUP_WAVE1,51,100,rank_sliced_contiguous
59,68,POST-PI-SCALEUP-WAVE1-2026-07-23,post_pi_wave1_worker_2,9,COORD-POST-PI-WAVE1-SERIAL150-2026-07-23,cog_2025_124243,124243,FL,Miami Beach,CITY OF MIAMI BEACH,municipal,place,79607,1,no,Miami-Dade County (12086; primary),76.004,Tier 1,medium,24.576,10.000,17.089,11.950,7.389,0.000,false,false,not_scouted,0,true,eligible_new_scout,population percentile 98.5; municipal/place; state evidence medium; smoothed yield component 17.1/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF MIAMI BEACH"" FL official website","""CITY OF MIAMI BEACH"" FL collective bargaining agreement","""CITY OF MIAMI BEACH"" FL police union contract","""CITY OF MIAMI BEACH"" FL fire union contract","""CITY OF MIAMI BEACH"" FL salary schedule employee compensation plan",false,false,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF MIAMI BEACH (Census government ID 124243; locked municipality ID cog_2025_124243). County context: Miami-Dade County (12086; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post_pi_wave1_worker_prep_dry_run_only,worker_2,CROSS_STATE_POST_PI_SCALEUP_WAVE1,51,100,rank_sliced_contiguous
60,69,POST-PI-SCALEUP-WAVE1-2026-07-23,post_pi_wave1_worker_2,10,COORD-POST-PI-WAVE1-SERIAL150-2026-07-23,cog_2025_166770,166770,MI,Rochester Hills,CITY OF ROCHESTER HILLS,municipal,place,76002,1,no,Oakland County (26125; primary),76.003,Tier 1,low,24.511,10.000,16.291,11.702,8.499,0.000,false,false,not_scouted,0,true,eligible_new_scout,population percentile 98.4; municipal/place; state evidence low; smoothed yield component 16.3/20; 2 county relationship(s); unscouted,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,3f2f815f4ca4b4e90f6ca1bff769bd300843d703,true,"""CITY OF ROCHESTER HILLS"" MI official website","""CITY OF ROCHESTER HILLS"" MI collective bargaining agreement","""CITY OF ROCHESTER HILLS"" MI police union contract","""CITY OF ROCHESTER HILLS"" MI fire union contract","""CITY OF ROCHESTER HILLS"" MI salary schedule employee compensation plan",false,false,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF ROCHESTER HILLS (Census government ID 166770; locked municipality ID cog_2025_166770). County context: Oakland County (26125; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post_pi_wave1_worker_prep_dry_run_only,worker_2,CROSS_STATE_POST_PI_SCALEUP_WAVE1,51,100,rank_sliced_contiguous
