source_review_id,triage_id,candidate_queue_row_id,verification_id,municipality_id,census_gov_id,state,municipality,government_name,candidate_url,final_url,source_locator,candidate_title,candidate_source_type,candidate_status_before_verification,verification_status,content_type,triage_status,priority_for_content_review,recommended_next_action,candidate_priority,verification_round_id,content_triage_round_id,source_owner_type,unit_type_scouted,population,matched_set_potential,official_domain_signal,duplicate_source_group_id,duplicate_group_size,duplicate_group_role_for_triage,pilot_selection_rank,source_review_lane_id,source_review_stage,pilot_selection_reason,source_review_status,source_review_status_detail,url_access_status,download_status,content_artifact_path,content_hash,content_byte_size,content_type_observed,text_layer_status,pdf_page_count,source_officialness_rating,source_relevance_rating,municipality_match_rating,employer_match_rating,bargaining_unit_match_rating,safety_unit_match_signal,non_safety_unit_match_signal,document_type_rating,contract_or_document_period_start,contract_or_document_period_end,wage_table_signal,wage_growth_signal,mechanism_language_signal,extraction_readiness_rating,extraction_mode_recommended,duplicate_canonical_decision,reviewer_notes,reviewer,reviewed_at,urls_opened,network_calls,documents_downloaded,documents_parsed,pdfs_parsed,ocr_runs,content_artifacts_written
sr_d15cc4585f5931e83c8142a3,TRI-ad0ab79b818c4c0138bb,NSCQ-IL-20260720-0089,VER-5f84cf7f26d34c42e94a,cog_2025_124909,124909,IL,Wheaton,CITY OF WHEATON,https://wheaton.il.us/DocumentCenter/View/5094,https://wheaton.il.us/DocumentCenter/View/5094/2017---2020-MAP-Local-450-Collective-Bargaining-Agreement-PDF?bidId=,https://wheaton.il.us/DocumentCenter/View/5094/2017---2020-MAP-Local-450-Collective-Bargaining-Agreement-PDF?bidId=,2017 - 2020 MAP Local 450 Collective Bargaining Agreement - Signed by Both Parties,cba,scheduled,reachable_pdf_or_document,application/pdf,high_priority_content_review,p1,content_review_download_allowed_later,high,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,CONTENT-TRIAGE-ROUND1-1000-2026-07-24,city,police,,yes,likely_official,URL-4baf4958332b792b9027,1,canonical_representative,3,lane_3,planned_not_reviewed,p1 download-allowed cba candidate; selected from committed metadata only,planned_not_reviewed,offline pilot planning only; source content not accessed,not_started,not_started,,,,unknown,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,manual_review,not_reviewed,,script_metadata_only,,0,0,0,0,0,0,0
sr_eb15f69f9cff6824b02a730f,TRI-81366f5ef1cae95f9c24,NSCQ-WA-20260720-0162,VER-cffe56011ab8a1630235,cog_2025_176826,176826,WA,Aberdeen,CITY OF ABERDEEN,https://www.aberdeenwa.gov/DocumentCenter/View/2200/Final-APOG-2023-2025-Signed-CBA,https://www.aberdeenwa.gov/DocumentCenter/View/2200/Final-APOG-2023-2025-Signed-CBA,https://www.aberdeenwa.gov/DocumentCenter/View/2200/Final-APOG-2023-2025-Signed-CBA,Final APOG 2023-2025 Signed CBA,cba,scheduled,reachable_pdf_or_document,application/pdf,high_priority_content_review,p1,content_review_download_allowed_later,high,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,CONTENT-TRIAGE-ROUND1-1000-2026-07-24,city,police,,yes,likely_official,URL-a9892c8ef826b853cca2,1,canonical_representative,6,lane_3,planned_not_reviewed,p1 download-allowed cba candidate; selected from committed metadata only,planned_not_reviewed,offline pilot planning only; source content not accessed,not_started,not_started,,,,unknown,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,manual_review,not_reviewed,,script_metadata_only,,0,0,0,0,0,0,0
sr_38575ba9cc51ae5d0fc161a2,TRI-9df241e22dd88bb692c7,NSCQ-WI-20260720-0165,VER-72963a7a5a4aa92ce8ad,cog_2025_209809,209809,WI,Cudahy,CITY OF CUDAHY,https://cms9files1.revize.com/cudahywi/Per%20October%2018%2C%202022.pdf,https://cms9files1.revize.com/cudahywi/Per%20October%2018%2C%202022.pdf,https://cms9files1.revize.com/cudahywi/Per%20October%2018%2C%202022.pdf,Police Union Contract 2023-2025 (City of Cudahy Professional Police Association) — includes wages and salary schedule,cba,scheduled,reachable_pdf_or_document,application/pdf,high_priority_content_review,p1,content_review_download_allowed_later,high,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,CONTENT-TRIAGE-REMAINDER-ALL-ROUTED-2026-07-24,city,police,,yes,likely_official,URL-51ff25f54e65876c961f,1,canonical_representative,9,lane_3,planned_not_reviewed,p1 download-allowed cba candidate; selected from committed metadata only,planned_not_reviewed,offline pilot planning only; source content not accessed,not_started,not_started,,,,unknown,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,manual_review,not_reviewed,,script_metadata_only,,0,0,0,0,0,0,0
sr_9ed197b592fa138ec36915bc,TRI-5edfaa852e39fd3058d1,NSCQ-OH-20260720-0811,VER-889eb8bb0f712698b6c1,cog_2025_110901,110901,OH,Colerain,TOWNSHIP OF COLERAIN,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-CON-02-1003.pdf,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-CON-02-1003.pdf,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-CON-02-1003.pdf,"Collective Bargaining Agreement — Colerain Career Firefighters, IAFF Local 3915 (January 1, 2020 through December 31, 2022)",cba,scheduled,reachable_pdf_or_document,application/pdf,high_priority_content_review,p1,content_review_download_allowed_later,high,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,CONTENT-TRIAGE-ROUND1-1000-2026-07-24,state_labor_board,fire,,yes,likely_official,URL-82a8f746d41fc00c587d,1,canonical_representative,12,lane_3,planned_not_reviewed,p1 download-allowed cba candidate; selected from committed metadata only,planned_not_reviewed,offline pilot planning only; source content not accessed,not_started,not_started,,,,unknown,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,manual_review,not_reviewed,,script_metadata_only,,0,0,0,0,0,0,0
sr_e8b8fbe9d494c15713c00790,TRI-967b0caee1caf70f01d1,NSCQ-FL-20260720-0080,VER-329cc344ca087561305a,cog_2025_161669,161669,FL,Boynton Beach,CITY OF BOYNTON BEACH,https://www.boynton-beach.org/DocumentCenter/View/1105/IAFF---2023-10-01---2026-09-30,https://www.boynton-beach.org/DocumentCenter/View/1105/IAFF---2023-10-01---2026-09-30,https://www.boynton-beach.org/DocumentCenter/View/1105/IAFF---2023-10-01---2026-09-30,"Executive Board (Agreement Between City of Boynton Beach, Florida and Boynton Beach Association of Fire Fighters Florida Local 1891, IAFF): October 1, 2024 through September 30, 2027",cba,scheduled,reachable_pdf_or_document,application/pdf,high_priority_content_review,p1,content_review_download_allowed_later,high,VERIFICATION-SCALE-ROUND2-3X1000-REMAINDER-2026-07-24,CONTENT-TRIAGE-REMAINDER-ALL-ROUTED-2026-07-24,city,fire,,yes,likely_official,URL-f7b8f20723bc0dc9647b,1,canonical_representative,15,lane_3,planned_not_reviewed,p1 download-allowed cba candidate; selected from committed metadata only,planned_not_reviewed,offline pilot planning only; source content not accessed,not_started,not_started,,,,unknown,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,manual_review,not_reviewed,,script_metadata_only,,0,0,0,0,0,0,0
sr_aa8f04132378d2351a3a3a24,TRI-5fad0318b310f780b48f,NSCQ-MA-20260720-0028,VER-cfe191a4976db0cd1e75,cog_2025_106061,106061,MA,Springfield,CITY OF SPRINGFIELD,https://www.springfield-ma.gov/hr/fileadmin/Personnel/public/Union_Contracts/IAFF_648_2017-2020.pdf,https://www.springfield-ma.gov/hr/fileadmin/Personnel/public/Union_Contracts/IAFF_648_2017-2020.pdf,https://www.springfield-ma.gov/hr/fileadmin/Personnel/public/Union_Contracts/IAFF_648_2017-2020.pdf,IAFF_648_2017-2020.pdf,cba,scheduled,reachable_pdf_or_document,application/pdf,high_priority_content_review,p1,content_review_download_allowed_later,high,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,CONTENT-TRIAGE-ROUND1-1000-2026-07-24,city,fire,,yes,likely_official,URL-d346ac63075ef0fddae1,1,canonical_representative,18,lane_3,planned_not_reviewed,p1 download-allowed cba candidate; selected from committed metadata only,planned_not_reviewed,offline pilot planning only; source content not accessed,not_started,not_started,,,,unknown,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,manual_review,not_reviewed,,script_metadata_only,,0,0,0,0,0,0,0
sr_8de690f2cbb05948d863b18c,TRI-a1b2f05baaf8bc3c1067,NSCQ-MN-20260720-0112,VER-cb9c04f5594f116adf55,cog_2025_167632,167632,MN,Hibbing,CITY OF HIBBING,https://www.hibbingmn.gov/DocumentCenter/View/1332/MAPE-Contract-2023-2025,https://www.hibbingmn.gov/DocumentCenter/View/1332/MAPE-Contract-2026-2028?bidId=,https://www.hibbingmn.gov/DocumentCenter/View/1332/MAPE-Contract-2026-2028?bidId=,MAPE Contract 2023-2025,cba,scheduled,reachable_pdf_or_document,application/pdf,high_priority_content_review,p1,content_review_download_allowed_later,high,VERIFICATION-SCALE-ROUND2-3X1000-REMAINDER-2026-07-24,CONTENT-TRIAGE-REMAINDER-ALL-ROUTED-2026-07-24,city,non_safety,,yes,likely_official,URL-e0d6462e654beff2379f,1,canonical_representative,21,lane_3,planned_not_reviewed,p1 download-allowed cba candidate; selected from committed metadata only,planned_not_reviewed,offline pilot planning only; source content not accessed,not_started,not_started,,,,unknown,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,manual_review,not_reviewed,,script_metadata_only,,0,0,0,0,0,0,0
sr_80803aef07d395d9cc0d3404,TRI-71315acd6eda05e0d750,NSCQ-CA-20260720-0232,VER-b57295b23ce31f529bfe,cog_2025_123094,123094,CA,San Leandro,CITY OF SAN LEANDRO,https://www.sanleandro.org/DocumentCenter/View/1431/SLMO-Memorandum-of-Understanding-2023---June-2028-PDF,https://www.sanleandro.org/DocumentCenter/View/1431/SLMO-Memorandum-of-Understanding-2023---June-2028-PDF,https://www.sanleandro.org/DocumentCenter/View/1431/SLMO-Memorandum-of-Understanding-2023---June-2028-PDF,Memorandum of Understanding (San Leandro Management Organization),cba,scheduled,reachable_pdf_or_document,application/pdf,high_priority_content_review,p1,content_review_download_allowed_later,high,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,CONTENT-TRIAGE-ROUND1-1000-2026-07-24,city,non_safety,,yes,likely_official,URL-adfa482d9c1e51ff0a04,1,canonical_representative,24,lane_3,planned_not_reviewed,p1 download-allowed cba candidate; selected from committed metadata only,planned_not_reviewed,offline pilot planning only; source content not accessed,not_started,not_started,,,,unknown,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,manual_review,not_reviewed,,script_metadata_only,,0,0,0,0,0,0,0
sr_b2de0344c561104d58413d21,TRI-68956428201bfc6d46dd,NSCQ-MI-20260720-0027,VER-7a7c12e63cdf8741b99e,cog_2025_128316,128316,MI,Midland,CITY OF MIDLAND,https://cityofmidlandmi.gov/DocumentCenter/View/17736/MMEA-Contract?bidId=,https://cityofmidlandmi.gov/DocumentCenter/View/17736/MMEA-Contract?bidId=,https://cityofmidlandmi.gov/DocumentCenter/View/17736/MMEA-Contract?bidId=,Midland Municipal Employees Association (MMEA) - Collective Bargaining Agreement,cba,scheduled,reachable_pdf_or_document,application/pdf,high_priority_content_review,p1,content_review_download_allowed_later,high,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,CONTENT-TRIAGE-REMAINDER-ALL-ROUTED-2026-07-24,city,non_safety,,yes,likely_official,URL-c4f25230fd55f9225740,1,canonical_representative,27,lane_3,planned_not_reviewed,p1 download-allowed cba candidate; selected from committed metadata only,planned_not_reviewed,offline pilot planning only; source content not accessed,not_started,not_started,,,,unknown,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,manual_review,not_reviewed,,script_metadata_only,,0,0,0,0,0,0,0
sr_1321379ac6e2a9ff189ac57d,TRI-db9626791a049dd69c0b,NSCQ-OR-20260720-0087,VER-2306a494017f795f178c,cog_2025_173694,173694,OR,Pendleton,CITY OF PENDLETON,https://www.pendletonor.gov/media/9981,https://www.pendletonor.gov/media/9981,https://www.pendletonor.gov/media/9981,Collective Bargaining Agreement between the City of Pendleton and SEIU Local 503/OPEU (2018-2021),cba,scheduled,reachable_pdf_or_document,application/pdf,high_priority_content_review,p1,content_review_download_allowed_later,high,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,CONTENT-TRIAGE-ROUND1-1000-2026-07-24,city,non_safety,,yes,likely_official,URL-6dbc311794114d6ae528,1,canonical_representative,30,lane_3,planned_not_reviewed,p1 download-allowed cba candidate; selected from committed metadata only,planned_not_reviewed,offline pilot planning only; source content not accessed,not_started,not_started,,,,unknown,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,manual_review,not_reviewed,,script_metadata_only,,0,0,0,0,0,0,0
