state,universe_count,scout_covered_count,future_scout_eligible_count,tier_1_eligible_count,tier_2_eligible_count,tier_3_eligible_count,tier_4_eligible_count,tier_5_eligible_count,candidate_positive_rate,candidate_rows_per_covered_municipality,parseable_empty_rate,failure_rate,state_yield_score,state_score_confidence,average_priority_score,high_priority_coverage_rate,recommended_next_wave_status
AK,149,13,136,0,12,57,63,4,0.923077,2.230769,0.076923,0.000000,16.188,low,60.711,0.520000,defer_or_geographic_balance_only
AL,463,17,446,0,56,136,151,103,0.470588,0.823529,0.529412,0.000000,13.194,medium,58.532,0.232877,cross_state_priority_fill
AR,501,16,485,1,32,106,159,187,0.500000,1.000000,0.500000,0.058824,13.453,medium,56.686,0.326531,cross_state_priority_fill
AZ,91,19,72,6,41,19,6,0,0.736842,1.526316,0.263158,0.050000,14.869,medium,66.976,0.287879,cross_state_priority_fill
CA,483,304,179,31,122,19,7,0,0.953947,2.546053,0.046053,0.022508,18.375,high,72.078,0.665208,priority_high_evidence_state
CO,271,20,251,0,52,66,84,49,0.600000,1.250000,0.400000,0.000000,13.988,medium,60.014,0.277778,cross_state_priority_fill
CT,179,24,155,7,116,30,2,0,0.916667,2.583333,0.083333,0.000000,16.799,medium,67.852,0.163265,cross_state_priority_fill
DC,1,1,0,0,0,0,0,0,1.000000,5.000000,0.000000,0.000000,15.659,low,76.882,1.000000,defer_or_geographic_balance_only
DE,57,8,49,0,16,13,20,0,0.875000,2.125000,0.125000,0.000000,15.762,low,63.012,0.333333,defer_or_geographic_balance_only
FL,411,145,266,0,3,109,103,51,0.717241,1.662069,0.282759,0.020270,14.468,high,61.000,0.974576,defer_or_geographic_balance_only
GA,537,10,527,2,145,139,188,53,0.500000,0.700000,0.500000,0.000000,13.871,low,60.767,0.063694,cross_state_priority_fill
HI,1,1,0,0,0,0,0,0,1.000000,3.000000,0.000000,0.000000,15.531,low,76.585,1.000000,defer_or_geographic_balance_only
IA,939,36,903,2,146,258,439,58,0.750000,2.083333,0.250000,0.027027,15.375,medium,60.084,0.195652,cross_state_priority_fill
ID,198,18,180,0,13,43,80,44,0.500000,1.111111,0.500000,0.000000,13.468,medium,58.451,0.580645,defer_or_geographic_balance_only
IL,2719,123,2596,92,431,686,966,421,0.861789,2.422764,0.138211,0.023810,16.977,high,60.190,0.190402,priority_high_evidence_state
IN,1569,34,1535,24,194,475,706,136,0.823529,1.705882,0.176471,0.055556,15.469,medium,59.687,0.134921,cross_state_priority_fill
KS,1835,24,1811,0,65,157,419,1170,0.708333,1.708333,0.291667,0.000000,14.860,medium,52.651,0.269663,cross_state_priority_fill
KY,411,16,395,0,67,112,174,42,0.625000,1.125000,0.375000,0.000000,14.190,medium,59.816,0.192771,cross_state_priority_fill
LA,305,24,281,0,0,82,111,88,0.416667,0.916667,0.583333,0.000000,12.499,medium,57.186,1.000000,defer_or_geographic_balance_only
MA,351,60,290,1,176,78,32,3,0.916667,2.683333,0.083333,0.016393,17.520,high,66.459,0.252101,cross_state_priority_fill
MD,157,38,119,0,0,40,56,23,0.657895,1.500000,0.342105,0.000000,14.171,medium,59.726,1.000000,defer_or_geographic_balance_only
