contract_id,state,city,occupation_class,source_role,mechanism,evidence_status,excerpt,excerpt_location,source_file,notes
tx_houston_police_2024,TX,Houston,police,police,peer_comparator_wage_comparability,not_found,,,corpus/tx_houston/tx_houston_hpou_police_meet_confer_2024.pdf,Source-text extraction only; no GABRIEL/model scoring.
tx_houston_police_2024,TX,Houston,police,police,arbitration_impasse_backstop,present,"D. be member of the American Arbitration Association (AAA) labor panel or a Federal Mediation and Conciliation Service (FMCS) 4. In order to establish the order of the rotating panel of independent hearing examiners, the LRC will alternately select names in a blind drawing and individuals selected will be assigned in the order of their random drawing. S. Upon receipt of an officer's appeal, as authorized herein, to an in",page 48,corpus/tx_houston/tx_houston_hpou_police_meet_confer_2024.pdf,Source-text extraction only; no GABRIEL/model scoring. Generic grievance arbitration marked unclear where not plainly wage/impasse-related.
tx_houston_police_2024,TX,Houston,police,police,staffing_recruitment_retention,present,".................,...,.......80 ARTICLE 36: NON-EXEMPT OFFICER COMPENSATORY TIME ACCRUAL,............,...............................82 ARTICLE 37; STRATEGIC OFFICER STAFFING PROGRAM (SOSP)..-...........,........... ...........................83 ARTICLE 38: OFFICER HEALTH BEN EFITS",page 3,corpus/tx_houston/tx_houston_hpou_police_meet_confer_2024.pdf,Source-text extraction only; no GABRIEL/model scoring.
tx_houston_police_2024,TX,Houston,police,police,overtime_callback_minimum_staffing,present,such reimbursement shall be based on median rate of pay of a police officer and shall be placed in the Houston Police Department's budgeted overtime account. 21 DocuSign Envelope ID: 4BD15EC8-17BB-4635-80B3-69D91790A210 ARTICLE 13: NONDISCRIMINATION 1. It expressly agreed that no provision of this Agreement shall be construed or is implemented in a manner so as to disc,page 21,corpus/tx_houston/tx_houston_hpou_police_meet_confer_2024.pdf,Source-text extraction only; no GABRIEL/model scoring.
tx_houston_police_2024,TX,Houston,police,police,classification_reclassification_wage_schedule,present,"Police. Executive Rank - Chief of Police, Executive Chief, Executive Assistant Chief and Assistant Chief. Exempt officers - classification of Lieutenant, All rank officers in the HPD who hold the Commander, or any other pay grades Vil and above the Police Department Classified in Ordinance; and Assistant Chief, Executive Assistant Chief, or Executive Chief . Fiscal Year - For p",page 7,corpus/tx_houston/tx_houston_hpou_police_meet_confer_2024.pdf,Source-text extraction only; no GABRIEL/model scoring.
tx_houston_police_2024,TX,Houston,police,police,training_certification_education,present,",, , , ,. .. . . ....................,......,22 ARTICLE 14: IN-SERVICE TRAINING AND PRE-SERVICE TRAINING........................... ...............,,.........23 ARTICLE 15: MBA PARTICIPATION",page 2,corpus/tx_houston/tx_houston_hpou_police_meet_confer_2024.pdf,Source-text extraction only; no GABRIEL/model scoring.
tx_houston_police_2024,TX,Houston,police,police,premium_pay_differentials,present,"to Assignment Pay shall take effect the first full pay period after July 1, 2022. 6. WEEKEND PREMlUM & SHIFT DIFFERENTIAL PAY A. Weekend Premium pay will continue to be paid according to the following: 1. Weekend Premium Pay will be paid to officers assigned to weekend shifts as defined herein. 2. Officers will receive an additiona! $35,00 bi-weekly for one regular weekend shift or $70.00 bi-weekly for two regular ...",page 71,corpus/tx_houston/tx_houston_hpou_police_meet_confer_2024.pdf,Source-text extraction only; no GABRIEL/model scoring.
tx_houston_police_2024,TX,Houston,police,police,subcontracting_outsourcing,not_found,,,corpus/tx_houston/tx_houston_hpou_police_meet_confer_2024.pdf,Source-text extraction only; no GABRIEL/model scoring.
tx_houston_police_2024,TX,Houston,police,police,total_compensation_benefits,present,maintained reentry so long the employeelspouse/dependent has continuously health insurance during theír absence from the City's Health Benefit Plans. 84 DocuSign Envelope ID: 4BD15EC8-178B-4635-8083-69D91790A210 ARTICLE 39: CONVALESCENT OFFICER LEAVE POOL 1. The City agrees to maintain the convalescent leave pool established in the prior,page 84,corpus/tx_houston/tx_houston_hpou_police_meet_confer_2024.pdf,Source-text extraction only; no GABRIEL/model scoring.
tx_houston_police_2024,TX,Houston,police,police,safety_risk_public_safety,present,"that affect officers; 2. responding to requests for input from the Chief; 3. proffering issues that affect the health and safety of officers, including but not limited to equipment, working conditions, etc., 4. selecting members of panel for list of arbitrator/mediators to be utilized for contract grievances; 5, selecting panel of grievance examiners for Step",page 27,corpus/tx_houston/tx_houston_hpou_police_meet_confer_2024.pdf,Source-text extraction only; no GABRIEL/model scoring.
