calibration_id,text_table_detection_id,pdf_readiness_id,source_review_id,candidate_queue_row_id,state,municipality,government_name,unit_type,candidate_source_type,priority_for_content_review,source_officialness_rating,source_relevance_rating,document_type_rating,pdf_page_count,content_artifact_path,wage_table_signal,contract_period_signal,table_like_structure_signal,candidate_wage_pages,candidate_wage_page_count,detection_notes,calibration_round_id,calibration_selection_rank,calibration_selection_reason,source_review_pilot_id,page_count_bin,text_layer_status,wage_table_signal_confidence,contract_period_confidence,candidate_contract_period_text,extraction_pilot_priority,recommended_next_action,table_detection_method,reviewer,reviewed_at,calibration_status,page_hint_precision_label,wage_table_present_label,wage_table_page_match_label,contract_period_present_label,contract_period_hint_match_label,table_layout_type,extraction_complexity_label,false_positive_family,extraction_schema_notes,recommended_extraction_action,reviewer_confidence,reviewer_notes,review_id,review_method,review_status_detail,artifact_exists_review,artifact_hash_verified_review,artifact_size_verified_review,pdf_opened_review,candidate_pages_requested,candidate_pages_inspected,adjacent_pages_inspected,context_pages_inspected,pages_inspected,pages_with_text_review,bounded_text_chars_inspected,review_elapsed_seconds
cal_01a57230b8158e19db8100b3,ttd_83a87fe802f4d6d28a01427a,pr_13796e66888377c86b71dcb1,sr_4df7d032d5e831a67fdfe510,NSCQ-FL-20260720-0229,FL,Lake Wales,CITY OF LAKE WALES,fire,memorandum_or_settlement,p2,official_municipal,possible,unknown,2,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0479_sr_4df7d032d5e831a67fdfe510.pdf,likely,likely,likely,"1,2",2,deterministic bounded keyword/numeric-structure signals; 2 candidate page hints; no wage values or page text retained,TEXT-TABLE-CALIBRATION-SUBSET1-150-2026-07-24,1,stratified_likely,SOURCE-REVIEW-BATCH3-3X500-2026-07-24,1_to_10,present,high,high,"MEMORANDUM September 9, 2025 TO: Honorable Mayor and City Commission VIA: James Slaton, City Manager FROM: Sandra D. Davis, Human Resources Director SUBJECT: Agreement - City of Lake Wales/Lake Wales Professional Firefighters SYNO",p1,wage_table_extraction_pilot,bounded_keyword_numeric_structure_v1,codex_assisted_local_review,2026-07-25T14:07:08Z,reviewed,correct,yes,exact,yes,correct,hourly_schedule,easy,not_applicable,retain rate basis and effective-date columns,include_in_wage_extraction_pilot,high,Assisted review inspected 2 bounded pages; 2 strong exact-hint pages and 0 useful adjacent pages. No page text or wage values retained.,TEXT-TABLE-CALIBRATION-SUBSET1-REVIEW1-2026-07-24,codex_assisted_local_adjudication,bounded assisted local adjudication completed; human validation remains recommended,1,1,1,1,"1,2","1,2",,"1,2","1,2",2,3285,0.019579
cal_045e7e8100647061f677cbed,ttd_9ded6041128bb846db55dcbc,pr_e2d785f7bbcbc28ba7b4f38e,sr_c559293254377ab55982205c,NSCQ-DE-20260720-0001,DE,Wilmington,CITY OF WILMINGTON,fire,wage_schedule_or_compensation_plan,p2,official_state_repository,possible,unknown,17,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0490_sr_c559293254377ab55982205c.pdf,likely,likely,likely,"3,5,6,8,9,10,16,17",8,deterministic bounded keyword/numeric-structure signals; 8 candidate page hints; no wage values or page text retained,TEXT-TABLE-CALIBRATION-SUBSET1-150-2026-07-24,2,stratified_likely,SOURCE-REVIEW-BATCH3-3X500-2026-07-24,11_to_25,present,high,high,"ties were assisted by a mediator appointed by the Public Employment 1 Effective September 10, 2021, the Police Officers and Firefighters Employment Relations Act was amended. As part of that modification, all of the definitions we",p1,wage_table_extraction_pilot,bounded_keyword_numeric_structure_v1,codex_assisted_local_review,2026-07-25T14:07:08Z,needs_second_review,correct,yes,exact,yes,incorrect,rank_step,moderate,not_applicable,"preserve rank, step, and effective-date columns",include_in_wage_extraction_pilot,medium,Assisted review inspected 5 bounded pages; 4 strong exact-hint pages and 0 useful adjacent pages. No page text or wage values retained.,TEXT-TABLE-CALIBRATION-SUBSET1-REVIEW1-2026-07-24,codex_assisted_local_adjudication,bounded assisted local adjudication completed; human validation remains recommended,1,1,1,1,"3,5,6,8,9,10,16,17","3,6,9,10,17",,,"3,6,9,10,17",5,9078,0.109444
cal_04e9c405fa82bce92279cc76,ttd_ef9dc776a490a60898549bde,pr_001ccda7e40cd3eb951c6c24,sr_62322cb966f64b0f81a2dc6a,NSCQ-CA-20260720-0544,CA,Wasco,CITY OF WASCO,police,memorandum_or_settlement,p2,uncertain,possible,unknown,21,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0460_sr_62322cb966f64b0f81a2dc6a.pdf,likely,likely,likely,"5,8,10,12",4,deterministic bounded keyword/numeric-structure signals; 4 candidate page hints; no wage values or page text retained,TEXT-TABLE-CALIBRATION-SUBSET1-150-2026-07-24,3,stratified_likely,SOURCE-REVIEW-BATCH3-3X500-2026-07-24,11_to_25,present,high,high,"City of Wasco/WPOA MOU 2024 – 2026 Final Page 1 Memorandum of Understanding Between The City of Wasco And Wasco Police Officers Association (WPOA), July 1, 2024 thru June 30, 2026 Docusign Envelope ID: C60A6B85-F4D6-40A6-88B0-A430A46A50CE",p1,wage_table_extraction_pilot,bounded_keyword_numeric_structure_v1,codex_assisted_local_review,2026-07-25T14:07:08Z,reviewed,correct,yes,exact,yes,correct,step_grade,moderate,not_applicable,preserve step and grade/range headers,include_in_wage_extraction_pilot,high,Assisted review inspected 5 bounded pages; 3 strong exact-hint pages and 0 useful adjacent pages. No page text or wage values retained.,TEXT-TABLE-CALIBRATION-SUBSET1-REVIEW1-2026-07-24,codex_assisted_local_adjudication,bounded assisted local adjudication completed; human validation remains recommended,1,1,1,1,"5,8,10,12","5,8,10,12",4,,"5,8,10,12,4",5,15134,0.308266
cal_075c10415a94e03dadfb692f,ttd_5152ab99181d22d564ae4964,pr_d365eafbec62b9a6926306bf,sr_272eba05d55d401649848e75,NSCQ-MI-20260720-0107,MI,Hamtramck,CITY OF HAMTRAMCK,fire,memorandum_or_settlement,p2,official_municipal,possible,unknown,5,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0485_sr_272eba05d55d401649848e75.pdf,likely,likely,likely,"1,2,3",3,deterministic bounded keyword/numeric-structure signals; 3 candidate page hints; no wage values or page text retained,TEXT-TABLE-CALIBRATION-SUBSET1-150-2026-07-24,4,stratified_likely,SOURCE-REVIEW-BATCH3-3X500-2026-07-24,1_to_10,present,high,high,"DEPARTMENT January 1, 2024 through December 31, 2027 1. The parties’ collective bargaining agreement executed and dated ________2 shall be amended to reflect that the clothing allowance for the Fire Department be increased from [currency redacted] per year, to [currency redacted] per year per barga",p1,wage_table_extraction_pilot,bounded_keyword_numeric_structure_v1,codex_assisted_local_review,2026-07-25T14:07:08Z,reviewed,correct,yes,exact,yes,correct,annual_salary_schedule,moderate,not_applicable,retain annual basis and schedule dates,include_in_wage_extraction_pilot,high,Assisted review inspected 4 bounded pages; 2 strong exact-hint pages and 1 useful adjacent pages. No page text or wage values retained.,TEXT-TABLE-CALIBRATION-SUBSET1-REVIEW1-2026-07-24,codex_assisted_local_adjudication,bounded assisted local adjudication completed; human validation remains recommended,1,1,1,1,"1,2,3","1,2,3",4,"1,2","1,2,3,4",4,8803,0.057752
cal_0ccdac533aafb9416dffec65,ttd_3cfdd26db2e60205cab11709,pr_586455a7b202bb679e8cd632,sr_9a13313d7b45e8058dc24607,NSCQ-MD-20260720-0049,MD,Ocean City,TOWN OF OCEAN CITY,police,cba,p1,official_municipal,possible,cba_candidate,28,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0127_sr_9a13313d7b45e8058dc24607.pdf,likely,likely,likely,"2,4,7,10,13,15,16,27",8,deterministic bounded keyword/numeric-structure signals; 8 candidate page hints; no wage values or page text retained,TEXT-TABLE-CALIBRATION-SUBSET1-150-2026-07-24,5,stratified_likely,SOURCE-REVIEW-BATCH2-500-2026-07-24,26_to_50,partial,high,high,"City and the Ocean City Lodge No. 10, Fraternal Order of Police, Inc. Effective July 1, 2018 – June 30, 2021",p1,wage_table_extraction_pilot,bounded_keyword_numeric_structure_v1,codex_assisted_local_review,2026-07-25T14:07:09Z,needs_second_review,partially_correct,yes,exact,yes,correct,rank_step,hard,not_applicable,"preserve rank, step, and effective-date columns",include_after_schema_update,medium,Assisted review inspected 5 bounded pages; 2 strong exact-hint pages and 0 useful adjacent pages. No page text or wage values retained.,TEXT-TABLE-CALIBRATION-SUBSET1-REVIEW1-2026-07-24,codex_assisted_local_adjudication,bounded assisted local adjudication completed; human validation remains recommended,1,1,1,1,"2,4,7,10,13,15,16,27","2,7,13,15,27",,2,"2,7,13,15,27",5,11867,0.038902
cal_0d99791bdc0cd19c28d5f5de,ttd_8c90ce5021c0a45bb3d4bb2f,pr_e023663dc6160bcb0dbca7a8,sr_7bcc2dd2d88906ef9ef58854,NSCQ-OK-20260720-0015,OK,Lawton,CITY OF LAWTON,fire,cba,p1,official_municipal,possible,cba_candidate,243,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0160_sr_7bcc2dd2d88906ef9ef58854.pdf,likely,likely,likely,"82,109,242,243",4,deterministic bounded keyword/numeric-structure signals; 4 candidate page hints; no wage values or page text retained,TEXT-TABLE-CALIBRATION-SUBSET1-150-2026-07-24,6,stratified_likely,SOURCE-REVIEW-BATCH2-500-2026-07-24,over_100,partial,high,high,ble of Contents Fiscal Years 2017-2019 i TABLE OF CONTENTS EMPLOYMENT AGREEMENT .................................................................................................. 1 ARTICLE 1 – PURPOSE OF AGREEMENT .............................................................................. 2 ARTI,p1,wage_table_extraction_pilot,bounded_keyword_numeric_structure_v1,codex_assisted_local_review,2026-07-25T14:07:09Z,reviewed,correct,yes,exact,yes,correct,step_grade,hard,not_applicable,preserve step and grade/range headers,include_after_schema_update,high,Assisted review inspected 5 bounded pages; 4 strong exact-hint pages and 1 useful adjacent pages. No page text or wage values retained.,TEXT-TABLE-CALIBRATION-SUBSET1-REVIEW1-2026-07-24,codex_assisted_local_adjudication,bounded assisted local adjudication completed; human validation remains recommended,1,1,1,1,"82,109,242,243","82,109,242,243",81,,"82,109,242,243,81",5,13355,0.089964
cal_0e71fee5856adca413c60d77,ttd_eaed26a75145d881225f4f89,pr_7041ff092a907cc2ec8d7efb,sr_d73c9a81583ea67b229040c7,NSCQ-AL-20260720-0010,AL,Vestavia Hills,CITY OF VESTAVIA HILLS,non_safety,wage_schedule_or_compensation_plan,p2,uncertain,possible,unknown,6,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0487_sr_d73c9a81583ea67b229040c7.pdf,likely,likely,likely,"2,3,4,5,6",5,deterministic bounded keyword/numeric-structure signals; 5 candidate page hints; no wage values or page text retained,TEXT-TABLE-CALIBRATION-SUBSET1-150-2026-07-24,7,stratified_likely,SOURCE-REVIEW-BATCH3-3X500-2026-07-24,1_to_10,partial,high,high,CITY OF VESTAVIA HILLS EXECUTIVE SALARY SCHEDULE (Annual Hours 2080) Effective 10/01/2025 Acknowledged by Personnel Board 09/23/2025 Grade STEP 1 STEP 2 STEP 3 STEP 4 STEP 5 STEP 6 STEP 7 STEP 8 STEP 9 STEP 10 PREM 05 PREM 10 PREM 15 13 hourly [number redacted] [number redacted] [number redacted] [n,p1,wage_table_extraction_pilot,bounded_keyword_numeric_structure_v1,codex_assisted_local_review,2026-07-25T14:07:09Z,reviewed,correct,yes,exact,yes,correct,step_grade,hard,not_applicable,preserve step and grade/range headers,include_after_schema_update,high,Assisted review inspected 5 bounded pages; 5 strong exact-hint pages and 0 useful adjacent pages. No page text or wage values retained.,TEXT-TABLE-CALIBRATION-SUBSET1-REVIEW1-2026-07-24,codex_assisted_local_adjudication,bounded assisted local adjudication completed; human validation remains recommended,1,1,1,1,"2,3,4,5,6","2,3,4,5,6",,2,"2,3,4,5,6",5,22761,0.215133
cal_20f83d208f858a0cf99daad1,ttd_f953784b8113372f3c9b01c1,pr_44113f80a07022384f54a814,sr_0f22987e1039f88dbc9835c6,NSCQ-NC-20260720-0002,NC,Winston-Salem,CITY OF WINSTON-SALEM,fire,wage_schedule_or_compensation_plan,p2,uncertain,possible,unknown,1,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0486_sr_0f22987e1039f88dbc9835c6.pdf,likely,unlikely,likely,1,1,deterministic bounded keyword/numeric-structure signals; 1 candidate page hints; no wage values or page text retained,TEXT-TABLE-CALIBRATION-SUBSET1-150-2026-07-24,8,stratified_likely,SOURCE-REVIEW-BATCH3-3X500-2026-07-24,1_to_10,present,high,low,,p1,wage_table_extraction_pilot,bounded_keyword_numeric_structure_v1,codex_assisted_local_review,2026-07-25T14:07:09Z,reviewed,correct,yes,exact,no,no_period_found,step_grade,easy,not_applicable,preserve step and grade/range headers,include_in_wage_extraction_pilot,medium,Assisted review inspected 1 bounded pages; 1 strong exact-hint pages and 0 useful adjacent pages. No page text or wage values retained.,TEXT-TABLE-CALIBRATION-SUBSET1-REVIEW1-2026-07-24,codex_assisted_local_adjudication,bounded assisted local adjudication completed; human validation remains recommended,1,1,1,1,1,1,,1,1,1,1357,0.004195
cal_211c78b8eb2cdd5520344d2c,ttd_8dfd6e0d0182217731b023ee,pr_74aa79cf66b5844ce19c3150,sr_0c75170799891bb601b9aaa4,NSCQ-MN-20260720-0082,MN,North Mankato,CITY OF NORTH MANKATO,police,cba,p2,unknown,possible,cba_candidate,20,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0440_sr_0c75170799891bb601b9aaa4.pdf,likely,likely,likely,"7,9",2,deterministic bounded keyword/numeric-structure signals; 2 candidate page hints; no wage values or page text retained,TEXT-TABLE-CALIBRATION-SUBSET1-150-2026-07-24,9,stratified_likely,SOURCE-REVIEW-BATCH3-3X500-2026-07-24,11_to_25,partial,high,high,"LABOR AGREEMENT BETWEEN NORTH MANKATO~~ MI NNE SOTA City of North Mankato, MN AND Law Enforcement Labor Services, Inc. REPRESENTING: NORTH MANKATO POLICE OFFICERS LOCAL#[number redacted] January 1, 2026 - December 31, 2027",p1,wage_table_extraction_pilot,bounded_keyword_numeric_structure_v1,codex_assisted_local_review,2026-07-25T14:07:09Z,reviewed,correct,yes,exact,yes,incorrect,rank_step,hard,not_applicable,"preserve rank, step, and effective-date columns",include_after_schema_update,medium,Assisted review inspected 5 bounded pages; 1 strong exact-hint pages and 2 useful adjacent pages. No page text or wage values retained.,TEXT-TABLE-CALIBRATION-SUBSET1-REVIEW1-2026-07-24,codex_assisted_local_adjudication,bounded assisted local adjudication completed; human validation remains recommended,1,1,1,1,"7,9","7,9","6,8,10",,"7,9,6,8,10",5,12989,0.051816
cal_2cc9c8211edf7dc1fc8bbd7c,ttd_da56e38a4ba8bc096c6042b7,pr_9b324528ec6c24d540b83cc1,sr_16863b05cf84ae11399f869d,NSCQ-MI-20260720-0160,MI,Grosse Pointe Woods,CITY OF GROSSE POINTE WOODS,police,memorandum_or_settlement,p2,uncertain,possible,unknown,3,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0469_sr_16863b05cf84ae11399f869d.pdf,likely,likely,likely,"1,2",2,deterministic bounded keyword/numeric-structure signals; 2 candidate page hints; no wage values or page text retained,TEXT-TABLE-CALIBRATION-SUBSET1-150-2026-07-24,10,stratified_likely,SOURCE-REVIEW-BATCH3-3X500-2026-07-24,1_to_10,present,high,high,Officer Compensation I am requesting approval from Council to sign a Memorandum of Agreement between the City of Grosse Pointe Woods and the Michigan Fraternal Order of Police Labor Council regarding K-9 Officer compensation. As an officer assigned to the K-9 Handler position is required to be on-c,p1,wage_table_extraction_pilot,bounded_keyword_numeric_structure_v1,codex_assisted_local_review,2026-07-25T14:07:09Z,reviewed,correct,yes,exact,yes,partially_correct,hourly_schedule,easy,not_applicable,retain rate basis and effective-date columns,include_in_wage_extraction_pilot,high,Assisted review inspected 3 bounded pages; 2 strong exact-hint pages and 0 useful adjacent pages. No page text or wage values retained.,TEXT-TABLE-CALIBRATION-SUBSET1-REVIEW1-2026-07-24,codex_assisted_local_adjudication,bounded assisted local adjudication completed; human validation remains recommended,1,1,1,1,"1,2","1,2",3,"1,2","1,2,3",3,4205,0.007036
